ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1741032780,2025_03,12,ROCHE_SNAP,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,11,ROCHE_SNAP,2.29,2.14,gate3,12.936,0.417,MEGA,LONG,98.0,386,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741032780,2025_03,11,STRUCTURAL_DRIVE,2.29,2.14,score_loser,1.936,0.0,MEGA,LONG,98.0,386,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,3.82,2.14,score_loser,1.869,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,3.82,2.14,score_loser,1.869,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,3.82,2.14,score_loser,1.49,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,3.82,2.14,score_loser,1.49,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,2.58,2.14,score_loser,1.58,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,2.58,2.14,score_loser,1.58,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,11,ROCHE_SNAP,2.29,2.14,gate3,12.936,0.413,MEGA,LONG,98.0,386,3,S|1h:1|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1741032780,2025_03,11,STRUCTURAL_DRIVE,2.29,2.14,score_loser,1.936,0.0,MEGA,LONG,98.0,386,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,3.82,2.14,score_loser,1.869,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,3.82,2.14,score_loser,1.869,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,3.82,2.14,score_loser,1.49,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,3.82,2.14,score_loser,1.49,0.0,MEGA,LONG,148.5,220,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,2.58,2.14,score_loser,1.58,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,2.58,2.14,score_loser,1.58,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,ROCHE_SNAP,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
1741032780,2025_03,12,STRUCTURAL_DRIVE,2.58,2.14,score_loser,1.165,0.0,MEGA,LONG,144.0,155,3,,,,0.0,,,0.0,0.0
