tier,regime_2d,split,n_days,n_trades,mean_per_day,mean_per_trade,win_rate
MTF_BREAKOUT,UP_CHOPPY,IS,15,277,-24.1,-1.3050541516245486,0.4296028880866426
MTF_BREAKOUT,UP_CHOPPY,VAL,4,75,-102.125,-5.446666666666666,0.48
MTF_BREAKOUT,UP_CHOPPY,OOS,4,68,47.0,2.764705882352941,0.4852941176470588
MTF_BREAKOUT,DOWN_SMOOTH,IS,22,323,54.65909090909091,3.722910216718266,0.47058823529411764
MTF_BREAKOUT,DOWN_SMOOTH,VAL,8,134,54.625,3.2611940298507465,0.47761194029850745
MTF_BREAKOUT,DOWN_SMOOTH,OOS,7,135,33.5,1.737037037037037,0.48148148148148145
MTF_BREAKOUT,DOWN_CHOPPY,IS,12,303,-9.333333333333334,-0.3696369636963696,0.4389438943894389
MTF_BREAKOUT,DOWN_CHOPPY,VAL,2,37,-142.0,-7.675675675675675,0.40540540540540543
MTF_BREAKOUT,DOWN_CHOPPY,OOS,5,98,-68.5,-3.4948979591836733,0.47959183673469385
MTF_BREAKOUT,FLAT_SMOOTH,IS,39,639,-9.782051282051283,-0.5970266040688575,0.46635367762128327
MTF_BREAKOUT,FLAT_SMOOTH,VAL,9,146,-53.611111111111114,-3.3047945205479454,0.4246575342465753
MTF_BREAKOUT,FLAT_SMOOTH,OOS,5,70,-28.9,-2.0642857142857145,0.44285714285714284
MTF_BREAKOUT,FLAT_CHOPPY,IS,70,1454,34.41428571428571,1.656808803301238,0.45873452544704263
MTF_BREAKOUT,FLAT_CHOPPY,VAL,24,518,-6.333333333333333,-0.29343629343629346,0.4517374517374517
MTF_BREAKOUT,FLAT_CHOPPY,OOS,31,680,3.4516129032258065,0.15735294117647058,0.425
MTF_EXHAUSTION,UP_SMOOTH,IS,10,13,10.9,8.384615384615385,0.3076923076923077
MTF_EXHAUSTION,UP_SMOOTH,VAL,7,10,-24.285714285714285,-17.0,0.4
MTF_EXHAUSTION,UP_SMOOTH,OOS,2,4,27.0,13.5,0.75
MTF_EXHAUSTION,UP_CHOPPY,IS,7,9,1.7857142857142858,1.3888888888888888,0.4444444444444444
MTF_EXHAUSTION,UP_CHOPPY,VAL,2,2,84.75,84.75,1.0
MTF_EXHAUSTION,UP_CHOPPY,OOS,2,3,-19.0,-12.666666666666666,0.3333333333333333
MTF_EXHAUSTION,DOWN_SMOOTH,IS,11,19,-3.1363636363636362,-1.8157894736842106,0.3157894736842105
MTF_EXHAUSTION,DOWN_SMOOTH,VAL,5,5,37.1,37.1,0.8
MTF_EXHAUSTION,DOWN_SMOOTH,OOS,3,5,35.333333333333336,21.2,0.4
MTF_EXHAUSTION,DOWN_CHOPPY,IS,9,15,8.055555555555555,4.833333333333333,0.4666666666666667
MTF_EXHAUSTION,DOWN_CHOPPY,VAL,2,2,-46.0,-46.0,0.5
MTF_EXHAUSTION,DOWN_CHOPPY,OOS,4,5,20.75,16.6,0.6
MTF_EXHAUSTION,FLAT_SMOOTH,IS,14,20,-2.392857142857143,-1.675,0.6
MTF_EXHAUSTION,FLAT_SMOOTH,VAL,6,8,14.166666666666666,10.625,0.5
MTF_EXHAUSTION,FLAT_SMOOTH,OOS,2,2,-16.25,-16.25,0.5
MTF_EXHAUSTION,FLAT_CHOPPY,IS,41,58,22.926829268292682,16.20689655172414,0.4827586206896552
MTF_EXHAUSTION,FLAT_CHOPPY,VAL,19,35,0.7105263157894737,0.38571428571428573,0.5428571428571428
MTF_EXHAUSTION,FLAT_CHOPPY,OOS,13,16,-5.461538461538462,-4.4375,0.4375
BASE_NMP,UP_SMOOTH,IS,34,1069,8.029411764705882,0.255378858746492,0.5070159027128157
BASE_NMP,UP_SMOOTH,VAL,17,437,-8.794117647058824,-0.34210526315789475,0.528604118993135
BASE_NMP,UP_SMOOTH,OOS,12,377,34.75,1.106100795755968,0.5092838196286472
BASE_NMP,UP_CHOPPY,IS,15,616,339.23333333333335,8.260551948051948,0.5275974025974026
BASE_NMP,UP_CHOPPY,VAL,4,163,-42.5,-1.0429447852760736,0.5153374233128835
BASE_NMP,UP_CHOPPY,OOS,4,156,-493.625,-12.657051282051283,0.48717948717948717
BASE_NMP,DOWN_SMOOTH,IS,25,693,56.26,2.0295815295815296,0.5339105339105339
BASE_NMP,DOWN_SMOOTH,VAL,8,281,-329.125,-9.370106761565836,0.4804270462633452
BASE_NMP,DOWN_SMOOTH,OOS,9,227,-169.16666666666666,-6.70704845814978,0.4933920704845815
BASE_NMP,DOWN_CHOPPY,IS,12,502,-50.708333333333336,-1.2121513944223108,0.4900398406374502
BASE_NMP,DOWN_CHOPPY,VAL,2,82,-561.25,-13.689024390243903,0.4024390243902439
BASE_NMP,DOWN_CHOPPY,OOS,5,191,-158.4,-4.146596858638744,0.4607329842931937
BASE_NMP,FLAT_SMOOTH,IS,49,1364,37.93877551020408,1.3629032258064515,0.5256598240469208
BASE_NMP,FLAT_SMOOTH,VAL,13,327,157.19230769230768,6.249235474006116,0.5443425076452599
BASE_NMP,FLAT_SMOOTH,OOS,7,170,-65.42857142857143,-2.6941176470588237,0.5352941176470588
BASE_NMP,FLAT_CHOPPY,IS,71,2847,58.25352112676056,1.4527572883737268,0.5286266245170355
BASE_NMP,FLAT_CHOPPY,VAL,24,1000,-13.375,-0.321,0.488
BASE_NMP,FLAT_CHOPPY,OOS,33,1276,-1.2272727272727273,-0.031739811912225704,0.5289968652037618
