**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,vol_feature,var_feature,corner,n,dominant_regime,dominant_pct,mean_fwd,win_rate
15m,L2_15m_vol_velocity_w,L2_15m_price_sigma_w,HIGH_VOL_HIGH_VAR,7780,FLAT_CHOPPY,0.4466580976863753,2.024646529562982,0.529305912596401
15m,L2_15m_vol_velocity_w,L3_15m_swing_noise_w,LOW_VOL_LOW_VAR,2183,FLAT_SMOOTH,0.4040311497938617,-2.3441365093907467,0.5295464956481906
15m,L2_15m_vol_velocity_w,L3_15m_swing_noise_w,LOW_VOL_HIGH_VAR,8204,FLAT_CHOPPY,0.43430034129692835,0.5807228181374939,0.5205997074597757
15m,L2_15m_vol_velocity_w,L3_15m_swing_noise_w,HIGH_VOL_LOW_VAR,4632,FLAT_CHOPPY,0.34196891191709844,0.44084628670120896,0.5345423143350605
15m,L2_15m_vol_velocity_w,L3_15m_swing_noise_w,HIGH_VOL_HIGH_VAR,5276,FLAT_CHOPPY,0.42892342683851403,3.287717968157695,0.5384761182714177
15m,L2_15m_vol_accel_w,L1_15m_bar_range,LOW_VOL_LOW_VAR,4399,FLAT_CHOPPY,0.3762218686065015,0.4144691975448966,0.5223914526028642
15m,L2_15m_vol_accel_w,L1_15m_bar_range,LOW_VOL_HIGH_VAR,5975,FLAT_CHOPPY,0.4478661087866109,1.7772384937238495,0.5365690376569038
15m,L2_15m_vol_accel_w,L1_15m_bar_range,HIGH_VOL_LOW_VAR,3024,FLAT_CHOPPY,0.37202380952380953,0.3626818783068783,0.531084656084656
15m,L2_15m_vol_accel_w,L1_15m_bar_range,HIGH_VOL_HIGH_VAR,7493,FLAT_CHOPPY,0.4153209662351528,2.0053049512878687,0.5263579340718003
15m,L2_15m_vol_accel_w,L2_15m_price_sigma_w,LOW_VOL_LOW_VAR,3412,FLAT_CHOPPY,0.34583821805392734,0.5529747948417351,0.5351699882766706
