1m_z_se,1m_variance_ratio,1m_velocity,1m_p_at_center,1m_reversion_prob,1m_bar_range,1m_wick_ratio,5m_z_se,5m_velocity,5m_wick_ratio,15m_z_se,15m_velocity,1h_z_se,bars_held,pnl,actual_pnl,pattern
-0.09946397691965103,0.6426148414611816,-13.5,0.7836721539497375,0.9971849918365479,86.0,0.38372093439102173,-1.2909536361694336,-10.75,0.6978417038917542,-0.6005567312240601,-44.5,-1.006864309310913,238,1259.0,217.5,BASE_NMP.0
-1.085317611694336,1.1683844327926636,11.25,0.45423561334609985,0.9620821475982666,87.0,0.48275861144065857,-2.478062391281128,-82.75,0.3813084065914154,-1.3654237985610962,-196.0,-2.5117557048797607,52,846.5,182.0,BASE_NMP.0
-2.330345392227173,0.43839359283447266,-8.25,0.06532766669988632,0.7665503025054932,47.0,0.3404255211353302,-0.1150144413113594,-6.25,0.7864077687263489,0.9315618872642517,-24.0,-1.031955361366272,10,76.0,0.5,BASE_NMP.0
-1.7392926216125488,0.6131645441055298,-2.25,0.18549740314483643,0.9092227816581726,33.0,0.6060606241226196,-0.5686381459236145,10.75,0.7183098793029785,0.14029750227928162,-11.0,0.953925371170044,328,881.5,69.5,BASE_NMP.0
-0.9130717515945435,0.49971431493759155,-9.75,0.536996066570282,0.9701195955276489,119.0,0.6974790096282959,-0.09874046593904495,-18.75,0.6696428656578064,-0.4857247769832611,-62.5,-0.24311402440071106,234,1222.0,117.0,BASE_NMP.0
1.2899165153503418,0.43101766705513,4.5,0.3576542139053345,0.9503304362297058,60.0,0.699999988079071,0.3733269274234772,20.25,0.5736842155456543,1.0903605222702026,75.0,2.2033658027648926,101,676.5,127.5,BASE_NMP.0
-0.869354248046875,0.563788115978241,3.25,0.5574629306793213,0.9719573259353638,82.0,0.8292682766914368,-1.0794785022735596,-4.0,0.9336283206939697,0.7857388854026794,47.75,0.4164064824581146,42,642.5,-38.0,BASE_NMP.0
2.2540478706359863,0.5472922325134277,20.25,0.07528413832187653,0.7964175939559937,165.0,0.5151515007019043,-1.9597151279449463,2.25,0.9529411792755127,-2.5729119777679443,-145.5,0.4164064824581146,7,396.0,18.0,BASE_NMP.0
2.476656675338745,0.44738686084747314,4.75,0.04957778751850128,0.6918331384658813,38.0,0.4736842215061188,-0.1924644559621811,29.0,0.13432836532592773,-0.1348186582326889,18.5,1.4462499618530273,13,38.0,-16.5,BASE_NMP.0
-0.0934622660279274,0.694667398929596,1.5,0.7840597033500671,0.9973553419113159,31.0,0.774193525314331,-2.064208507537842,-12.75,0.5575221180915833,-0.46865054965019226,-25.75,0.8707958459854126,126,239.5,69.5,BASE_NMP.0
