strategy,condition,direction,horizon,n_trades,wr,avg_pnl,total_pnl,sharpe,median_pnl
z_se > 2 → SHORT,z_se > 2,SHORT,20,149084,49.32856644576212,-0.8667328485954228,-129216.0,-0.011468778994460017,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,3,139779,48.680416943889995,-0.13054536089112098,-18247.5,-0.004532003465318669,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,5,139777,49.03667985433941,-0.25381500532991835,-35477.5,-0.006711516720134479,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,10,139772,49.34321609478293,-0.5016348052542713,-70114.5,-0.009350523910369805,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,15,139767,49.407943219787214,-0.7147681498493922,-99901.0,-0.010849156558348933,0.0
z_se > 3 → SHORT,z_se > 3,SHORT,20,139762,49.4111417981998,-0.9394506375123424,-131299.5,-0.012335948246350937,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,3,130201,48.77612307125137,-0.11589388714372394,-15089.5,-0.003982363789058955,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,5,130199,49.17779706449358,-0.2223711395632839,-28952.5,-0.005867474926319173,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,10,130194,49.399357881315574,-0.5344178687189886,-69578.0,-0.00990446190686346,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,15,130189,49.46884913471952,-0.789771025201822,-102819.5,-0.011932634967485988,0.0
z_se > 4 → SHORT,z_se > 4,SHORT,20,130184,49.47843052909728,-1.0827252196890556,-140953.5,-0.014134832708234325,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,3,218756,50.342847739033445,0.14238923732377626,31148.5,0.004641950120515842,0.5
vr < 0.3 → LONG,vr < 0.3,LONG,3,95957,49.57845701720562,-0.08448575924632909,-8107.0,-0.002981007567432513,0.0
vr > 0.3 → SHORT,vr > 0.3,SHORT,3,218756,47.995483552451134,-0.14238923732377626,-31148.5,-0.004641950120515842,-0.5
vr < 0.3 → SHORT,vr < 0.3,SHORT,3,95957,48.62594703877778,0.08448575924632909,8107.0,0.002981007567432513,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,5,218754,50.57598946762116,0.24554522431589823,53714.0,0.0061945563044745085,0.5
vr < 0.3 → LONG,vr < 0.3,LONG,5,95957,49.842116781475035,-0.16125452025386372,-15473.5,-0.00440476218933863,0.0
vr > 0.3 → SHORT,vr > 0.3,SHORT,5,218754,48.168262066065076,-0.24554522431589823,-53714.0,-0.0061945563044745085,-0.5
vr < 0.3 → SHORT,vr < 0.3,SHORT,5,95957,48.746834519628585,0.16125452025386372,15473.5,0.00440476218933863,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,10,218749,50.791546475641034,0.4243836543252769,92833.5,0.00753103230171398,0.5
vr < 0.3 → LONG,vr < 0.3,LONG,10,95957,50.30065550194358,-0.17047219066873703,-16358.0,-0.003333202848358001,0.5
vr > 0.3 → SHORT,vr > 0.3,SHORT,10,218749,48.34262099483883,-0.4243836543252769,-92833.5,-0.00753103230171398,-0.5
vr < 0.3 → SHORT,vr < 0.3,SHORT,10,95957,48.77392998947445,0.17047219066873703,16358.0,0.003333202848358001,-0.5
vr > 0.3 → LONG,vr > 0.3,LONG,15,218744,51.01717075668362,0.6332059393629083,138510.0,0.009215267430881113,1.0
vr < 0.3 → LONG,vr < 0.3,LONG,15,95957,50.647685942661816,-0.24883541586335547,-23877.5,-0.003935095606132649,0.5
vr > 0.3 → SHORT,vr > 0.3,SHORT,15,218744,48.29298175035658,-0.6332059393629083,-138510.0,-0.009215267430881113,-1.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,15,95957,48.58113530018654,0.24883541586335547,23877.5,0.003935095606132649,-0.5
vr > 0.3 → LONG,vr > 0.3,LONG,20,218739,51.17560197312779,0.7614165740905828,166551.5,0.009697333331345231,1.0
vr < 0.3 → LONG,vr < 0.3,LONG,20,95957,50.77274195733506,-0.14562251841970883,-13973.5,-0.0019486569004282853,1.0
vr > 0.3 → SHORT,vr > 0.3,SHORT,20,218739,48.20905279808356,-0.7614165740905828,-166551.5,-0.009697333331345231,-1.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,20,95957,48.55925049761873,0.14562251841970883,13973.5,0.0019486569004282853,-1.0
vr > 0.5 → LONG,vr > 0.5,LONG,3,117500,50.45191489361702,0.14076170212765957,16539.5,0.004251467219844075,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,3,197213,49.90593926363881,0.032969428993017705,6502.0,0.0011794199265479403,0.0
vr > 0.5 → SHORT,vr > 0.5,SHORT,3,117500,47.952340425531915,-0.14076170212765957,-16539.5,-0.004251467219844075,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,3,197213,48.32794998301329,-0.032969428993017705,-6502.0,-0.0011794199265479403,0.0
vr > 0.5 → LONG,vr > 0.5,LONG,5,117498,50.8808660572946,0.31379257519276926,36870.0,0.0073799776702315,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,5,197213,50.03726934836953,0.006949339039515651,1370.5,0.00019142966815037388,0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,5,117498,47.893581167339015,-0.31379257519276926,-36870.0,-0.0073799776702315,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,5,197213,48.61342812086424,-0.006949339039515651,-1370.5,-0.00019142966815037388,-0.5
vr > 0.5 → LONG,vr > 0.5,LONG,10,117493,51.17666584392262,0.6391529708152827,75096.0,0.010692758697892756,1.0
vr < 0.5 → LONG,vr < 0.5,LONG,10,197213,50.32325455218469,0.006994974976294666,1379.5,0.00013546777845915866,0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,10,117493,47.97307073612896,-0.6391529708152827,-75096.0,-0.010692758697892756,-1.0
vr < 0.5 → SHORT,vr < 0.5,SHORT,10,197213,48.77264683362659,-0.006994974976294666,-1379.5,-0.00013546777845915866,-0.5
vr > 0.5 → LONG,vr > 0.5,LONG,15,117488,51.46823505379273,0.8612922170774888,101191.5,0.011739066402137472,1.5
vr < 0.5 → LONG,vr < 0.5,LONG,15,197213,50.56867447886295,0.06815473624963872,13441.0,0.0010809235845652394,0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,15,117488,47.86531390439875,-0.8612922170774888,-101191.5,-0.011739066402137472,-1.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,15,197213,48.687966817603304,-0.06815473624963872,-13441.0,-0.0010809235845652394,-0.5
vr > 0.5 → LONG,vr > 0.5,LONG,20,117483,51.33934271341386,1.052560796030064,123658.0,0.012527642579146332,1.5
vr < 0.5 → LONG,vr < 0.5,LONG,20,197213,50.88204124474552,0.1466434768499034,28920.0,0.0020048768878919744,1.0
vr > 0.5 → SHORT,vr > 0.5,SHORT,20,117483,48.05120740873148,-1.052560796030064,-123658.0,-0.012527642579146332,-1.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,20,197213,48.47347791474193,-0.1466434768499034,-28920.0,-0.0020048768878919744,-1.0
vr > 0.7 → LONG,vr > 0.7,LONG,3,58602,50.63649704788232,0.19518105184123408,11438.0,0.005589578093344872,0.5
vr < 0.7 → LONG,vr < 0.7,LONG,3,256111,49.98926246822667,0.04530652724795108,11603.5,0.0015767571393921537,0.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,3,58602,47.863554144909735,-0.19518105184123408,-11438.0,-0.005589578093344872,-0.5
vr < 0.7 → SHORT,vr < 0.7,SHORT,3,256111,48.26188644767308,-0.04530652724795108,-11603.5,-0.0015767571393921537,0.0
vr > 0.7 → LONG,vr > 0.7,LONG,5,58602,51.01191085628477,0.26321627248216783,15425.0,0.005995530540695106,0.5
vr < 0.7 → LONG,vr < 0.7,LONG,5,256109,50.20128148561746,0.08908511610290931,22815.5,0.002378156462615532,0.5
vr > 0.7 → SHORT,vr > 0.7,SHORT,5,58602,47.79870994164022,-0.26321627248216783,-15425.0,-0.005995530540695106,-0.5
vr < 0.7 → SHORT,vr < 0.7,SHORT,5,256109,48.46959692943239,-0.08908511610290931,-22815.5,-0.002378156462615532,-0.5
vr > 0.7 → LONG,vr > 0.7,LONG,10,58597,51.08623308360496,0.295313753263819,17304.5,0.004820689309207436,1.0
vr < 0.7 → LONG,vr < 0.7,LONG,10,256109,50.54019968060474,0.23103834695383607,59171.0,0.004340137899481146,0.5
vr > 0.7 → SHORT,vr > 0.7,SHORT,10,58597,48.075840060071336,-0.295313753263819,-17304.5,-0.004820689309207436,-1.0
vr < 0.7 → SHORT,vr < 0.7,SHORT,10,256109,48.56525932317881,-0.23103834695383607,-59171.0,-0.004340137899481146,-0.5
vr > 0.7 → LONG,vr > 0.7,LONG,15,58592,51.310759148006554,0.1607045330420535,9416.0,0.0020683986574386625,1.0
vr < 0.7 → LONG,vr < 0.7,LONG,15,256109,50.81156851184456,0.410827030678344,105216.5,0.00637730268839324,1.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,15,58592,48.05946204259967,-0.1607045330420535,-9416.0,-0.0020683986574386625,-1.0
vr < 0.7 → SHORT,vr < 0.7,SHORT,15,256109,48.45436903818296,-0.410827030678344,-105216.5,-0.00637730268839324,-1.0
vr > 0.7 → LONG,vr > 0.7,LONG,20,58589,50.960077830309444,0.12615849391524006,7391.5,0.0013954600283249243,1.0
vr < 0.7 → LONG,vr < 0.7,LONG,20,256107,51.07396517861675,0.5668978200517752,145186.5,0.00765216227771633,1.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,20,58589,48.48691733943232,-0.12615849391524006,-7391.5,-0.0013954600283249243,-1.0
vr < 0.7 → SHORT,vr < 0.7,SHORT,20,256107,48.276696849363745,-0.5668978200517752,-145186.5,-0.00765216227771633,-1.0
vr > 1.0 → LONG,vr > 1.0,LONG,3,19204,50.598833576338265,-0.00585815455113518,-112.5,-0.0001508360030005959,0.5
vr < 1.0 → LONG,vr < 1.0,LONG,3,295509,50.07800100842952,0.0783529435651706,23154.0,0.0026728276055164014,0.5
vr > 1.0 → SHORT,vr > 1.0,SHORT,3,19204,47.948344094980214,0.00585815455113518,112.5,0.0001508360030005959,-0.5
vr < 1.0 → SHORT,vr < 1.0,SHORT,3,295509,48.20326961276983,-0.0783529435651706,-23154.0,-0.0026728276055164014,-0.5
vr > 1.0 → LONG,vr > 1.0,LONG,5,19204,50.64569881274734,-0.03936679858362841,-756.0,-0.0008052203789941704,0.5
vr < 1.0 → LONG,vr < 1.0,LONG,5,295507,50.333156236569685,0.13196472503189433,38996.5,0.0034739053069284213,0.5
vr > 1.0 → SHORT,vr > 1.0,SHORT,5,19204,48.2347427619246,0.03936679858362841,756.0,0.0008052203789941704,-0.5
vr < 1.0 → SHORT,vr < 1.0,SHORT,5,295507,48.35181569302927,-0.13196472503189433,-38996.5,-0.0034739053069284213,-0.5
vr > 1.0 → LONG,vr > 1.0,LONG,10,19203,50.72644899234494,-0.46349528719470917,-8900.5,-0.006721977907450056,0.5
vr < 1.0 → LONG,vr < 1.0,LONG,10,295503,50.63637255797742,0.28891754060026464,85376.0,0.005373280591214721,0.5
vr > 1.0 → SHORT,vr > 1.0,SHORT,10,19203,48.5497057751393,0.46349528719470917,8900.5,0.006721977907450056,-0.5
vr < 1.0 → SHORT,vr < 1.0,SHORT,10,295503,48.46922027864353,-0.28891754060026464,-85376.0,-0.005373280591214721,-0.5
vr > 1.0 → LONG,vr > 1.0,LONG,15,19201,50.872350398416756,-0.8957345971563981,-17199.0,-0.010533868600486204,1.0
vr < 1.0 → LONG,vr < 1.0,LONG,15,295500,50.90659898477158,0.4461302876480541,131831.5,0.006784708901368506,1.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,15,19201,48.434977344929955,0.8957345971563981,17199.0,0.010533868600486204,-1.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,15,295500,48.377326565143825,-0.4461302876480541,-131831.5,-0.006784708901368506,-1.0
vr > 1.0 → LONG,vr > 1.0,LONG,20,19199,50.75264336684202,-1.0432835043491848,-20030.0,-0.01088513006993384,1.0
vr < 1.0 → LONG,vr < 1.0,LONG,20,295497,51.07226130891346,0.5841277576422096,172608.0,0.007683022446483764,1.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,20,19199,48.75253919474973,1.0432835043491848,20030.0,0.01088513006993384,-1.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,20,295497,48.28746146322975,-0.5841277576422096,-172608.0,-0.007683022446483764,-1.0
vr > 1.3 → LONG,vr > 1.3,LONG,3,5950,51.142857142857146,0.6594117647058824,3923.5,0.014069878500147672,0.5
vr < 1.3 → LONG,vr < 1.3,LONG,3,308763,50.08987475830977,0.061918040697881545,19118.0,0.002094476786205093,0.5
vr > 1.3 → SHORT,vr > 1.3,SHORT,3,5950,47.714285714285715,-0.6594117647058824,-3923.5,-0.014069878500147672,-0.5
vr < 1.3 → SHORT,vr < 1.3,SHORT,3,308763,48.1968370562535,-0.061918040697881545,-19118.0,-0.002094476786205093,-0.5
vr > 1.3 → LONG,vr > 1.3,LONG,5,5950,50.7563025210084,1.2692436974789916,7552.0,0.020608590519057363,0.5
vr < 1.3 → LONG,vr < 1.3,LONG,5,308761,50.34444116970731,0.0993924103108877,30688.5,0.002604210121435001,0.5
vr > 1.3 → SHORT,vr > 1.3,SHORT,5,5950,48.18487394957983,-1.2692436974789916,-7552.0,-0.020608590519057363,-0.5
vr < 1.3 → SHORT,vr < 1.3,SHORT,5,308761,48.347751173237555,-0.0993924103108877,-30688.5,-0.002604210121435001,-0.5
vr > 1.3 → LONG,vr > 1.3,LONG,10,5950,50.97478991596639,1.5776470588235294,9387.0,0.01848948230156754,1.0
vr < 1.3 → LONG,vr < 1.3,LONG,10,308756,50.63545323815569,0.2172864656881162,67088.5,0.004019387518103471,0.5
vr > 1.3 → SHORT,vr > 1.3,SHORT,10,5950,48.38655462184874,-1.5776470588235294,-9387.0,-0.01848948230156754,-1.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,10,308756,48.475819093394136,-0.2172864656881162,-67088.5,-0.004019387518103471,-0.5
vr > 1.3 → LONG,vr > 1.3,LONG,15,5950,51.52941176470588,0.5328571428571428,3170.5,0.005124031298029797,2.0
vr < 1.3 → LONG,vr < 1.3,LONG,15,308751,50.89246674504698,0.361009357054714,111462.0,0.005455097885447561,1.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,15,5950,47.88235294117647,-0.5328571428571428,-3170.5,-0.005124031298029797,-2.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,15,308751,48.39045055724516,-0.361009357054714,-111462.0,-0.005455097885447561,-1.0
vr > 1.3 → LONG,vr > 1.3,LONG,20,5950,52.01680672268908,-0.3305882352941176,-1967.0,-0.0028785812524485367,2.0
vr < 1.3 → LONG,vr < 1.3,LONG,20,308746,51.034183438813784,0.5005570922376322,154545.0,0.0065447776887332205,1.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,20,5950,47.56302521008403,0.3305882352941176,1967.0,0.0028785812524485367,-2.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,20,308746,48.33034274128248,-0.5005570922376322,-154545.0,-0.0065447776887332205,-1.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,3,114215,47.49201068160925,-0.0839688307140043,-9590.5,-0.0027302734206506897,-0.5
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,5,114214,47.50818638695782,-0.0763435305654298,-8719.5,-0.0019394155824194635,-1.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,10,114214,47.5029330905143,-0.10040800602377992,-11468.0,-0.0018219829530367378,-1.5
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,15,114214,47.328698758470935,-0.2713590277899382,-30993.0,-0.004024581623876854,-2.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,20,114214,47.25077486122542,-0.272808062058942,-31158.5,-0.00352326058185388,-2.0
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,3,133108,47.66580521080626,-0.01057787661147339,-1408.0,-0.0003432747671161709,-0.5
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,5,133106,47.65299836220757,-0.009398524484245638,-1251.0,-0.00023983395264232855,-0.5
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,10,133106,47.58613435908223,-0.07485763226300843,-9964.0,-0.001363635162513586,-1.0
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,15,133106,47.39305515904617,-0.27849232942166396,-37069.0,-0.004155884805411985,-1.5
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,20,133106,47.326942436854836,-0.2750326807206287,-36608.5,-0.003582840706678669,-2.0
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,3,152476,47.68291403237231,-0.0332052257404444,-5063.0,-0.0010874695975051376,-0.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,5,152474,47.63763002216771,-0.05163503285806104,-7873.0,-0.0013290396879269187,-0.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,10,152474,47.62188963364245,-0.14753662919579733,-22495.5,-0.002715824229057113,-1.0
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,15,152474,47.404147592376404,-0.3146339703818356,-47973.5,-0.004745141304650355,-1.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,20,152474,47.30577016409355,-0.35211249130999384,-53688.0,-0.00463031675661293,-2.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,3,142621,49.45975697828511,0.13116231130057987,18706.5,0.00444798585234009,0.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,5,142621,49.54950533231431,0.24064478583097862,34321.0,0.006234576499706875,0.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,10,142616,49.70059460369103,0.4723102597184047,67359.0,0.008612911724463232,0.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,15,142611,49.79419539867192,0.49759485593677905,70962.5,0.007370620339519349,0.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,20,142607,49.908489765579525,0.7915004172305707,112873.5,0.010070970151226677,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,3,123672,49.408920370010996,0.1461971990426289,18080.5,0.004865344631335765,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,5,123672,49.48977941652112,0.2859256743644479,35361.0,0.007322955503301894,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,10,123667,49.588006501330185,0.5178139681564201,64036.5,0.009336260572785684,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,15,123662,49.67734631495529,0.5601761252446184,69272.5,0.00822047194974618,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,20,123660,49.72828723920427,0.877171276079573,108471.0,0.011026355221602406,0.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,3,105628,49.298481463248386,0.1750908849926156,18494.5,0.0057114860263740306,0.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,5,105628,49.37327223842163,0.2695497405990836,28472.0,0.0069708745651398596,0.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,10,105623,49.396438275754335,0.4374804730030391,46208.0,0.007890097667397223,0.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,15,105618,49.498191596129445,0.48860989604044763,51606.0,0.00716568726168697,0.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,20,105616,49.54836388425996,0.8416291092258749,88889.5,0.010668209466763183,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,3,267059,50.18703732134098,0.07653552211309111,20439.5,0.0024544750567549625,0.5
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,3,47638,49.67462949746001,0.05185985977580923,2470.5,0.002348054175961239,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,3,267059,48.198338194930706,-0.07653552211309111,-20439.5,-0.0024544750567549625,-0.5
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,3,47638,48.13384273059322,-0.05185985977580923,-2470.5,-0.002348054175961239,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,5,267057,50.41208431158891,0.14291331064154844,38166.0,0.0035611694366990106,0.5
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,5,47638,50.012594987195094,-0.001364456946135438,-65.0,-4.583191049232238e-05,0.5
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,5,267057,48.343237585983516,-0.14291331064154844,-38166.0,-0.0035611694366990106,-0.5
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,5,47638,48.356354171039925,0.001364456946135438,65.0,4.583191049232238e-05,-0.5
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,10,267052,50.696868025702855,0.31438446444887136,83957.0,0.00553577242487229,0.5
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,10,47638,50.33376716067005,-0.15904320080607917,-7576.5,-0.0037807724584761598,0.5
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,10,267052,48.46059943381813,-0.31438446444887136,-83957.0,-0.00553577242487229,-0.5
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,10,47638,48.5494773080314,0.15904320080607917,7576.5,0.0037807724584761598,-0.5
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,15,267047,50.98203686991428,0.45547413002205606,121633.0,0.006531090090421819,1.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,15,47638,50.46601452621856,-0.14692052563079894,-6999.0,-0.0029557194609757336,0.5
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,15,267047,48.344673409549635,-0.45547413002205606,-121633.0,-0.006531090090421819,-1.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,15,47638,48.587262269616694,0.14692052563079894,6999.0,0.0029557194609757336,-0.5
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,20,267043,51.09401856629832,0.5481626554524927,146383.0,0.006809957265523553,1.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,20,47637,50.821840166257324,0.13015093309822198,6200.0,0.002287641952659983,1.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,20,267043,48.31431642095093,-0.5481626554524927,-146383.0,-0.006809957265523553,-1.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,20,47637,48.325881142809166,-0.13015093309822198,-6200.0,-0.002287641952659983,-1.0
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,3,118722,50.385775172251144,0.19931857616953894,23663.5,0.005821552233090888,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,3,195974,49.9423392899058,-0.0031101064426913775,-609.5,-0.00011484338308440625,0.0
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,3,118722,48.15535452569869,-0.19931857616953894,-23663.5,-0.005821552233090888,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,3,195974,48.20741526937247,0.0031101064426913775,609.5,0.00011484338308440625,0.0
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,5,118720,50.637634770889484,0.27622136118598384,32793.0,0.006273427099220576,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,5,195974,50.178084847990036,0.0276210109504322,5413.0,0.0007857782093978249,0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,5,118720,48.18396226415094,-0.27622136118598384,-32793.0,-0.006273427099220576,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,5,195974,48.44316082745671,-0.0276210109504322,-5413.0,-0.0007857782093978249,-0.5
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,10,118717,50.72314832753523,0.448141378235636,53202.0,0.007265878728607509,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,10,195972,50.5924315718572,0.11826689527075296,23177.0,0.0023555592834063354,0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,10,118717,48.46652122273979,-0.448141378235636,-53202.0,-0.007265878728607509,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,10,195972,48.478864327557,-0.11826689527075296,-23177.0,-0.0023555592834063354,-0.5
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,15,118712,51.06054990228452,0.6844758743850664,81255.5,0.009035681684658202,1.0
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,15,195972,50.80827873369665,0.1697232257669463,33261.0,0.0027708739238491613,1.0
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,15,118712,48.27228923781926,-0.6844758743850664,-81255.5,-0.009035681684658202,-1.0
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,15,195972,48.44824770885637,-0.1697232257669463,-33261.0,-0.0027708739238491613,-1.0
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,20,118710,51.15070339482774,0.9416814084744335,111787.0,0.010875960647991552,1.0
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,20,195969,50.99275905883074,0.20754813261281121,40673.0,0.0029135033201685657,1.0
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,20,118710,48.30005896723107,-0.9416814084744335,-111787.0,-0.010875960647991552,-1.0
