**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,entry_ts,entry_price,exit_ts,exit_price,direction,pnl_pts,pnl_usd,mfe_pts,mae_pts,leg_min,exit_reason
2025_01_03,1735916040,21355.25,1735916065,21345.25,1,-10.0,-23.0,2.25,10.75,0.4166666666666667,sl
2025_01_03,1735916520,21353.0,1735916540,21363.0,-1,-10.0,-23.0,0.0,20.0,0.3333333333333333,sl
2025_01_03,1735916640,21392.25,1735916700,21412.5,1,20.25,37.5,31.5,1.0,1.0,trail
2025_01_03,1735917120,21366.5,1735917150,21348.0,-1,18.5,34.0,25.0,1.5,0.5,trail
2025_01_03,1735917900,21322.5,1735917930,21328.5,1,6.0,9.0,11.0,6.0,0.5,trail
2025_01_03,1735919700,21359.5,1735919745,21352.5,-1,7.0,11.0,13.0,1.0,0.75,trail
2025_01_03,1735920180,21388.5,1735920230,21401.75,1,13.25,23.5,23.25,-0.0,0.8333333333333334,trail
2025_01_03,1735920420,21368.5,1735920460,21361.5,-1,7.0,11.0,15.75,3.5,0.6666666666666666,trail
2025_01_03,1735921200,21386.25,1735921240,21376.25,1,-10.0,-23.0,7.75,10.0,0.6666666666666666,sl
2025_01_03,1735924500,21452.5,1735924520,21462.5,-1,-10.0,-23.0,0.0,13.5,0.3333333333333333,sl
2025_01_03,1735928340,21480.5,1735929135,21510.0,1,29.5,56.0,37.25,7.5,13.25,trail
2025_01_03,1735934460,21516.0,1735934865,21526.0,-1,-10.0,-23.0,9.25,10.75,6.75,sl
2025_01_06,1736122860,21494.75,1736123040,21504.75,-1,-10.0,-23.0,0.0,11.5,3.0,sl
2025_01_06,1736129820,21511.5,1736130545,21501.5,1,-10.0,-23.0,7.0,10.0,12.083333333333334,sl
2025_01_06,1736161380,21656.0,1736161410,21666.0,-1,-10.0,-23.0,3.5,11.5,0.5,sl
2025_01_06,1736161800,21685.5,1736162075,21691.5,1,6.0,9.0,11.25,8.75,4.583333333333333,trail
2025_01_06,1736164260,21711.25,1736164360,21721.25,-1,-10.0,-23.0,2.0,10.75,1.6666666666666667,sl
2025_01_06,1736167620,21750.75,1736168035,21740.75,1,-10.0,-23.0,9.75,10.25,6.916666666666667,sl
2025_01_06,1736169360,21720.5,1736169840,21730.5,-1,-10.0,-23.0,1.5,10.5,8.0,sl
2025_01_06,1736171580,21747.0,1736172275,21737.0,1,-10.0,-23.0,7.0,10.0,11.583333333333334,sl
2025_01_06,1736172960,21685.75,1736172970,21695.75,-1,-10.0,-23.0,0.0,13.75,0.16666666666666666,sl
2025_01_06,1736173560,21711.0,1736173570,21701.0,1,-10.0,-23.0,0.0,11.25,0.16666666666666666,sl
2025_01_06,1736175480,21802.5,1736175515,21812.5,-1,-10.0,-23.0,1.5,12.75,0.5833333333333334,sl
2025_01_06,1736176440,21838.75,1736176480,21849.0,1,10.25,17.5,15.5,1.0,0.6666666666666666,trail
2025_01_06,1736181960,21861.25,1736182160,21851.0,-1,10.25,17.5,15.25,4.75,3.3333333333333335,trail
2025_01_06,1736187060,21787.75,1736187140,21777.75,1,-10.0,-23.0,0.0,11.0,1.3333333333333333,sl
2025_01_06,1736188980,21757.75,1736189155,21721.25,-1,36.5,70.0,45.5,8.25,2.9166666666666665,trail
2025_01_06,1736190360,21709.5,1736190375,21699.5,1,-10.0,-23.0,0.0,11.25,0.25,sl
2025_01_06,1736193420,21689.25,1736193540,21675.25,-1,14.0,25.0,24.75,0.25,2.0,trail
2025_01_06,1736194020,21684.25,1736194195,21688.0,1,3.75,4.5,11.0,5.5,2.9166666666666665,trail
2025_01_07,1736218320,21739.75,1736218865,21725.5,-1,14.25,25.5,19.75,6.25,9.083333333333334,trail
2025_01_07,1736220840,21748.75,1736221235,21738.75,1,-10.0,-23.0,2.75,11.75,6.583333333333333,sl
2025_01_07,1736225585,21720.0,1736227285,21699.0,-1,21.0,39.0,30.75,7.5,28.333333333333332,trail
2025_01_07,1736229120,21706.0,1736231785,21696.0,1,-10.0,-23.0,9.75,10.75,44.416666666666664,sl
2025_01_07,1736233080,21686.0,1736233250,21696.0,-1,-10.0,-23.0,0.25,10.25,2.8333333333333335,sl
2025_01_07,1736233620,21714.0,1736234100,21718.0,1,4.0,5.0,14.25,1.5,8.0,trail
2025_01_07,1736243220,21736.5,1736243535,21731.75,-1,4.75,6.5,11.25,8.0,5.25,trail
2025_01_07,1736244780,21754.0,1736245465,21764.5,1,10.5,18.0,16.0,4.0,11.416666666666666,trail
2025_01_07,1736249700,21735.0,1736250960,21728.0,-1,7.0,11.0,14.5,6.25,21.0,trail
2025_01_07,1736253660,21754.5,1736254650,21744.5,1,-10.0,-23.0,8.5,10.0,16.5,sl
2025_01_07,1736260440,21773.25,1736260515,21747.5,-1,25.75,48.5,31.0,0.25,1.25,trail
2025_01_07,1736260980,21742.25,1736261155,21778.25,1,36.0,69.0,43.75,4.5,2.9166666666666665,trail
2025_01_07,1736261700,21760.5,1736261800,21757.75,-1,2.75,2.5,11.25,9.25,1.6666666666666667,trail
2025_01_07,1736262780,21607.25,1736262790,21597.25,1,-10.0,-23.0,0.0,17.25,0.16666666666666666,sl
2025_01_07,1736263020,21572.5,1736263055,21544.5,-1,28.0,53.0,37.0,2.5,0.5833333333333334,trail
2025_01_07,1736263200,21579.75,1736263225,21569.75,1,-10.0,-23.0,5.0,10.75,0.4166666666666667,sl
2025_01_07,1736263800,21570.0,1736263805,21580.0,-1,-10.0,-23.0,0.0,14.0,0.08333333333333333,sl
2025_01_07,1736265060,21455.5,1736265115,21458.0,1,2.5,2.0,12.0,6.5,0.9166666666666666,trail
2025_01_07,1736265960,21523.25,1736265970,21533.25,-1,-10.0,-23.0,0.0,12.25,0.16666666666666666,sl
2025_01_07,1736267100,21547.5,1736267180,21559.25,1,11.75,20.5,18.25,8.25,1.3333333333333333,trail
2025_01_07,1736267460,21522.5,1736267485,21520.75,-1,1.75,0.5,19.75,1.75,0.4166666666666667,trail
2025_01_07,1736268000,21534.5,1736268065,21541.0,1,6.5,10.0,16.5,0.75,1.0833333333333333,trail
2025_01_07,1736268120,21517.25,1736268180,21527.25,-1,-10.0,-23.0,6.5,12.25,1.0,sl
2025_01_07,1736270100,21465.0,1736270170,21455.0,1,-10.0,-23.0,6.0,10.25,1.1666666666666667,sl
2025_01_07,1736270700,21435.5,1736270795,21422.25,-1,13.25,23.5,18.25,3.75,1.5833333333333333,trail
2025_01_07,1736271120,21445.5,1736271240,21457.75,1,12.25,21.5,18.75,6.0,2.0,trail
2025_01_07,1736271480,21428.75,1736271660,21438.75,-1,-10.0,-23.0,8.75,10.75,3.0,sl
2025_01_07,1736272620,21423.25,1736272830,21441.5,1,18.25,33.5,25.25,2.0,3.5,trail
2025_01_07,1736274960,21482.25,1736275095,21465.25,-1,17.0,31.0,23.25,8.0,2.25,trail
2025_01_07,1736276940,21463.5,1736277155,21466.25,1,2.75,2.5,10.5,7.0,3.5833333333333335,trail
2025_01_07,1736278560,21437.0,1736278685,21431.0,-1,6.0,9.0,12.5,2.25,2.0833333333333335,trail
2025_01_07,1736279160,21440.5,1736279245,21430.5,1,-10.0,-23.0,0.0,11.25,1.4166666666666667,sl
2025_01_07,1736279400,21414.5,1736279420,21424.5,-1,-10.0,-23.0,1.5,16.0,0.3333333333333333,sl
2025_01_08,1736300220,21423.5,1736301395,21429.25,1,5.75,8.5,11.0,9.5,19.583333333333332,trail
2025_01_08,1736303705,21406.5,1736304595,21416.5,-1,-10.0,-23.0,3.75,10.75,14.833333333333334,sl
2025_01_08,1736314860,21422.75,1736316665,21429.25,1,6.5,10.0,11.5,3.0,30.083333333333332,trail
2025_01_08,1736318160,21401.5,1736318425,21411.5,-1,-10.0,-23.0,0.75,10.0,4.416666666666667,sl
2025_01_08,1736323260,21398.25,1736323445,21388.25,1,-10.0,-23.0,0.25,10.75,3.0833333333333335,sl
2025_01_08,1736335260,21414.25,1736335625,21397.0,-1,17.25,31.5,22.5,5.5,6.083333333333333,trail
2025_01_08,1736336760,21332.75,1736336815,21322.75,1,-10.0,-23.0,0.25,10.0,0.9166666666666666,sl
2025_01_08,1736337780,21333.25,1736337835,21327.5,-1,5.75,8.5,11.0,-0.0,0.9166666666666666,trail
2025_01_08,1736339820,21255.25,1736339940,21285.5,1,30.25,57.5,40.5,6.75,2.0,trail
2025_01_08,1736340660,21257.75,1736340685,21267.75,-1,-10.0,-23.0,0.0,11.0,0.4166666666666667,sl
2025_01_08,1736341260,21315.25,1736341300,21342.25,1,27.0,51.0,32.0,7.0,0.6666666666666666,trail
2025_01_08,1736341560,21317.0,1736341645,21306.25,-1,10.75,18.5,17.75,0.25,1.4166666666666667,trail
2025_01_08,1736342160,21338.5,1736342210,21328.5,1,-10.0,-23.0,3.0,11.25,0.8333333333333334,sl
2025_01_08,1736343000,21358.75,1736343005,21368.75,-1,-10.0,-23.0,0.0,21.25,0.08333333333333333,sl
2025_01_08,1736343120,21388.5,1736343145,21378.5,1,-10.0,-23.0,0.0,12.0,0.4166666666666667,sl
2025_01_08,1736343240,21341.25,1736343280,21325.5,-1,15.75,28.5,25.0,-0.0,0.6666666666666666,trail
2025_01_08,1736344500,21352.5,1736344565,21358.5,1,6.0,9.0,16.5,0.75,1.0833333333333333,trail
2025_01_08,1736345220,21345.75,1736345250,21355.75,-1,-10.0,-23.0,0.0,11.25,0.5,sl
2025_01_08,1736346720,21352.25,1736346740,21342.25,1,-10.0,-23.0,1.0,11.75,0.3333333333333333,sl
2025_01_08,1736346840,21328.75,1736346865,21338.75,-1,-10.0,-23.0,9.75,15.0,0.4166666666666667,sl
2025_01_08,1736346900,21370.25,1736346915,21372.25,1,2.0,1.0,10.25,-0.0,0.25,trail
2025_01_08,1736347080,21331.25,1736347085,21341.25,-1,-10.0,-23.0,0.0,10.5,0.08333333333333333,sl
2025_01_08,1736347380,21330.5,1736347405,21320.5,1,-10.0,-23.0,1.5,12.0,0.4166666666666667,sl
2025_01_08,1736347620,21313.25,1736347635,21323.25,-1,-10.0,-23.0,0.0,10.5,0.25,sl
2025_01_08,1736347800,21361.0,1736347825,21368.0,1,7.0,11.0,14.25,-0.0,0.4166666666666667,trail
2025_01_08,1736347980,21322.25,1736348030,21296.0,-1,26.25,49.5,32.0,4.25,0.8333333333333334,trail
2025_01_08,1736348160,21325.5,1736348170,21315.5,1,-10.0,-23.0,0.0,13.25,0.16666666666666666,sl
2025_01_08,1736348880,21367.25,1736348945,21357.0,-1,10.25,17.5,19.75,0.75,1.0833333333333333,trail
2025_01_08,1736349540,21281.75,1736349575,21292.75,1,11.0,19.0,18.0,4.5,0.5833333333333334,trail
2025_01_08,1736349660,21257.75,1736349665,21267.75,-1,-10.0,-23.0,0.0,14.0,0.08333333333333333,sl
2025_01_08,1736349840,21283.75,1736349860,21289.5,1,5.75,8.5,12.5,4.5,0.3333333333333333,trail
2025_01_08,1736350140,21284.5,1736350205,21294.5,-1,-10.0,-23.0,3.75,10.25,1.0833333333333333,sl
2025_01_08,1736350560,21337.75,1736350585,21327.75,1,-10.0,-23.0,4.25,13.75,0.4166666666666667,sl
2025_01_08,1736350800,21324.25,1736350840,21334.25,-1,-10.0,-23.0,6.25,10.5,0.6666666666666666,sl
2025_01_08,1736351460,21333.25,1736351520,21337.0,1,3.75,4.5,10.0,3.25,1.0,trail
2025_01_08,1736352180,21321.75,1736352210,21331.75,-1,-10.0,-23.0,0.0,10.25,0.5,sl
2025_01_08,1736352660,21347.75,1736352670,21337.75,1,-10.0,-23.0,0.0,10.0,0.16666666666666666,sl
2025_01_08,1736355360,21374.5,1736355390,21384.5,-1,-10.0,-23.0,4.0,10.25,0.5,sl
2025_01_08,1736357640,21211.75,1736357795,21201.75,1,-10.0,-23.0,7.25,12.25,2.5833333333333335,sl
2025_01_08,1736361240,21367.75,1736361405,21377.75,-1,-10.0,-23.0,8.5,11.75,2.75,sl
2025_01_08,1736362800,21317.25,1736362805,21307.25,1,-10.0,-23.0,0.0,15.5,0.08333333333333333,sl
2025_01_08,1736363580,21348.75,1736363700,21332.0,-1,16.75,30.5,22.5,4.25,2.0,trail
2025_01_08,1736363880,21367.5,1736364100,21378.25,1,10.75,18.5,20.75,5.0,3.6666666666666665,trail
2025_01_08,1736364660,21379.5,1736364715,21373.5,-1,6.0,9.0,11.5,3.25,0.9166666666666666,trail
2025_01_08,1736366700,21351.75,1736366760,21341.75,1,-10.0,-23.0,2.5,10.0,1.0,sl
2025_01_08,1736367120,21320.75,1736367310,21313.75,-1,7.0,11.0,17.5,1.0,3.1666666666666665,trail
2025_01_08,1736367540,21343.0,1736367830,21349.25,1,6.25,9.5,12.0,8.25,4.833333333333333,trail
2025_01_09,1736382780,21285.25,1736383180,21277.0,-1,8.25,13.5,14.0,6.25,6.666666666666667,trail
2025_01_09,1736384220,21305.5,1736384790,21312.75,1,7.25,11.5,12.75,5.0,9.5,trail
2025_01_09,1736394660,21318.5,1736395715,21304.5,-1,14.0,25.0,19.25,1.0,17.583333333333332,trail
2025_01_09,1736399940,21327.25,1736400405,21317.25,1,-10.0,-23.0,0.75,10.25,7.75,sl
2025_01_09,1736407140,21291.25,1736408020,21272.0,-1,19.25,35.5,25.0,1.25,14.666666666666666,trail
2025_01_09,1736410740,21257.75,1736411320,21272.25,1,14.5,26.0,19.5,8.25,9.666666666666666,trail
2025_01_09,1736420760,21294.0,1736420950,21304.0,-1,-10.0,-23.0,2.0,10.25,3.1666666666666665,sl
2025_01_09,1736422140,21316.75,1736422220,21306.75,1,-10.0,-23.0,0.0,10.0,1.3333333333333333,sl
2025_01_09,1736422980,21283.0,1736423115,21293.0,-1,-10.0,-23.0,5.75,10.0,2.25,sl
2025_01_09,1736424660,21308.5,1736425250,21298.5,1,-10.0,-23.0,8.0,10.25,9.833333333333334,sl
2025_01_09,1736431140,21296.5,1736431665,21271.75,-1,24.75,46.5,30.0,8.5,8.75,trail
2025_01_09,1736432760,21306.25,1736432960,21296.25,1,-10.0,-23.0,3.25,10.5,3.3333333333333335,sl
2025_01_10,1736468100,21197.5,1736468350,21185.75,-1,11.75,20.5,18.0,9.75,4.166666666666667,trail
2025_01_10,1736470320,21217.75,1736470705,21207.75,1,-10.0,-23.0,5.25,11.75,6.416666666666667,sl
2025_01_10,1736488980,21290.0,1736490540,21275.75,-1,14.25,25.5,19.75,9.0,26.0,trail
2025_01_10,1736493360,21269.75,1736493770,21281.0,1,11.25,19.5,16.5,8.75,6.833333333333333,trail
2025_01_10,1736499840,21258.0,1736500400,21268.0,-1,-10.0,-23.0,8.5,10.0,9.333333333333334,sl
2025_01_10,1736500980,21287.5,1736501170,21277.5,1,-10.0,-23.0,0.5,11.0,3.1666666666666665,sl
2025_01_10,1736509680,21335.25,1736510130,21323.75,-1,11.5,20.0,16.5,7.75,7.5,trail
2025_01_10,1736511960,21287.5,1736512165,21277.5,1,-10.0,-23.0,5.5,13.5,3.4166666666666665,sl
2025_01_10,1736514960,21291.75,1736515095,21282.5,-1,9.25,15.5,15.25,0.5,2.25,trail
2025_01_10,1736516160,21093.5,1736516175,21103.75,1,10.25,17.5,16.75,4.25,0.25,trail
2025_01_10,1736516880,21111.5,1736516890,21121.5,-1,-10.0,-23.0,0.0,13.0,0.16666666666666666,sl
2025_01_10,1736517300,21146.5,1736517340,21136.5,1,-10.0,-23.0,1.25,10.25,0.6666666666666666,sl
2025_01_10,1736517600,21109.0,1736517605,21119.0,-1,-10.0,-23.0,0.0,10.0,0.08333333333333333,sl
2025_01_10,1736517780,21135.25,1736517900,21149.25,1,14.0,25.0,28.25,7.25,2.0,trail
2025_01_10,1736519040,21161.25,1736519080,21171.25,-1,-10.0,-23.0,1.0,10.0,0.6666666666666666,sl
2025_01_10,1736519340,21185.5,1736519410,21175.5,1,-10.0,-23.0,7.25,10.5,1.1666666666666667,sl
2025_01_10,1736519460,21170.0,1736519505,21133.25,-1,36.75,70.5,49.25,2.5,0.75,trail
2025_01_10,1736519640,21182.0,1736519660,21172.0,1,-10.0,-23.0,6.0,15.0,0.3333333333333333,sl
2025_01_10,1736519760,21149.25,1736519775,21159.25,-1,-10.0,-23.0,9.5,14.5,0.25,sl
2025_01_10,1736520300,21115.0,1736520310,21114.25,1,-0.75,-4.5,13.5,4.5,0.16666666666666666,trail
2025_01_10,1736520420,21061.5,1736520495,21021.25,-1,40.25,77.5,45.25,5.5,1.25,trail
2025_01_10,1736522280,20926.25,1736522335,20938.5,1,12.25,21.5,18.5,1.5,0.9166666666666666,trail
2025_01_10,1736524260,21062.5,1736524380,21026.0,-1,36.5,70.0,42.0,4.75,2.0,trail
2025_01_10,1736526120,20962.5,1736526150,20952.5,1,-10.0,-23.0,1.75,10.5,0.5,sl
2025_01_10,1736526540,20931.75,1736526620,20925.75,-1,6.0,9.0,14.75,9.5,1.3333333333333333,trail
2025_01_10,1736527320,20944.75,1736527420,20955.5,1,10.75,18.5,15.75,6.25,1.6666666666666667,trail
2025_01_10,1736527800,20940.0,1736527810,20950.0,-1,-10.0,-23.0,0.0,10.0,0.16666666666666666,sl
2025_01_10,1736529600,20932.5,1736529640,20922.5,1,-10.0,-23.0,3.75,11.75,0.6666666666666666,sl
2025_01_10,1736535840,21123.75,1736535975,21093.25,-1,30.5,58.0,35.75,5.25,2.25,trail
2025_01_10,1736537220,21090.25,1736537255,21098.75,1,8.5,14.0,13.5,0.25,0.5833333333333334,trail
2025_01_10,1736537700,21071.25,1736537865,21063.25,-1,8.0,13.0,14.0,7.75,2.75,trail
2025_01_10,1736538900,21083.75,1736539060,21092.0,1,8.25,13.5,17.25,5.0,2.6666666666666665,trail
2025_01_10,1736539980,21057.75,1736540100,21036.75,-1,21.0,39.0,27.5,4.25,2.0,trail
2025_01_13,1736730360,20980.75,1736730910,20966.0,-1,14.75,26.5,20.0,2.5,9.166666666666666,trail
2025_01_13,1736733240,20925.75,1736733655,20915.75,1,-10.0,-23.0,5.5,10.75,6.916666666666667,sl
2025_01_13,1736737980,20911.0,1736738635,20873.25,-1,37.75,72.5,45.5,2.0,10.916666666666666,trail
2025_01_13,1736740980,20897.5,1736741140,20887.5,1,-10.0,-23.0,1.5,10.75,2.6666666666666665,sl
2025_01_13,1736746440,20866.75,1736746615,20876.75,-1,-10.0,-23.0,0.0,10.75,2.9166666666666665,sl
2025_01_13,1736748240,20900.5,1736749000,20916.0,1,15.5,28.0,20.5,5.5,12.666666666666666,trail
2025_01_13,1736752380,20891.5,1736752935,20875.75,-1,15.75,28.5,21.75,5.75,9.25,trail
2025_01_13,1736755680,20905.25,1736755805,20895.25,1,-10.0,-23.0,2.25,11.0,2.0833333333333335,sl
2025_01_13,1736756400,20868.75,1736756415,20853.5,-1,15.25,27.5,23.0,-0.0,0.25,trail
2025_01_13,1736760180,20734.25,1736760250,20724.25,1,-10.0,-23.0,6.25,15.75,1.1666666666666667,sl
2025_01_13,1736765820,20744.0,1736766000,20754.0,-1,-10.0,-23.0,6.5,11.0,3.0,sl
2025_01_13,1736768160,20772.75,1736768420,20762.75,1,-10.0,-23.0,2.0,10.5,4.333333333333333,sl
2025_01_13,1736769840,20751.25,1736770205,20732.5,-1,18.75,34.5,24.0,1.25,6.083333333333333,trail
2025_01_13,1736770800,20761.75,1736771020,20779.25,1,17.5,32.0,23.5,0.75,3.6666666666666665,trail
2025_01_13,1736773500,20808.0,1736773680,20800.5,-1,7.5,12.0,12.75,4.5,3.0,trail
2025_01_13,1736774100,20811.5,1736774360,20814.25,1,2.75,2.5,10.75,5.0,4.333333333333333,trail
