strategy,condition,direction,horizon,n_trades,wr,avg_pnl,total_pnl,sharpe,median_pnl
vr > 0.3 → LONG,vr > 0.3,LONG,10,53547,49.517246531084844,-0.07583057874390722,-4060.5,-0.001401018929332232,0.0
vr < 0.3 → LONG,vr < 0.3,LONG,10,22777,49.26460903543048,-0.8595073978135839,-19577.0,-0.016167047036754947,-0.5
vr > 0.3 → SHORT,vr > 0.3,SHORT,10,53547,49.83098959792332,0.07583057874390722,4060.5,0.001401018929332232,0.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,10,22777,50.03731834745576,0.8595073978135839,19577.0,0.016167047036754947,0.5
vr > 0.3 → LONG,vr > 0.3,LONG,15,53542,49.62085839154309,-0.24491987598520787,-13113.5,-0.0037091808317794603,0.0
vr < 0.3 → LONG,vr < 0.3,LONG,15,22777,49.52364227071168,-0.9992975369890679,-22761.0,-0.015241435860335906,0.0
vr > 0.3 → SHORT,vr > 0.3,SHORT,15,53542,49.79455380822532,0.24491987598520787,13113.5,0.0037091808317794603,0.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,15,22777,49.85731220090442,0.9992975369890679,22761.0,0.015241435860335906,0.0
vr > 0.3 → LONG,vr > 0.3,LONG,20,53537,49.845900965687285,-0.349767450548219,-18725.5,-0.004585658526024259,0.0
vr < 0.3 → LONG,vr < 0.3,LONG,20,22777,50.08561267945735,-1.295319840189665,-29503.5,-0.01726073195443383,0.5
vr > 0.3 → SHORT,vr > 0.3,SHORT,20,53537,49.65724639034686,0.349767450548219,18725.5,0.004585658526024259,0.0
vr < 0.3 → SHORT,vr < 0.3,SHORT,20,22777,49.44900557580015,1.295319840189665,29503.5,0.01726073195443383,-0.5
vr > 0.5 → LONG,vr > 0.5,LONG,3,29261,50.05297153207341,0.5690851303783193,16652.0,0.017988228952939837,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,3,47070,48.84002549394519,-0.5036435096664542,-23706.5,-0.017550703705516153,0.0
vr > 0.5 → SHORT,vr > 0.5,SHORT,3,29261,48.77823724411333,-0.5690851303783193,-16652.0,-0.017988228952939837,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,3,47070,49.78330146590185,0.5036435096664542,23706.5,0.017550703705516153,0.0
vr > 0.5 → LONG,vr > 0.5,LONG,5,29259,50.264875764721964,0.7572200006835503,22155.5,0.01883809638641911,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,5,47070,48.86764393456554,-0.7187911620990015,-33833.5,-0.01934875279245016,-0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,5,29259,48.82600225571619,-0.7572200006835503,-22155.5,-0.01883809638641911,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,5,47070,50.20395156150415,0.7187911620990015,33833.5,0.01934875279245016,0.5
vr > 0.5 → LONG,vr > 0.5,LONG,10,29254,49.92821494496479,0.8543959800369181,24994.5,0.015465325791680265,0.0
vr < 0.5 → LONG,vr < 0.5,LONG,10,47070,49.1395793499044,-1.03318461865307,-48632.0,-0.019517264314511815,-0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,10,29254,49.4359745675805,-0.8543959800369181,-24994.5,-0.015465325791680265,0.0
vr < 0.5 → SHORT,vr < 0.5,SHORT,10,47070,50.17633312088379,1.03318461865307,48632.0,0.019517264314511815,0.5
vr > 0.5 → LONG,vr > 0.5,LONG,15,29254,50.03076502358652,0.8165720927052711,23888.0,0.012215523713500221,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,15,47065,49.3190268777223,-1.2697864655263997,-59762.5,-0.019451411061546714,-0.5
vr > 0.5 → SHORT,vr > 0.5,SHORT,15,29254,49.44622957544267,-0.8165720927052711,-23888.0,-0.012215523713500221,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,15,47065,50.04143206204186,1.2697864655263997,59762.5,0.019451411061546714,0.5
vr > 0.5 → LONG,vr > 0.5,LONG,20,29249,50.09743922869158,0.9557078874491436,27953.5,0.01236977694893242,0.5
vr < 0.5 → LONG,vr < 0.5,LONG,20,47065,49.80558801657283,-1.6186656751301391,-76182.5,-0.02157023103501367,0.0
vr > 0.5 → SHORT,vr > 0.5,SHORT,20,29249,49.41023624739307,-0.9557078874491436,-27953.5,-0.01236977694893242,-0.5
vr < 0.5 → SHORT,vr < 0.5,SHORT,20,47065,49.709975565707,1.6186656751301391,76182.5,0.02157023103501367,0.0
vr > 0.7 → LONG,vr > 0.7,LONG,3,14355,50.12887495646117,0.7218390804597701,10362.0,0.02145179860506438,0.5
vr < 0.7 → LONG,vr < 0.7,LONG,3,61976,49.11417322834646,-0.2810200722860462,-17416.5,-0.00972008566701677,0.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,3,14355,48.742598397770806,-0.7218390804597701,-10362.0,-0.02145179860506438,-0.5
vr < 0.7 → SHORT,vr < 0.7,SHORT,3,61976,49.54982573899574,0.2810200722860462,17416.5,0.00972008566701677,0.0
vr > 0.7 → LONG,vr > 0.7,LONG,5,14353,50.470284957848534,1.0979237790009058,15758.5,0.025927702468765728,0.5
vr < 0.7 → LONG,vr < 0.7,LONG,5,61976,49.156124951594165,-0.442695559571447,-27436.5,-0.011849110142939734,0.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,5,14353,48.61004668013656,-1.0979237790009058,-15758.5,-0.025927702468765728,-0.5
vr < 0.7 → SHORT,vr < 0.7,SHORT,5,61976,49.92255066477346,0.442695559571447,27436.5,0.011849110142939734,0.0
vr > 0.7 → LONG,vr > 0.7,LONG,10,14352,50.46683389074693,1.6998676142697882,24396.5,0.029236133091140856,0.5
vr < 0.7 → LONG,vr < 0.7,LONG,10,61972,49.20447944232879,-0.7750919770218808,-48034.0,-0.014684068339730131,-0.5
vr > 0.7 → SHORT,vr > 0.7,SHORT,10,14352,48.93394648829432,-1.6998676142697882,-24396.5,-0.029236133091140856,-0.5
vr < 0.7 → SHORT,vr < 0.7,SHORT,10,61972,50.11456786936036,0.7750919770218808,48034.0,0.014684068339730131,0.5
vr > 0.7 → LONG,vr > 0.7,LONG,15,14352,49.88154960981048,1.944920568561873,27913.5,0.027751042551720565,0.0
vr < 0.7 → LONG,vr < 0.7,LONG,15,61967,49.52474704278084,-1.0293866090015653,-63788.0,-0.01586830269744502,0.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,15,14352,49.609810479375696,-1.944920568561873,-27913.5,-0.027751042551720565,0.0
vr < 0.7 → SHORT,vr < 0.7,SHORT,15,61967,49.860409572837156,1.0293866090015653,63788.0,0.01586830269744502,0.0
vr > 0.7 → LONG,vr > 0.7,LONG,20,14348,49.756063562865904,1.9741078896013382,28324.5,0.024352321580758056,0.0
vr < 0.7 → LONG,vr < 0.7,LONG,20,61966,49.9548139302198,-1.2354113546138206,-76553.5,-0.016548617469381025,0.0
vr > 0.7 → SHORT,vr > 0.7,SHORT,20,14348,49.818790075271814,-1.9741078896013382,-28324.5,-0.024352321580758056,0.0
vr < 0.7 → SHORT,vr < 0.7,SHORT,20,61966,49.54329793757867,1.2354113546138206,76553.5,0.016548617469381025,0.0
vr > 1.0 → LONG,vr > 1.0,LONG,3,4508,52.107364685004434,2.28405057675244,10296.5,0.05930453312155089,1.0
vr < 1.0 → LONG,vr < 1.0,LONG,3,71823,49.12910905977194,-0.24157999526614038,-17351.0,-0.008265443582813994,0.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,3,4508,46.91659272404614,-2.28405057675244,-10296.5,-0.05930453312155089,-1.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,3,71823,49.5537641145594,0.24157999526614038,17351.0,0.008265443582813994,0.0
vr > 1.0 → LONG,vr > 1.0,LONG,5,4506,52.90723479804706,3.183422103861518,14344.5,0.06550025994343167,2.0
vr < 1.0 → LONG,vr < 1.0,LONG,5,71823,49.18340921431854,-0.36231430043300894,-26022.5,-0.009634262601932446,0.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,5,4506,46.29383044829117,-3.183422103861518,-14344.5,-0.06550025994343167,-2.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,5,71823,49.887918911769205,0.36231430043300894,26022.5,0.009634262601932446,0.0
vr > 1.0 → LONG,vr > 1.0,LONG,10,4506,52.17487794052374,4.259098979138926,19191.5,0.06479411446283334,2.5
vr < 1.0 → LONG,vr < 1.0,LONG,10,71818,49.270377899690885,-0.5963546743156312,-42829.0,-0.011253341219246841,-0.5
vr > 1.0 → SHORT,vr > 1.0,SHORT,10,4506,47.33688415446072,-4.259098979138926,-19191.5,-0.06479411446283334,-2.5
vr < 1.0 → SHORT,vr < 1.0,SHORT,10,71818,50.05291152635829,0.5963546743156312,42829.0,0.011253341219246841,0.5
vr > 1.0 → LONG,vr > 1.0,LONG,15,4506,51.95295162006214,6.415667998224589,28909.0,0.08150945480925144,3.0
vr < 1.0 → LONG,vr < 1.0,LONG,15,71813,49.4436940386838,-0.9021138234024481,-64783.5,-0.013882901146840192,0.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,15,4506,47.558810474922325,-6.415667998224589,-28909.0,-0.08150945480925144,-3.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,15,71813,49.95474357010569,0.9021138234024481,64783.5,0.013882901146840192,0.0
vr > 1.0 → LONG,vr > 1.0,LONG,20,4506,51.86418109187749,6.12294718153573,27590.0,0.06716150964562619,3.0
vr < 1.0 → LONG,vr < 1.0,LONG,20,71808,49.795287433155075,-1.0558572860962567,-75819.0,-0.014110206843250562,0.0
vr > 1.0 → SHORT,vr > 1.0,SHORT,20,4506,47.758544163337774,-6.12294718153573,-27590.0,-0.06716150964562619,-3.0
vr < 1.0 → SHORT,vr < 1.0,SHORT,20,71808,49.71033868092692,1.0558572860962567,75819.0,0.014110206843250562,0.0
vr > 1.3 → LONG,vr > 1.3,LONG,3,1402,52.42510699001427,1.9932239657631954,2794.5,0.04609257067385592,1.5
vr < 1.3 → LONG,vr < 1.3,LONG,3,74929,49.246620133726594,-0.1314444340642475,-9849.0,-0.00444774411766958,0.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,3,1402,46.64764621968616,-1.9932239657631954,-2794.5,-0.04609257067385592,-1.5
vr < 1.3 → SHORT,vr < 1.3,SHORT,3,74929,49.4494788399685,0.1314444340642475,9849.0,0.00444774411766958,0.0
vr > 1.3 → LONG,vr > 1.3,LONG,5,1402,51.711840228245364,2.7378744650499285,3838.5,0.0525454513841822,1.5
vr < 1.3 → LONG,vr < 1.3,LONG,5,74927,49.36004377594191,-0.20708823254634512,-15516.5,-0.005443101911876445,0.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,5,1402,47.71754636233951,-2.7378744650499285,-3838.5,-0.0525454513841822,-1.5
vr < 1.3 → SHORT,vr < 1.3,SHORT,5,74927,49.71238672307713,0.20708823254634512,15516.5,0.005443101911876445,0.0
vr > 1.3 → LONG,vr > 1.3,LONG,10,1402,53.067047075606276,5.169400855920114,7247.5,0.07305660624236401,3.0
vr < 1.3 → LONG,vr < 1.3,LONG,10,74922,49.37401564293532,-0.4122287178665812,-30885.0,-0.007709703424404136,0.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,10,1402,46.57631954350927,-5.169400855920114,-7247.5,-0.07305660624236401,-3.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,10,74922,49.95461947091642,0.4122287178665812,30885.0,0.007709703424404136,0.0
vr > 1.3 → LONG,vr > 1.3,LONG,15,1402,52.42510699001427,9.991084165477888,14007.5,0.11725039400699427,4.0
vr < 1.3 → LONG,vr < 1.3,LONG,15,74917,49.538822964080246,-0.6658301854051817,-49882.0,-0.010171347222366175,0.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,15,1402,47.146932952924395,-9.991084165477888,-14007.5,-0.11725039400699427,-4.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,15,74917,49.863181921326266,0.6658301854051817,49882.0,0.010171347222366175,0.0
vr > 1.3 → LONG,vr > 1.3,LONG,20,1402,52.63908701854494,10.46540656205421,14672.5,0.10294590101139281,4.0
vr < 1.3 → LONG,vr < 1.3,LONG,20,74912,49.866510038445114,-0.8396718816744981,-62901.5,-0.011146649469441902,0.0
vr > 1.3 → SHORT,vr > 1.3,SHORT,20,1402,47.00427960057061,-10.46540656205421,-14672.5,-0.10294590101139281,-4.0
vr < 1.3 → SHORT,vr < 1.3,SHORT,20,74912,49.64358180264844,0.8396718816744981,62901.5,0.011146649469441902,0.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,3,27220,48.2329169728141,-0.1677443056576047,-4566.0,-0.005392180700764494,-0.5
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,5,27220,48.18148420279206,-0.17351212343864805,-4723.0,-0.004296950730268008,-1.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,10,27220,48.4313005143277,-0.012876561351947098,-350.5,-0.0002256795763672392,-1.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,15,27220,48.61131520940485,0.3517634092578986,9575.0,0.005031255198239699,-1.0
dmi_diff < -5 → SHORT,dmi_diff < -5,SHORT,20,27218,48.83532956131971,0.8342089793518995,22705.5,0.010334819116951681,-1.0
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,3,31803,48.51743546206333,-0.16827028896644972,-5351.5,-0.005455250081869557,-0.5
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,5,31803,48.35078451718392,-0.2555576517938559,-8127.5,-0.006428951967051552,-0.5
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,10,31803,48.57088953872276,-0.19512310159418922,-6205.5,-0.0034641116186248915,-1.0
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,15,31801,48.8097858557907,0.16815508946259553,5347.5,0.0024372048928673652,-1.0
dmi_diff < -3 → SHORT,dmi_diff < -3,SHORT,20,31796,49.00301924770412,0.7033117373254497,22362.5,0.008822156301556569,-1.0
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,3,36469,48.679700567605366,-0.1358139789958595,-4953.0,-0.0044546148644426355,-0.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,5,36469,48.66599029312567,-0.20437906166881462,-7453.5,-0.005185436568094086,-0.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,10,36469,48.77293043406729,-0.2451122871479887,-8939.0,-0.004389464190000499,-1.0
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,15,36467,48.98675514849042,0.02336358899827241,852.0,0.0003418953731831958,-0.5
dmi_diff < -1 → SHORT,dmi_diff < -1,SHORT,20,36462,49.168997860786575,0.5424825846086336,19780.0,0.0068771008560712865,-0.5
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,3,35098,48.5868140634794,-0.2794888597640891,-9809.5,-0.009505488120228141,-0.5
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,5,35096,48.373033963984504,-0.480795532254388,-16874.0,-0.012817435305172181,-0.5
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,10,35091,48.45401954917215,-0.8078852127326095,-28349.5,-0.015527070654940385,-1.0
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,15,35089,48.90991478811023,-0.8415315340990054,-29528.5,-0.013247035234547386,-0.5
dmi_diff > 1 → LONG,dmi_diff > 1,LONG,20,35089,49.656587534554994,-0.6796146940636667,-23847.0,-0.009322713469113262,0.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,3,30248,48.29740809309707,-0.4032332716212642,-12197.0,-0.013885228948494081,-0.5
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,5,30246,48.14851550618264,-0.6445976327448257,-19496.5,-0.017328696051820774,-0.5
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,10,30241,48.318507985847035,-1.0649945438312225,-32206.5,-0.020661114381818085,-1.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,15,30241,48.54667504381469,-1.2328626698852552,-37283.0,-0.019624152903032033,-1.0
dmi_diff > 3 → LONG,dmi_diff > 3,LONG,20,30241,49.34691313117953,-1.0076386362884826,-30472.0,-0.013975092744438783,-0.5
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,3,25776,48.26582867783985,-0.40126474239602733,-10343.0,-0.013816136592528977,-0.5
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,5,25774,48.14929774191045,-0.6504617055947854,-16765.0,-0.01752304057647406,-0.5
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,10,25770,48.35079549864183,-1.158556461001164,-29856.0,-0.022479843334476543,-1.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,15,25770,48.45944897167249,-1.3104967015909972,-33771.5,-0.020942412240612076,-1.0
dmi_diff > 5 → LONG,dmi_diff > 5,LONG,20,25770,49.33643771827707,-1.0920062087698874,-28141.0,-0.015193068220016372,-0.5
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,3,66714,49.40492250502144,-0.03595946877716821,-2399.0,-0.0011629908666171928,0.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,3,9612,48.605909280066584,-0.48642322097378277,-4675.5,-0.023037027696035026,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,3,66714,49.34196720328567,0.03595946877716821,2399.0,0.0011629908666171928,0.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,3,9612,49.79192675821889,0.48642322097378277,4675.5,0.023037027696035026,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,5,66712,49.40340568413479,-0.10074649238517808,-6721.0,-0.0025319597876108193,0.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,5,9612,49.39658759883479,-0.5183104452767374,-4982.0,-0.019705157422047533,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,5,66712,49.69420793860175,0.10074649238517808,6721.0,0.0025319597876108193,0.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,5,9612,49.55264253017062,0.5183104452767374,4982.0,0.019705157422047533,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,10,66709,49.489574120433524,-0.261171655998441,-17422.5,-0.004681740681985785,0.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,10,9610,49.09469302809573,-0.6524973985431842,-6270.5,-0.017310200501354046,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,10,66709,49.88232472380039,0.261171655998441,17422.5,0.004681740681985785,0.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,10,9610,49.98959417273674,0.6524973985431842,6270.5,0.017310200501354046,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,15,66705,49.56150213627165,-0.45349673937485946,-30250.5,-0.006657617726020067,0.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,15,9609,49.78665834113852,-0.6009470288271412,-5774.5,-0.01260285474214533,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,15,66705,49.865827149389105,0.45349673937485946,30250.5,0.006657617726020067,0.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,15,9609,49.4640441252992,0.6009470288271412,5774.5,0.01260285474214533,0.0
vol_rel > 0.5 → LONG,vol_rel > 0.5,LONG,20,66701,49.960270460712735,-0.5525329455330504,-36854.5,-0.007048071443447391,0.0
vol_rel < 0.5 → LONG,vol_rel < 0.5,LONG,20,9608,49.614904246461286,-1.1988967527060783,-11519.0,-0.021526332652005847,0.0
vol_rel > 0.5 → SHORT,vol_rel > 0.5,SHORT,20,66701,49.570471207328225,0.5525329455330504,36854.5,0.007048071443447391,0.0
vol_rel < 0.5 → SHORT,vol_rel < 0.5,SHORT,20,9608,49.77102414654455,1.1988967527060783,11519.0,0.021526332652005847,0.0
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,3,29341,49.76994649125797,0.4092566715517535,12008.0,0.012255830661292955,0.0
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,3,46982,49.01451619769273,-0.4049529607083564,-19025.5,-0.014765573916175195,0.0
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,3,29341,48.934937459527625,-0.4092566715517535,-12008.0,-0.012255830661292955,0.0
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,3,46982,49.68924268868928,0.4049529607083564,19025.5,0.014765573916175195,0.0
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,5,29339,50.29482940795528,0.8271243055318859,24267.0,0.01956767434855414,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,5,46982,48.85062364309736,-0.7634306755778809,-35867.5,-0.021397863444678745,-0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,5,29339,48.863287773952756,-0.8271243055318859,-24267.0,-0.01956767434855414,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,5,46982,50.178791877740416,0.7634306755778809,35867.5,0.021397863444678745,0.5
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,10,29336,50.4226888464685,0.8665121352604309,25420.0,0.014870512257308675,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,10,46980,48.829289059174116,-1.0411558109833972,-48913.5,-0.020467755441693297,-0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,10,29336,48.950095445868556,-0.8665121352604309,-25420.0,-0.014870512257308675,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,10,46980,50.481055768412084,1.0411558109833972,48913.5,0.020467755441693297,0.5
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,15,29334,50.22158587304833,0.7997886411672462,23461.0,0.01133206498790678,0.5
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,15,46977,49.20067266960427,-1.2599889307533474,-59190.5,-0.020069573940328753,-0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,15,29334,49.20229085702598,-0.7997886411672462,-23461.0,-0.01133206498790678,-0.5
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,15,46977,50.19264746578113,1.2599889307533474,59190.5,0.020069573940328753,0.5
vol_rel > 1.0 → LONG,vol_rel > 1.0,LONG,20,29332,50.68525842083731,0.7678644483840175,22523.0,0.009511492707723824,1.0
vol_rel < 1.0 → LONG,vol_rel < 1.0,LONG,20,46974,49.44011580874526,-1.5039596372461361,-70647.0,-0.020678572270364362,-0.5
vol_rel > 1.0 → SHORT,vol_rel > 1.0,SHORT,20,29332,48.799945452066,-0.7678644483840175,-22523.0,-0.009511492707723824,-1.0
vol_rel < 1.0 → SHORT,vol_rel < 1.0,SHORT,20,46974,50.08941116362243,1.5039596372461361,70647.0,0.020678572270364362,0.5
