direction,entry_price,exit_price,entry_bar,exit_bar,bars_held,entry_ts,exit_ts,pnl_ticks,pnl,result,exit_reason,entry_p,exit_p,peak_mfe_ticks,day
SHORT,25030.25,25048.25,1119,1122,3,1772501880.0,1772502060.0,-72.0,-36.0,LOSS,dynamic_sl,0.26965139542349487,0.6913416353025151,16.0,2026-03-03
LONG,25048.25,25046.5,1122,1150,28,1772502060.0,1772503740.0,-7.0,-3.5,LOSS,conviction_collapse,0.6913416353025151,0.2842720460318525,109.0,2026-03-03
SHORT,25046.5,25028.5,1150,1210,60,1772503740.0,1772507340.0,72.0,36.0,WIN,conviction_collapse,0.2842720460318525,0.8336453524147913,318.0,2026-03-03
LONG,25028.5,25082.75,1210,1260,50,1772507340.0,1772510340.0,217.0,108.5,WIN,conviction_collapse,0.8336453524147913,0.2673447809689956,286.0,2026-03-03
SHORT,25082.75,25025.0,1260,1311,51,1772510340.0,1772513400.0,231.0,115.5,WIN,conviction_collapse,0.2673447809689956,0.7701298160809884,543.0,2026-03-03
LONG,25025.0,25012.5,1311,1326,15,1772513400.0,1772514300.0,-50.0,-25.0,LOSS,dynamic_sl,0.7701298160809884,0.343320249915621,151.0,2026-03-03
SHORT,25012.5,24968.25,1326,1435,109,1772514300.0,1772524440.0,177.0,88.5,WIN,conviction_collapse,0.343320249915621,0.7893431488399688,274.0,2026-03-03
LONG,24968.25,24960.25,1435,1449,14,1772524440.0,1772525280.0,-32.0,-16.0,LOSS,conviction_collapse,0.7893431488399688,0.29328673732317795,59.0,2026-03-03
SHORT,24960.25,24949.25,1449,1511,62,1772525280.0,1772529000.0,44.0,22.0,WIN,conviction_collapse,0.29328673732317795,0.7164297825834129,225.0,2026-03-03
LONG,24949.25,24931.75,1511,1529,18,1772529000.0,1772530080.0,-70.0,-35.0,LOSS,dynamic_sl,0.7164297825834129,0.23384209509413978,51.0,2026-03-03
SHORT,24931.75,24855.0,1529,1601,72,1772530080.0,1772534400.0,307.0,153.5,WIN,conviction_collapse,0.23384209509413978,0.7087842723086594,494.0,2026-03-03
LONG,24855.0,24846.5,1601,1630,29,1772534400.0,1772536140.0,-34.0,-17.0,LOSS,conviction_collapse,0.7087842723086594,0.19280300398765138,119.0,2026-03-03
SHORT,24846.5,24852.75,1630,1657,27,1772536140.0,1772537760.0,-25.0,-12.5,LOSS,conviction_collapse,0.19280300398765138,0.7230723561925329,166.0,2026-03-03
LONG,24852.75,24833.5,1657,1685,28,1772537760.0,1772539440.0,-77.0,-38.5,LOSS,dynamic_sl,0.7230723561925329,0.24385639903892925,107.0,2026-03-03
SHORT,24833.5,24826.25,1685,1750,65,1772539440.0,1772543340.0,29.0,14.5,WIN,conviction_collapse,0.24385639903892925,0.7145146052102215,163.0,2026-03-03
LONG,24826.25,24802.75,1750,1752,2,1772543340.0,1772543460.0,-94.0,-47.0,LOSS,dynamic_sl,0.7145146052102215,0.19663235031475546,11.0,2026-03-03
SHORT,24802.75,24822.0,1752,1758,6,1772543460.0,1772543820.0,-77.0,-38.5,LOSS,dynamic_sl,0.19663235031475546,0.5379607044865287,7.0,2026-03-03
SHORT,24810.25,24779.0,1761,1828,67,1772544000.0,1772548020.0,125.0,62.5,WIN,conviction_collapse,0.2905544497180081,0.7540978949740782,281.0,2026-03-03
LONG,24779.0,24765.5,1828,1843,15,1772548020.0,1772548920.0,-54.0,-27.0,LOSS,conviction_collapse,0.7540978949740782,0.29453073528731666,87.0,2026-03-03
SHORT,24765.5,24538.25,1843,2019,176,1772548920.0,1772559480.0,909.0,454.5,WIN,conviction_collapse,0.29453073528731666,0.7151938202155903,1086.0,2026-03-03
LONG,24538.25,24515.5,2019,2023,4,1772559480.0,1772559720.0,-91.0,-45.5,LOSS,dynamic_sl,0.7151938202155903,0.2664208877161743,12.0,2026-03-03
SHORT,24515.5,24472.5,2023,2058,35,1772559720.0,1772561820.0,172.0,86.0,WIN,conviction_collapse,0.2664208877161743,0.7276612342934854,374.0,2026-03-03
LONG,24472.5,24450.75,2058,2060,2,1772561820.0,1772561940.0,-87.0,-43.5,LOSS,dynamic_sl,0.7276612342934854,0.34334192297415767,5.0,2026-03-03
SHORT,24450.75,24470.25,2060,2061,1,1772561940.0,1772562000.0,-78.0,-39.0,LOSS,dynamic_sl,0.34334192297415767,0.7222803102487511,4.0,2026-03-03
LONG,24470.25,24446.5,2061,2067,6,1772562000.0,1772562360.0,-95.0,-47.5,LOSS,dynamic_sl,0.7222803102487511,0.33082193533820814,44.0,2026-03-03
SHORT,24446.5,24452.75,2067,2082,15,1772562360.0,1772563260.0,-25.0,-12.5,LOSS,conviction_collapse,0.33082193533820814,0.7397379090307894,215.0,2026-03-03
LONG,24452.75,24431.5,2082,2098,16,1772563260.0,1772564220.0,-85.0,-42.5,LOSS,dynamic_sl,0.7397379090307894,0.19400218691636859,125.0,2026-03-03
SHORT,24431.5,24452.5,2098,2100,2,1772564220.0,1772564340.0,-84.0,-42.0,LOSS,dynamic_sl,0.19400218691636859,0.4792215725636735,118.0,2026-03-03
SHORT,24439.0,24465.5,2101,2103,2,1772564400.0,1772564520.0,-106.0,-53.0,LOSS,dynamic_sl,0.2941412895108292,0.5834221404260393,40.0,2026-03-03
SHORT,24440.25,24463.75,2107,2125,18,1772564760.0,1772565840.0,-94.0,-47.0,LOSS,dynamic_sl,0.21417240013400593,0.6905935866613521,283.0,2026-03-03
LONG,24463.75,24561.25,2125,2224,99,1772565840.0,1772571780.0,390.0,195.0,WIN,conviction_collapse,0.6905935866613521,0.245375614482968,574.0,2026-03-03
SHORT,24561.25,24572.5,2224,2241,17,1772571780.0,1772572800.0,-45.0,-22.5,LOSS,conviction_collapse,0.245375614482968,0.7053117254046546,134.0,2026-03-03
LONG,24572.5,24544.0,2241,2244,3,1772572800.0,1772572980.0,-114.0,-57.0,LOSS,dynamic_sl,0.7053117254046546,0.2089425400265068,9.0,2026-03-03
SHORT,24544.0,24524.25,2244,2303,59,1772572980.0,1772576520.0,79.0,39.5,WIN,conviction_collapse,0.2089425400265068,0.8318662606153266,385.0,2026-03-03
LONG,24524.25,24521.75,2303,2329,26,1772576520.0,1772578080.0,-10.0,-5.0,LOSS,conviction_collapse,0.8318662606153266,0.2962718295195506,547.0,2026-03-03
SHORT,24521.75,24527.5,2329,2332,3,1772578080.0,1772578260.0,-23.0,-11.5,LOSS,dynamic_sl,0.2962718295195506,0.6167313025953797,137.0,2026-03-03
LONG,24551.75,24543.75,2334,2335,1,1772578380.0,1772578440.0,-32.0,-16.0,LOSS,dynamic_sl,0.6965765009488334,0.591027263738205,29.0,2026-03-03
SHORT,24517.75,24513.5,2337,2341,4,1772578560.0,1772578800.0,17.0,8.5,WIN,dynamic_sl,0.3423514685964049,0.6007602455563161,156.0,2026-03-03
LONG,24520.25,24494.0,2347,2348,1,1772579160.0,1772579220.0,-105.0,-52.5,LOSS,dynamic_sl,0.7661404596210567,0.5990303566704961,73.0,2026-03-03
LONG,24503.25,24468.25,2350,2357,7,1772579340.0,1772579760.0,-140.0,-70.0,LOSS,dynamic_sl,0.72318229894606,0.3152047409138506,195.0,2026-03-03
SHORT,24468.25,24427.75,2357,2372,15,1772579760.0,1772580660.0,162.0,81.0,WIN,conviction_collapse,0.3152047409138506,0.7469384713550734,470.0,2026-03-03
LONG,24427.75,24405.75,2372,2374,2,1772580660.0,1772580780.0,-88.0,-44.0,LOSS,dynamic_sl,0.7469384713550734,0.42712644695034707,49.0,2026-03-03
LONG,24441.5,24408.25,2377,2384,7,1772580960.0,1772581380.0,-133.0,-66.5,LOSS,dynamic_sl,0.7958903973390249,0.37122652319786015,123.0,2026-03-03
LONG,24429.75,24420.0,2387,2390,3,1772581560.0,1772581740.0,-39.0,-19.5,LOSS,dynamic_sl,0.659636623163024,0.519754147536257,72.0,2026-03-03
SHORT,24399.5,24409.75,2391,2393,2,1772581800.0,1772581920.0,-41.0,-20.5,LOSS,dynamic_sl,0.30097781310018745,0.531155819092475,33.0,2026-03-03
SHORT,24381.0,24403.5,2395,2397,2,1772582040.0,1772582160.0,-90.0,-45.0,LOSS,dynamic_sl,0.23630751145800302,0.6801785293504354,18.0,2026-03-03
LONG,24403.5,24442.0,2397,2401,4,1772582160.0,1772582400.0,154.0,77.0,WIN,end_of_day,0.6801785293504354,0.7813081370127124,202.0,2026-03-03
LONG,24442.0,24635.25,2401,2473,72,1772582400.0,1772586720.0,773.0,386.5,WIN,conviction_collapse,0.7813081370127124,0.26357716502817535,1132.0,2026-03-04
SHORT,24635.25,24655.75,2473,2475,2,1772586720.0,1772586840.0,-82.0,-41.0,LOSS,dynamic_sl,0.26357716502817535,0.5427946579696958,26.0,2026-03-04
SHORT,24635.25,24657.5,2477,2478,1,1772586960.0,1772587020.0,-89.0,-44.5,LOSS,dynamic_sl,0.2549986968234919,0.502733271164424,0.0,2026-03-04
LONG,24668.75,24652.25,2479,2481,2,1772587080.0,1772587200.0,-66.0,-33.0,LOSS,dynamic_sl,0.6588075630527243,0.33717313974400637,48.0,2026-03-04
SHORT,24652.25,24683.5,2481,2483,2,1772587200.0,1772587320.0,-125.0,-62.5,LOSS,dynamic_sl,0.33717313974400637,0.6794430370946942,38.0,2026-03-04
LONG,24683.5,24656.0,2483,2492,9,1772587320.0,1772587860.0,-110.0,-55.0,LOSS,dynamic_sl,0.6794430370946942,0.29268753031271916,116.0,2026-03-04
SHORT,24656.0,24688.25,2492,2504,12,1772587860.0,1772588580.0,-129.0,-64.5,LOSS,dynamic_sl,0.29268753031271916,0.8358233635479926,217.0,2026-03-04
LONG,24688.25,24666.5,2504,2507,3,1772588580.0,1772588760.0,-87.0,-43.5,LOSS,dynamic_sl,0.8358233635479926,0.5499524090691179,41.0,2026-03-04
LONG,24675.25,24648.75,2508,2514,6,1772588820.0,1772589180.0,-106.0,-53.0,LOSS,dynamic_sl,0.6758086370524914,0.36076794664442047,94.0,2026-03-04
SHORT,24636.0,24678.5,2515,2521,6,1772589240.0,1772589600.0,-170.0,-85.0,LOSS,dynamic_sl,0.29028439872337586,0.7603496098824966,48.0,2026-03-04
LONG,24678.5,24783.75,2521,2587,66,1772589600.0,1772593560.0,421.0,210.5,WIN,conviction_collapse,0.7603496098824966,0.23477625043891273,626.0,2026-03-04
SHORT,24783.75,24793.5,2587,2596,9,1772593560.0,1772594100.0,-39.0,-19.5,LOSS,conviction_collapse,0.23477625043891273,0.7176488560189378,214.0,2026-03-04
LONG,24793.5,24772.25,2596,2597,1,1772594100.0,1772594160.0,-85.0,-42.5,LOSS,dynamic_sl,0.7176488560189378,0.40975050691115955,4.0,2026-03-04
LONG,24792.5,24781.5,2601,2606,5,1772594400.0,1772594700.0,-44.0,-22.0,LOSS,dynamic_sl,0.7548869836090406,0.43943810259216753,42.0,2026-03-04
SHORT,24768.75,24810.75,2607,2618,11,1772594760.0,1772595420.0,-168.0,-84.0,LOSS,dynamic_sl,0.26538944942678283,0.9251540507987164,238.0,2026-03-04
LONG,24810.75,24774.25,2618,2634,16,1772595420.0,1772596380.0,-146.0,-73.0,LOSS,dynamic_sl,0.9251540507987164,0.3368491244345471,158.0,2026-03-04
SHORT,24774.25,24792.25,2634,2635,1,1772596380.0,1772596440.0,-72.0,-36.0,LOSS,dynamic_sl,0.3368491244345471,0.5644022862335163,22.0,2026-03-04
SHORT,24777.0,24818.0,2637,2642,5,1772596560.0,1772596860.0,-164.0,-82.0,LOSS,dynamic_sl,0.3388357788795831,0.8030025647337142,14.0,2026-03-04
LONG,24818.0,24794.25,2642,2643,1,1772596860.0,1772596920.0,-95.0,-47.5,LOSS,dynamic_sl,0.8030025647337142,0.6461330278867231,9.0,2026-03-04
LONG,24803.25,24774.0,2648,2655,7,1772597220.0,1772597640.0,-117.0,-58.5,LOSS,dynamic_sl,0.7620577271296625,0.2905354994499349,59.0,2026-03-04
SHORT,24774.0,24789.75,2655,2672,17,1772597640.0,1772598660.0,-63.0,-31.5,LOSS,dynamic_sl,0.2905354994499349,0.6353484905531658,131.0,2026-03-04
SHORT,24774.0,24806.0,2675,2676,1,1772598840.0,1772598900.0,-128.0,-64.0,LOSS,dynamic_sl,0.28461330400510465,0.7968295109393567,0.0,2026-03-04
LONG,24806.0,24776.0,2676,2678,2,1772598900.0,1772599020.0,-120.0,-60.0,LOSS,dynamic_sl,0.7968295109393567,0.31964913898132785,8.0,2026-03-04
SHORT,24776.0,24731.5,2678,2772,94,1772599020.0,1772608260.0,178.0,89.0,WIN,conviction_collapse,0.31964913898132785,0.7655032335405156,429.0,2026-03-04
LONG,24731.5,24715.25,2772,2787,15,1772608260.0,1772609160.0,-65.0,-32.5,LOSS,dynamic_sl,0.7655032335405156,0.546161304281828,113.0,2026-03-04
SHORT,24708.5,24724.75,2792,2801,9,1772609460.0,1772610000.0,-65.0,-32.5,LOSS,conviction_collapse,0.3479562675445275,0.7521640357162502,28.0,2026-03-04
LONG,24724.75,24702.5,2801,2820,19,1772610000.0,1772611140.0,-89.0,-44.5,LOSS,dynamic_sl,0.7521640357162502,0.13321531109152504,70.0,2026-03-04
SHORT,24702.5,24720.5,2820,2830,10,1772611140.0,1772611740.0,-72.0,-36.0,LOSS,conviction_collapse,0.13321531109152504,0.7599881590428565,102.0,2026-03-04
LONG,24720.5,24718.0,2830,2856,26,1772611740.0,1772613300.0,-10.0,-5.0,LOSS,conviction_collapse,0.7599881590428565,0.22949998279355924,335.0,2026-03-04
SHORT,24718.0,24739.75,2856,2868,12,1772613300.0,1772614020.0,-87.0,-43.5,LOSS,dynamic_sl,0.22949998279355924,0.5771749109400784,116.0,2026-03-04
LONG,24749.75,24728.75,2871,2887,16,1772614200.0,1772615160.0,-84.0,-42.0,LOSS,dynamic_sl,0.7681530682596643,0.36650860273084424,94.0,2026-03-04
SHORT,24714.75,24704.75,2888,2923,35,1772615220.0,1772617320.0,40.0,20.0,WIN,conviction_collapse,0.1982480851058322,0.7384781969475728,340.0,2026-03-04
LONG,24704.75,24676.25,2923,2927,4,1772617320.0,1772617560.0,-114.0,-57.0,LOSS,dynamic_sl,0.7384781969475728,0.3752629803430685,69.0,2026-03-04
SHORT,24662.0,24681.25,2929,2932,3,1772617680.0,1772617860.0,-77.0,-38.5,LOSS,dynamic_sl,0.22142436745921384,0.48778192715311797,58.0,2026-03-04
SHORT,24659.75,24677.0,2933,2936,3,1772617920.0,1772618100.0,-69.0,-34.5,LOSS,dynamic_sl,0.23096488580290092,0.5463703799230043,56.0,2026-03-04
SHORT,24651.75,24667.5,2942,2953,11,1772618460.0,1772619120.0,-63.0,-31.5,LOSS,dynamic_sl,0.23434467929821062,0.5410064151648449,73.0,2026-03-04
SHORT,24644.5,24654.5,2955,2961,6,1772619240.0,1772619600.0,-40.0,-20.0,LOSS,dynamic_sl,0.26450883401779424,0.4855737414937753,91.0,2026-03-04
SHORT,24647.5,24639.75,2965,2987,22,1772619840.0,1772621160.0,31.0,15.5,WIN,conviction_collapse,0.27495977960458856,0.7125658214271909,235.0,2026-03-04
LONG,24639.75,24629.25,2987,3001,14,1772621160.0,1772622000.0,-42.0,-21.0,LOSS,dynamic_sl,0.7125658214271909,0.26834381736272633,109.0,2026-03-04
SHORT,24629.25,24593.5,3001,3059,58,1772622000.0,1772625480.0,143.0,71.5,WIN,conviction_collapse,0.26834381736272633,0.7503179430281353,417.0,2026-03-04
LONG,24593.5,24584.25,3059,3092,33,1772625480.0,1772627460.0,-37.0,-18.5,LOSS,conviction_collapse,0.7503179430281353,0.2252545711418484,205.0,2026-03-04
SHORT,24584.25,24595.0,3092,3106,14,1772627460.0,1772628300.0,-43.0,-21.5,LOSS,dynamic_sl,0.2252545711418484,0.5030863809476014,72.0,2026-03-04
SHORT,24587.0,24607.25,3111,3121,10,1772628600.0,1772629200.0,-81.0,-40.5,LOSS,dynamic_sl,0.24242232333342048,0.6926378413717835,50.0,2026-03-04
LONG,24607.25,24578.25,3121,3123,2,1772629200.0,1772629320.0,-116.0,-58.0,LOSS,dynamic_sl,0.6926378413717835,0.21365705037283253,23.0,2026-03-04
SHORT,24578.25,24587.25,3123,3161,38,1772629320.0,1772631600.0,-36.0,-18.0,LOSS,conviction_collapse,0.21365705037283253,0.819438918106437,185.0,2026-03-04
LONG,24587.25,24562.5,3161,3181,20,1772631600.0,1772632800.0,-99.0,-49.5,LOSS,dynamic_sl,0.819438918106437,0.16125583719032116,122.0,2026-03-04
SHORT,24562.5,24557.5,3181,3212,31,1772632800.0,1772634660.0,20.0,10.0,WIN,conviction_collapse,0.16125583719032116,0.7322339104863282,256.0,2026-03-04
LONG,24557.5,24555.25,3212,3251,39,1772634660.0,1772637000.0,-9.0,-4.5,LOSS,conviction_collapse,0.7322339104863282,0.2537746161807799,132.0,2026-03-04
SHORT,24555.25,24572.75,3251,3262,11,1772637000.0,1772637660.0,-70.0,-35.0,LOSS,conviction_collapse,0.2537746161807799,0.7677848982309619,78.0,2026-03-04
LONG,24572.75,24640.5,3262,3313,51,1772637660.0,1772640720.0,271.0,135.5,WIN,conviction_collapse,0.7677848982309619,0.22713365287793216,420.0,2026-03-04
SHORT,24640.5,24669.0,3313,3315,2,1772640720.0,1772640840.0,-114.0,-57.0,LOSS,dynamic_sl,0.22713365287793216,0.6780333166406942,23.0,2026-03-04
LONG,24669.0,24652.5,3315,3316,1,1772640840.0,1772640900.0,-66.0,-33.0,LOSS,dynamic_sl,0.6780333166406942,0.41469907662842276,5.0,2026-03-04
LONG,24674.5,24643.25,3319,3321,2,1772641080.0,1772641200.0,-125.0,-62.5,LOSS,dynamic_sl,0.6779362502917037,0.24882228842020496,59.0,2026-03-04
SHORT,24643.25,24663.5,3321,3345,24,1772641200.0,1772642640.0,-81.0,-40.5,LOSS,dynamic_sl,0.24882228842020496,0.7003709318000789,127.0,2026-03-04
LONG,24663.5,24636.75,3345,3357,12,1772642640.0,1772643360.0,-107.0,-53.5,LOSS,dynamic_sl,0.7003709318000789,0.24125320476097037,58.0,2026-03-04
SHORT,24636.75,24657.25,3357,3363,6,1772643360.0,1772643720.0,-82.0,-41.0,LOSS,dynamic_sl,0.24125320476097037,0.43607345743257764,42.0,2026-03-04
SHORT,24653.75,24674.25,3365,3372,7,1772643840.0,1772644260.0,-82.0,-41.0,LOSS,dynamic_sl,0.2970568190483639,0.7450676614115207,128.0,2026-03-04
LONG,24674.25,24841.5,3372,3514,142,1772644260.0,1772652780.0,669.0,334.5,WIN,conviction_collapse,0.7450676614115207,0.1627412963886632,881.0,2026-03-04
SHORT,24841.5,24841.75,3514,3544,30,1772652780.0,1772654580.0,-1.0,-0.5,LOSS,conviction_collapse,0.1627412963886632,0.7357916733106199,160.0,2026-03-04
LONG,24841.75,24816.25,3544,3546,2,1772654580.0,1772654700.0,-102.0,-51.0,LOSS,dynamic_sl,0.7357916733106199,0.2896833363519487,12.0,2026-03-04
SHORT,24816.25,24828.25,3546,3555,9,1772654700.0,1772655240.0,-48.0,-24.0,LOSS,conviction_collapse,0.2896833363519487,0.7935559439084341,45.0,2026-03-04
LONG,24828.25,24799.25,3555,3557,2,1772655240.0,1772655360.0,-116.0,-58.0,LOSS,dynamic_sl,0.7935559439084341,0.2271631521830662,6.0,2026-03-04
SHORT,24799.25,24793.5,3557,3584,27,1772655360.0,1772656980.0,23.0,11.5,WIN,conviction_collapse,0.2271631521830662,0.7486131801891954,317.0,2026-03-04
LONG,24793.5,24776.75,3584,3586,2,1772656980.0,1772657100.0,-67.0,-33.5,LOSS,dynamic_sl,0.7486131801891954,0.48028781126188663,1.0,2026-03-04
SHORT,24759.5,24776.0,3593,3597,4,1772657520.0,1772657760.0,-66.0,-33.0,LOSS,dynamic_sl,0.24909364971811973,0.5995634817138279,6.0,2026-03-04
LONG,24783.0,24871.25,3598,3669,71,1772657820.0,1772662080.0,353.0,176.5,WIN,conviction_collapse,0.6736482186863734,0.24061649308709196,580.0,2026-03-04
SHORT,24871.25,24891.0,3669,3673,4,1772662080.0,1772662320.0,-79.0,-39.5,LOSS,dynamic_sl,0.24061649308709196,0.7131729849269689,12.0,2026-03-04
LONG,24891.0,24880.75,3673,3685,12,1772662320.0,1772663040.0,-41.0,-20.5,LOSS,conviction_collapse,0.7131729849269689,0.2814086351632404,82.0,2026-03-04
SHORT,24880.75,24934.5,3685,3691,6,1772663040.0,1772663400.0,-215.0,-107.5,LOSS,dynamic_sl,0.2814086351632404,0.9407111834039712,174.0,2026-03-04
LONG,24934.5,24907.0,3691,3696,5,1772663400.0,1772663700.0,-110.0,-55.0,LOSS,dynamic_sl,0.9407111834039712,0.8380347173426216,144.0,2026-03-04
LONG,24907.0,24884.0,3696,3697,1,1772663700.0,1772663760.0,-92.0,-46.0,LOSS,dynamic_sl,0.8380347173426216,0.7967450451796955,44.0,2026-03-04
LONG,24884.0,24863.75,3697,3701,4,1772663760.0,1772664000.0,-81.0,-40.5,LOSS,dynamic_sl,0.7967450451796955,0.33141613663241776,139.0,2026-03-04
SHORT,24863.75,24881.0,3701,3707,6,1772664000.0,1772664360.0,-69.0,-34.5,LOSS,dynamic_sl,0.33141613663241776,0.5627708343076417,201.0,2026-03-04
LONG,24907.25,24872.5,3709,3711,2,1772664480.0,1772664600.0,-139.0,-69.5,LOSS,dynamic_sl,0.7412471354299236,0.4268055925195264,129.0,2026-03-04
LONG,24899.5,25045.0,3712,3766,54,1772664660.0,1772667900.0,582.0,291.0,WIN,conviction_collapse,0.6761669108612547,0.23445830176059085,993.0,2026-03-04
SHORT,25045.0,25075.75,3766,3771,5,1772667900.0,1772668200.0,-123.0,-61.5,LOSS,dynamic_sl,0.23445830176059085,0.5893803213284396,32.0,2026-03-04
LONG,25083.5,25046.75,3772,3773,1,1772668260.0,1772668320.0,-147.0,-73.5,LOSS,dynamic_sl,0.6516893388919467,0.18307777391311178,1.0,2026-03-04
SHORT,25046.75,25080.75,3773,3775,2,1772668320.0,1772668440.0,-136.0,-68.0,LOSS,dynamic_sl,0.18307777391311178,0.6047147270313122,4.0,2026-03-04
