trade_id,day,time,dir,pnl,exit,held,peak,strategy,strategy_id,half_life,equity_after,nn_p_profit,nn_expected_pnl,nn_confidence,nn_dir_conf,nn_dur_conf,entry_z_1m,entry_dmi_1m,entry_vr_1m,exit_z_1m,exit_dmi_1m,exit_vr_1m
23,2026_01_06,01:35,short,3.0,max_hold,3,5.0,short_1,"('short', 1)",1.0,538.5,0.8303572258353232,10.411289362907409,0.30586879635733993,0.5133172869682312,0.18225710093975067,-0.9011469,23.956934,0.27716386,-1.5273567,14.259721,0.103714734
24,2026_01_06,01:39,short,1.0,max_hold,3,4.5,short_1,"('short', 1)",1.0,539.5,0.834488154053688,10.215972118377685,0.29653715475322134,0.4826813042163849,0.18217876553535461,-1.2588533,13.312837,0.100316465,-0.97233164,9.663126,0.07732404
25,2026_01_06,01:43,short,2.5,max_hold,3,3.0,short_1,"('short', 1)",1.0,542.0,0.8389075738191605,10.47854548931122,0.29647062966926424,0.4832422435283661,0.18188565969467163,-0.59245354,13.143831,0.07702083,-0.8138577,7.961571,0.06798001
26,2026_01_06,01:47,long,3.5,max_hold,3,4.0,long_1,"('long', 1)",1.0,545.5,0.8568388277292251,9.351746215820313,0.29879412525734267,0.48746228218078613,0.18314838409423828,-0.97275907,5.972149,0.07032813,0.88350475,4.6198874,0.077626966
27,2026_01_06,01:51,short,3.5,max_hold,3,4.0,short_1,"('short', 1)",1.0,549.0,0.8290400338172913,8.859365692138672,0.2972442379406695,0.4835270941257477,0.18272840976715088,0.5685745,5.3129745,0.06864248,-0.89715636,-2.1736794,0.06246093
28,2026_01_06,01:54,short,-1.5,envelope_decay,2,3.5,short_1,"('short', 1)",1.0,547.5,0.842412700355053,10.165833373069763,0.29890405183980984,0.4918253719806671,0.18165722489356995,1.6500701,1.8367127,0.07223889,1.6174786,2.0775285,0.08767725
29,2026_01_06,01:58,long,3.5,max_hold,3,8.0,long_1,"('long', 1)",1.0,551.0,0.8782281652092934,11.419985618591307,0.29949028672026834,0.493314266204834,0.1818200647830963,1.3289583,3.9920557,0.09576724,0.6115205,10.7567005,0.21531206
30,2026_01_06,02:02,short,-8.5,max_hold,3,0.0,short_1,"('short', 1)",1.0,542.5,0.8269214552640914,9.751492080688475,0.3030435752281126,0.5044456124305725,0.1820521503686905,0.42883727,9.016433,0.2197729,0.44038576,14.951211,0.29931223
31,2026_01_06,02:05,short,-7.5,envelope_decay,2,3.5,short_1,"('short', 1)",1.0,535.0,0.7874551847577096,6.8898372459411625,0.2995254653698783,0.488473504781723,0.18366503715515137,0.039173014,14.056436,0.26259384,1.0688516,15.976131,0.24081819
32,2026_01_06,02:09,short,13.0,max_hold,3,13.5,short_1,"('short', 1)",1.0,548.0,0.7765273153781891,6.802560977935791,0.2956158344413322,0.4763667583465576,0.1834484040737152,0.042185295,15.076832,0.2497247,-2.076004,3.4701083,0.277598
