tier,regime,n,mfe_mode,mfe_mean,mfe_p25,mfe_p50,mfe_p75,mfe_p90,pnl_mode,pnl_mean,capture
FADE_CALM,DOWN_SMOOTH,563,2.490740740740741,10.436944937833037,0.25,5.0,13.5,25.5,4.57112068965516,0.42451154529307283,0.04067392784206944
FADE_CALM,DOWN_CHOPPY,326,2.4558823529411766,8.70398773006135,0.0,5.0,12.0,21.25,2.8681818181818244,-0.4539877300613497,-0.05215859030837004
FADE_CALM,FLAT_SMOOTH,1186,2.4910714285714284,8.137858347386173,0.0,4.0,10.5,20.75,-0.775684931506845,0.5927487352445194,0.0728384188986168
FADE_CALM,FLAT_CHOPPY,2278,2.5,9.854038630377524,0.5,5.5,12.5,24.0,5.0,0.6997366110623354,0.07101013475888185
FADE_MOMENTUM,ALL,4355,2.4952380952380953,23.7060849598163,0.0,13.5,33.0,59.5,-2.4560041407867175,-0.04535017221584386,-0.0019130182099961256
FADE_MOMENTUM,UP_SMOOTH,583,2.491573033707865,25.81646655231561,1.0,14.5,33.5,60.400000000000034,21.44320843091336,5.12778730703259,0.19862467610125573
FADE_MOMENTUM,UP_CHOPPY,351,2.4952380952380953,27.574074074074073,0.0,13.5,31.5,68.0,-2.4560041407867175,-5.200854700854701,-0.18861393811024438
FADE_MOMENTUM,DOWN_SMOOTH,532,2.4841772151898733,26.232142857142858,0.0,14.5,34.125,65.30000000000007,-4.5,0.12969924812030076,0.004944287198595536
FADE_MOMENTUM,DOWN_CHOPPY,328,2.4722222222222223,21.503048780487806,0.0,14.0,33.625,58.0,0.7091194968553367,2.6310975609756095,0.12235927973911809
FADE_MOMENTUM,FLAT_SMOOTH,596,2.435483870967742,18.41275167785235,0.0,10.5,26.5,49.25,0.32683982683985846,-0.7709731543624161,-0.041871696737743755
FADE_MOMENTUM,FLAT_CHOPPY,1965,2.4888059701492535,23.678371501272263,0.0,14.0,34.0,60.30000000000007,-0.8989234449761057,-0.9333333333333333,-0.03941712517193948
FREIGHT_TRAIN,ALL,1,107.0,107.0,107.0,107.0,107.0,107.0,85.0,85.0,0.794392523364486
FREIGHT_TRAIN,FLAT_SMOOTH,1,107.0,107.0,107.0,107.0,107.0,107.0,85.0,85.0,0.794392523364486
KILL_SHOT,ALL,3524,2.4910714285714284,12.844353007945516,0.5,6.5,16.5,32.0,-0.7076359832636001,0.42565266742338254,0.033139284412385256
KILL_SHOT,UP_SMOOTH,579,2.4583333333333335,11.642487046632125,1.0,6.0,14.5,30.0,4.5,1.8765112262521588,0.1611778667853434
KILL_SHOT,UP_CHOPPY,287,2.4910714285714284,16.10801393728223,0.5,7.0,19.0,35.20000000000002,3.3016304347826235,2.710801393728223,0.16828898983344148
KILL_SHOT,DOWN_SMOOTH,341,2.4464285714285716,13.966275659824047,0.5,7.0,17.0,33.5,8.488636363636374,-0.41642228739002934,-0.029816272965879267
KILL_SHOT,DOWN_CHOPPY,231,2.4791666666666665,13.945887445887445,0.5,8.0,20.0,38.0,-1.291015625,1.1428571428571428,0.08194940245227379
KILL_SHOT,FLAT_SMOOTH,656,2.465909090909091,9.887957317073171,0.0,5.0,13.0,26.0,-0.11071428571426623,-1.419969512195122,-0.14360595082093577
KILL_SHOT,FLAT_CHOPPY,1430,2.44375,13.586713286713287,1.0,7.0,18.0,33.5,4.8215488215488165,0.3111888111888112,0.02290390653147357
RIDE_AGAINST,ALL,1508,2.495614035087719,74.54442970822281,15.5,44.5,96.5,168.64999999999998,34.263551779935256,-1.514920424403183,-0.02032238264257693
RIDE_AGAINST,UP_SMOOTH,285,2.495614035087719,71.90701754385965,14.0,37.5,85.5,149.99999999999997,-28.0,20.31578947368421,0.28252860663137086
RIDE_AGAINST,UP_CHOPPY,166,2.4916666666666667,85.4066265060241,16.125,53.0,105.875,176.75,-13.788352272727252,11.963855421686747,0.14008111444189736
RIDE_AGAINST,DOWN_SMOOTH,207,2.485169491525424,93.76086956521739,20.5,61.0,121.0,207.2000000000001,-68.68977732793519,22.908212560386474,0.24432593966561045
RIDE_AGAINST,DOWN_CHOPPY,103,2.46875,80.4126213592233,32.25,63.0,119.5,167.6,21.901204819277098,8.844660194174757,0.10999094476305464
RIDE_AGAINST,FLAT_SMOOTH,178,2.4913793103448274,52.28089887640449,11.5,37.25,79.0,117.65,-42.0,-7.792134831460674,-0.14904362776703203
RIDE_AGAINST,FLAT_CHOPPY,569,2.4921875,71.60808435852373,14.0,43.0,96.5,165.29999999999995,5.775095298602196,-25.178383128295255,-0.3516136949318935
RIDE_CALM,ALL,667,2.4986486486486488,61.5472263868066,17.0,38.5,79.5,129.2,28.36309523809524,21.832833583208394,0.3547330215336646
RIDE_CALM,UP_SMOOTH,311,2.4986486486486488,59.81350482315113,16.5,36.5,79.25,133.0,-33.780621572212056,24.186495176848876,0.4043651220298893
RIDE_CALM,UP_CHOPPY,161,2.4857954545454546,54.86024844720497,16.0,38.0,69.0,110.0,-10.569751381215468,14.369565217391305,0.26193037078969716
RIDE_CALM,DOWN_SMOOTH,195,2.4939759036144578,69.83333333333333,19.25,39.5,89.0,130.6,3.0,24.24102564102564,0.34712685882136957
RIDE_MOMENTUM,ALL,510,2.495614035087719,122.79411764705883,35.5,81.5,157.875,278.0,-16.891766630316255,50.00588235294118,0.4072335329341317
RIDE_MOMENTUM,UP_SMOOTH,202,2.495614035087719,119.69059405940594,38.375,78.25,155.125,266.6,-17.176792223572306,59.66831683168317,0.49852135249715646
RIDE_MOMENTUM,UP_CHOPPY,110,2.4916666666666667,123.0,33.625,83.25,145.75,258.70000000000005,-25.25967741935483,43.56818181818182,0.3542128603104213
RIDE_MOMENTUM,DOWN_SMOOTH,198,2.4939024390243905,125.8459595959596,34.25,86.5,166.875,293.2500000000001,-92.81489234449762,43.724747474747474,0.3474465736931875
