day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2025_12_03,-332.0,31,16,15,18,13,0,14,17,1425.5,14.880645161290321,360.0,-111.5,-982.0,650.0,0.41935483870967744,0.5806451612903226,0.45161290322580644,True,IS,Wednesday
2025_12_04,295.0,20,15,5,15,4,1,8,12,1165.0,19.531666666666666,171.5,-99.5,-303.0,584.5,0.2,0.75,0.4,False,IS,Thursday
2025_12_05,81.5,13,11,2,11,2,0,4,9,617.0,13.757692307692308,49.0,-97.0,-165.5,247.0,0.15384615384615385,0.8461538461538461,0.3076923076923077,False,IS,Friday
2025_12_08,-149.0,16,10,6,10,6,0,6,10,738.0,25.357291666666665,72.0,-83.5,-398.5,249.5,0.375,0.625,0.375,True,IS,Monday
2025_12_09,-495.5,22,11,11,11,11,0,11,11,708.5,19.859848484848484,42.5,-105.5,-719.5,224.0,0.5,0.5,0.5,True,IS,Tuesday
2025_12_10,-14.0,25,14,11,17,8,0,12,13,1464.5,17.221333333333334,129.0,-144.0,-628.5,614.5,0.32,0.68,0.48,True,IS,Wednesday
2025_12_11,382.0,31,22,9,23,8,0,14,17,1792.0,15.458602150537633,191.0,-70.5,-497.0,879.0,0.25806451612903225,0.7419354838709677,0.45161290322580644,False,IS,Thursday
2025_12_12,283.5,25,18,7,19,6,0,10,15,1491.0,15.888666666666666,207.0,-71.0,-372.5,656.0,0.24,0.76,0.4,False,IS,Friday
2025_12_15,-152.0,26,15,11,18,8,0,8,18,1092.0,11.430769230769231,108.0,-94.0,-578.0,426.0,0.3076923076923077,0.6923076923076923,0.3076923076923077,True,IS,Monday
2025_12_16,-452.5,50,28,22,32,18,0,27,23,2496.5,9.199,111.5,-120.0,-1278.0,825.5,0.36,0.64,0.54,True,IS,Tuesday
2025_12_17,-83.5,29,18,11,20,9,0,7,22,1391.5,13.03448275862069,104.0,-86.5,-653.5,570.0,0.3103448275862069,0.6896551724137931,0.2413793103448276,True,IS,Wednesday
2025_12_18,59.5,36,19,17,23,13,0,19,17,1785.5,9.924074074074074,303.0,-97.5,-885.5,945.0,0.3611111111111111,0.6388888888888888,0.5277777777777778,False,IS,Thursday
2025_12_19,152.5,9,6,3,5,3,1,5,4,477.0,21.01111111111111,82.5,-62.0,-158.5,288.5,0.3333333333333333,0.5555555555555556,0.5555555555555556,False,IS,Friday
2026_01_02,628.5,27,15,12,17,10,0,12,15,2208.5,7.353086419753087,480.0,-111.0,-767.0,1395.5,0.37037037037037035,0.6296296296296297,0.4444444444444444,False,OOS,Friday
2026_01_05,-187.0,17,10,7,10,7,0,6,11,712.5,16.912745098039213,97.5,-75.5,-455.0,268.0,0.4117647058823529,0.5882352941176471,0.35294117647058826,True,OOS,Monday
2026_01_06,118.0,10,7,3,8,2,0,6,4,495.0,18.994999999999997,58.0,-63.5,-123.5,241.5,0.2,0.8,0.6,False,OOS,Tuesday
