**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

close_time_utc,day,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,qty,pnl_points,pnl_usd,held_minutes,entry_reason,exit_reason
2026-04-25T20:19:06.7143346Z,2026-03-16,2026-03-16 13:58:00,2026-03-16 14:07:00,long,24931.7500,24919.0000,0,-12.7500,0.00,9.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7143346Z,2026-03-16,2026-03-16 14:07:00,2026-03-16 14:10:00,short,24919.0000,24960.7500,0,-41.7500,0.00,3.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7154636Z,2026-03-16,2026-03-16 14:10:00,2026-03-16 14:31:00,long,24960.7500,24932.7500,0,-28.0000,0.00,21.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7154636Z,2026-03-16,2026-03-16 14:31:00,2026-03-16 14:54:00,short,24932.7500,24875.0000,0,57.7500,0.00,23.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7154636Z,2026-03-16,2026-03-16 14:54:00,2026-03-16 15:06:00,long,24875.0000,24880.2500,0,5.2500,0.00,12.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7165216Z,2026-03-16,2026-03-16 15:06:00,2026-03-16 15:15:00,short,24880.2500,24910.7500,0,-30.5000,0.00,9.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7165216Z,2026-03-16,2026-03-16 15:15:00,2026-03-16 15:55:00,long,24910.7500,24915.2500,0,4.5000,0.00,40.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7175377Z,2026-03-16,2026-03-16 15:55:00,2026-03-16 16:09:00,short,24915.2500,24912.2500,0,3.0000,0.00,14.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7175377Z,2026-03-16,2026-03-16 16:09:00,2026-03-16 16:18:00,long,24912.2500,24881.2500,0,-31.0000,0.00,9.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7175377Z,2026-03-16,2026-03-16 16:18:00,2026-03-16 16:40:00,short,24881.2500,24872.5000,0,8.7500,0.00,22.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7185508Z,2026-03-16,2026-03-16 16:40:00,2026-03-16 17:41:00,long,24872.5000,24900.0000,0,27.5000,0.00,61.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7185508Z,2026-03-16,2026-03-16 17:41:00,2026-03-16 18:00:00,short,24900.0000,24904.0000,0,-4.0000,0.00,19.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7195657Z,2026-03-16,2026-03-16 18:00:00,2026-03-16 19:05:00,long,24904.0000,24911.5000,0,7.5000,0.00,65.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7195657Z,2026-03-16,2026-03-16 19:05:00,2026-03-16 19:11:00,short,24911.5000,25001.5000,0,-90.0000,0.00,6.00,FlipExitLong,FlipExitShort
2026-04-25T20:19:06.7195657Z,2026-03-16,2026-03-16 19:11:00,2026-03-16 19:13:00,long,25001.5000,24966.2500,0,-35.2500,0.00,2.00,FlipExitShort,FlipExitLong
2026-04-25T20:19:06.7205664Z,2026-03-16,2026-03-16 19:13:00,2026-03-16 20:09:00,short,24966.2500,24899.2500,0,67.0000,0.00,56.00,FlipExitLong,FlipExitShort
