day,confirm_ts,kind,direction,ext_price,alignment,dir_energy,sum_abs_z,entry_p,exit_p,mfe_pts,mae_pts,leg_pts,etd_pts,capture_pct,leg_minutes,15s_z_se,1m_z_se,5m_z_se,15m_z_se,1h_z_se,1D_z_se
2025_11_21,1763758020,low,1,24385.0,2,4.055045813322067,7.792952626943588,24426.75,24375.5,13.0,56.25,-51.25,64.25,-394.2307692307692,4.0,1.405979871749878,0.8841429948806763,-0.4051903188228607,-1.5398277044296265,1.4477839469909668,-2.11002779006958
2025_11_21,1763758260,high,-1,24427.0,0,2.1652332544326782,8.558289408683777,24375.5,24332.5,90.5,24.5,43.0,47.5,47.51381215469613,10.0,-1.5151735544204712,-1.228027105331421,0.7174493074417114,-1.5398277044296265,1.4477839469909668,-2.11002779006958
2025_11_21,1763758860,low,1,24288.0,2,5.074404358863831,7.661165650002658,24332.5,24317.25,22.5,24.75,-15.25,37.75,-67.77777777777777,9.0,1.6464649438858032,0.9298807382583618,-1.1668672561645508,-1.7975093126296997,0.010415608994662762,-2.11002779006958
2025_11_21,1763759400,high,-1,24348.75,0,1.2837493447586894,5.4802343575283885,24317.25,24340.25,14.5,25.75,-23.0,37.5,-158.6206896551724,25.0,1.166417121887207,0.10691661387681961,-0.2889479100704193,-1.7975093126296997,0.010415608994662762,-2.11002779006958
2025_11_23,1763939820,high,-1,24509.25,1,2.508800685405731,5.407969117164612,24473.25,24489.25,17.0,30.0,-16.0,33.0,-94.11764705882354,32.0,-1.0384979248046875,-1.118934988975525,1.5265040397644043,0.8596372604370117,0.12265938520431519,-0.7417355179786682
2025_11_24,1763943120,high,-1,24460.25,0,2.423892352730036,4.990086767822504,24434.5,24439.0,30.5,15.5,-4.5,35.0,-14.754098360655737,20.0,-1.0295255184173584,1.1890391111373901,-1.5366688966751099,0.3372069001197815,0.8442617058753967,0.05338463559746742
2025_11_24,1763944320,low,1,24408.5,0,0.6171833276748657,4.452878635376692,24439.0,24423.75,34.75,15.25,-15.25,50.0,-43.884892086330936,29.0,1.2871160507202148,1.571144700050354,-0.6171833276748657,0.0797882154583931,0.8442617058753967,0.05338463559746742
2025_11_24,1763946060,high,-1,24468.5,0,1.1194202937185764,4.40519392862916,24423.75,24457.25,9.25,33.5,-33.5,42.75,-362.1621621621622,6.0,-1.159873604774475,-2.1259000301361084,0.3369428515434265,0.4358864426612854,0.2932063639163971,0.05338463559746742
2025_11_24,1763946420,low,1,24416.75,0,0.4609204698354006,2.3475126828998327,24457.25,24447.0,25.75,17.25,-10.25,36.0,-39.80582524271845,31.0,-0.44564583897590637,1.1041147708892822,-0.01527463085949421,0.4358864426612854,0.2932063639163971,0.05338463559746742
2025_11_24,1763948280,high,-1,24476.5,0,1.0951242186129093,3.574215266853571,24447.0,24450.0,19.0,17.5,-3.0,22.0,-15.789473684210526,18.0,-0.7474826574325562,-1.7316083908081055,0.27703341841697693,0.47149980068206787,0.2932063639163971,0.05338463559746742
2025_11_24,1763949360,low,1,24430.0,0,0.8164535239338875,2.908364724367857,24450.0,24437.5,18.0,16.75,-12.5,30.5,-69.44444444444444,18.0,-0.5061498284339905,1.745320200920105,-0.032647497951984406,-0.2776561975479126,0.2932063639163971,0.05338463559746742
2025_11_24,1763950440,high,-1,24465.0,0,0.07033064216375351,3.8213912919163704,24437.5,24473.0,3.25,36.5,-35.5,38.75,-1092.3076923076924,5.0,-0.9303002953529358,-1.527730107307434,-1.0432826280593872,-0.2497476190328598,0.016946006566286087,0.05338463559746742
2025_11_24,1763950740,low,1,24434.25,0,2.7302839756011963,4.676286958158016,24473.0,24478.75,50.0,13.25,5.75,44.25,11.5,77.0,-1.4428189992904663,1.8756723403930664,-0.6815464496612549,-0.6059185266494751,0.016946006566286087,0.05338463559746742
2025_11_24,1763955360,high,-1,24520.5,0,0.416114654392004,7.012278880923986,24478.75,24462.25,47.25,23.75,16.5,30.75,34.92063492063492,67.0,-2.1731770038604736,-2.58134126663208,-1.8416459560394287,0.06347101181745529,0.2992590069770813,0.05338463559746742
2025_11_24,1763959380,low,1,24437.25,0,1.6250866055488586,3.966833498328924,24462.25,24481.0,49.5,17.5,18.75,30.75,37.878787878787875,92.0,0.07095163315534592,0.5972734093666077,1.6201372146606445,-1.3157447576522827,-0.3093418478965759,0.05338463559746742
2025_11_24,1763964900,high,-1,24510.25,0,0.05338463559746742,5.6215911246836185,24481.0,24487.25,30.75,14.75,-6.25,37.0,-20.32520325203252,56.0,-1.6204735040664673,-1.2898218631744385,-1.5376721620559692,-0.5440321564674377,-0.5762068033218384,0.05338463559746742
