**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

entry_index,exit_index,entry_price,exit_price,direction,pnl_ticks,pnl_dollars,hold_bars,label,entry_type,exit_type,timestamp,F_momentum,F_reversion,z_score,sigma,velocity,hurst,adx,dmi_plus,dmi_minus,dmi_diff,P_center,entropy,coherence,tunnel_prob,term_pid,volume_delta,net_force
126,140,21282.75,21264.0,SHORT,75.0,37.5,14,REAL,HIGH,LOW,1735779960.0,276.66343484808215,-5.194264069265046,0.9788423594113881,10.613075781453793,11.25,0.7044994092998461,40.88403492261836,44.89467704225273,14.177485322385694,30.71719171986704,0.5056443008950114,0.6741859366531201,0.556355601465873,0.9672116148412523,0.6158359954133537,261.0,270.53878704860523
140,145,21264.0,21299.0,LONG,140.0,70.0,5,REAL,LOW,HIGH,1735780800.0,101.09724951235813,1.835497835496426,-0.5190595319009104,7.072398145832824,5.5,0.7502923138843385,40.736206933474115,29.349743440297456,17.284151852056528,12.065591588240927,0.6992526247906997,0.6522815413302796,0.7492723128890886,0.9846478296874335,-0.12087740797314162,130.0,103.23968638635694
145,155,21299.0,21263.5,SHORT,142.0,71.0,10,REAL,HIGH,LOW,1735781100.0,-120.31530064534614,-1.0725108225105942,0.3497004391754732,6.133883188933761,-4.5,0.72687244549881,40.576288687673205,34.20521392843884,15.963464199099894,18.24174972933894,0.7464834928158408,0.6301786346995483,0.608871557411921,0.9899140177053253,-0.015254557434790511,-164.0,-121.60980813617269
155,159,21263.5,21309.0,LONG,182.0,91.0,4,REAL,LOW,HIGH,1735781700.0,-56.715635693532825,7.057359307358638,-1.7691165499868096,7.978399509530627,-2.5,0.8004548137662018,28.097900201115692,22.02051225678956,30.677965022412042,-8.657452765622484,0.17666941966798463,0.4295584875944136,0.6486583846786804,0.9052968683372664,-0.8320435349064699,-181.0,-4.830791524501009
159,169,21309.0,21287.25,SHORT,87.0,43.5,10,REAL,HIGH,LOW,1735781940.0,328.64687072406275,-8.126082251083062,1.701432828264583,9.5520459181118,7.25,0.5891859665469031,25.45297440280731,36.770810512010804,20.851232551307636,15.919577960703169,0.19718649963629023,0.4582232654576958,0.40693676675128243,0.9139223571889286,0.9138455307192871,433.0,293.2095631411864
169,174,21287.25,21313.5,LONG,105.0,52.5,5,REAL,LOW,HIGH,1735782540.0,-27.385888098407754,4.084956709955804,-0.9802424301922414,8.334584556097369,-2.75,0.866723505164173,18.866393517066395,21.836382875297108,25.282543434068796,-3.4461605587716875,0.5049716288834122,0.6740689264548512,0.6381304705429992,0.9671477000370603,-0.5768565552808159,-83.0,-22.366746146310536
174,179,21313.5,21287.75,SHORT,103.0,51.5,5,REAL,HIGH,LOW,1735782840.0,11.583482267606334,-0.468073593074223,0.10953378111737465,8.54665270018649,0.75,0.557555067783894,17.62609068519251,27.586316077046643,17.452842129756405,10.133473947290238,0.7829680010696138,0.6084725594677532,0.6440682667656669,0.9968989047934421,0.04090158636898831,0.0,10.967616680434622
179,186,21287.75,21308.0,LONG,81.0,40.5,7,REAL,LOW,HIGH,1735783140.0,19.51603126611095,2.356060606060055,-0.8758276657661018,5.380192241356449,1.0,0.530225978878965,14.892577252802408,20.433530080208588,24.763193902906657,-4.32966382269807,0.5544559238979545,0.6790589526551999,0.6978079780628827,0.9716896773170325,-0.3585856028429847,105.0,22.571056338791145
186,195,21308.0,21287.75,SHORT,81.0,40.5,9,REAL,HIGH,LOW,1735783560.0,182.25871638350856,-4.530844155844534,1.5522290225149362,5.837855226419639,9.5,0.687025428773875,11.561296058849864,27.681573430007777,18.811885707438474,8.869687722569303,0.2485300531009472,0.5202841217756906,0.5183535382973995,0.9298094528284312,1.026791983966965,112.0,167.70557916797588
195,207,21287.75,21325.5,LONG,151.0,75.5,12,REAL,LOW,HIGH,1735784100.0,-301.815877116498,3.7700216450211883,-1.8089863108748052,4.1681041170489,-8.5,0.7021320244817584,10.645567806173045,22.003416589214467,23.9560040356102,-1.9525874463957322,0.16538525711912236,0.41273915689657437,0.49074228171916146,0.8997136239821346,-1.2816141724719166,-148.0,-239.1161461152355
207,218,21325.5,21308.5,SHORT,68.0,34.0,11,REAL,HIGH,LOW,1735784820.0,1699.948838830265,-6.584415584415183,2.7046441046520453,4.868970060119812,15.5,0.39461343355328127,15.777634048854006,37.849507674687594,12.909709449427341,24.939798225260255,0.03200582249227028,0.12914109829275333,0.48892270124589854,0.5040604819329495,1.8043035331541533,534.0,1690.5856592089829
218,221,21308.5,21331.5,LONG,92.0,46.0,3,REAL,LOW,HIGH,1735785480.0,204.323441572983,0.4648268398268556,-0.1914818944534614,4.855047430500842,8.0,0.5720056549740782,25.732053933315054,28.365110609154463,15.68494911709438,12.680161492060083,0.7747356940472196,0.6137288718893518,0.61475407976537,0.9945564020667149,0.2079207599477331,124.0,204.95703941711932
221,234,21331.5,21315.0,SHORT,66.0,33.0,13,REAL,HIGH,LOW,1735785660.0,-45.43697399670956,-1.3041125541130896,0.5108183466380943,5.105973826883826,-1.0,0.3029439614099949,29.22094737196491,33.75856256371303,12.285716311247345,21.472846252465683,0.7019281281872003,0.6512075389414779,0.48075403271142386,0.9849136990897024,0.1556887938999963,-232.0,-47.04297320120818
234,239,21315.0,21326.25,LONG,45.0,22.5,5,REAL,LOW,HIGH,1735786440.0,-87.4291416118331,5.679112554111271,-2.140172136736782,5.307154930790261,-4.0,0.3126706297320309,30.213640891703765,22.759286888337687,23.90365031685189,-1.144363428514204,0.09274786285081166,0.28263869627925176,0.5351497389143298,0.8324862000515991,-1.0827915852251762,-116.0,-3.3440790401397464
239,246,21326.25,21310.25,SHORT,64.0,32.0,7,REAL,HIGH,LOW,1735786740.0,-82.34331504852632,0.21374458874379343,-0.14485957210574382,2.951059231181013,-3.0,0.34105822291478577,24.224498461379206,22.8475285660959,21.67186164329614,1.1756669227997598,0.7799643325907479,0.6104148166139217,0.7388767445520112,0.9958926082688202,-0.18454544930792938,-81.0,-81.97318731743374
246,250,21310.25,21321.0,LONG,43.0,21.5,4,REAL,LOW,HIGH,1735787160.0,-52.959630259539765,1.1347402597402834,-0.7008212780928224,3.2383156596737614,-1.75,0.5126669008845989,21.52755029619106,16.209717538715374,30.52667464346354,-14.316957104748166,0.6316990386978789,0.6724112869296885,0.6558986560848042,0.9784504816710995,-0.3808481542812365,-98.0,-51.370930308026814
250,256,21321.0,21308.0,SHORT,52.0,26.0,6,REAL,HIGH,LOW,1735787400.0,49.012264320064226,-1.6195887445883272,0.9665718312275687,3.3512020364413306,2.25,0.4472517715542065,19.359534057712704,22.096425868387794,23.432903396567358,-1.3364775281795644,0.5115320868209038,0.675151816155019,0.6067852460060738,0.9677680599158597,0.6015955594800031,73.0,46.49474688953091
256,268,21308.0,21339.75,LONG,127.0,63.5,12,REAL,LOW,HIGH,1735787760.0,53.09822447283738,-0.8030303030318464,0.6460527771041759,2.4859588302717195,1.0,0.6430827282265711,19.84278147098509,14.1530470543717,27.573240559169,-13.4201935047973,0.6536563074414178,0.6673370482387647,0.5998245573235327,0.9803922066621618,0.4170219288411412,132.0,51.893913217440264
268,287,21339.75,21294.5,SHORT,181.0,90.5,19,REAL,HIGH,LOW,1735788480.0,28.051398658020744,-2.868506493507084,1.3667196467513956,4.197651654932069,0.75,0.5037387463494225,22.970333416227955,35.59893815761897,13.118359442559541,22.480578715059426,0.3235171885834149,0.589745009201115,0.675404134522764,0.9450834201123118,0.5990896555375729,157.0,21.394630097319066
287,294,21294.5,21313.5,LONG,76.0,38.0,7,REAL,LOW,HIGH,1735789620.0,0.0,1.5925324675336014,-1.3150643056185358,2.4219841732903844,0.0,0.7944808385431312,29.83284665402947,9.305878486419132,41.009201785104814,-31.70332329868568,0.34630768360545733,0.6064787891715602,0.5915873858976721,0.9486707977216186,-0.5192983527987893,-183.0,4.610684125806539
294,296,21313.5,21303.75,SHORT,39.0,19.5,2,REAL,HIGH,LOW,1735790040.0,3.347145668433489,-4.602813852814506,1.6655446973031063,5.527097363724316,0.25,0.6868473991562029,26.11774533502672,22.29446264774703,26.392279788137838,-4.097817140390809,0.20876811572169496,0.4733797481924924,0.7513180725071379,0.918106076858851,0.7620492255913808,74.0,-22.34724722791097
296,301,21303.75,21317.75,LONG,56.0,28.0,5,REAL,LOW,HIGH,1735790160.0,-13.750379687377249,-1.5178571428587018,0.5565629873467937,5.454394838918482,-0.75,0.5026362423333584,24.948855417741687,19.114635485631077,30.06947708166974,-10.954841596038662,0.6866230392427183,0.6570650874632219,0.6013850617637013,0.9834231856314156,0.23522432194171738,-100.0,-15.5996462170449
301,305,21317.75,21301.0,SHORT,67.0,33.5,4,REAL,HIGH,LOW,1735790460.0,24.12318841980389,-2.3906926406943967,1.1090601735636432,4.311204563432477,1.0,0.6165476750655566,20.963106433195765,24.06095759209927,21.42729085633135,2.633666735767921,0.44277899764342654,0.6572562201762367,0.6750627616504374,0.9608573651175621,0.5220228627655915,104.0,20.338193645285205
305,309,21301.0,21316.25,LONG,61.0,30.5,4,REAL,LOW,HIGH,1735790700.0,-144.55869071764906,4.865800865800338,-2.344646008176334,4.150563324981377,-6.0,0.49003325762083655,19.790961207408664,16.736937344868238,31.916984213234002,-15.180046868365764,0.06360314086818764,0.21626371970068628,0.41863176442772665,0.7603424623055746,-1.352310544561851,-100.0,-120.06093136387139
309,322,21316.25,21287.0,SHORT,117.0,58.5,13,REAL,HIGH,LOW,1735790940.0,30.28693807102763,-1.1845238095247623,0.6915778171129485,3.425569126753254,1.25,0.5924479925118443,19.18962895852217,21.7527000562546,24.162154279162362,-2.409454222907762,0.6354916261675678,0.6716355282067149,0.45282282199241386,0.9787832827591758,0.4031268106359528,83.0,28.65796541286509
322,341,21287.0,21328.0,LONG,164.0,82.0,19,REAL,LOW,HIGH,1735791720.0,-9.808094396865949,3.7121212121219287,-1.574436119398933,4.715492951900891,-0.25,0.6035111157106859,28.84885821421484,10.58786410555796,38.80912992346167,-28.221265817903706,0.24035924023039296,0.5112623012094848,0.5047585313544777,0.9276796952129213,-0.6838201425389119,-185.0,5.388830021713568
341,348,21328.0,21318.75,SHORT,37.0,18.5,7,REAL,HIGH,LOW,1735792860.0,578.859851516958,-0.30032467532510054,0.22706402868971928,2.645286239816446,8.75,0.691513189703382,23.616770863686693,29.70584680191781,13.814625825157952,15.89122097675986,0.7697849833629061,0.616788680726956,0.527724826710208,0.9935287080800465,0.48304409681688065,175.0,578.3804075995911
348,353,21318.75,21335.5,LONG,67.0,33.5,5,REAL,LOW,HIGH,1735793280.0,-90.35525387157281,3.3133116883109324,-1.9314523790515086,3.4309017651659865,-2.0,0.7590017179567995,24.4269278908848,23.301370388936267,18.72776349693357,4.573606892002697,0.13431353067957474,0.3621269221707042,0.6953722029239854,0.8797676701675545,-1.0155619592268825,-155.0,9.837663194936425
353,362,21335.5,21320.75,SHORT,59.0,29.5,9,REAL,HIGH,LOW,1735793580.0,-25.017988273283933,-1.452922077922267,0.9565575659856473,3.0378141987203042,-0.5,0.7189532555112023,24.519838134112728,32.67088665108541,14.61625743801074,18.05462921307467,0.5163260196440563,0.6758611440968099,0.46831101255107377,0.9682173183884417,0.3909746112474263,-152.0,-27.34345662386227
362,379,21320.75,21355.0,LONG,137.0,68.5,17,REAL,LOW,HIGH,1735794120.0,-19.255534707044763,1.1829004328992596,-0.843606679284073,2.804388495129338,-0.75,0.7304267379619573,16.065315618551818,25.958046223163585,24.069203388927157,1.8888428342364278,0.5693309497038789,0.6791387100266094,0.7692253752687268,0.9730072236435569,-0.46991649393658386,-72.0,-17.43011839928827
379,392,21355.0,21340.5,SHORT,58.0,29.0,13,REAL,HIGH,LOW,1735795140.0,-61.32505931709775,-2.234848484849863,1.0953224047803705,4.080713541686359,-1.75,0.7525196790196942,30.928964433745346,39.27078077485868,8.49391880825988,30.7768619665988,0.44940465214879627,0.6596201548753174,0.6123395334487846,0.9615699189959142,0.33577037810450827,-143.0,-64.8924847034185
392,400,21340.5,21365.0,LONG,98.0,49.0,8,REAL,LOW,HIGH,1735795920.0,15.428287263080385,2.1304112554116728,-1.0191812972710388,4.180632555004816,1.5,0.6917878137854494,33.18371239960869,25.63993259934225,16.931262191237973,8.708670408104275,0.4862076858807996,0.6702516790933862,0.7193864692093987,0.9653340303220501,-0.39802676675491905,43.0,18.607408125021543
400,421,21365.0,21362.5,SHORT,10.0,5.0,21,REAL,HIGH,LOW,1735796400.0,590.4707554165086,-3.365800865800338,1.7679590613238425,3.807555208071432,5.75,0.5910079580389189,37.76805216831781,40.39926703046601,11.454434989834606,28.9448320406314,0.17700583158706887,0.43004807500272896,0.5865544851006169,0.9054531081886342,1.0677917602810414,391.0,542.6482195310978
421,428,21362.5,21373.5,LONG,44.0,22.0,7,REAL,LOW,HIGH,1735797660.0,-93.2783547959189,3.6206709956695704,-2.137533124894678,3.3877098356994777,-4.0,0.3124163302449469,42.047235327273754,23.65134892640618,20.865259705621934,2.7860892207842447,0.09319276979677053,0.28357478279719034,0.5952991046609868,0.8332205809711826,-1.18755224483838,-79.0,-10.301979935566749
428,433,21373.5,21364.25,SHORT,37.0,18.5,5,REAL,HIGH,LOW,1735798080.0,27.58410091360486,-0.7045454545459506,0.6560085372630248,2.1479764805666397,0.75,0.428681425185667,32.83590776985333,23.21214496524351,14.575096631703977,8.637048333539534,0.649759323256213,0.6683405494601098,0.7079781561206214,0.9800445017939822,0.392152783733703,79.0,26.469327545260626
433,440,21364.25,21382.5,LONG,73.0,36.5,7,REAL,LOW,HIGH,1735798380.0,-21.7035796894089,-0.005952380952294334,0.00615180830189713,1.9351646410889314,-0.5,0.6535179442360708,30.363901329993556,22.645990938178304,16.41824649798821,6.227744440190094,0.7869733536946898,0.6058387861290307,0.7186380247728084,0.999826178521621,-0.07282644911824035,0.0,-21.835533702442675
440,449,21382.5,21356.0,SHORT,106.0,53.0,9,REAL,HIGH,LOW,1735798800.0,-109.8505016292008,-2.197510822510594,1.476438325311232,2.9767729336711177,-3.0,0.6520067959107405,34.039222414902625,33.92391155590714,8.948447762266433,24.975463793640706,0.27776067905208596,0.5501272573589527,0.4594903428227079,0.9365550376919909,0.4134027454950236,-109.0,-118.56194625626675
449,454,21356.0,21389.5,LONG,134.0,67.0,5,REAL,LOW,HIGH,1735799340.0,128.97815556771025,3.956709956710256,-1.417580978702454,5.582340643893131,6.0,0.5259062994518492,31.14865885070915,18.648769175064356,32.39552378225944,-13.746754607195083,0.30182913633385855,0.5720004814089364,0.5063411212147924,0.9412948751796023,-0.4010988836402512,120.0,137.7526689110403
454,458,21389.5,21378.25,SHORT,45.0,22.5,4,REAL,HIGH,LOW,1735799640.0,-69.16164528166175,-4.055735930736773,1.0645213275055292,7.619830295444611,-4.25,0.46170325110017,28.577614292753996,32.489861174637916,18.076116779593214,14.413744395044702,0.4642877012087115,0.6644264520059839,0.41380832362795866,0.963129273637189,0.36814729041018385,-124.0,-74.42415397807918
458,465,21378.25,21393.0,LONG,59.0,29.5,7,REAL,LOW,HIGH,1735799880.0,-49.38595683853261,-0.3566017316024954,0.08894503901750923,8.018473779797809,-4.5,0.48722214422238713,26.92227434944625,26.196698797679943,20.684530750568282,5.512168047111661,0.7843355387019835,0.6075789515024465,0.7261729407545228,0.9974835252826881,-0.07710299994559022,-88.0,-49.88563189294426
465,465,21393.0,21379.5,SHORT,54.0,27.0,0,REAL,HIGH,LOW,1735800300.0,266.27048313423376,-0.17965367965371115,0.052690592954136334,6.8191936959254855,6.75,0.6171943852857226,23.28772825563985,33.868171269710004,15.60370922409145,18.264462045618554,0.7860554502236967,0.606446794777221,0.7618039767150993,0.9985105292311153,0.15786502303297228,269.0,265.95558876575484
465,475,21379.5,21396.75,LONG,69.0,34.5,10,REAL,LOW,HIGH,1735800300.0,266.27048313423376,-0.17965367965371115,0.052690592954136334,6.8191936959254855,6.75,0.6171943852857226,23.28772825563985,33.868171269710004,15.60370922409145,18.264462045618554,0.7860554502236967,0.606446794777221,0.7618039767150993,0.9985105292311153,0.15786502303297228,269.0,265.95558876575484
475,485,21396.75,21380.0,SHORT,67.0,33.5,10,REAL,HIGH,LOW,1735800900.0,72.08360352157553,-1.6601731601749636,1.2867877833893888,2.580337148992945,1.0,0.522205906550682,23.233688744936007,28.794896416581757,14.902196636731263,13.892699779850494,0.3590764949070634,0.6150279313890418,0.559628656253869,0.9505331623226108,0.6180959822325526,186.0,67.74096106337
485,500,21380.0,21383.25,LONG,13.0,6.5,15,REAL,LOW,HIGH,1735801500.0,0.0,3.4496753246748995,-1.9902972032626844,3.4664926615179517,0.0,0.4750859155923751,24.285408711083875,21.175162177493277,23.9178480013941,-2.742685823900821,0.12121834048886905,0.3386916662370298,0.3962348881674964,0.8683901552392187,-0.8529347076044314,115.0,103.44054153238471
500,513,21383.25,21360.75,SHORT,90.0,45.0,13,REAL,HIGH,LOW,1735802400.0,7.016286889313207,-1.9329004329010786,1.2190367609628459,3.1711930186164254,0.25,0.49098509309894256,17.616711173077356,21.004728866986692,23.558032563150775,-2.5533036961640825,0.39039053288176223,0.633573812531493,0.4965698249646403,0.9547317441001827,0.6511575045600435,89.0,3.027094543689222
513,517,21360.75,21375.5,LONG,59.0,29.5,4,REAL,LOW,HIGH,1735803180.0,-217.75469525234274,4.114718614719095,-2.061545695708481,3.9918771854387747,-4.75,0.42344617123477085,18.699154840367463,14.539320956751197,35.411987945609745,-20.872666988858548,0.10684760879057627,0.3113369241698212,0.417819489431422,0.8527012575604763,-1.1547157143959164,-183.0,-115.91813904338045
517,525,21375.5,21346.0,SHORT,118.0,59.0,8,REAL,HIGH,LOW,1735803420.0,0.0,-0.57521645021734,0.30629865706554815,3.755918852064985,0.0,0.4169098671159235,20.728688780684724,20.58964236675115,27.47632412923327,-6.8866817624821195,0.7558196954992732,0.6250131446223108,0.4990081001076777,0.9912082276374418,0.18965223143519,-108.0,-0.7806146127390041
525,531,21346.0,21362.0,LONG,64.0,32.0,6,REAL,LOW,HIGH,1735803900.0,-713.0559228461498,5.390692640690759,-2.255458598027107,4.780129988115146,-8.5,0.4203831696747535,24.94159720250862,13.033436641679039,45.400640797968876,-32.36720415628984,0.07508799344422255,0.24369339952017097,0.4131877100357148,0.7959111610543996,-1.3101704899244768,-401.0,-670.1713187414459
531,557,21362.0,21391.5,SHORT,-118.0,-59.0,26,FAKEOUT,HIGH,LOW,1735804260.0,-30.611478761302337,-1.9788961038957498,0.760777846847456,5.202296865230723,-1.75,0.41920884826826366,31.812275985252597,18.3803173514549,31.55903214472028,-13.178714793265382,0.6063177576534806,0.6765215639581921,0.5199497291062068,0.976237357057998,0.30344629556345376,-91.0,-33.11310358062904
557,588,21391.5,21374.5,LONG,-68.0,-34.0,31,FAKEOUT,LOW,HIGH,1735805820.0,-257.17950900419436,12.49567099566957,-2.285248377844802,10.9359412454362,-7.5,0.6436562857788511,39.2024843363189,30.516791826662924,25.38729384415395,5.129497982508973,0.0710544308858989,0.2342660106577379,0.47046947779763,0.7848308854655975,-1.1481946286061564,-375.0,-214.57215488961708
588,594,21374.5,21356.25,SHORT,73.0,36.5,6,REAL,HIGH,LOW,1735807680.0,36.32247606348968,-3.562229437229689,0.7701725801573434,9.250470684121055,1.75,0.7679846357753162,21.019253572414605,26.79555149411944,22.99289923877279,3.8026522553466506,0.6022264703798177,0.677008000943339,0.6608616579513518,0.9758815432306992,0.35274282060282297,192.0,32.22551123679512
594,596,21356.25,21383.75,LONG,110.0,55.0,2,REAL,LOW,HIGH,1735808040.0,-8.895647539210788,4.969155844155466,-1.4375238685208611,6.913493338052849,-0.5,0.7121141317452419,15.313078305004534,21.491530638438515,23.526673329635496,-2.035142691196981,0.29354570419209275,0.5647374282671025,0.5795371598728334,0.9397337651705817,-0.7010417443040884,-123.0,1.393906398731528
596,603,21383.75,21350.25,SHORT,134.0,67.0,7,REAL,HIGH,LOW,1735808160.0,375.15172704482444,-2.9843073593092413,0.8668742236759127,6.885214204788598,7.0,0.630160676217038,15.268096147408171,29.896297778924158,19.8046073708798,10.091690408044357,0.5586125876879843,0.6791468883591525,0.4918913684841904,0.9720594714921478,0.5682380200691872,369.0,371.4847811259708
603,617,21350.25,21405.5,LONG,221.0,110.5,14,REAL,LOW,HIGH,1735808580.0,-335.8281353196722,9.274350649349799,-2.22988214417178,8.318242893320683,-9.25,0.7096634067304679,14.250842482361438,19.32117114686,26.13141869891464,-6.810247552054641,0.07871773179524831,0.25199841768825787,0.48786682384179697,0.8048476504431539,-1.2544254156981975,-302.0,-281.40360450717753
617,621,21405.5,21383.5,SHORT,88.0,44.0,4,REAL,HIGH,LOW,1735809420.0,-6.353712127058376,-0.3555194805194333,0.08366179388080805,8.498968621828444,-0.5,0.6835623130532508,18.203345511295524,26.326042405046373,15.108841952122319,11.217200452924054,0.7846408613135925,0.6073786432549201,0.8073838134710696,0.9976333614136969,-0.04169020345388364,-108.0,-6.851126527046307
621,633,21383.5,21398.25,LONG,59.0,29.5,12,REAL,LOW,HIGH,1735809660.0,-162.5735919441452,8.711038961038867,-2.0087728985269266,8.672995307161747,-7.5,0.5043772764038249,16.65326042978995,20.799239565618795,23.950150390207202,-3.150910824588408,0.11733945444111525,0.3314841429143294,0.5536678779739861,0.8645361284325239,-1.0924647306824316,-188.0,-53.869304478812154
633,639,21398.25,21361.25,SHORT,148.0,74.0,6,REAL,HIGH,LOW,1735810380.0,31.309305817110815,-2.3755411255406216,0.9883926057232553,4.806877574326493,1.75,0.5030228040350384,12.354023689924265,20.501823874809546,21.85763352559653,-1.3558096507869841,0.5010526093434289,0.6733600060384718,0.6974171776174994,0.9667738847429997,0.5610653139597788,0.0,27.977035579883218
639,648,21361.25,21400.0,LONG,155.0,77.5,9,REAL,LOW,HIGH,1735810740.0,-60.4754467458011,4.612554112552971,-1.5939786891189889,5.787472748587856,-1.25,0.6111521756870737,16.472072525951265,14.073158433147624,35.10651575851368,-21.033357325366055,0.2333201089450831,0.5032411439626245,0.4526468595241759,0.9257429115776319,-0.720808563352694,-280.0,-42.864730760614144
648,654,21400.0,21379.75,SHORT,81.0,40.5,6,REAL,HIGH,LOW,1735811280.0,-49.86396115602368,-3.3284632034647075,0.7903350470800872,8.422916877498471,-5.0,0.5379341074281299,13.891004206389605,22.537486063772445,18.977990661251752,3.5594954025206924,0.5933505779066873,0.6778950746965625,0.7305338873748183,0.9751091263015194,0.2553717271260742,-84.0,-53.75419377760624
654,660,21379.75,21411.0,LONG,125.0,62.5,6,REAL,LOW,HIGH,1735811640.0,-114.58012315051154,4.028138528137788,-1.0561661524515973,7.62785006655928,-4.75,0.7457591217984246,11.615001128592814,17.76306761392244,25.263032573496584,-7.499964959574143,0.4683283228343391,0.665611914600933,0.6009795909556438,0.9635434650114302,-0.6660704860073587,-184.0,-109.37660405287963
660,673,21411.0,21359.5,SHORT,206.0,103.0,13,REAL,HIGH,LOW,1735812000.0,256.216291326021,-4.73755411255479,1.4263672675383396,6.642825056874699,5.75,0.4884957826196598,12.442209722379346,32.30933804281607,17.35049590356868,14.958842139247391,0.2981638663303005,0.5688204530689887,0.5041961711534596,0.9406125654177738,0.8238734798023543,296.0,246.44745366604616
673,682,21359.5,21392.0,LONG,130.0,65.0,9,REAL,LOW,HIGH,1735812780.0,-321.69805986345926,8.948051948051216,-1.976192191707216,9.055851941527072,-10.75,0.3716848950757195,16.433417159177896,15.544353569791053,39.10112252198209,-23.55676895219104,0.12425344959527156,0.34424456503932194,0.5301605311538055,0.8712384541766999,-1.0939239740328104,-271.0,-212.88477150948256
682,685,21392.0,21376.25,SHORT,63.0,31.5,3,REAL,HIGH,LOW,1735813320.0,68.57482578464159,-5.744047619047706,1.3967981020385876,8.224592531539711,6.0,0.4972753340786272,18.30737323131098,23.702697560882072,24.55577419716268,-0.8530766362806084,0.31059593314950446,0.5793921430753091,0.6839393639561715,0.9428754607217118,0.7803002272193328,94.0,58.47303416583455
