**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,n_1m_bars,session_range_pts,p90_bar_range_pts,mean_bar_range_pts,median_bar_range_pts,realized_vol_pts,max_1m_move_pts,max_drawdown_pts,ts,dow
2025_02_11,1380,201.75,11.025000000000034,5.894565217391304,4.75,3.996014382588169,25.0,146.75,1739232000.0,Tuesday
2025_02_12,1380,388.75,15.025000000000034,7.111594202898551,4.75,8.18994688780185,233.75,334.25,1739318400.0,Wednesday
2025_02_13,1380,371.0,14.25,7.3570652173913045,5.5,5.54254589082746,59.25,164.25,1739404800.0,Thursday
2025_02_14,1320,181.5,10.5,5.694696969696969,4.75,3.6742572781263743,17.5,114.0,1739491200.0,Friday
2025_02_16,60,44.0,8.05,5.1375,4.5,2.6996015112324323,10.0,27.25,1739664000.0,Sunday
2025_02_17,1140,89.75,5.525000000000034,3.3333333333333335,2.75,2.224809187962886,13.25,86.25,1739750400.0,Monday
2025_02_18,1380,217.0,11.25,5.547826086956522,4.0,4.18404418491805,30.75,206.5,1739836800.0,Tuesday
2025_02_19,1380,181.75,10.75,5.399094202898551,4.0,3.8790748699677686,28.0,165.5,1739923200.0,Wednesday
2025_02_20,1380,278.75,13.25,6.265398550724638,4.25,4.799823222886479,34.5,255.25,1740009600.0,Thursday
2025_02_21,1320,593.5,16.775000000000034,7.4096590909090905,4.25,5.696485552589026,30.75,585.25,1740096000.0,Friday
2025_02_23,60,97.25,16.300000000000004,8.441666666666666,7.0,5.764848806180044,24.0,23.0,1740268800.0,Sunday
2025_02_24,1380,446.5,16.525000000000034,8.406521739130435,6.25,6.220477878908716,53.25,442.0,1740355200.0,Monday
2025_02_25,1380,461.5,22.25,10.654891304347826,8.0,7.984287983764007,46.0,446.75,1740441600.0,Tuesday
2025_02_26,1380,345.0,20.5,9.840217391304348,6.5,8.533843063619665,117.25,336.75,1740528000.0,Wednesday
2025_02_27,1380,804.0,25.775000000000034,11.945833333333333,8.5,8.830930531282071,77.0,789.5,1740614400.0,Thursday
2025_02_28,1320,484.0,26.25,13.624242424242425,10.25,10.649382981196215,70.25,280.25,1740700800.0,Friday
2025_03_02,60,87.0,20.350000000000005,12.691666666666666,11.375,7.594350513652709,24.0,77.5,1740873600.0,Sunday
2025_03_03,1380,803.25,29.5,13.52463768115942,9.5,9.894071129296455,68.25,765.25,1740960000.0,Monday
2025_03_04,1380,657.25,32.5,16.908695652173915,12.75,12.051501804760443,83.25,480.25,1741046400.0,Tuesday
2025_03_05,1380,510.5,30.75,15.580072463768117,11.75,11.678168457042608,142.75,405.0,1741132800.0,Wednesday
2025_03_06,1380,645.75,29.25,13.950905797101449,10.75,10.2413151968117,69.25,633.75,1741219200.0,Thursday
2025_03_07,1320,520.75,31.525000000000034,14.839204545454546,9.5,11.452042787679837,107.5,476.5,1741305600.0,Friday
2025_03_09,120,216.5,27.025000000000002,15.027083333333334,12.25,10.217156574523488,35.75,158.5,1741478400.0,Sunday
2025_03_10,1380,927.25,28.25,14.415579710144927,11.25,9.988318704503602,58.0,913.5,1741564800.0,Monday
2025_03_11,1380,547.5,34.5,17.318478260869565,13.0,12.750603570444383,84.0,378.75,1741651200.0,Tuesday
2025_03_12,1380,401.75,27.0,12.605978260869565,9.0,9.965119945851832,149.5,351.0,1741737600.0,Wednesday
2025_03_13,1380,528.25,26.5,13.498188405797102,10.5,9.609231767529844,53.5,514.5,1741824000.0,Thursday
2025_03_14,1260,408.25,19.0,10.287698412698413,8.25,7.243239902784872,53.75,158.75,1741910400.0,Friday
2025_03_16,120,136.5,18.275000000000002,9.970833333333333,8.25,6.13383069242623,22.5,120.25,1742083200.0,Sunday
2025_03_17,1380,404.75,18.75,9.229891304347825,7.0,6.376328460610743,37.0,198.25,1742169600.0,Monday
2025_03_18,1380,427.75,20.0,9.317028985507246,6.5,6.995479595621504,63.5,415.75,1742256000.0,Tuesday
2025_03_19,1380,480.25,19.0,9.020289855072464,6.5,7.08233185318562,77.5,180.5,1742342400.0,Wednesday
2025_03_20,1379,368.0,18.75,9.083575054387238,6.75,7.227542947597579,44.25,340.75,1742428800.0,Thursday
2025_03_21,802,348.75,10.5,5.670822942643391,4.5,5.278856283091815,48.75,305.0,1742515200.0,Friday
2025_04_01,1380,432.0,21.0,11.467934782608696,9.5,8.315835728761975,52.5,254.25,1743465600.0,Tuesday
2025_04_02,1377,1227.75,28.25,14.940268700072622,10.75,15.797865488691286,202.75,1190.25,1743552000.0,Wednesday
2025_04_03,1380,585.5,28.75,17.267572463768115,15.25,11.391322723090145,70.5,570.5,1743638400.0,Thursday
2025_04_04,1260,1326.25,52.25,25.77777777777778,20.25,19.231923300543635,105.75,1302.5,1743724800.0,Friday
2025_04_06,120,673.75,102.825,51.75416666666667,37.875,36.73698174353968,196.25,323.25,1743897600.0,Sunday
2025_04_07,1380,1880.0,73.52500000000003,42.57300724637681,34.25,35.13530763381548,321.25,1133.75,1743984000.0,Monday
2025_04_08,1380,1487.0,45.75,24.840760869565216,20.5,16.703294326146242,121.5,1457.5,1744070400.0,Tuesday
2025_04_09,1380,2653.0,70.30000000000007,37.97626811594203,29.0,31.84663155486222,438.5,527.5,1744156800.0,Wednesday
2025_04_10,1380,1418.0,58.025000000000034,28.502717391304348,21.0,21.218169334819226,137.75,1374.0,1744243200.0,Thursday
2025_04_11,1260,801.5,46.0,27.87361111111111,25.125,18.544146247222677,102.75,488.5,1744329600.0,Friday
2025_04_13,120,328.25,30.150000000000013,20.439583333333335,16.25,15.006401783400733,102.0,154.5,1744502400.0,Sunday
2025_04_14,1380,517.25,29.025000000000034,14.692391304347826,11.0,10.600251644490273,64.5,511.25,1744588800.0,Monday
2025_04_15,1380,452.25,24.0,12.496557971014493,9.75,10.719661465861202,226.75,435.25,1744675200.0,Tuesday
2025_04_16,1380,744.75,25.25,14.145471014492754,11.5,11.346050553213866,182.0,733.25,1744761600.0,Wednesday
2025_04_17,1260,390.75,27.550000000000068,14.193452380952381,11.25,10.166780748903808,55.0,372.75,1744848000.0,Thursday
2025_04_20,120,164.75,17.200000000000017,10.785416666666666,7.75,7.233440699961643,29.25,91.75,1745107200.0,Sunday
2025_04_21,1380,674.0,19.25,10.325905797101449,8.75,6.881875834858373,40.25,662.0,1745193600.0,Monday
2025_04_22,1380,852.0,21.275000000000034,11.569746376811594,9.25,12.05559895242231,324.75,283.5,1745280000.0,Tuesday
2025_04_23,1380,541.5,27.25,13.816304347826087,9.5,11.02426831678181,155.0,427.5,1745366400.0,Wednesday
2025_04_24,1380,841.0,19.525000000000034,11.391666666666667,9.75,7.507316613205049,51.0,270.0,1745452800.0,Thursday
2025_04_25,1260,374.75,22.0,12.251190476190477,10.0,8.771150707221548,57.25,265.0,1745539200.0,Friday
2025_04_27,120,91.75,15.75,9.5125,8.5,6.26800844589679,22.75,66.25,1745712000.0,Sunday
2025_04_28,1380,365.0,19.25,9.284782608695652,7.0,6.855114908159604,49.25,353.75,1745798400.0,Monday
2025_04_29,1380,313.25,19.25,9.960507246376812,8.0,7.025033245205848,41.0,244.0,1745884800.0,Tuesday
2025_04_30,1380,833.75,23.25,11.694565217391304,8.25,9.543455342387368,75.5,502.5,1745971200.0,Wednesday
2025_05_01,1380,377.0,19.0,10.121557971014493,7.75,7.458874135892427,93.25,368.5,1746057600.0,Thursday
2025_05_02,1260,522.5,18.0,10.359722222222222,8.75,7.335951375243968,90.5,128.75,1746144000.0,Friday
2025_05_04,120,147.25,13.350000000000009,8.922916666666667,7.875,5.490481810291773,17.0,108.5,1746316800.0,Sunday
2025_05_05,1380,225.0,14.525000000000034,8.257789855072463,6.75,5.62335871517538,32.5,186.75,1746403200.0,Monday
2025_05_06,1380,398.0,18.0,10.039130434782608,8.0,8.190657986639254,110.5,279.0,1746489600.0,Tuesday
2025_05_07,1380,428.5,23.0,11.055978260869566,7.75,9.1600781802584,97.0,410.75,1746576000.0,Wednesday
2025_05_08,1380,412.25,18.0,9.61268115942029,7.25,6.768626001908712,57.75,273.0,1746662400.0,Thursday
2025_05_09,1260,232.5,17.0,8.963888888888889,7.0,6.439274010050345,80.0,209.0,1746748800.0,Friday
2025_05_11,120,129.0,19.25,12.3125,10.125,7.1606618184445825,22.25,76.75,1746921600.0,Sunday
2025_05_12,1380,554.5,18.025000000000034,9.652898550724638,7.75,8.419742530209163,182.25,273.5,1747008000.0,Monday
2025_05_13,1380,528.75,13.25,7.584963768115942,6.25,5.475553891521771,59.5,95.25,1747094400.0,Tuesday
2025_05_14,1380,182.75,14.25,7.6418478260869565,6.0,5.590329370767301,39.0,129.75,1747180800.0,Wednesday
2025_05_15,1380,337.5,15.25,8.031340579710145,6.5,5.719195739738816,36.25,213.75,1747267200.0,Thursday
2025_05_16,1260,193.0,13.25,7.105952380952381,5.75,5.15399482704198,33.0,174.0,1747353600.0,Friday
2025_05_18,120,131.0,15.025000000000002,8.529166666666667,6.5,6.574767038677526,31.75,37.5,1747526400.0,Sunday
2025_05_19,1380,448.75,14.5,8.46394927536232,7.25,5.750393053830555,48.75,252.0,1747612800.0,Monday
2025_05_20,1380,264.25,13.75,7.797282608695652,6.5,5.3995830226300185,36.75,246.75,1747699200.0,Tuesday
2025_05_21,1380,486.75,20.25,9.746557971014493,7.0,7.5599537806366195,57.75,479.75,1747785600.0,Wednesday
2025_05_22,1380,298.5,18.0,9.389492753623188,7.25,7.05610344383818,51.75,197.5,1747872000.0,Thursday
2025_05_23,1260,504.0,23.275000000000034,11.395238095238096,8.375,9.19319296424742,78.75,482.75,1747958400.0,Friday
2025_05_25,120,271.5,22.97500000000002,13.064583333333333,9.5,9.58042162419177,51.0,57.75,1748131200.0,Sunday
2025_05_26,1140,140.75,9.5,5.582017543859649,4.75,3.880337391352546,23.75,85.75,1748217600.0,Monday
2025_05_27,1380,346.25,11.5,6.861231884057971,5.75,4.571871948837387,37.0,147.5,1748304000.0,Tuesday
2025_05_28,1380,456.0,14.0,7.445289855072463,5.5,5.875513050003252,74.5,221.25,1748390400.0,Wednesday
2025_05_29,1380,557.75,19.0,10.182789855072464,8.5,7.310264045017751,62.75,540.5,1748476800.0,Thursday
2025_05_30,1260,361.75,19.525000000000034,10.77063492063492,8.25,8.094904077182145,70.25,339.0,1748563200.0,Friday
2025_06_01,120,71.75,11.050000000000004,6.729166666666667,5.75,4.357108417001235,17.5,67.75,1748736000.0,Sunday
2025_06_02,1380,413.75,14.775000000000034,8.589673913043478,7.0,6.635911210139977,64.5,212.25,1748822400.0,Monday
2025_06_03,1380,361.5,12.0,6.833695652173913,5.75,4.938243344078578,40.0,117.0,1748908800.0,Tuesday
2025_06_04,1380,161.75,12.0,6.4981884057971016,5.0,4.754413557581509,40.75,128.25,1748995200.0,Wednesday
2025_06_05,1380,465.25,19.5,9.33713768115942,6.25,7.765450496291269,90.5,433.5,1749081600.0,Thursday
2025_06_06,1260,336.0,14.5,8.12281746031746,6.75,5.646959355166105,59.25,130.0,1749168000.0,Friday
2025_06_08,120,94.25,11.75,7.0375,6.375,4.301878809083844,15.5,79.25,1749340800.0,Sunday
2025_06_09,1380,176.0,9.75,5.633333333333334,4.75,3.8435398868250066,22.5,84.25,1749427200.0,Monday
2025_06_10,1380,270.0,14.0,7.486413043478261,6.0,5.424711136496211,36.25,222.25,1749513600.0,Tuesday
2025_06_11,1380,303.75,16.75,8.34855072463768,6.0,6.838234996486953,115.75,272.5,1749600000.0,Wednesday
2025_06_12,1380,261.0,14.0,7.8952898550724635,6.75,5.56329209928091,60.25,188.25,1749686400.0,Thursday
2025_06_13,1260,385.25,22.25,12.859920634920634,10.5,8.515645549447068,55.25,282.5,1749772800.0,Friday
2025_06_15,120,197.25,23.85000000000001,13.539583333333333,10.375,9.887612128137784,49.0,58.0,1749945600.0,Sunday
2025_06_16,1380,336.75,12.75,7.259057971014493,6.0,5.264658521501751,46.25,202.75,1750032000.0,Monday
2025_06_17,1380,268.25,15.275000000000034,8.8643115942029,7.5,5.847527978805608,33.25,261.0,1750118400.0,Tuesday
2025_06_18,1380,212.75,15.25,7.782789855072464,6.0,6.273576947181111,50.25,193.0,1750204800.0,Wednesday
2025_06_19,1137,292.75,12.349999999999994,6.715919085312225,5.5,6.037500094816449,78.25,285.75,1750291200.0,Thursday
2025_06_20,789,269.0,9.75,5.025031685678074,4.0,5.109700777855559,35.5,83.0,1750377600.0,Friday
2025_07_01,1380,321.25,13.525000000000034,6.628804347826087,5.0,4.998964543576709,44.5,309.0,1751328000.0,Tuesday
2025_07_02,1380,278.25,10.5,5.723913043478261,4.75,4.149184359332051,39.0,188.75,1751414400.0,Wednesday
2025_07_03,1155,274.25,9.0,5.023593073593074,3.75,3.864916414694073,45.75,66.25,1751500800.0,Thursday
2025_07_04,1020,168.5,8.5,4.868627450980392,4.125,3.345887874968573,20.5,158.75,1751587200.0,Friday
2025_07_06,120,84.25,13.550000000000004,7.758333333333334,5.5,4.7455830224841,18.25,50.75,1751760000.0,Sunday
2025_07_07,1380,222.5,12.75,7.066847826086956,5.75,5.292458246482683,40.75,214.5,1751846400.0,Monday
2025_07_08,1380,131.0,10.75,5.967934782608696,4.75,4.256258824675993,40.25,126.0,1751932800.0,Tuesday
2025_07_09,1380,268.0,10.5,5.586775362318841,4.5,4.10187395030659,28.25,180.0,1752019200.0,Wednesday
2025_07_10,1380,188.75,9.0,5.022101449275362,4.0,3.7071867155909106,29.0,165.75,1752105600.0,Thursday
2025_07_11,1260,215.5,13.275000000000034,7.354563492063492,6.25,5.04601179675316,41.5,175.25,1752192000.0,Friday
2025_07_13,120,87.0,14.75,8.264583333333333,6.25,5.260864956620863,23.0,43.25,1752364800.0,Sunday
2025_07_14,1380,262.75,9.25,5.290579710144928,4.25,3.800034039699934,35.25,101.75,1752451200.0,Monday
2025_07_15,1380,249.0,12.5,6.855797101449276,5.5,4.995795940989054,40.25,241.5,1752537600.0,Tuesday
2025_07_16,1380,264.25,14.0,7.048369565217391,4.75,6.165646221210993,58.25,233.25,1752624000.0,Wednesday
2025_07_17,1380,271.5,9.025000000000034,5.098550724637681,4.25,3.565328475922199,21.0,83.0,1752710400.0,Thursday
2025_07_18,1260,150.5,10.0,4.869246031746032,3.5,3.632943396487876,24.25,134.25,1752796800.0,Friday
2025_07_20,120,58.0,6.025000000000002,3.6979166666666665,3.0,2.0534400546857903,7.0,14.25,1752969600.0,Sunday
2025_07_21,1380,201.5,7.25,3.9307971014492753,3.0,2.9492064726063054,29.25,93.0,1753056000.0,Monday
2025_07_22,1380,262.75,10.5,5.618840579710145,4.0,4.618585838420105,29.75,245.25,1753142400.0,Tuesday
2025_07_23,1380,274.0,11.0,5.885688405797102,4.5,4.877281037455173,67.0,131.5,1753228800.0,Wednesday
2025_07_24,1380,126.5,8.75,4.6822463768115945,3.75,3.5952808331386112,33.0,116.5,1753315200.0,Thursday
2025_07_25,1260,146.75,7.75,4.213690476190476,3.25,2.874700944386186,19.5,105.5,1753401600.0,Friday
2025_07_27,120,52.75,9.25,5.564583333333333,4.25,3.604880410081692,12.5,29.25,1753574400.0,Sunday
2025_07_28,1380,148.0,8.025000000000034,4.282608695652174,3.25,3.0268841772169153,24.75,145.0,1753660800.0,Monday
2025_07_29,1380,230.25,10.5,4.750724637681159,3.25,3.7937105038378323,29.5,222.0,1753747200.0,Tuesday
2025_07_30,1380,385.75,14.25,6.257246376811594,3.75,5.515143274726024,62.25,214.25,1753833600.0,Wednesday
2025_07_31,1380,606.25,17.75,8.23913043478261,5.75,6.5952491189430384,48.5,593.0,1753920000.0,Thursday
2025_08_01,1260,554.75,21.25,11.233134920634921,9.25,8.588600291081624,55.0,543.5,1754006400.0,Friday
2025_08_03,120,109.5,16.025000000000002,9.75,8.25,6.245477143248537,28.0,64.5,1754179200.0,Sunday
2025_08_04,1380,446.5,11.0,6.516485507246377,5.5,4.421492833055715,32.0,64.5,1754265600.0,Monday
2025_08_05,1380,359.0,15.75,7.528442028985507,5.75,5.922965577827746,42.75,352.25,1754352000.0,Tuesday
2025_08_06,1380,431.0,13.25,7.429528985507246,6.0,5.632364602787707,39.25,116.0,1754438400.0,Wednesday
2025_08_07,1380,341.25,17.5,8.134057971014492,6.0,6.536051249794745,32.5,320.5,1754524800.0,Thursday
2025_08_08,1260,265.25,10.75,5.626785714285714,4.5,4.218191030716915,24.5,85.25,1754611200.0,Friday
2025_08_10,120,68.75,7.325000000000006,4.585416666666666,3.75,3.105172783546329,16.75,58.5,1754784000.0,Sunday
2025_08_11,1380,217.5,10.75,5.602173913043479,4.5,4.178063191181417,26.25,211.75,1754870400.0,Monday
2025_08_12,1380,370.5,12.25,6.278079710144928,4.5,5.81975558178181,75.5,185.25,1754956800.0,Tuesday
2025_08_13,1380,183.0,10.75,5.305434782608696,3.75,4.035180342051855,37.25,171.5,1755043200.0,Wednesday
2025_08_14,1380,212.25,12.525000000000034,5.980253623188406,4.0,5.31796956611794,88.75,169.0,1755129600.0,Thursday
2025_08_15,1260,228.0,12.275000000000034,6.252380952380952,4.75,5.008672445381863,47.75,219.25,1755216000.0,Friday
2025_08_17,120,68.25,5.75,3.7583333333333333,3.25,2.1976838441078455,11.75,16.0,1755388800.0,Sunday
2025_08_18,1380,163.25,10.25,5.360688405797101,4.25,4.132058615668603,33.25,157.75,1755475200.0,Monday
2025_08_19,1380,392.5,13.0,6.444565217391304,4.75,5.021181518539608,31.25,388.0,1755561600.0,Tuesday
2025_08_20,1380,416.75,17.25,8.346195652173913,5.75,6.787732454881824,44.0,413.5,1755648000.0,Wednesday
2025_08_21,1380,250.0,14.525000000000034,8.009420289855072,6.25,6.669092633455332,59.75,244.25,1755734400.0,Thursday
2025_08_22,1260,575.75,14.75,7.903769841269841,5.5,8.462711790032913,192.5,164.75,1755820800.0,Friday
2025_08_24,120,65.0,8.800000000000004,5.479166666666667,4.5,3.5375930587603164,16.5,43.0,1755993600.0,Sunday
2025_08_25,1380,171.75,9.775000000000034,5.29963768115942,4.25,3.8611529262881663,30.0,145.75,1756080000.0,Monday
2025_08_26,1380,253.75,11.775000000000034,6.29981884057971,4.875,4.767638680881512,38.75,129.5,1756166400.0,Tuesday
2025_08_27,1380,256.0,10.25,5.457246376811594,3.75,5.8271995863100265,140.25,214.75,1756252800.0,Wednesday
2025_08_28,1380,317.0,11.25,6.0701086956521735,4.5,5.40334568634643,64.75,160.75,1756339200.0,Thursday
2025_08_29,1260,354.25,14.0,6.638690476190476,4.75,5.432664845242737,40.0,350.75,1756425600.0,Friday
2025_08_31,120,81.75,7.275000000000002,4.491666666666666,3.5,3.0168359821618935,15.25,15.0,1756598400.0,Sunday
2025_09_01,1140,183.75,7.75,4.586842105263158,4.0,3.2429301904621273,25.0,176.25,1756684800.0,Monday
2025_09_02,1380,459.5,16.775000000000034,8.692934782608695,6.75,6.871242642778318,47.5,456.25,1756771200.0,Tuesday
2025_09_03,1380,226.25,13.275000000000034,6.9056159420289855,5.25,5.437926833087986,33.75,202.0,1756857600.0,Wednesday
2025_09_04,1380,312.0,11.0,6.231340579710145,4.75,4.861718821864146,48.0,124.0,1756944000.0,Thursday
2025_09_05,1260,397.5,19.5,7.990079365079365,4.25,7.374895673069236,53.25,384.75,1757030400.0,Friday
2025_09_07,120,134.0,10.525000000000002,6.404166666666667,5.5,3.6892036405117525,13.25,12.5,1757203200.0,Sunday
2025_09_08,1380,161.75,10.0,5.442572463768116,4.25,4.045111137405575,31.5,122.5,1757289600.0,Monday
2025_09_09,1380,191.5,10.025000000000034,5.347463768115942,4.0,3.9617597676916403,28.75,152.25,1757376000.0,Tuesday
2025_09_10,1380,256.0,11.5,5.769021739130435,4.0,4.627682089196199,54.75,232.5,1757462400.0,Wednesday
2025_09_11,1380,203.75,10.275000000000034,5.280434782608696,3.75,4.099603775553884,35.75,86.75,1757548800.0,Thursday
2025_09_12,1260,190.25,7.75,4.34047619047619,3.5,2.837810928020484,17.5,66.75,1757635200.0,Friday
2025_09_14,120,30.5,7.025000000000002,3.904166666666667,3.25,2.440435097653066,10.25,27.5,1757808000.0,Sunday
2025_09_15,1380,240.25,8.5,4.71304347826087,4.0,3.2475888036952507,24.25,73.5,1757894400.0,Monday
2025_09_16,1380,146.25,7.75,4.06286231884058,3.25,2.9005630651504317,24.0,142.75,1757980800.0,Tuesday
2025_09_17,1379,341.5,15.300000000000011,6.868382886149384,3.75,6.644577217790616,46.75,301.25,1758067200.0,Wednesday
2025_09_18,1378,252.25,11.25,5.8421625544267055,4.75,4.64134350451624,32.75,147.0,1758153600.0,Thursday
2025_09_19,799,214.5,6.25,3.5181476846057573,2.75,3.433717745802018,22.0,86.0,1758240000.0,Friday
2025_10_01,1380,403.25,10.75,6.193297101449275,5.0,4.800405292643323,57.75,191.5,1759276800.0,Wednesday
2025_10_02,1380,186.25,11.0,5.5780797101449275,4.25,4.331646499411984,29.5,182.0,1759363200.0,Thursday
2025_10_03,1260,274.0,13.75,6.102579365079365,4.0,4.814759561090942,35.5,268.0,1759449600.0,Friday
2025_10_05,120,93.25,9.800000000000004,5.341666666666667,4.25,3.199896390703156,14.0,19.0,1759622400.0,Sunday
2025_10_06,1380,208.0,10.0,5.458695652173913,4.25,3.915691745684999,31.75,116.5,1759708800.0,Monday
2025_10_07,1380,289.5,13.0,6.2181159420289855,4.25,4.824531755788745,29.75,281.5,1759795200.0,Tuesday
2025_10_08,1380,366.75,8.75,4.994565217391305,4.25,3.465500587870877,21.5,66.5,1759881600.0,Wednesday
2025_10_09,1380,218.5,12.25,5.940579710144927,4.5,4.290714028892335,22.5,210.75,1759968000.0,Thursday
2025_10_10,1260,1230.25,30.275000000000034,12.095039682539683,5.5,12.094056295296864,123.25,1209.0,1760054400.0,Friday
2025_10_12,120,312.25,29.325000000000006,20.689583333333335,15.125,12.004263815971175,38.75,74.25,1760227200.0,Sunday
2025_10_13,1380,240.5,17.75,9.958514492753624,8.0,7.467004644790817,52.5,211.25,1760313600.0,Monday
2025_10_14,1380,621.25,22.525000000000034,12.646920289855073,10.5,9.576200148151713,89.75,597.75,1760400000.0,Tuesday
2025_10_15,1380,454.25,19.75,10.056702898550725,7.75,7.937934986266245,68.0,447.5,1760486400.0,Wednesday
2025_10_16,1380,536.5,27.5,12.513768115942028,8.5,9.936748914627687,65.5,519.0,1760572800.0,Thursday
2025_10_17,1260,644.0,28.0,15.38015873015873,13.0,11.058787877887719,63.0,410.25,1760659200.0,Friday
2025_10_19,120,112.5,12.25,8.19375,7.25,4.779921941558179,13.5,88.75,1760832000.0,Sunday
2025_10_20,1380,399.0,11.75,7.033152173913043,6.0,4.730916941846943,54.75,105.25,1760918400.0,Monday
2025_10_21,1380,165.0,12.025000000000034,6.5398550724637685,5.0,4.634216404373866,29.25,161.0,1761004800.0,Tuesday
2025_10_22,1380,533.25,21.5,9.84981884057971,6.5,8.15976657405161,92.25,525.75,1761091200.0,Wednesday
2025_10_23,1380,371.75,14.0,7.732427536231884,6.25,5.457348530407899,28.0,184.0,1761177600.0,Thursday
2025_10_24,1260,284.75,12.0,6.1783730158730155,4.5,5.992269316997868,137.5,92.25,1761264000.0,Friday
2025_10_26,120,89.5,12.025000000000002,7.70625,5.5,4.551029235214941,20.25,35.0,1761436800.0,Sunday
2025_10_27,1380,318.5,8.75,5.003985507246377,4.0,3.6046898138557015,31.75,43.75,1761523200.0,Monday
2025_10_28,1380,289.75,10.0,5.520471014492753,4.25,4.109771940472084,35.5,81.75,1761609600.0,Tuesday
