day,n,n_wins,sum_profits,sum_losses_abs,p_count,total_abs,p_dollar
2025_02_24,30,8,243.0,484.0,0.26666666666666666,727.0,0.3342503438789546
2025_02_25,44,16,627.0,608.5,0.36363636363636365,1235.5,0.5074868474301902
2025_02_26,35,7,216.0,616.0,0.2,832.0,0.25961538461538464
2025_02_27,35,12,716.0,468.5,0.34285714285714286,1184.5,0.6044744617982271
2025_02_28,54,17,894.0,792.5,0.3148148148148148,1686.5,0.5300919063148533
2025_03_03,61,18,586.0,915.0,0.29508196721311475,1501.0,0.39040639573617586
2025_03_04,84,21,1026.0,1326.5,0.25,2352.5,0.4361317747077577
2025_03_05,80,23,746.5,1222.0,0.2875,1968.5,0.3792227584455169
2025_03_06,59,21,806.5,741.0,0.3559322033898305,1547.5,0.5211631663974152
2025_03_07,71,18,1164.0,1145.0,0.2535211267605634,2309.0,0.5041143352100477
2025_03_10,69,23,1072.0,1012.0,0.3333333333333333,2084.0,0.5143953934740882
2025_03_11,89,25,1489.5,1398.5,0.2808988764044944,2888.0,0.5157548476454293
2025_03_12,61,8,415.0,1166.0,0.13114754098360656,1581.0,0.2624920936116382
2025_03_13,64,22,737.0,907.5,0.34375,1644.5,0.44816053511705684
2025_03_14,38,16,505.0,484.0,0.42105263157894735,989.0,0.5106167846309403
2025_03_17,26,7,340.0,418.0,0.2692307692307692,758.0,0.44854881266490765
2025_03_18,34,10,216.0,498.0,0.29411764705882354,714.0,0.3025210084033613
2025_03_19,33,11,314.0,484.0,0.3333333333333333,798.0,0.39348370927318294
2025_03_20,35,11,189.0,528.0,0.3142857142857143,717.0,0.26359832635983266
2025_03_21,13,7,339.5,132.0,0.5384615384615384,471.5,0.7200424178154825
2025_04_01,44,11,453.5,711.0,0.25,1164.5,0.3894375268355517
2025_04_02,45,11,633.5,748.0,0.24444444444444444,1381.5,0.4585595367354325
2025_04_03,86,25,852.0,1323.5,0.29069767441860467,2175.5,0.3916341071018157
2025_04_04,124,25,1997.0,2178.0,0.20161290322580644,4175.0,0.4783233532934132
2025_04_07,221,34,3164.0,4063.0,0.15384615384615385,7227.0,0.43780268437802683
2025_04_08,119,25,1254.5,2051.5,0.21008403361344538,3306.0,0.3794615849969752
2025_04_09,182,48,5042.0,2948.0,0.26373626373626374,7990.0,0.6310387984981226
2025_04_10,149,30,2837.5,2562.5,0.20134228187919462,5400.0,0.5254629629629629
2025_04_11,162,28,1636.0,2838.5,0.1728395061728395,4474.5,0.36562744440719636
2025_04_14,67,24,1068.0,946.0,0.3582089552238806,2014.0,0.5302879841112215
2025_04_15,66,20,611.5,990.5,0.30303030303030304,1602.0,0.3817103620474407
2025_04_16,55,15,716.5,873.5,0.2727272727272727,1590.0,0.4506289308176101
2025_04_17,64,16,526.0,1056.0,0.25,1582.0,0.3324905183312263
2025_04_21,34,11,542.0,470.5,0.3235294117647059,1012.5,0.5353086419753087
2025_04_22,36,10,395.0,554.0,0.2777777777777778,949.0,0.41622760800842995
2025_04_23,60,21,851.5,837.0,0.35,1688.5,0.5042937518507551
2025_04_24,40,13,374.0,582.0,0.325,956.0,0.3912133891213389
2025_04_25,57,19,589.0,811.0,0.3333333333333333,1400.0,0.4207142857142857
2025_04_28,35,16,641.5,398.5,0.45714285714285713,1040.0,0.6168269230769231
2025_04_29,38,12,403.5,554.5,0.3157894736842105,958.0,0.4211899791231733
2025_04_30,46,12,317.5,708.0,0.2608695652173913,1025.5,0.3096050706972209
2025_05_01,39,13,439.5,572.0,0.3333333333333333,1011.5,0.43450321304992584
2025_05_02,41,11,302.5,587.0,0.2682926829268293,889.5,0.3400786958965711
2025_05_05,21,8,207.0,265.5,0.38095238095238093,472.5,0.4380952380952381
2025_05_06,37,18,461.0,396.0,0.4864864864864865,857.0,0.5379229871645275
2025_05_07,47,18,1133.0,570.0,0.3829787234042553,1703.0,0.6652965355255431
2025_05_08,31,11,477.0,432.0,0.3548387096774194,909.0,0.5247524752475248
2025_05_09,31,11,321.5,420.0,0.3548387096774194,741.5,0.4335805799055968
2025_05_12,40,16,452.0,528.0,0.4,980.0,0.46122448979591835
2025_05_13,21,7,202.5,292.0,0.3333333333333333,494.5,0.40950455005055614
2025_05_14,26,8,198.0,390.5,0.3076923076923077,588.5,0.3364485981308411
2025_05_15,28,13,225.5,305.5,0.4642857142857143,531.0,0.4246704331450094
2025_05_16,22,11,207.0,242.0,0.5,449.0,0.4610244988864143
2025_05_19,31,16,365.0,330.0,0.5161290322580645,695.0,0.5251798561151079
2025_05_20,24,13,333.5,220.5,0.5416666666666666,554.0,0.601985559566787
2025_05_21,33,8,205.0,535.0,0.24242424242424243,740.0,0.27702702702702703
2025_05_22,40,9,490.0,675.0,0.225,1165.0,0.4206008583690987
2025_05_23,57,16,539.0,888.5,0.2807017543859649,1427.5,0.3775831873905429
2025_05_26,11,3,55.0,176.0,0.2727272727272727,231.0,0.23809523809523808
2025_05_27,16,5,102.5,242.0,0.3125,344.5,0.29753265602322204
2025_05_28,16,7,299.0,198.0,0.4375,497.0,0.6016096579476862
2025_05_29,38,15,462.5,484.0,0.39473684210526316,946.5,0.4886423666138405
2025_05_30,48,12,421.0,792.0,0.25,1213.0,0.34707337180544107
2025_06_02,26,10,511.5,334.5,0.38461538461538464,846.0,0.6046099290780141
2025_06_03,17,8,156.0,157.5,0.47058823529411764,313.5,0.49760765550239233
2025_06_04,14,5,180.0,198.0,0.35714285714285715,378.0,0.47619047619047616
2025_06_05,35,12,414.0,478.5,0.34285714285714286,892.5,0.4638655462184874
2025_06_06,19,5,118.5,308.0,0.2631578947368421,426.5,0.27784290738569756
2025_06_09,13,2,84.5,242.0,0.15384615384615385,326.5,0.25880551301684535
2025_06_10,23,11,410.5,264.0,0.4782608695652174,674.5,0.6085989621942179
2025_06_11,26,6,213.0,416.5,0.23076923076923078,629.5,0.3383637807783956
2025_06_12,22,5,115.0,374.0,0.22727272727272727,489.0,0.23517382413087934
2025_06_13,50,16,769.5,683.0,0.32,1452.5,0.529776247848537
2025_06_16,13,4,31.0,198.0,0.3076923076923077,229.0,0.13537117903930132
2025_06_17,34,13,306.5,445.5,0.38235294117647056,752.0,0.40757978723404253
2025_06_18,35,8,355.0,560.5,0.22857142857142856,915.5,0.3877662479519388
2025_06_19,22,9,288.5,265.0,0.4090909090909091,553.5,0.5212285456187895
2025_06_20,6,3,88.0,66.0,0.5,154.0,0.5714285714285714
2025_07_01,25,7,312.5,396.0,0.28,708.5,0.4410726887791108
2025_07_02,12,2,43.0,220.0,0.16666666666666666,263.0,0.1634980988593156
2025_07_03,8,2,35.5,95.0,0.25,130.5,0.2720306513409962
2025_07_04,9,3,37.5,132.0,0.3333333333333333,169.5,0.22123893805309736
2025_07_07,29,9,373.5,399.5,0.3103448275862069,773.0,0.4831824062095731
2025_07_08,21,9,195.0,264.0,0.42857142857142855,459.0,0.42483660130718953
2025_07_09,16,6,277.5,220.0,0.375,497.5,0.5577889447236181
2025_07_10,17,7,147.0,220.0,0.4117647058823529,367.0,0.40054495912806537
2025_07_11,25,11,369.5,308.0,0.44,677.5,0.5453874538745388
2025_07_14,9,6,222.5,50.0,0.6666666666666666,272.5,0.8165137614678899
2025_07_15,20,6,385.5,308.0,0.3,693.5,0.5558759913482336
2025_07_16,33,8,304.5,550.0,0.24242424242424243,854.5,0.3563487419543593
2025_07_17,13,6,74.5,136.0,0.46153846153846156,210.5,0.35391923990498814
2025_07_18,13,3,49.5,220.0,0.23076923076923078,269.5,0.1836734693877551
2025_07_21,6,3,153.0,66.0,0.5,219.0,0.6986301369863014
2025_07_22,17,8,195.0,198.0,0.47058823529411764,393.0,0.4961832061068702
2025_07_23,23,7,167.5,330.5,0.30434782608695654,498.0,0.33634538152610444
2025_07_24,16,6,116.5,220.0,0.375,336.5,0.3462109955423477
2025_07_25,6,2,44.5,88.0,0.3333333333333333,132.5,0.33584905660377357
2025_07_28,11,3,61.0,176.0,0.2727272727272727,237.0,0.25738396624472576
2025_07_29,17,5,200.0,255.5,0.29411764705882354,455.5,0.43907793633369924
2025_07_30,21,7,106.0,287.0,0.3333333333333333,393.0,0.2697201017811705
2025_07_31,24,9,414.0,330.0,0.375,744.0,0.5564516129032258
2025_08_01,45,9,435.0,770.5,0.2,1205.5,0.36084612194110327
2025_08_04,19,4,95.0,330.0,0.21052631578947367,425.0,0.2235294117647059
2025_08_05,26,9,239.5,374.0,0.34615384615384615,613.5,0.3903830480847596
2025_08_06,22,9,230.5,256.0,0.4090909090909091,486.5,0.473792394655704
2025_08_07,29,11,406.0,375.5,0.3793103448275862,781.5,0.5195137555982086
2025_08_08,15,10,364.0,110.0,0.6666666666666666,474.0,0.7679324894514767
2025_08_11,15,5,98.0,220.0,0.3333333333333333,318.0,0.3081761006289308
2025_08_12,15,5,92.0,220.0,0.3333333333333333,312.0,0.2948717948717949
2025_08_13,13,3,32.0,207.5,0.23076923076923078,239.5,0.1336116910229645
2025_08_14,15,4,132.5,242.0,0.26666666666666666,374.5,0.3538050734312417
2025_08_15,20,4,141.0,337.5,0.2,478.5,0.2946708463949843
2025_08_18,22,9,173.5,286.0,0.4090909090909091,459.5,0.37758433079434167
2025_08_19,20,7,176.5,268.0,0.35,444.5,0.39707536557930256
2025_08_20,33,11,304.5,484.0,0.3333333333333333,788.5,0.38617628408370325
2025_08_21,39,9,429.0,616.5,0.23076923076923078,1045.5,0.4103299856527977
2025_08_22,26,7,300.0,402.5,0.2692307692307692,702.5,0.42704626334519574
2025_08_25,13,4,57.0,170.5,0.3076923076923077,227.5,0.25054945054945055
2025_08_26,22,8,197.0,288.0,0.36363636363636365,485.0,0.4061855670103093
2025_08_27,10,7,472.0,66.0,0.7,538.0,0.8773234200743495
2025_08_28,20,9,211.0,242.0,0.45,453.0,0.46578366445916114
2025_08_29,20,8,275.0,243.0,0.4,518.0,0.5308880308880309
2025_09_01,8,5,154.5,66.0,0.625,220.5,0.7006802721088435
2025_09_02,33,12,453.5,440.5,0.36363636363636365,894.0,0.5072706935123042
2025_09_03,27,7,177.0,440.0,0.25925925925925924,617.0,0.28687196110210694
2025_09_04,22,6,115.0,352.0,0.2727272727272727,467.0,0.2462526766595289
2025_09_05,31,8,254.5,483.0,0.25806451612903225,737.5,0.34508474576271186
2025_09_08,20,7,165.0,286.0,0.35,451.0,0.36585365853658536
2025_09_09,17,5,114.5,243.0,0.29411764705882354,357.5,0.3202797202797203
2025_09_10,13,7,147.5,132.0,0.5384615384615384,279.5,0.5277280858676208
2025_09_11,16,5,93.0,242.0,0.3125,335.0,0.27761194029850744
2025_09_12,9,3,78.5,132.0,0.3333333333333333,210.5,0.37292161520190026
2025_09_15,13,2,13.5,242.0,0.15384615384615385,255.5,0.05283757338551859
2025_09_16,6,2,17.5,88.0,0.3333333333333333,105.5,0.16587677725118483
2025_09_17,23,12,732.0,242.0,0.5217391304347826,974.0,0.7515400410677618
2025_09_18,22,14,550.0,176.0,0.6363636363636364,726.0,0.7575757575757576
2025_09_19,5,2,34.0,66.0,0.4,100.0,0.34
2025_10_01,15,4,153.5,242.0,0.26666666666666666,395.5,0.38811630847029077
2025_10_02,13,4,90.0,198.0,0.3076923076923077,288.0,0.3125
2025_10_03,22,5,119.0,341.0,0.22727272727272727,460.0,0.25869565217391305
2025_10_06,16,6,136.0,220.0,0.375,356.0,0.38202247191011235
2025_10_07,21,9,229.0,251.0,0.42857142857142855,480.0,0.47708333333333336
2025_10_08,15,8,96.0,154.0,0.5333333333333333,250.0,0.384
2025_10_09,20,6,119.0,288.5,0.3,407.5,0.2920245398773006
2025_10_10,58,8,465.5,1078.5,0.13793103448275862,1544.0,0.3014896373056995
2025_10_13,40,12,308.0,564.5,0.3,872.5,0.3530085959885387
2025_10_14,60,26,1152.5,694.5,0.43333333333333335,1847.0,0.6239848402815377
2025_10_15,34,7,197.5,594.0,0.20588235294117646,791.5,0.24952621604548325
2025_10_16,60,19,996.0,902.0,0.31666666666666665,1898.0,0.5247629083245522
2025_10_17,77,24,1223.5,1088.5,0.3116883116883117,2312.0,0.5291955017301038
2025_10_20,23,8,219.5,330.0,0.34782608695652173,549.5,0.3994540491355778
2025_10_21,18,7,219.5,242.0,0.3888888888888889,461.5,0.47562296858071507
2025_10_22,38,15,593.5,506.0,0.39473684210526316,1099.5,0.5397908140063665
2025_10_23,29,12,428.5,366.0,0.41379310344827586,794.5,0.539332913782253
2025_10_24,20,7,260.0,286.0,0.35,546.0,0.47619047619047616
2025_10_27,13,3,93.5,220.0,0.23076923076923078,313.5,0.2982456140350877
2025_10_28,15,4,77.0,233.5,0.26666666666666666,310.5,0.24798711755233493
2025_10_29,41,8,153.0,710.5,0.1951219512195122,863.5,0.17718587145338738
2025_10_30,59,21,925.5,790.0,0.3559322033898305,1715.5,0.5394928592247158
2025_10_31,30,14,261.5,344.0,0.4666666666666667,605.5,0.4318744838976053
2025_11_03,26,10,195.5,352.0,0.38461538461538464,547.5,0.35707762557077627
2025_11_04,49,14,610.0,707.5,0.2857142857142857,1317.5,0.4629981024667932
2025_11_05,45,17,735.0,580.5,0.37777777777777777,1315.5,0.5587229190421893
2025_11_06,57,22,644.5,737.5,0.38596491228070173,1382.0,0.46635311143270625
2025_11_07,63,22,907.5,902.0,0.3492063492063492,1809.5,0.5015197568389058
2025_11_10,24,6,175.0,376.0,0.25,551.0,0.3176043557168784
2025_11_11,26,7,231.0,396.5,0.2692307692307692,627.5,0.36812749003984063
2025_11_12,29,12,437.0,357.5,0.41379310344827586,794.5,0.5500314663310258
2025_11_13,49,15,697.5,748.0,0.30612244897959184,1445.5,0.48253199584918716
2025_11_14,68,24,1252.5,968.0,0.35294117647058826,2220.5,0.5640621481648277
2025_11_17,47,13,780.5,724.0,0.2765957446808511,1504.5,0.5187770023263543
2025_11_18,107,27,1479.5,1689.0,0.2523364485981308,3168.5,0.4669401925201199
2025_11_19,59,20,915.5,809.0,0.3389830508474576,1724.5,0.5308785155117426
2025_11_20,87,21,775.5,1438.0,0.2413793103448276,2213.5,0.35035012423763273
2025_11_21,100,31,1714.5,1465.0,0.31,3179.5,0.5392357288881899
2025_11_24,48,20,1108.0,553.0,0.4166666666666667,1661.0,0.6670680313064419
2025_11_25,44,18,890.0,553.5,0.4090909090909091,1443.5,0.6165569795635608
2025_11_26,27,8,264.0,403.5,0.2962962962962963,667.5,0.3955056179775281
2025_11_27,3,0,0.0,66.0,0.0,66.0,0.0
2025_11_28,13,6,217.0,154.0,0.46153846153846156,371.0,0.5849056603773585
2025_12_01,28,9,313.5,390.5,0.32142857142857145,704.0,0.4453125
2025_12_02,31,14,904.5,355.5,0.45161290322580644,1260.0,0.7178571428571429
2025_12_03,34,13,277.5,462.0,0.38235294117647056,739.5,0.3752535496957404
2025_12_04,24,7,225.5,362.0,0.2916666666666667,587.5,0.38382978723404254
2025_12_05,19,4,75.5,309.0,0.21052631578947367,384.5,0.19635890767230169
2025_12_08,20,5,98.0,330.0,0.25,428.0,0.22897196261682243
2025_12_09,23,4,85.5,418.0,0.17391304347826086,503.5,0.16981132075471697
2025_12_10,31,8,378.0,500.0,0.25806451612903225,878.0,0.4305239179954442
2025_12_11,35,15,838.5,440.0,0.42857142857142855,1278.5,0.6558466953461087
2025_12_12,34,12,536.5,484.0,0.35294117647058826,1020.5,0.5257226849583537
2025_12_15,36,14,597.5,463.5,0.3888888888888889,1061.0,0.5631479736098021
2025_12_16,58,22,849.0,775.5,0.3793103448275862,1624.5,0.5226223453370268
2025_12_17,44,10,391.0,737.0,0.22727272727272727,1128.0,0.3466312056737589
2025_12_18,44,16,922.5,599.0,0.36363636363636365,1521.5,0.6063095629313178
2025_12_19,13,5,222.0,176.0,0.38461538461538464,398.0,0.5577889447236181
2026_01_02,31,12,1225.0,418.0,0.3870967741935484,1643.0,0.7455873402312843
2026_01_05,23,9,254.5,308.0,0.391304347826087,562.5,0.4524444444444444
2026_01_06,13,7,247.0,132.0,0.5384615384615384,379.0,0.6517150395778364
2026_01_07,15,8,168.5,128.5,0.5333333333333333,297.0,0.5673400673400674
2026_01_08,30,8,285.0,462.5,0.26666666666666666,747.5,0.38127090301003347
2026_01_09,26,12,578.5,308.0,0.46153846153846156,886.5,0.652566271855612
2026_01_12,21,11,348.0,220.0,0.5238095238095238,568.0,0.6126760563380281
2026_01_13,31,7,185.0,528.0,0.22580645161290322,713.0,0.2594670406732118
2026_01_14,34,9,303.0,462.0,0.2647058823529412,765.0,0.396078431372549
2026_01_15,32,12,525.5,426.5,0.375,952.0,0.5519957983193278
2026_01_16,15,5,177.5,203.0,0.3333333333333333,380.5,0.4664914586070959
2026_01_19,24,9,221.5,314.5,0.375,536.0,0.41324626865671643
2026_01_20,59,17,550.5,858.5,0.288135593220339,1409.0,0.3907026259758694
2026_01_21,46,17,705.0,622.0,0.3695652173913043,1327.0,0.5312735493594575
2026_01_22,28,8,233.5,440.0,0.2857142857142857,673.5,0.34669636228656275
2026_01_23,23,11,412.0,264.0,0.4782608695652174,676.0,0.6094674556213018
2026_01_26,26,12,381.5,288.5,0.46153846153846156,670.0,0.5694029850746268
2026_01_27,13,5,158.0,176.0,0.38461538461538464,334.0,0.47305389221556887
2026_01_28,35,9,182.0,572.0,0.2571428571428571,754.0,0.2413793103448276
2026_01_29,42,13,644.0,577.0,0.30952380952380953,1221.0,0.5274365274365275
2026_01_30,69,25,718.5,952.5,0.36231884057971014,1671.0,0.42998204667863554
2026_02_02,49,18,889.0,660.0,0.3673469387755102,1549.0,0.5739186571981924
2026_02_03,55,17,858.0,764.0,0.3090909090909091,1622.0,0.528976572133169
2026_02_04,66,16,900.0,1054.0,0.24242424242424243,1954.0,0.46059365404298874
2026_02_05,94,24,1121.5,1507.5,0.2553191489361702,2629.0,0.42658805629516927
2026_02_06,58,22,893.5,778.0,0.3793103448275862,1671.5,0.5345498055638648
2026_02_09,38,12,527.0,572.0,0.3157894736842105,1099.0,0.47952684258416745
2026_02_10,35,7,257.0,580.0,0.2,837.0,0.3070489844683393
2026_02_11,44,14,612.5,642.5,0.3181818181818182,1255.0,0.48804780876494025
2026_02_12,48,9,615.5,838.0,0.1875,1453.5,0.42346061231510146
2026_02_13,86,18,983.0,1467.5,0.20930232558139536,2450.5,0.40114262395429506
2026_02_16,20,9,386.0,242.0,0.45,628.0,0.6146496815286624
2026_02_17,63,17,716.0,942.5,0.2698412698412698,1658.5,0.43171540548688575
2026_02_18,33,12,343.0,419.5,0.36363636363636365,762.5,0.4498360655737705
2026_02_19,51,14,479.0,790.5,0.27450980392156865,1269.5,0.3773139031114612
2026_02_20,48,14,786.5,716.5,0.2916666666666667,1503.0,0.5232867598137059
2026_02_23,27,4,63.5,506.0,0.14814814814814814,569.5,0.11150131694468832
2026_02_24,30,9,644.5,433.0,0.3,1077.5,0.5981438515081207
2026_02_25,13,5,135.5,141.5,0.38461538461538464,277.0,0.4891696750902527
2026_02_26,31,11,199.0,440.0,0.3548387096774194,639.0,0.3114241001564945
2026_02_27,48,18,581.5,660.0,0.375,1241.5,0.468385018123238
2026_03_02,52,13,679.0,816.0,0.25,1495.0,0.45418060200668897
2026_03_03,69,21,832.0,1056.0,0.30434782608695654,1888.0,0.4406779661016949
2026_03_04,62,20,850.0,904.5,0.3225806451612903,1754.5,0.4844685095468795
2026_03_05,71,10,574.0,1324.5,0.14084507042253522,1898.5,0.30234395575454304
2026_03_06,58,21,835.0,814.0,0.3620689655172414,1649.0,0.5063674954517889
2026_03_09,89,24,1005.5,1400.0,0.2696629213483146,2405.5,0.41800041571398877
2026_03_10,62,15,649.0,983.5,0.24193548387096775,1632.5,0.3975497702909648
2026_03_11,48,12,419.0,755.5,0.25,1174.5,0.356747552149851
2026_03_12,62,23,1149.5,792.5,0.3709677419354839,1942.0,0.5919155509783728
2026_03_13,50,14,533.0,775.0,0.28,1308.0,0.4074923547400612
2026_03_16,46,11,271.5,735.5,0.2391304347826087,1007.0,0.2696127110228401
2026_03_17,38,10,299.0,616.0,0.2631578947368421,915.0,0.326775956284153
2026_03_18,38,11,371.0,574.0,0.2894736842105263,945.0,0.3925925925925926
2026_03_19,71,23,926.0,1056.0,0.323943661971831,1982.0,0.467204843592331
2026_03_20,9,4,90.5,110.0,0.4444444444444444,200.5,0.4513715710723192
