**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

n,mean_fwd,std_fwd,win_rate,mean_mfe,mean_mae,feature,window,pattern,pattern_freq_pct,wr_lift,mean_fwd_lift
6619,0.10492521528931863,67.86128062484838,0.5231908143224052,36.42049403233117,40.30185828675027,L3_15m_z_low_w,6,SPIKE_DOWN,14.104285196786634,0.0018659214264400426,-0.6825825111211509
6578,0.9655670416539982,64.12467212173664,0.5231073274551535,36.89016418364245,39.67212678625722,L3_15m_z_high_w,6,SPIKE_DOWN,14.016919175776172,0.0017824345591883617,0.1780593152435287
10188,1.4348007459756575,71.66828138774014,0.5229681978798587,39.75996270121712,41.74315371024735,L2_5m_price_velocity_w,3,RISING_MONO,21.711521660380576,0.0016433049838935343,0.647293019565188
2217,2.338633288227334,73.70605627592884,0.5227785295444294,43.34201623815967,41.94124943617501,L1_15m_body,24,SPIKE_UP,4.728419527371135,0.0014536366484642071,1.5511255618168647
5217,-0.5728387962430516,64.33896177848537,0.5227142035652674,37.368315123634275,41.709507379720144,L2_1m_price_velocity_w,6,SPIKE_DOWN,11.11892433250229,0.0013893106693022572,-1.3603465226535212
7308,1.8733921729611385,65.17400483160498,0.5224411603721949,34.840380405035575,36.51197318007663,L3_15m_SE_high_w,6,SPIKE_DOWN,15.572460525474655,0.0011162674762297264,1.085884446550669
15389,0.9323867697706154,68.1379719793861,0.5222561569952564,37.47015725518227,39.67246084865813,L2_15s_price_velocity_w,3,REVERSAL_UP,32.802744571586864,0.0009312640992912291,0.1448790433601459
5332,-0.9983589647411854,69.3747417801511,0.5221305326331583,37.26036196549137,42.23344898724681,L1_15m_body,6,SPIKE_DOWN,11.366106245605064,0.0008056397371931645,-1.785866691151655
182,0.15247252747252749,36.75607074956129,0.521978021978022,21.86675824175824,23.561813186813186,L2_15m_price_accel_w,3,SPIKE_DOWN,0.38781989814400475,0.0006531290820568358,-0.635035198937942
5140,0.6070525291828793,61.64295454058215,0.5217898832684825,36.98706225680934,40.862597276264594,L3_15m_z_low_w,12,SPIKE_DOWN,10.952715804726289,0.00046499037251734876,-0.18045519722759018
6971,-0.012982355472672501,68.63883755961122,0.5217328934155788,37.40894419738918,41.02323913355329,L1_1m_body,3,SPIKE_DOWN,14.854354450339875,0.00040800051961364936,-0.800490081883142
4786,-0.7917885499373172,68.44872806356108,0.5215211032177184,36.865284162139574,41.936481404095275,L3_15m_z_se_w,12,SPIKE_DOWN,10.198384794050588,0.00019621032175320963,-1.5792962763477867
3563,3.028346898680887,74.4058236737195,0.521470670783048,39.16608195341005,39.25512208812798,L2_15s_price_velocity_w,6,SPIKE_UP,7.596582070787786,0.0001457778870828097,2.2408391722704177
5162,1.4924932196822938,68.32706723514814,0.521309569934134,37.58930647036033,39.0226656334754,L1_15m_body,6,SPIKE_UP,11.001726011634597,-1.5322961831154558e-05,0.7049854932718242
4703,1.003880501807357,73.54948191683013,0.5211567084839465,38.64283436104614,40.17536678715713,L2_15m_price_velocity_w,12,SPIKE_UP,10.02152187346843,-0.0001681844120187126,0.2163727753968876
3052,1.9959043250327655,78.24801562843805,0.5209698558322412,40.4290629095675,41.23410878112713,L2_1m_price_velocity_w,12,SPIKE_UP,6.50770312599885,-0.00035503706372397303,1.208396598622296
13764,0.6086166811973264,69.19930756032585,0.5208514966579483,39.08885498401627,41.95052310374891,L1_5m_body,3,REVERSAL_DOWN,29.329412516780668,-0.0004733962380168988,-0.17889104521314314
11295,1.4630146082337316,71.68442560394782,0.5208499335989376,37.55717131474103,39.32892872952634,L2_1m_price_velocity_w,3,RISING_MONO,24.074665984785526,-0.00047495929702756623,0.6755068818232621
5239,0.6681618629509448,66.1352157478008,0.5207100591715976,37.63957816377171,40.66219698415728,L2_15m_price_accel_w,6,SPIKE_DOWN,11.167934539410599,-0.0006148337243675472,-0.11934586345952469
1811,0.07454445057979017,85.4573774621403,0.5207067918277195,43.45182219768084,46.59939260077305,L1_1m_body,24,SPIKE_UP,3.859021074388971,-0.0006181010682456689,-0.7129632758306793
