tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
1h,vwap_w,swing_noise_w,DOWN_CHOPPY,2988,-0.6754818944221614,0.0,0.0,0.11244979919678715,0.0963855421686747,0.0,0.0,0.0,0.0,5.220883534136546,0.0
1h,price_mean_w,price_sigma_w,DOWN_CHOPPY,2988,-0.5504287739973824,0.0,0.0,0.12449799196787148,0.08433734939759036,0.0,0.0,0.0,0.0,5.220883534136545,0.0
1h,price_mean_w,SE_low_w,UP_CHOPPY,3924,-0.7206001803237586,0.0,0.0,0.0764525993883792,0.13149847094801223,0.0,0.0,0.0,0.0,5.198776758409785,0.0
1h,price_velocity_w,vol_mean_w,DOWN_SMOOTH,4662,-0.6822117692361838,0.015444015444015444,0.0,0.07722007722007722,0.12355212355212356,0.3861003861003861,0.0,0.3861003861003861,0.3861003861003861,5.019305019305019,0.3861003861003861
1h,price_sigma_w,vwap_w,FLAT_SMOOTH,9750,-0.31675913081714546,0.0,0.0012307692307692308,0.11446153846153846,0.08615384615384615,0.0,0.03076923076923077,-0.03076923076923077,0.03076923076923077,5.015384615384615,0.03076923076923077
15m,price_velocity_w,price_sigma_w,DOWN_SMOOTH,4662,-0.8077892226610973,0.01758901758901759,0.0,0.042256542256542254,0.15765765765765766,0.43972543972543976,0.0,0.43972543972543976,0.43972543972543976,4.997854997854998,0.43972543972543976
1h,vwap_w,SE_high_w,FLAT_CHOPPY,18315,-0.4725335155294108,0.005951405951405951,0.004586404586404586,0.0942942942942943,0.10554190554190554,0.14878514878514879,0.11466011466011465,0.034125034125034134,0.2634452634452634,4.995904995904995,0.034125034125034134
1h,price_mean_w,price_sigma_w,FLAT_SMOOTH,9750,-0.3366573562891386,0.0,0.0012307692307692308,0.08615384615384615,0.11323076923076923,0.0,0.03076923076923077,-0.03076923076923077,0.03076923076923077,4.984615384615385,0.03076923076923077
1h,vwap_w,swing_noise_w,FLAT_CHOPPY,18315,-0.5592231540139923,0.0006552006552006552,0.0,0.11466011466011466,0.08452088452088452,0.01638001638001638,0.0,0.01638001638001638,0.01638001638001638,4.97952497952498,0.01638001638001638
1h,price_mean_w,SE_high_w,FLAT_CHOPPY,18315,-0.4780614973178319,0.008572208572208572,0.004586404586404586,0.09167349167349167,0.10554190554190554,0.2143052143052143,0.11466011466011465,0.09964509964509964,0.32896532896532893,4.93038493038493,0.09964509964509964
1h,price_velocity_w,price_sigma_w,DOWN_CHOPPY,2988,-0.7591735871643497,0.0,0.0,0.05187416331994645,0.14457831325301204,0.0,0.0,0.0,0.0,4.911311914323962,0.0
1h,price_sigma_w,vwap_w,UP_CHOPPY,3924,-0.7595186477881459,0.0,0.0030581039755351682,0.11314984709480122,0.08256880733944955,0.0,0.0764525993883792,-0.0764525993883792,0.0764525993883792,4.892966360856269,0.0764525993883792
1h,price_mean_w,swing_noise_w,FLAT_CHOPPY,18315,-0.5581734738522731,0.003276003276003276,0.0,0.11007371007371007,0.08452088452088452,0.0819000819000819,0.0,0.0819000819000819,0.0819000819000819,4.864864864864865,0.0819000819000819
1h,price_accel_w,vol_velocity_w,DOWN_SMOOTH,4662,-0.3346554892442281,0.02059202059202059,0.025525525525525526,0.09244959244959244,0.10038610038610038,0.5148005148005148,0.6381381381381381,-0.12333762333762333,1.152938652938653,4.8208923208923204,0.12333762333762333
1h,price_mean_w,price_sigma_w,UP_CHOPPY,3924,-0.7693740484000535,0.0,0.0030581039755351682,0.07951070336391437,0.11314984709480122,0.0,0.0764525993883792,-0.0764525993883792,0.0764525993883792,4.81651376146789,0.0764525993883792
5m,vwap_w,swing_noise_w,FLAT_SMOOTH,9864,-0.3631826947616587,0.00202757502027575,0.0025344687753446875,0.09144363341443633,0.10056772100567721,0.05068937550689375,0.06336171938361719,-0.01267234387672344,0.11405109489051093,4.800283860502838,0.01267234387672344
5m,price_mean_w,swing_noise_w,FLAT_SMOOTH,9864,-0.36427550716815427,0.00202757502027575,0.0025344687753446875,0.09144363341443633,0.10056772100567721,0.05068937550689375,0.06336171938361719,-0.01267234387672344,0.11405109489051093,4.800283860502838,0.01267234387672344
1h,vwap_w,swing_noise_w,FLAT_SMOOTH,9534,-0.6103895511675131,0.0,0.0,0.06293266205160478,0.12838263058527374,0.0,0.0,0.0,0.0,4.782882315921963,0.0
15m,vwap_w,SE_high_w,FLAT_SMOOTH,9858,-0.27144612714872707,0.0012172854534388314,0.0006086427267194157,0.0843984581050923,0.10539663217691216,0.030432136335970784,0.015216068167985392,0.015216068167985392,0.04564820450395618,4.744877257050112,0.015216068167985392
15m,price_sigma_w,vwap_w,FLAT_SMOOTH,9858,-0.2511919581648675,0.002738892270237371,0.004666260904848854,0.10387502536011362,0.08510854128626497,0.06847230675593427,0.11665652262122135,-0.04818421586528708,0.18512882937715563,4.724589166159465,0.04818421586528708
15m,price_mean_w,SE_high_w,FLAT_SMOOTH,9858,-0.28016742419886703,0.0012172854534388314,0.0006086427267194157,0.08419557719618584,0.10478798945019274,0.030432136335970784,0.015216068167985392,0.015216068167985392,0.04564820450395618,4.724589166159465,0.015216068167985392
1h,price_mean_w,swing_noise_w,FLAT_SMOOTH,9534,-0.6219022880221227,0.0,0.0,0.06293266205160478,0.12586532410320955,0.0,0.0,0.0,0.0,4.719949653870358,0.0
15m,price_mean_w,price_sigma_w,FLAT_SMOOTH,9858,-0.2598743605134745,0.002738892270237371,0.004666260904848854,0.08490566037735849,0.10387502536011362,0.06847230675593427,0.11665652262122135,-0.04818421586528708,0.18512882937715563,4.719517143436802,0.04818421586528708
1h,vwap_w,SE_high_w,FLAT_SMOOTH,9750,-0.356371826331026,0.0,0.0,0.08615384615384615,0.10092307692307692,0.0,0.0,0.0,0.0,4.676923076923076,0.0
1h,price_mean_w,SE_high_w,FLAT_SMOOTH,9750,-0.37640303553989796,0.0,0.0,0.08615384615384615,0.09969230769230769,0.0,0.0,0.0,0.0,4.646153846153846,0.0
1h,bar_range,vwap_w,UP_CHOPPY,3924,-0.5731151402099115,0.01529051987767584,0.0030581039755351682,0.10397553516819572,0.07951070336391437,0.382262996941896,0.0764525993883792,0.3058103975535168,0.45871559633027525,4.587155963302752,0.3058103975535168
1h,bar_range,price_mean_w,UP_CHOPPY,3924,-0.5855090038714837,0.01529051987767584,0.0030581039755351682,0.10397553516819572,0.07951070336391437,0.382262996941896,0.0764525993883792,0.3058103975535168,0.45871559633027525,4.587155963302752,0.3058103975535168
1h,vwap_w,SE_low_w,FLAT_SMOOTH,9750,-0.3201917869141676,0.0,0.004923076923076923,0.08851282051282051,0.09476923076923077,0.0,0.12307692307692308,-0.12307692307692308,0.12307692307692308,4.582051282051282,0.12307692307692308
1h,price_mean_w,SE_low_w,FLAT_SMOOTH,9750,-0.340229741085185,0.0,0.004923076923076923,0.08851282051282051,0.09476923076923077,0.0,0.12307692307692308,-0.12307692307692308,0.12307692307692308,4.582051282051282,0.12307692307692308
1h,vwap_w,swing_noise_w,UP_SMOOTH,7146,-0.6181503068920077,0.0,0.0,0.07724601175482787,0.10579345088161209,0.0,0.0,0.0,0.0,4.575986565910998,0.0
1h,price_accel_1b,vol_accel_1b,DOWN_SMOOTH,4662,-0.3745898987574973,0.02059202059202059,0.038824538824538825,0.08494208494208494,0.0978120978120978,0.5148005148005148,0.9706134706134706,-0.4558129558129558,1.4854139854139854,4.568854568854569,0.4558129558129558
1h,price_velocity_w,swing_noise_w,DOWN_SMOOTH,4662,-0.7510253569156331,0.0,0.0,0.0489060489060489,0.13384813384813385,0.0,0.0,0.0,0.0,4.568854568854569,0.0
15m,price_sigma_w,vwap_w,UP_CHOPPY,3924,-0.62971722364098,0.0045871559633027525,0.00764525993883792,0.10779816513761468,0.07492354740061162,0.11467889908256881,0.191131498470948,-0.0764525993883792,0.3058103975535168,4.568042813455658,0.0764525993883792
15m,price_mean_w,price_sigma_w,UP_CHOPPY,3924,-0.6335318338485331,0.0061162079510703364,0.00764525993883792,0.07492354740061162,0.10779816513761468,0.1529051987767584,0.191131498470948,-0.038226299694189614,0.3440366972477064,4.568042813455658,0.038226299694189614
15m,bar_range,price_mean_w,UP_CHOPPY,3924,-0.5170198898652693,0.01452599388379205,0.0061162079510703364,0.1034658511722732,0.07900101936799185,0.36314984709480125,0.1529051987767584,0.21024464831804285,0.5160550458715596,4.5616717635066255,0.21024464831804285
15m,bar_range,vwap_w,UP_CHOPPY,3924,-0.513207764816607,0.01529051987767584,0.0061162079510703364,0.1034658511722732,0.07900101936799185,0.382262996941896,0.1529051987767584,0.22935779816513763,0.5351681957186545,4.5616717635066255,0.22935779816513763
15m,vwap_w,SE_low_w,FLAT_SMOOTH,9858,-0.2416100654268002,0.0030432136335970784,0.003956177723676202,0.08500710083181173,0.09717995536620004,0.07608034083992696,0.09890444309190505,-0.02282410225197809,0.174984783931832,4.554676404950294,0.02282410225197809
1h,price_sigma_w,vwap_w,FLAT_CHOPPY,18315,-0.4661133993237364,0.003276003276003276,0.005241605241605242,0.09434889434889435,0.0877968877968878,0.0819000819000819,0.13104013104013104,-0.049140049140049144,0.21294021294021293,4.553644553644554,0.049140049140049144
15m,price_velocity_w,vol_mean_w,DOWN_SMOOTH,4662,-0.5277255193041939,0.013513513513513514,0.0006435006435006435,0.04504504504504504,0.1364221364221364,0.33783783783783783,0.016087516087516088,0.32175032175032175,0.3539253539253539,4.536679536679536,0.32175032175032175
15m,price_mean_w,SE_low_w,FLAT_SMOOTH,9858,-0.24951430420094864,0.0030432136335970784,0.003956177723676202,0.08480421992290525,0.09657131263948063,0.07608034083992696,0.09890444309190505,-0.02282410225197809,0.174984783931832,4.5343883140596475,0.02282410225197809
1h,bar_range,price_mean_w,FLAT_SMOOTH,9750,-0.45174412307681966,0.009846153846153846,0.004923076923076923,0.09846153846153846,0.08256410256410257,0.24615384615384617,0.12307692307692308,0.12307692307692308,0.36923076923076925,4.5256410256410255,0.12307692307692308
1h,bar_range,vwap_w,FLAT_SMOOTH,9750,-0.452924245432857,0.009846153846153846,0.004923076923076923,0.09846153846153846,0.08256410256410257,0.24615384615384617,0.12307692307692308,0.12307692307692308,0.36923076923076925,4.5256410256410255,0.12307692307692308
15m,price_mean_w,swing_noise_w,FLAT_CHOPPY,18315,-0.5485055144414729,0.010046410046410046,0.010592410592410593,0.07742287742287743,0.10313950313950314,0.25116025116025115,0.2648102648102648,-0.01365001365001367,0.5159705159705159,4.514059514059514,0.01365001365001367
15m,vwap_w,swing_noise_w,FLAT_CHOPPY,18315,-0.5493889958315917,0.00939120939120939,0.010592410592410593,0.07742287742287743,0.10313950313950314,0.23478023478023477,0.2648102648102648,-0.030030030030030047,0.4995904995904996,4.514059514059514,0.030030030030030047
15m,vwap_w,SE_high_w,UP_CHOPPY,3924,-0.5490868719019376,0.010703363914373088,0.012232415902140673,0.07313965341488277,0.10703363914373089,0.2675840978593272,0.3058103975535168,-0.038226299694189614,0.573394495412844,4.5043323139653415,0.038226299694189614
15m,price_mean_w,SE_high_w,UP_CHOPPY,3924,-0.5535029320649544,0.010703363914373088,0.012232415902140673,0.07313965341488277,0.10703363914373089,0.2675840978593272,0.3058103975535168,-0.038226299694189614,0.573394495412844,4.5043323139653415,0.038226299694189614
1m,vwap_w,SE_low_w,UP_CHOPPY,3924,-0.4709473045721698,0.013761467889908258,0.0063710499490316,0.07900101936799185,0.10066258919469928,0.3440366972477064,0.15927624872579,0.18476044852191642,0.5033129459734964,4.491590214067278,0.18476044852191642
1m,price_mean_w,SE_low_w,UP_CHOPPY,3924,-0.471466765185742,0.013761467889908258,0.0063710499490316,0.07900101936799185,0.10066258919469928,0.3440366972477064,0.15927624872579,0.18476044852191642,0.5033129459734964,4.491590214067278,0.18476044852191642
5s,price_mean_w,swing_noise_w,UP_CHOPPY,3924,-0.5031816913037886,0.015545361875637105,0.00764525993883792,0.07594291539245668,0.10321100917431193,0.3886340468909276,0.191131498470948,0.1975025484199796,0.5797655453618756,4.478848114169216,0.1975025484199796
5s,vwap_w,swing_noise_w,UP_CHOPPY,3924,-0.5032522273677938,0.01529051987767584,0.00764525993883792,0.07594291539245668,0.10321100917431193,0.382262996941896,0.191131498470948,0.191131498470948,0.573394495412844,4.478848114169216,0.191131498470948
1h,price_mean_w,price_sigma_w,FLAT_CHOPPY,18315,-0.4693875831301744,0.007207207207207207,0.005241605241605242,0.08517608517608517,0.0936936936936937,0.18018018018018017,0.13104013104013104,0.04914004914004913,0.31122031122031124,4.471744471744472,0.04914004914004913
5m,price_mean_w,SE_high_w,UP_CHOPPY,3924,-0.4669617881987371,0.016819571865443424,0.004077471967380225,0.07415902140672782,0.10448521916411825,0.4204892966360856,0.10193679918450561,0.31855249745158,0.5224260958205912,4.466106014271151,0.31855249745158
1m,vwap_w,swing_noise_w,FLAT_SMOOTH,9888,-0.3299626016664205,0.009911003236245955,0.0031351132686084143,0.08788430420711973,0.0904126213592233,0.24777508090614886,0.07837783171521036,0.16939724919093851,0.3261529126213592,4.457423139158577,0.16939724919093851
5m,price_mean_w,swing_noise_w,UP_CHOPPY,3924,-0.5814371047362032,0.0012742099898063201,0.0015290519877675841,0.07135575942915393,0.10677879714576963,0.031855249745158,0.0382262996941896,-0.0063710499490316,0.0700815494393476,4.453363914373089,0.0063710499490316
1h,price_mean_w,swing_noise_w,UP_SMOOTH,7146,-0.6158423892649615,0.0,0.0,0.07220822837951302,0.10579345088161209,0.0,0.0,0.0,0.0,4.450041981528127,0.0
1m,price_mean_w,swing_noise_w,FLAT_SMOOTH,9888,-0.33032139009803396,0.010012135922330098,0.0031351132686084143,0.0877831715210356,0.09010922330097088,0.2503033980582524,0.07837783171521036,0.17192556634304207,0.32868122977346276,4.447309870550162,0.17192556634304207
5m,vwap_w,swing_noise_w,UP_CHOPPY,3924,-0.58069498289329,0.0012742099898063201,0.0015290519877675841,0.07135575942915393,0.10652395514780835,0.031855249745158,0.0382262996941896,-0.0063710499490316,0.0700815494393476,4.446992864424057,0.0063710499490316
5m,price_mean_w,SE_low_w,UP_SMOOTH,7146,-0.37915237155083104,0.013853904282115869,0.006996921354603974,0.08340330254687937,0.09445843828715365,0.34634760705289674,0.17492303386509936,0.17142457318779739,0.5212706409179961,4.446543520850826,0.17142457318779739
1m,price_mean_w,swing_noise_w,UP_CHOPPY,3924,-0.5191834209266168,0.014780835881753314,0.00382262996941896,0.0779816513761468,0.09964322120285422,0.36952089704383284,0.095565749235474,0.27395514780835883,0.46508664627930685,4.440621814475025,0.27395514780835883
1h,price_velocity_1b,vol_velocity_1b,DOWN_SMOOTH,4662,-0.3657242766495215,0.02574002574002574,0.028314028314028315,0.06692406692406692,0.11068211068211069,0.6435006435006434,0.7078507078507079,-0.06435006435006452,1.3513513513513513,4.440154440154441,0.06435006435006452
1h,vol_velocity_1b,body,DOWN_SMOOTH,4662,-0.40411771186507045,0.02574002574002574,0.028314028314028315,0.11068211068211069,0.06692406692406692,0.6435006435006434,0.7078507078507079,-0.06435006435006452,1.3513513513513513,4.440154440154441,0.06435006435006452
5m,vwap_w,SE_low_w,UP_SMOOTH,7146,-0.376964102579268,0.013853904282115869,0.006996921354603974,0.08340330254687937,0.09417856143296949,0.34634760705289674,0.17492303386509936,0.17142457318779739,0.5212706409179961,4.4395465994962215,0.17142457318779739
1h,bar_range,price_velocity_w,DOWN_SMOOTH,4662,-0.5807100237297358,0.002574002574002574,0.0,0.10553410553410554,0.07185757185757186,0.06435006435006435,0.0,0.06435006435006435,0.06435006435006435,4.434791934791935,0.06435006435006435
1m,vwap_w,swing_noise_w,UP_CHOPPY,3924,-0.5185374660820636,0.014780835881753314,0.00382262996941896,0.0779816513761468,0.09938837920489296,0.36952089704383284,0.095565749235474,0.27395514780835883,0.46508664627930685,4.434250764525994,0.27395514780835883
5m,vwap_w,SE_high_w,UP_CHOPPY,3924,-0.46527586396289417,0.016819571865443424,0.004077471967380225,0.07415902140672782,0.10321100917431193,0.4204892966360856,0.10193679918450561,0.31855249745158,0.5224260958205912,4.434250764525994,0.31855249745158
5m,price_mean_w,SE_high_w,UP_SMOOTH,7146,-0.3831120935236398,0.013014273719563391,0.005737475510775259,0.07822558074447243,0.09865659109991604,0.3253568429890848,0.14343688776938146,0.18191995521970333,0.46879373075846625,4.422054296109712,0.18191995521970333
1h,vwap_w,SE_high_w,DOWN_CHOPPY,2988,-0.44679151816095297,0.0,0.0,0.12048192771084337,0.05622489959839357,0.0,0.0,0.0,0.0,4.417670682730924,0.0
5m,price_mean_w,price_sigma_w,UP_CHOPPY,3924,-0.5093167252631753,0.015035677879714576,0.007900101936799185,0.07619775739041794,0.10040774719673802,0.3758919469928644,0.1975025484199796,0.17838939857288477,0.573394495412844,4.415137614678899,0.17838939857288477
5m,vwap_w,SE_high_w,UP_SMOOTH,7146,-0.3800363526942074,0.013014273719563391,0.005737475510775259,0.07822558074447243,0.09837671424573188,0.3253568429890848,0.14343688776938146,0.18191995521970333,0.46879373075846625,4.415057374755108,0.18191995521970333
5m,price_sigma_w,vwap_w,FLAT_SMOOTH,9885,-0.2358922773185469,0.0077895801719777445,0.004147698533131006,0.09276681841173495,0.0836621143146181,0.19473950429944362,0.10369246332827516,0.09104704097116846,0.2984319676277188,4.410723318158826,0.09104704097116846
5m,price_mean_w,price_sigma_w,FLAT_SMOOTH,9885,-0.23846710907783522,0.007890743550834597,0.004147698533131006,0.08356095093576126,0.0928679817905918,0.19726858877086492,0.10369246332827516,0.09357612544258977,0.3009610520991401,4.410723318158826,0.09357612544258977
5m,price_sigma_w,vwap_w,UP_CHOPPY,3924,-0.5079025994806936,0.015035677879714576,0.007900101936799185,0.0998980632008155,0.07619775739041794,0.3758919469928644,0.1975025484199796,0.17838939857288477,0.573394495412844,4.402395514780836,0.17838939857288477
5m,price_mean_w,swing_noise_w,UP_SMOOTH,7146,-0.41896448749252985,0.017072488105233697,0.003778337531486146,0.08340330254687937,0.09235936188077246,0.4268122026308424,0.09445843828715365,0.33235376434368874,0.521270640917996,4.394066610691295,0.33235376434368874
15m,bar_range,vwap_w,UP_SMOOTH,7146,-0.3858140605078051,0.012594458438287154,0.005737475510775259,0.09613769941225861,0.07948502658830114,0.3148614609571789,0.14343688776938146,0.1714245731877974,0.45829834872656033,4.390568150013994,0.1714245731877974
5m,vwap_w,swing_noise_w,UP_SMOOTH,7146,-0.41786157922420936,0.016792611251049538,0.003778337531486146,0.08340330254687937,0.09193954659949623,0.41981528127623846,0.09445843828715365,0.3253568429890848,0.5142737195633921,4.38357122865939,0.3253568429890848
15m,price_velocity_w,SE_low_w,DOWN_SMOOTH,4662,-0.7340753062552565,0.019948519948519948,0.0,0.04332904332904333,0.13191763191763192,0.4987129987129987,0.0,0.4987129987129987,0.4987129987129987,4.381166881166881,0.4987129987129987
15m,bar_range,price_mean_w,UP_SMOOTH,7146,-0.3904722779282637,0.012174643157010915,0.005737475510775259,0.09571788413098237,0.07948502658830114,0.3043660789252729,0.14343688776938146,0.16092919115589144,0.44780296669465436,4.380072767982088,0.16092919115589144
15m,bar_range,vwap_w,FLAT_SMOOTH,9858,-0.4158475881160826,0.013694461351186854,0.0044633799959423815,0.09180361128017854,0.08338405356055995,0.3423615337796713,0.11158449989855954,0.2307770338811118,0.45394603367823083,4.379691621018463,0.2307770338811118
5m,bar_range,price_mean_w,FLAT_SMOOTH,9885,-0.3918893870908625,0.010925644916540212,0.006069802731411229,0.09084471421345473,0.08426909458775923,0.2731411229135053,0.15174506828528073,0.12139605462822456,0.424886191198786,4.377845220030348,0.12139605462822456
5m,bar_range,vwap_w,FLAT_SMOOTH,9885,-0.3928477724581669,0.010824481537683358,0.006069802731411229,0.09074355083459787,0.08426909458775923,0.2706120384420839,0.15174506828528073,0.1188669701568032,0.42235710672736465,4.375316135558927,0.1188669701568032
15m,bar_range,price_mean_w,FLAT_SMOOTH,9858,-0.414851072378634,0.01399878271454656,0.0044633799959423815,0.09180361128017854,0.08318117265165348,0.349969567863664,0.11158449989855954,0.23838506796510447,0.4615540677622235,4.3746195982958005,0.23838506796510447
1m,price_mean_w,swing_noise_w,UP_SMOOTH,7146,-0.3900231329274212,0.014553596417576267,0.00559753708368318,0.08004478029666946,0.0948782535684299,0.36383991043940667,0.1399384270920795,0.22390148334732718,0.5037783375314862,4.373075846627485,0.22390148334732718
1m,vwap_w,swing_noise_w,UP_SMOOTH,7146,-0.3892838765437595,0.014413657990484188,0.00559753708368318,0.08004478029666946,0.0947383151413378,0.3603414497621047,0.1399384270920795,0.2204030226700252,0.5002798768541842,4.369577385950182,0.2204030226700252
1h,price_mean_w,vol_mean_w,FLAT_SMOOTH,9750,-0.3923123855017785,0.0,0.009846153846153846,0.08246153846153846,0.09230769230769231,0.0,0.24615384615384617,-0.24615384615384617,0.24615384615384617,4.36923076923077,0.24615384615384617
1h,bar_range,price_mean_w,UP_SMOOTH,7146,-0.43503291721249543,0.01343408900083963,0.006717044500419815,0.09403862300587741,0.0804645955779457,0.33585222502099077,0.16792611251049538,0.16792611251049538,0.5037783375314862,4.3625804645955775,0.16792611251049538
1h,vwap_w,SE_low_w,FLAT_CHOPPY,18315,-0.4716207522935794,0.009172809172809172,0.007862407862407862,0.07922467922467923,0.09505869505869506,0.2293202293202293,0.19656019656019655,0.03276003276003275,0.42588042588042585,4.357084357084357,0.03276003276003275
1m,vwap_w,SE_high_w,UP_CHOPPY,3924,-0.47773526173107206,0.0127420998980632,0.0063710499490316,0.07492354740061162,0.09887869520897044,0.31855249745158,0.15927624872579,0.15927624872579,0.47782874617737,4.345056065239551,0.15927624872579
1m,price_mean_w,SE_high_w,UP_CHOPPY,3924,-0.4785858892304324,0.0127420998980632,0.0063710499490316,0.07492354740061162,0.09887869520897044,0.31855249745158,0.15927624872579,0.15927624872579,0.47782874617737,4.345056065239551,0.15927624872579
1h,vol_mean_w,vwap_w,FLAT_SMOOTH,9750,-0.3946490041685086,0.0,0.011076923076923076,0.09107692307692308,0.08246153846153846,0.0,0.2769230769230769,-0.2769230769230769,0.2769230769230769,4.338461538461538,0.2769230769230769
1m,price_sigma_w,vwap_w,UP_CHOPPY,3924,-0.46785542351695053,0.017329255861365953,0.006625891946992864,0.0983690112130479,0.07492354740061162,0.4332313965341488,0.1656472986748216,0.26758409785932724,0.5988786952089704,4.332313965341488,0.26758409785932724
1m,price_mean_w,price_sigma_w,UP_CHOPPY,3924,-0.4687528108022829,0.017329255861365953,0.006625891946992864,0.07492354740061162,0.0983690112130479,0.4332313965341488,0.1656472986748216,0.26758409785932724,0.5988786952089704,4.332313965341488,0.26758409785932724
1h,bar_range,vwap_w,UP_SMOOTH,7146,-0.4237577653288855,0.01343408900083963,0.006717044500419815,0.09403862300587741,0.07878533445284075,0.33585222502099077,0.16792611251049538,0.16792611251049538,0.5037783375314862,4.320598936467954,0.16792611251049538
15m,vwap_w,SE_high_w,UP_SMOOTH,7146,-0.40149145643038026,0.014693534844668345,0.006017352364959418,0.07458718164007837,0.0982367758186398,0.36733837111670864,0.15043380912398543,0.2169045619927232,0.517772180240694,4.320598936467954,0.2169045619927232
1h,price_mean_w,SE_high_w,DOWN_CHOPPY,2988,-0.447795062943222,0.0,0.0,0.11646586345381527,0.05622489959839357,0.0,0.0,0.0,0.0,4.317269076305221,0.0
1m,bar_range,price_mean_w,UP_CHOPPY,3924,-0.4982316985884509,0.016055045871559634,0.0061162079510703364,0.0991335372069317,0.07339449541284404,0.40137614678899086,0.1529051987767584,0.24847094801223246,0.5542813455657493,4.313200815494394,0.24847094801223246
1m,bar_range,vwap_w,UP_CHOPPY,3924,-0.49786124732649834,0.016055045871559634,0.0061162079510703364,0.09887869520897044,0.07339449541284404,0.40137614678899086,0.1529051987767584,0.24847094801223246,0.5542813455657493,4.306829765545362,0.24847094801223246
15m,vwap_w,SE_low_w,UP_CHOPPY,3924,-0.6140076959141811,0.013761467889908258,0.011467889908256881,0.06804281345565749,0.10423037716615698,0.3440366972477064,0.286697247706422,0.05733944954128439,0.6307339449541285,4.306829765545362,0.05733944954128439
15m,price_mean_w,SE_low_w,UP_CHOPPY,3924,-0.6161103183307428,0.013761467889908258,0.011467889908256881,0.06804281345565749,0.10423037716615698,0.3440366972477064,0.286697247706422,0.05733944954128439,0.6307339449541285,4.306829765545362,0.05733944954128439
5m,vwap_w,SE_high_w,FLAT_SMOOTH,9885,-0.23875610998239102,0.011431461810824481,0.005361659079413252,0.08093070308548306,0.09104704097116843,0.28578654527061204,0.1340414769853313,0.15174506828528073,0.41982802225594334,4.299443601416288,0.15174506828528073
