tf,c1,c2,regime_2d,n,pearson,p_q4q4,p_q0q0,p_q4q0,p_q0q4,upper_lift,lower_lift,tail_asymmetry,joint_extreme,cross_extreme,abs_asym
15m,z_se_w,reversion_prob_w,UP_SMOOTH,7146,-0.15529709306583767,0.0,0.08984047019311503,0.10985166526728239,0.0,0.0,2.2460117548278755,-2.2460117548278755,2.2460117548278755,2.74629163168206,2.2460117548278755
5s,vol_accel_1b,vol_mean_w,DOWN_CHOPPY,2988,0.6331664760192762,0.09571619812583668,0.006024096385542169,0.00033467202141900936,0.07095046854082998,2.392904953145917,0.15060240963855423,2.2423025435073627,2.5435073627844713,1.7821285140562249,2.2423025435073627
15m,z_low_w,reversion_prob_w,DOWN_CHOPPY,2988,0.2144750318157049,0.00535475234270415,0.09504685408299866,0.06191432396251673,0.004016064257028112,0.13386880856760375,2.3761713520749663,-2.2423025435073627,2.51004016064257,1.648259705488621,2.2423025435073627
1m,vol_velocity_1b,bar_range,DOWN_CHOPPY,2988,0.2430601273273759,0.1000669344042838,0.010374832663989291,0.0023427041499330657,0.06325301204819277,2.501673360107095,0.25937081659973227,2.2423025435073627,2.7610441767068274,1.6398929049531459,2.2423025435073627
5s,vol_accel_1b,vol_mean_w,DOWN_SMOOTH,4662,0.5701097467662237,0.09695409695409696,0.007293007293007293,0.000858000858000858,0.070999570999571,2.423852423852424,0.1823251823251823,2.241527241527242,2.606177606177606,1.7964392964392963,2.241527241527242
5s,bar_range,price_accel_w,UP_SMOOTH,7146,0.01809692921030604,0.08956059333893088,0.0,0.07584662748390708,0.0,2.239014833473272,0.0,2.239014833473272,2.239014833473272,1.896165687097677,2.239014833473272
1m,vol_velocity_1b,bar_range,FLAT_SMOOTH,9893,0.20953182370921408,0.0992621045183463,0.009804912564439503,0.0015162235924390983,0.06630951177600324,2.4815526129586574,0.24512281411098757,2.23642979884767,2.7266754270696447,1.6956433842110583,2.23642979884767
15m,vol_accel_1b,bar_range,DOWN_CHOPPY,2988,0.14364138355880832,0.09839357429718876,0.009370816599732263,0.006024096385542169,0.060240963855421686,2.459839357429719,0.23427041499330656,2.2255689424364125,2.694109772423025,1.6566265060240963,2.2255689424364125
1m,bar_range,vol_velocity_w,DOWN_CHOPPY,2988,0.2970254644062976,0.10341365461847389,0.014390896921017403,0.059571619812583666,0.0006693440428380187,2.585341365461847,0.35977242302543505,2.225568942436412,2.9451137884872822,1.506024096385542,2.225568942436412
1m,price_velocity_w,swing_noise_w,UP_CHOPPY,3924,0.1824422513898313,0.09531090723751275,0.0063710499490316,0.0005096839959225281,0.06829765545361875,2.3827726809378187,0.15927624872579,2.2234964322120288,2.5420489296636086,1.720183486238532,2.2234964322120288
1m,z_low_w,reversion_prob_w,FLAT_CHOPPY,18315,0.12254053625982496,0.00808080808080808,0.09680589680589681,0.07343707343707344,0.007753207753207753,0.20202020202020202,2.42014742014742,-2.218127218127218,2.622167622167622,2.0297570297570298,2.218127218127218
1h,vol_velocity_1b,vol_velocity_w,FLAT_SMOOTH,9738,0.17367609065325332,0.09858287122612445,0.009858287122612447,0.011090573012939002,0.08256315465187923,2.4645717806531113,0.24645717806531117,2.2181146025878,2.7110289587184226,2.3413431916204557,2.2181146025878
5s,vol_accel_1b,vol_sigma_w,UP_SMOOTH,7146,0.7058965980933599,0.0920794850265883,0.0033585222502099076,0.0,0.07052896725440806,2.3019871256647075,0.08396305625524769,2.2180240694094597,2.3859501819199553,1.7632241813602014,2.2180240694094597
