date,open,close,high,low,n_bars,first_dt,last_dt,close_diff_sum,range,net_move,directional_strength,efficiency_ratio,atr_20d,range_expansion,regime,direction_axis,variation_axis,regime_2d,split
2025-07-04,22985.25,22904.5,22999.5,22881.25,600,2025-07-04 07:00:00+00:00,2025-07-04 16:59:00+00:00,1682.75,118.25,-80.75,0.6828752642706131,0.0479869261625315,264.825,0.446521287642783,QUIET,DOWN,SMOOTH,DOWN_SMOOTH,IS
2025-07-06,22968.5,22937.5,23027.25,22914.5,540,2025-07-06 22:00:00+00:00,2025-07-07 06:59:00+00:00,1383.5,112.75,-31.0,0.2749445676274945,0.0224069389230213,262.375,0.429728442115293,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-07,22938.0,22947.0,23002.75,22780.25,1380,2025-07-07 07:00:00+00:00,2025-07-08 06:59:00+00:00,4720.0,222.5,9.0,0.0404494382022471,0.0019067796610169,250.2375,0.8891553024626604,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-08,22946.5,22896.0,22972.0,22841.0,1380,2025-07-08 07:00:00+00:00,2025-07-09 06:59:00+00:00,3958.0,131.0,-50.5,0.3854961832061068,0.0127589691763516,244.6875,0.5353767560664112,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-09,22896.25,22992.25,23111.25,22874.5,1380,2025-07-09 07:00:00+00:00,2025-07-10 06:59:00+00:00,3736.0,236.75,96.0,0.4054910242872228,0.025695931477516,251.3,0.942101074413052,TRANSITIONAL,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-10,22992.5,22957.0,23089.75,22830.75,1380,2025-07-10 07:00:00+00:00,2025-07-11 06:59:00+00:00,3909.75,259.0,-35.5,0.137065637065637,0.0090798644414604,253.075,1.0234120320063222,CHOP,FLAT,CHOPPY,FLAT_CHOPPY,IS
2025-07-11,22957.25,22937.25,23021.75,22852.75,840,2025-07-11 07:00:00+00:00,2025-07-11 20:59:00+00:00,3261.5,169.0,-20.0,0.1183431952662721,0.0061321477847616,248.025,0.681382925108356,CHOP,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-13,22864.5,22841.75,22889.25,22802.25,540,2025-07-13 22:00:00+00:00,2025-07-14 06:59:00+00:00,1186.5,87.0,-22.75,0.2614942528735632,0.0191740412979351,235.35,0.3696622052262587,QUIET,FLAT,SMOOTH,FLAT_SMOOTH,IS
2025-07-14,22842.25,23143.5,23173.75,22805.0,1380,2025-07-14 07:00:00+00:00,2025-07-15 06:59:00+00:00,3867.25,368.75,301.25,0.8169491525423729,0.0778977309457625,228.4375,1.6142270861833106,UP,UP,SMOOTH,UP_SMOOTH,IS
2025-07-15,23143.75,22971.5,23222.75,22965.25,1380,2025-07-15 07:00:00+00:00,2025-07-16 06:59:00+00:00,4378.75,257.5,-172.25,0.6689320388349514,0.0393377105338281,227.35,1.1326149109302837,DOWN,DOWN,CHOPPY,DOWN_CHOPPY,IS
