day,trades,pnl,wr
2025_05_07,2,-602.5,0.0
2025_05_08,1,-339.5,0.0
2025_05_09,1,31.5,100.0
2025_05_11,1,-43.5,0.0
2025_05_12,1,892.5,100.0
2025_05_13,1,785.0,100.0
2025_05_14,1,183.5,100.0
2025_05_15,1,79.5,100.0
2025_05_16,1,42.0,100.0
2025_05_18,1,85.5,100.0
2025_05_19,1,364.0,100.0
2025_05_20,1,243.0,100.0
2025_05_21,1,-536.0,0.0
2025_05_22,1,77.5,100.0
2025_05_23,1,487.5,100.0
2025_05_25,1,-69.5,0.0
2025_05_26,1,-65.0,0.0
2025_05_27,1,484.5,100.0
2025_05_28,1,-592.0,0.0
2025_05_29,1,-816.5,0.0
2025_05_30,2,-49.0,50.0
2025_06_01,1,-25.0,0.0
2025_06_02,1,-362.5,0.0
2025_06_03,1,-410.5,0.0
2025_06_04,1,-45.5,0.0
2025_06_05,1,-426.5,0.0
2025_06_06,1,528.0,100.0
2025_06_08,1,-42.0,0.0
2025_06_09,1,-124.0,0.0
2025_06_10,1,256.5,100.0
2025_06_11,1,-180.0,0.0
2025_06_12,1,-83.5,0.0
2025_06_13,1,219.0,100.0
2025_06_15,1,105.5,100.0
2025_06_16,1,247.5,100.0
2025_06_17,1,-306.0,0.0
2025_06_18,1,-35.0,0.0
2025_06_19,1,-10.5,0.0
2025_06_20,1,349.0,100.0
2025_07_01,1,380.5,100.0
2025_07_02,1,-268.5,0.0
2025_07_03,1,-362.5,0.0
2025_07_04,1,-252.0,0.0
2025_07_06,1,21.5,100.0
2025_07_07,1,224.5,100.0
2025_07_08,1,72.5,100.0
2025_07_09,1,284.5,100.0
2025_07_10,1,38.5,100.0
2025_07_11,1,-80.0,0.0
2025_07_13,1,-37.5,0.0
2025_07_14,2,-411.0,0.0
2025_07_15,1,24.5,100.0
2025_07_16,1,100.5,100.0
2025_07_17,1,-496.5,0.0
2025_07_18,1,-97.0,0.0
2025_07_20,1,-73.5,0.0
2025_07_21,1,-174.0,0.0
2025_07_22,1,-186.0,0.0
2025_07_23,1,295.0,100.0
2025_07_24,1,36.0,100.0
2025_07_25,1,89.5,100.0
2025_07_27,1,-34.5,0.0
2025_07_28,1,-2.5,0.0
2025_07_29,1,-94.0,0.0
2025_07_30,1,-475.5,0.0
2025_07_31,1,-848.5,0.0
2025_08_01,1,-833.5,0.0
2025_08_03,1,85.0,100.0
2025_08_04,2,-481.5,50.0
2025_08_05,1,-530.5,0.0
2025_08_06,1,-767.0,0.0
2025_08_07,1,-167.0,0.0
2025_08_08,1,-455.5,0.0
2025_08_10,1,-74.0,0.0
2025_08_11,1,164.0,100.0
2025_08_12,1,-633.5,0.0
2025_08_13,1,14.5,100.0
2025_08_14,1,130.5,100.0
2025_08_15,1,179.5,100.0
2025_08_17,1,12.5,100.0
2025_08_18,1,116.5,100.0
2025_08_19,1,-758.0,0.0
2025_08_20,1,191.5,100.0
2025_08_21,1,75.0,100.0
2025_08_22,1,683.5,100.0
2025_08_24,1,30.5,100.0
2025_08_25,1,173.0,100.0
2025_08_26,1,-225.5,0.0
2025_08_27,2,68.5,50.0
2025_08_28,1,-468.0,0.0
2025_08_29,1,-570.5,0.0
2025_08_31,1,-139.5,0.0
2025_09_01,1,-202.5,0.0
2025_09_02,2,-125.5,50.0
2025_09_03,1,226.0,100.0
2025_09_04,3,-571.0,0.0
2025_09_05,1,115.0,100.0
2025_09_07,1,-221.0,0.0
2025_09_08,1,74.5,100.0
2025_09_09,1,162.5,100.0
2025_09_10,1,-21.0,0.0
2025_09_11,1,258.5,100.0
2025_09_12,1,203.0,100.0
2025_09_14,1,8.5,100.0
2025_09_15,1,408.0,100.0
2025_09_16,1,15.5,100.0
2025_09_17,1,-61.5,0.0
2025_09_18,1,322.5,100.0
2025_09_19,1,231.0,100.0
2025_10_01,1,-454.0,0.0
2025_10_02,1,-157.0,0.0
2025_10_03,1,326.0,100.0
2025_10_05,1,-37.5,0.0
2025_10_06,1,-140.5,0.0
2025_10_07,1,209.5,100.0
2025_10_08,1,-605.5,0.0
2025_10_09,1,-76.0,0.0
2025_10_10,1,-2290.0,0.0
2025_10_12,1,178.5,100.0
2025_10_13,1,286.5,100.0
2025_10_14,1,304.0,100.0
2025_10_15,1,-329.0,0.0
2025_10_16,2,-202.0,50.0
2025_10_17,1,-492.5,0.0
2025_10_19,1,-72.0,0.0
2025_10_20,1,706.0,100.0
2025_10_21,1,167.5,100.0
2025_10_22,1,-491.5,0.0
2025_10_23,1,638.5,100.0
2025_10_24,1,-417.0,0.0
2025_10_26,1,25.0,100.0
2025_10_27,1,-535.5,0.0
2025_10_28,1,-396.0,0.0
2025_10_29,1,117.5,100.0
2025_10_30,1,-249.5,0.0
2025_10_31,1,-326.0,0.0
2025_11_02,1,42.5,100.0
2025_11_03,1,98.5,100.0
2025_11_04,1,-1107.0,0.0
2025_11_05,1,574.5,100.0
2025_11_06,1,-799.0,0.0
2025_11_07,1,-125.0,0.0
2025_11_09,1,-27.0,0.0
2025_11_10,1,859.5,100.0
2025_11_11,1,-170.5,0.0
2025_11_12,1,261.5,100.0
2025_11_13,1,-937.0,0.0
2025_11_14,2,6.0,50.0
2025_11_16,1,167.0,100.0
2025_11_17,1,-489.5,0.0
2025_11_18,1,-652.0,0.0
2025_11_19,1,1083.5,100.0
2025_11_20,1,1967.0,100.0
2025_11_21,1,-403.5,0.0
2025_11_23,1,-9.0,0.0
2025_11_24,1,1045.5,100.0
2025_11_25,1,-287.0,0.0
2025_11_26,1,442.0,100.0
2025_11_27,1,0.5,100.0
2025_11_28,1,-287.0,0.0
2025_11_30,1,99.0,100.0
2025_12_01,1,-100.0,0.0
2025_12_02,1,465.0,100.0
2025_12_03,1,-26.0,0.0
2025_12_04,1,56.5,100.0
2025_12_05,1,-208.0,0.0
2025_12_07,1,3.5,100.0
2025_12_08,1,-8.0,0.0
2025_12_09,1,-100.0,0.0
2025_12_10,1,99.5,100.0
2025_12_11,1,-104.5,0.0
2025_12_12,1,-908.5,0.0
2025_12_14,1,10.0,100.0
2025_12_15,1,-283.5,0.0
2025_12_16,1,116.5,100.0
2025_12_17,1,704.0,100.0
2025_12_18,1,-620.0,0.0
2025_12_19,1,218.5,100.0
