day,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,exit,exit_z_1m,exit_p_center,exit_wick_5m
2025_02_06,18:14,1738865640,long,21822.75,21816.75,-12.0,36,1.5,center_reached,-0.5504487,0.688732,0.90677965
2025_02_07,04:32,1738902720,long,21861.5,21860.75,-1.5,21,3.0,center_reached,-0.5339812,0.69431597,0.93333334
2025_02_07,12:04,1738929840,long,21871.75,21868.25,-7.0,23,2.5,center_reached,-0.49747524,0.70618194,0.93333334
2025_02_07,16:43,1738946580,short,21656.75,21653.25,7.0,36,7.0,center_reached,0.47327498,0.71364695,0.9888268
2025_02_07,17:54,1738950840,long,21670.0,21656.0,-28.0,36,0.0,center_reached,-0.30285013,0.7565109,0.8703704
2025_02_11,07:07,1739257620,short,21768.25,21773.0,-9.5,10,0.0,center_reached,-0.5201283,0.69890296,0.8888889
2025_02_12,00:38,1739320680,long,21821.0,21817.5,-7.0,27,1.5,center_reached,-0.47491857,0.71315026,0.96153843
2025_02_12,17:13,1739380380,long,21786.5,21776.5,-20.0,72,0.0,center_reached,0.084995985,0.7845655,0.8046875
2025_02_13,02:37,1739414220,long,21888.75,21892.0,6.5,26,8.5,center_reached,0.70684195,0.62921065,0.61764705
2025_02_17,00:02,1739750520,long,22211.0,22211.25,0.5,23,0.5,center_reached,-0.3367049,0.7494021,0.9791667
2025_02_17,17:48,1739814480,long,22236.5,22233.0,-7.0,32,0.0,center_reached,-0.11216318,0.782773,0.9310345
2025_02_18,09:58,1739872680,long,22274.5,22267.5,-14.0,33,0.0,center_reached,0.025980685,0.78675973,0.969697
2025_02_19,11:04,1739963040,long,22218.75,22213.75,-10.0,35,5.5,center_reached,-0.26880428,0.7629297,0.8888889
2025_02_20,03:27,1740022020,long,22181.25,22178.0,-6.5,22,0.0,center_reached,-0.40791115,0.7321431,0.9142857
2025_02_20,03:36,1740022560,short,22179.75,22188.25,-17.0,67,1.0,center_reached,0.07101583,0.78529596,1.0
2025_02_20,16:39,1740069540,long,22032.5,22033.5,2.0,36,5.5,center_reached,0.26759565,0.76314396,0.8489209
2025_02_20,20:24,1740083040,long,22099.75,22118.25,37.0,96,41.0,center_reached,0.06803938,0.7854346,0.962963
2025_02_21,13:08,1740143280,long,22215.5,22208.25,-14.5,35,0.5,center_reached,-0.71516585,0.62574726,0.8611111
2025_02_21,13:18,1740143880,short,22219.25,22227.5,-16.5,36,0.0,center_reached,0.2910395,0.75882107,0.9259259
2025_02_21,14:04,1740146640,short,22226.0,22227.75,-3.5,36,1.0,center_reached,-0.34905097,0.74663186,0.9405941
2025_02_21,16:48,1740156480,long,21989.75,21980.0,-19.5,24,0.0,center_reached,-0.44853574,0.7209378,0.9583333
2025_02_21,19:54,1740167640,short,21692.0,21703.75,-23.5,48,5.0,center_reached,-0.50608116,0.7034495,0.8759124
2025_02_24,06:50,1740379800,short,21784.25,21785.25,-2.0,9,1.0,center_reached,-0.30609107,0.7558615,0.45714286
2025_02_24,10:44,1740393840,long,21766.5,21768.25,3.5,43,7.5,center_reached,0.16633931,0.7777335,0.8888889
2025_02_24,15:17,1740410220,short,21454.75,21577.5,-245.5,108,1.0,center_reached,0.5034576,0.70428675,0.38289964
2025_02_25,01:33,1740447180,long,21423.25,21447.0,47.5,96,47.5,center_reached,0.6715752,0.6435803,0.30555555
2025_02_25,06:48,1740466080,short,21422.0,21422.75,-1.5,35,3.0,center_reached,0.6589328,0.6486065,0.88
2025_02_25,13:18,1740489480,long,21430.0,21417.5,-25.0,154,5.5,center_reached,-0.08017318,0.78483224,0.9830508
2025_02_25,19:48,1740512880,long,21199.5,21177.25,-44.5,36,0.0,center_reached,-0.11619774,0.78246486,0.9883041
2025_02_25,20:12,1740514320,long,21198.5,21193.0,-11.0,24,0.0,center_reached,-0.39693576,0.7350034,0.9444444
2025_02_26,07:49,1740556140,short,21290.5,21293.0,-5.0,22,0.0,center_reached,0.70088,0.6316748,0.9285714
2025_02_26,08:34,1740558840,short,21274.75,21282.25,-15.0,24,1.0,center_reached,-0.15217105,0.77923924,0.9142857
2025_02_26,14:18,1740579480,long,21240.5,21226.5,-28.0,12,1.0,center_reached,-0.20752418,0.772606,0.8507463
2025_02_26,18:12,1740593520,short,21243.75,21227.5,32.5,24,32.5,center_reached,0.48956627,0.7086574,0.9863946
2025_02_26,21:22,1740604920,short,21280.0,21160.25,239.5,24,450.0,center_reached,0.5781184,0.6790366,0.88203466
2025_02_27,07:03,1740639780,short,21278.0,21288.5,-21.0,23,0.0,center_reached,0.6146973,0.6656397,0.984375
2025_02_27,19:48,1740685680,short,20837.75,20852.75,-30.0,36,4.0,center_reached,0.25794,0.7648221,0.97790056
2025_02_27,23:32,1740699120,short,20662.25,20671.25,-18.0,23,7.0,center_reached,0.48470598,0.7101614,0.886076
2025_02_28,02:02,1740708120,long,20636.75,20626.25,-21.0,24,0.0,center_reached,-0.42624572,0.7272056,0.8967742
2025_02_28,02:08,1740708480,short,20630.0,20636.0,-12.0,36,2.0,center_reached,-0.29825982,0.7574193,0.972973
2025_02_28,07:18,1740727080,long,20590.5,20586.75,-7.5,35,3.5,center_reached,-0.01796268,0.7868779,0.9876543
2025_03_03,00:36,1740962160,long,20877.75,20861.75,-32.0,12,0.5,center_reached,-0.72099704,0.6233054,0.88461536
2025_03_03,00:38,1740962280,long,20870.25,20857.25,-26.0,12,0.0,center_reached,0.1495307,0.7795052,0.88461536
2025_03_03,02:32,1740969120,long,20928.25,20924.75,-7.0,23,2.5,center_reached,-0.17257386,0.777029,0.9878049
2025_03_03,12:47,1741006020,short,21073.25,21075.0,-3.5,23,4.5,center_reached,0.70508045,0.62994015,0.8888889
2025_03_03,17:44,1741023840,short,20947.75,20945.0,5.5,24,6.5,center_reached,0.12063654,0.7821133,0.98675495
2025_03_04,10:43,1741084980,short,20464.25,20464.0,0.5,36,6.0,center_reached,0.40243572,0.73357904,0.925
2025_03_04,17:04,1741107840,long,20308.5,20304.0,-9.0,48,0.0,center_reached,-0.647566,0.6530668,0.8993711
2025_03_05,01:28,1741138080,short,20528.75,20526.25,5.0,36,42.0,center_reached,-0.022737019,0.7868127,0.858156
2025_03_05,07:02,1741158120,short,20558.75,20570.0,-22.5,12,0.0,center_reached,0.6294775,0.6600468,0.86614174
2025_03_05,11:14,1741173240,short,20546.5,20538.0,17.0,46,27.5,center_reached,0.66264915,0.64713603,0.95454544
2025_03_05,12:23,1741177380,long,20492.0,20469.75,-44.5,24,0.0,center_reached,-0.6842909,0.6384573,0.88666666
2025_03_05,14:34,1741185240,long,20411.5,20399.75,-23.5,24,29.5,center_reached,0.06503539,0.78556854,0.8901961
2025_03_06,17:23,1741281780,short,20189.0,20212.0,-46.0,36,0.0,center_reached,0.7418987,0.6144495,0.97461927
2025_03_07,01:54,1741312440,long,20190.0,20187.25,-5.5,9,0.0,center_reached,-0.49513578,0.70691776,0.97959185
2025_03_07,11:01,1741345260,long,20175.75,20152.75,-46.0,12,0.0,center_reached,-0.28216302,0.76049906,0.8854962
2025_03_07,11:07,1741345620,short,20179.75,20178.5,2.5,36,4.0,center_reached,0.05518058,0.78596544,0.46478873
2025_03_12,14:19,1741789140,long,19633.25,19612.5,-41.5,48,2.5,center_reached,-0.2836088,0.7602292,0.8377193
2025_03_13,16:40,1741884000,short,19300.0,19381.25,-162.5,144,20.0,center_reached,-0.027500656,0.7867325,0.1802721
2025_03_17,02:59,1742180340,short,19604.0,19606.25,-4.5,35,0.0,center_reached,-0.77399075,0.6005555,0.9148936
2025_03_17,06:01,1742191260,short,19594.75,19597.5,-5.5,8,0.0,center_reached,0.6053695,0.6691169,0.84210527
2025_03_17,22:24,1742250240,long,19841.75,19840.75,-2.0,42,8.0,center_reached,0.5900078,0.6747531,0.9268293
2025_03_17,23:41,1742254860,long,19830.75,19828.25,-5.0,19,1.0,center_reached,0.2535631,0.76556313,0.8333333
2025_03_17,23:44,1742255040,long,19826.25,19821.75,-9.0,10,0.0,center_reached,0.031159248,0.78666055,0.8333333
2025_03_19,06:32,1742365920,long,19524.25,19521.0,-6.5,19,0.0,center_reached,0.18564008,0.7754693,0.8902439
2025_04_01,20:40,1743540000,short,19582.75,19579.75,6.0,53,9.5,center_reached,0.75943476,0.6069003,0.38709676
2025_04_02,14:12,1743603120,long,19536.0,19510.0,-52.0,24,19.0,center_reached,-0.5930968,0.6736289,0.9788136
2025_04_03,18:24,1743704640,short,18766.75,18791.75,-50.0,36,0.0,center_reached,0.40799168,0.7321219,1.0
2025_04_04,02:40,1743734400,short,18662.0,18663.75,-3.5,50,0.0,center_reached,-0.13980317,0.7804451,0.6956522
2025_04_04,07:26,1743751560,long,18628.5,18618.25,-20.5,12,2.5,center_reached,-0.06924021,0.78537935,0.9266667
2025_04_07,11:19,1744024740,long,17169.5,17161.5,-16.0,48,4.5,center_reached,-0.5678714,0.6826722,0.8414634
2025_04_09,00:22,1744158120,short,16865.0,16877.75,-25.5,36,0.0,center_reached,0.49003646,0.7085112,0.8480392
2025_04_09,03:04,1744167840,short,17060.25,17048.25,24.0,35,24.0,center_reached,0.36347803,0.74327546,0.8578947
2025_04_09,05:14,1744175640,short,16825.25,16840.0,-29.5,36,0.0,center_reached,0.5719312,0.68123806,0.8662207
2025_04_09,22:24,1744237440,long,19318.5,19307.25,-22.5,34,4.0,center_reached,-0.74354595,0.61374485,0.90510947
2025_04_10,07:12,1744269120,short,19147.0,19170.0,-46.0,12,4.0,center_reached,0.4869923,0.70945555,0.9591837
2025_04_11,00:47,1744332420,long,18124.75,18155.75,62.0,24,71.5,center_reached,-0.705334,0.62983525,0.9261905
2025_04_11,19:19,1744399140,long,18817.75,18826.0,16.5,24,16.5,center_reached,-0.22973591,0.7693799,0.9672131
2025_04_11,19:32,1744399920,long,18825.0,18809.0,-32.0,24,0.0,center_reached,-0.32359782,0.75223947,0.85128206
2025_04_14,02:17,1744597020,short,19049.75,19046.75,6.0,12,6.0,center_reached,0.3891223,0.73699576,0.89411765
2025_04_14,03:47,1744602420,short,19060.0,19067.25,-14.5,12,4.5,center_reached,0.7249049,0.6216618,0.8915663
2025_04_14,05:48,1744609680,short,19087.75,19091.5,-7.5,22,1.0,center_reached,0.21017547,0.77223784,1.0
2025_04_14,13:14,1744636440,long,19184.5,19183.75,-1.5,48,2.0,center_reached,-0.37550706,0.7403796,0.9183673
2025_04_14,13:56,1744638960,short,19026.75,19072.25,-91.0,96,0.0,center_reached,-0.060433596,0.78576195,0.18930042
2025_04_14,17:33,1744651980,long,18880.5,18860.5,-40.0,24,0.0,center_reached,-0.61398405,0.665907,0.94690263
2025_04_16,23:49,1744847340,short,18407.25,18412.0,-9.5,46,2.5,center_reached,0.6664109,0.6456416,0.96
2025_04_17,19:17,1744917420,long,18383.25,18365.5,-35.5,12,0.0,center_reached,-0.34500548,0.74754995,0.9596774
2025_04_17,19:28,1744918080,short,18366.25,18402.25,-72.0,60,0.0,center_reached,0.68422586,0.6384837,0.613924
2025_04_21,10:14,1745230440,long,18171.5,18169.5,-4.0,19,3.0,center_reached,-0.19586043,0.7741712,0.9230769
2025_04_23,05:50,1745387400,long,18740.0,18738.25,-3.5,45,4.5,center_reached,-0.5437417,0.69102335,0.6440678
2025_04_23,15:09,1745420940,short,19046.25,19084.75,-77.0,60,0.0,center_reached,0.13281299,0.78108174,0.7254902
2025_04_23,19:34,1745436840,short,18775.0,18800.25,-50.5,48,6.5,center_reached,0.09581226,0.7839108,0.8926829
2025_04_24,07:16,1745478960,long,18706.5,18737.25,61.5,132,91.0,center_reached,0.13715367,0.7806902,0.89
2025_04_25,08:28,1745569680,short,19427.0,19418.25,17.5,23,20.5,center_reached,-0.49677554,0.70640236,0.91333336
2025_04_25,20:39,1745613540,short,19553.0,19569.0,-32.0,23,0.0,center_reached,0.0016650734,0.7869851,0.84615386
2025_04_28,18:04,1745863440,long,19376.5,19367.5,-18.0,24,0.0,center_reached,-0.7658627,0.60410696,0.9506173
2025_04_28,18:13,1745863980,long,19374.75,19365.75,-18.0,12,0.0,center_reached,-0.5002535,0.70530427,0.86538464
2025_04_29,18:13,1745950380,long,19664.0,19661.25,-5.5,36,4.5,center_reached,-0.6818587,0.6394424,0.9027778
2025_04_30,08:46,1746002760,short,19567.0,19582.75,-31.5,83,0.0,center_reached,0.26800984,0.76307064,0.55
2025_05_02,03:21,1746156060,short,19970.5,19974.5,-8.0,12,1.0,center_reached,-0.42573363,0.7273461,0.8333333
2025_05_02,11:46,1746186360,short,19910.75,19921.75,-22.0,90,1.5,center_reached,0.76743084,0.6034235,0.5967742
2025_05_02,13:34,1746192840,short,20088.75,20105.5,-33.5,36,17.5,center_reached,-0.1817233,0.77594864,0.9130435
2025_05_02,13:38,1746193080,long,20084.5,20047.75,-73.5,24,4.5,center_reached,0.019735718,0.78685546,0.9625468
2025_05_02,17:23,1746206580,short,20222.0,20214.25,15.5,24,24.0,center_reached,0.010742047,0.78694737,0.89361703
2025_05_05,03:12,1746414720,short,20034.75,20045.0,-20.5,24,0.0,center_reached,0.42312723,0.72805935,0.9705882
2025_05_05,17:45,1746467100,long,20144.25,20135.5,-17.5,84,0.0,center_reached,-0.422739,0.72816527,0.3768116
2025_05_06,00:02,1746489720,short,20008.0,20015.75,-15.5,12,0.0,center_reached,0.46054906,0.71744084,0.85714287
2025_05_07,09:13,1746609180,long,20001.75,20003.75,4.0,23,4.0,center_reached,-0.33380768,0.7500385,0.84931505
2025_05_07,10:53,1746615180,long,20002.0,19988.5,-27.0,23,0.0,center_reached,-0.7380411,0.6160958,0.8541667
2025_05_07,19:52,1746647520,long,19874.25,19904.0,59.5,24,59.5,center_reached,-0.6915312,0.6355107,0.8704663
2025_05_08,13:23,1746710580,short,20173.25,20177.75,-9.0,36,0.0,center_reached,-0.582339,0.677524,0.8472222
2025_05_09,03:40,1746762000,short,20157.0,20165.0,-16.0,58,0.0,center_reached,-0.0722665,0.78523594,0.754717
2025_05_12,05:59,1747029540,long,20555.25,20552.5,-5.5,64,2.0,center_reached,-0.5523394,0.6880819,0.93939394
2025_05_12,09:22,1747041720,long,20889.25,20878.0,-22.5,24,2.0,center_reached,-0.09823833,0.7837533,0.83516484
2025_05_12,18:12,1747073520,long,20908.25,20898.0,-20.5,12,0.0,center_reached,-0.20615442,0.7727944,0.83908045
2025_05_13,07:08,1747120080,short,20850.0,20854.0,-8.0,12,4.0,center_reached,0.09796524,0.7837712,0.87096775
2025_05_13,10:07,1747130820,long,20867.0,20865.0,-4.0,23,0.0,center_reached,-0.6206673,0.6633928,0.9230769
2025_05_14,00:38,1747183080,short,21271.0,21271.75,-1.5,30,13.5,center_reached,0.044060342,0.7863353,1.0
2025_05_14,12:55,1747227300,short,21322.5,21324.5,-4.0,44,0.0,center_reached,0.5939921,0.6733022,0.9701493
2025_05_14,18:13,1747246380,long,21359.5,21353.0,-13.0,36,0.0,center_reached,0.24926724,0.7662784,0.97619045
2025_05_15,00:28,1747268880,long,21377.5,21378.75,2.5,35,2.5,center_reached,0.57496506,0.680161,0.9074074
2025_05_15,06:49,1747291740,short,21348.0,21350.0,-4.0,31,4.0,center_reached,0.46416298,0.7163728,1.0
2025_05_15,09:37,1747301820,long,21238.25,21235.5,-5.5,24,0.0,center_reached,-0.6392421,0.656297,0.9354839
2025_05_15,14:14,1747318440,long,21293.25,21300.25,14.0,48,26.5,center_reached,-0.39711556,0.73495716,0.8413793
2025_05_16,01:11,1747357860,short,21355.25,21366.5,-22.5,46,0.0,center_reached,0.76680017,0.60369843,0.7234042
2025_05_16,02:14,1747361640,long,21373.25,21370.0,-6.5,41,0.0,center_reached,0.1266723,0.7816143,0.8867925
2025_05_16,12:23,1747398180,long,21498.5,21494.25,-8.5,23,1.0,center_reached,-0.67590785,0.64184225,1.0
2025_05_16,12:29,1747398540,long,21498.25,21492.5,-11.5,47,0.0,center_reached,-0.43068254,0.725981,0.8372093
2025_05_16,13:29,1747402140,long,21458.25,21477.0,37.5,48,87.0,center_reached,-0.06847252,0.78541476,0.8821138
2025_05_19,02:02,1747620120,long,21271.75,21273.75,4.0,24,4.0,center_reached,-0.3718888,0.74125993,0.8857143
2025_05_19,04:01,1747627260,short,21205.0,21210.25,-10.5,101,8.5,center_reached,-0.07016164,0.7853363,0.4225352
2025_05_19,05:09,1747631340,short,21223.25,21224.25,-2.0,12,6.0,center_reached,0.52877027,0.6960534,0.96825397
2025_05_20,06:07,1747721220,short,21411.25,21410.5,1.5,23,1.5,center_reached,0.43607813,0.72447634,0.9166667
2025_05_20,06:15,1747721700,short,21410.25,21414.5,-8.5,36,4.0,center_reached,0.38534805,0.737945,0.39344263
2025_05_20,14:31,1747751460,long,21407.75,21396.0,-23.5,36,0.5,center_reached,-0.5192813,0.6991801,0.60215056
2025_05_21,01:03,1747789380,long,21417.25,21416.75,-1.0,24,0.0,center_reached,0.6782059,0.64091724,0.8453608
2025_05_21,01:10,1747789800,short,21420.0,21431.25,-22.5,65,0.0,center_reached,0.35385516,0.7455284,0.8636364
2025_05_22,00:01,1747872060,long,21145.75,21139.75,-12.0,12,0.0,center_reached,0.48260587,0.71080726,1.0
2025_05_22,13:21,1747920060,long,21213.5,21173.5,-80.0,144,4.0,center_reached,-0.3024576,0.75658906,0.7619048
2025_05_22,13:42,1747921320,short,21165.0,21191.0,-52.0,12,11.0,center_reached,0.42583308,0.7273188,0.97402596
2025_05_23,16:04,1748016240,short,20936.5,20972.0,-71.0,24,0.0,center_reached,-0.65458554,0.650319,0.87623763
2025_05_23,18:48,1748026080,long,21040.75,21027.0,-27.5,24,0.0,center_reached,-0.27459446,0.7618902,0.9512195
2025_05_27,14:41,1748356860,long,21373.0,21379.75,13.5,60,21.0,center_reached,-0.65241826,0.65116966,0.55714285
2025_05_27,15:42,1748360520,long,21383.0,21377.25,-11.5,24,0.0,center_reached,-0.29159373,0.7587147,0.9354839
2025_05_28,00:23,1748391780,short,21465.75,21469.75,-8.0,12,0.5,center_reached,0.618754,0.66411465,0.8684211
2025_05_28,09:08,1748423280,short,21426.75,21429.75,-6.0,20,0.0,center_reached,0.572913,0.68089,0.925
2025_05_28,11:34,1748432040,short,21498.5,21506.5,-16.0,35,0.0,center_reached,-0.16198155,0.77821076,0.86585367
2025_05_28,17:28,1748453280,long,21481.0,21475.0,-12.0,36,2.5,center_reached,-0.48677257,0.7095235,0.86153847
2025_05_29,06:54,1748501640,short,21780.5,21781.0,-1.0,21,2.5,center_reached,0.40901318,0.73185194,0.8375
2025_06_02,23:19,1748906340,long,21522.5,21509.75,-25.5,121,25.0,center_reached,-0.38103622,0.7390189,0.5538462
2025_06_03,03:53,1748922780,long,21457.5,21460.0,5.0,22,5.0,center_reached,-0.52439606,0.6975007,0.9347826
2025_06_03,05:32,1748928720,short,21467.0,21468.25,-2.5,11,0.0,center_reached,-0.6928721,0.6349626,0.9692308
2025_06_03,07:09,1748934540,short,21471.75,21477.0,-10.5,33,2.5,center_reached,-0.34411588,0.7477505,1.0
2025_06_03,07:14,1748934840,long,21465.25,21465.75,1.0,29,5.0,center_reached,-0.18098171,0.7760382,0.8333333
2025_06_04,17:32,1749058320,long,21770.75,21767.75,-6.0,12,0.0,center_reached,-0.3731855,0.74094534,0.9423077
2025_06_04,19:41,1749066060,long,21775.25,21770.0,-10.5,12,0.0,center_reached,-0.6086383,0.66790307,0.8764045
2025_06_06,10:02,1749204120,long,21679.5,21673.0,-13.0,12,0.0,center_reached,-0.5708283,0.68162847,0.9375
2025_06_06,13:59,1749218340,long,21840.75,21815.5,-50.5,48,0.0,center_reached,0.31839293,0.7533364,0.9490446
2025_06_06,16:56,1749228960,long,21751.25,21728.5,-45.5,12,0.0,center_reached,-0.6741262,0.6425579,0.8943662
2025_06_08,23:47,1749426420,short,21761.0,21764.75,-7.5,12,0.0,center_reached,-0.25142226,0.76592106,0.9230769
2025_06_09,14:27,1749479220,long,21856.25,21858.5,4.5,24,8.5,center_reached,-0.6790233,0.6405876,0.8333333
2025_06_11,00:46,1749602760,long,21924.0,21925.25,2.5,66,12.5,center_reached,0.052660014,0.7860565,0.4390244
2025_06_11,15:49,1749656940,long,22005.75,21979.0,-53.5,12,0.0,center_reached,-0.35560372,0.74512327,0.9681529
2025_06_12,01:03,1749690180,short,21801.5,21806.25,-9.5,35,0.0,center_reached,0.7396612,0.615405,0.9166667
2025_06_12,11:31,1749727860,long,21764.25,21758.0,-12.5,12,0.0,center_reached,-0.09694352,0.78383785,0.9777778
2025_06_13,05:24,1749792240,long,21547.75,21552.75,10.0,21,10.0,center_reached,-0.611935,0.66667366,0.88505745
