day,trades,pnl,wr
2025_05_13,42,273.0,45.23809523809524
2025_05_14,45,695.5,46.666666666666664
2025_05_15,46,918.0,47.82608695652174
2025_05_16,51,522.5,39.21568627450981
2025_05_18,5,130.0,60.0
2025_05_19,54,946.5,38.88888888888889
2025_05_20,43,1071.5,53.48837209302325
2025_05_21,44,690.5,34.090909090909086
2025_05_22,47,793.0,40.42553191489361
2025_05_23,41,797.0,43.90243902439025
2025_05_25,4,52.5,50.0
2025_05_26,29,108.0,27.586206896551722
2025_05_27,40,609.0,37.5
2025_05_28,42,627.5,47.61904761904761
2025_05_29,54,842.5,46.2962962962963
2025_05_30,40,1159.0,45.0
2025_06_01,2,-9.5,0.0
2025_06_02,41,570.0,31.70731707317073
2025_06_03,38,726.5,63.1578947368421
2025_06_04,40,429.5,52.5
2025_06_05,42,944.5,47.61904761904761
2025_06_06,40,1025.5,52.5
2025_06_08,2,52.5,50.0
2025_06_09,38,530.0,39.473684210526315
2025_06_10,43,491.0,41.86046511627907
2025_06_11,39,710.5,48.717948717948715
2025_06_12,42,561.5,42.857142857142854
2025_06_13,52,407.5,30.76923076923077
2025_06_15,3,38.0,33.33333333333333
2025_06_16,34,513.0,50.0
2025_06_17,36,454.0,27.77777777777778
2025_06_18,30,700.5,50.0
2025_06_19,18,245.0,27.77777777777778
2025_06_20,5,237.5,60.0
2025_07_01,52,-38.5,26.923076923076923
2025_07_02,38,250.5,36.84210526315789
2025_07_03,42,309.0,30.952380952380953
2025_07_04,23,317.0,52.17391304347826
2025_07_06,3,2.5,33.33333333333333
2025_07_07,48,462.0,29.166666666666668
2025_07_08,44,341.0,38.63636363636363
2025_07_09,43,581.5,48.837209302325576
2025_07_10,37,584.5,48.64864864864865
2025_07_11,37,557.5,40.54054054054054
2025_07_13,3,136.0,100.0
2025_07_14,41,420.0,41.46341463414634
2025_07_15,44,529.5,50.0
2025_07_16,42,583.0,40.476190476190474
2025_07_17,41,422.0,41.46341463414634
2025_07_18,41,94.5,34.146341463414636
2025_07_20,4,38.5,50.0
2025_07_21,42,333.5,30.952380952380953
