trade_id,time,timestamp,dir,entry_price,exit_price,pnl,exit,held,peak,entry_z,entry_vr,entry_dmi,entry_vol,entry_hurst,exit_z,exit_vr,exit_dmi,exit_z_5m,exit_z_15m,exit_z_1h,exit_dmi_1h,approach_length,path_length,regret_peak_pnl,regret_peak_bar,regret_breakeven_bar,regret_peak_time_min,regret_lifespan_min,day
2,23:06,1767740760.0,short,25839.75,25830.0,19.5,opposite_extreme,52,19.5,2.8991405963897705,0.7361499667167664,10.501410484313965,3.194166898727417,0.6357077956199646,-2.1433446407318115,0.7148463129997253,-7.098495006561279,0.9900333285331726,-1.0059385299682617,0.4182947278022766,20.99479103088379,10,53,48.0,306,-1,25.5,-1.0,2026_01_06
3,23:28,1767742080.0,long,25830.0,25825.5,-9.0,opposite_extreme,199,16.0,-2.1433446407318115,0.7148463129997253,-7.098495006561279,1.3050928115844727,0.7132141590118408,1.950276494026184,0.33589252829551697,-8.991778373718262,-0.8611268997192383,-1.3017659187316895,0.4182947278022766,20.99479103088379,10,200,1.5,250,-1,20.833333333333332,-1.0,2026_01_06
0,02:51,1767754260.0,short,25811.25,25805.75,11.0,opposite_extreme,82,11.0,2.191774368286133,0.39915528893470764,0.0237616878002882,1.0233970880508423,0.8345921635627747,-2.305497407913208,0.3419843316078186,-9.699098587036133,-0.6256406307220459,-1.1247583627700806,-0.8735543489456177,16.482419967651367,10,83,19.0,23,97,1.9166666666666667,8.083333333333334,2026_01_07
1,12:59,1767790740.0,long,25762.25,25766.25,8.0,momentum_exhausted,43,8.5,-2.06553053855896,0.6325662136077881,-7.004674911499023,1.0422534942626953,1.0,-0.29585760831832886,0.45851004123687744,-2.0718727111816406,-1.1113247871398926,0.642765462398529,-0.2746385335922241,4.894728660583496,10,44,9.0,0,13,0.0,1.0833333333333333,2026_01_07
0,00:15,1767831300.0,long,25817.0,25825.0,16.0,opposite_extreme,48,16.0,-2.4254190921783447,0.41201862692832947,-15.968599319458008,1.0562993288040161,0.7526900172233582,1.842515468597412,0.4948568046092987,2.2831404209136963,0.21672135591506958,0.7837445735931396,-0.8946511745452881,2.6512489318847656,10,49,20.5,6,116,0.5,9.666666666666666,2026_01_08
1,14:13,1767881580.0,short,25800.0,25797.75,4.5,opposite_extreme,108,5.0,2.0320284366607666,0.3825210928916931,15.029982566833496,2.9033119678497314,0.5843887329101562,-1.5057613849639893,0.4671809673309326,5.0196733474731445,-1.5010664463043213,0.4528488516807556,-1.8695216178894043,-16.971065521240234,10,109,453.5,604,-1,50.333333333333336,-1.0,2026_01_08
2,15:40,1767886800.0,long,25657.0,25672.75,31.5,opposite_extreme,60,31.5,-2.38748836517334,0.42842453718185425,-8.100342750549316,1.1940897703170776,0.6151800751686096,1.0149967670440674,0.7293935418128967,-1.7374874353408813,1.0250242948532104,-0.2947629988193512,-0.15970292687416077,-17.3444881439209,10,61,14.0,1,2,0.08333333333333333,0.16666666666666666,2026_01_08
3,16:25,1767889500.0,short,25659.75,25638.25,43.0,momentum_exhausted,60,43.0,2.3374998569488525,0.507521390914917,1.1079378128051758,1.0544118881225586,0.6400273442268372,-0.37017202377319336,0.5192307233810425,-9.778321266174316,-0.9153892993927002,-0.6006379723548889,-0.39772942662239075,-15.537521362304688,10,61,148.0,139,250,11.583333333333334,20.833333333333332,2026_01_08
4,20:48,1767905280.0,long,25679.25,25686.25,14.0,momentum_exhausted,96,14.0,-2.318345785140991,0.2848259210586548,8.800292015075684,1.189199447631836,0.740808367729187,0.6001216769218445,0.23341770470142365,12.011210441589355,0.7176628112792969,1.2347975969314575,0.722563624382019,-8.734369277954102,10,97,25.0,14,24,1.1666666666666667,2.0,2026_01_08
0,00:32,1767918720.0,long,25685.0,25691.5,13.0,opposite_extreme,88,13.0,-2.4081904888153076,0.5079777240753174,3.9873063564300537,0.8155470490455627,0.634655773639679,1.1054573059082031,0.9830900430679321,12.105266571044922,1.7013479471206665,-0.7198358178138733,0.2723071873188019,-5.306689739227295,10,89,16.5,65,86,5.416666666666667,7.166666666666667,2026_01_09
1,01:10,1767921000.0,short,25677.75,25672.0,11.5,momentum_exhausted,53,16.0,2.568356990814209,0.3937681317329407,-2.369380474090576,1.3483524322509766,0.8353155255317688,0.704962432384491,0.2879166007041931,-3.7734286785125732,-0.9470691084861755,-1.3586705923080444,0.07851172238588333,-9.127923011779785,10,54,99.5,305,790,25.416666666666668,65.83333333333333,2026_01_09
2,02:19,1767925140.0,long,25653.5,25673.0,39.0,opposite_extreme,125,39.0,-2.255476713180542,0.26037153601646423,9.84540843963623,1.5497788190841675,0.6054958701133728,3.097548246383667,0.5558074116706848,25.18874168395996,1.9569636583328247,1.4267503023147583,0.7590122222900391,-7.0337982177734375,10,126,94.0,1847,2540,153.91666666666666,211.66666666666666,2026_01_09
3,11:05,1767956700.0,long,25724.5,25732.5,16.0,opposite_extreme,40,16.0,-2.40262508392334,0.5141018033027649,-6.200255393981934,2.190324306488037,0.5802984833717346,1.5339998006820679,0.8700047731399536,8.02808666229248,-1.550003170967102,0.24557137489318848,1.1301199197769165,4.308755397796631,10,41,19.0,14,99,1.1666666666666667,8.25,2026_01_09
4,12:09,1767960540.0,short,25748.25,25744.0,8.5,momentum_exhausted,41,8.5,2.1467034816741943,0.2386457324028015,1.0331007242202759,0.8874675035476685,0.7187882661819458,0.14447656273841858,0.2777777910232544,-3.37176251411438,-0.9818515181541443,-1.0666340589523315,1.3065232038497925,2.939540147781372,10,42,68.0,300,530,25.0,44.166666666666664,2026_01_09
