day,entry_ts,leg_dir,entry_price,leg_amplitude_pts,leg_amplitude_usd,leg_duration_min,r_price,pnl_at_R_usd,entry_zone,entry_cloud_state,entry_p_mid,entry_p_early,entry_p_late,entry_p_b6_long,entry_p_b6_short,entry_p_b6_match
2026_03_20,1774007489,LONG,24410.5,48.0,96.0,9.0,33.0,30.0,NEAR_PIVOT,FLAT,0.3447972018464466,0.32183061465336227,0.3333721835001911,0.7489285122471242,0.10722129550206524,0.7489285122471242
2026_03_20,1774008029,SHORT,24465.0,28.75,57.5,4.0,33.0,-8.5,NEAR_PIVOT,FLAT,0.3227077907624583,0.4966256608775063,0.1806665483600354,0.19940534946522806,0.6247003084747236,0.6247003084747236
2026_03_20,1774008269,LONG,24432.0,65.25,130.5,6.0,33.0,64.5,NEAR_5m,RISING,0.3156800284390409,0.40842734296554783,0.2758926285954112,0.6095571544350579,0.24299588266270342,0.6095571544350579
2026_03_20,1774008629,SHORT,24497.25,52.25,104.5,7.0,33.0,38.5,NEAR_PIVOT,FLAT,0.29605423338346465,0.32504473100733144,0.378901035609204,0.13757624928586404,0.7812955825553091,0.7812955825553091
2026_03_20,1774009049,LONG,24445.0,51.0,102.0,12.0,33.0,36.0,NEAR_PIVOT,FLAT,0.4185309204556456,0.3521408235922483,0.2293282559521061,0.7620515151779684,0.17486965055923134,0.7620515151779684
2026_03_20,1774009769,SHORT,24496.0,50.5,101.0,13.0,33.0,35.0,WATCH,DECAYING,0.4618004724433833,0.21929777342424472,0.31890175413237204,0.11434194114029313,0.6859657681500718,0.6859657681500718
2026_03_20,1774010549,LONG,24443.5,64.75,129.5,20.0,33.0,63.5,NEAR_3m,RISING,0.3713375420475861,0.2996572588521444,0.3290051991002695,0.5992474988456785,0.30374670385463365,0.5992474988456785
2026_03_20,1774011749,SHORT,24508.25,47.5,95.0,10.0,33.0,29.0,NEAR_PIVOT,RISING,0.24389223432957835,0.55301350890083,0.2030942567695917,0.6350317394495961,0.26292706349480793,0.26292706349480793
2026_03_20,1774012349,LONG,24459.5,58.0,116.0,13.0,33.0,50.0,NEAR_3m,FLAT,0.4056790484774339,0.2258088685498807,0.3685120829726853,0.6367783997958747,0.23589149201254406,0.6367783997958747
2026_03_20,1774013129,SHORT,24526.5,140.5,281.0,9.0,33.0,215.0,NEAR_PIVOT,FLAT,0.3626488039322113,0.21829741112350132,0.41905378494428736,0.12717969432872972,0.7102385304250399,0.7102385304250399
2026_03_20,1774013669,LONG,24386.0,77.5,155.0,11.0,33.0,89.0,NEAR_PIVOT,RISING,0.28358912871653064,0.4543962239503736,0.26201464733309565,0.4640098208371697,0.4289999749690647,0.4640098208371697
2026_03_20,1774014329,SHORT,24465.0,188.5,377.0,16.0,33.0,311.0,IMMINENT,FLAT,0.565818810926721,0.23928446040664414,0.19489672866663485,0.16294430291662965,0.7234027343637384,0.7234027343637384
2026_03_20,1774015289,LONG,24265.75,59.75,119.5,6.0,33.0,53.5,NEAR_PIVOT,RISING,0.18409463724241612,0.18295727884486454,0.6329480839127193,0.7553825948875857,0.194770582306731,0.7553825948875857
2026_03_20,1774015649,SHORT,24325.5,82.0,164.0,7.0,33.0,98.0,NEAR_PIVOT,FLAT,0.3587241290806332,0.23661518040386595,0.4046606905155008,0.47296295831776186,0.47695416649025657,0.47695416649025657
2026_03_20,1774016069,LONG,24241.0,54.0,108.0,3.0,33.0,42.0,NEAR_PIVOT,FLAT,0.29336765840410495,0.11212751937239367,0.5945048222235013,0.8213032629055843,0.13169033669277372,0.8213032629055843
2026_03_20,1774016249,SHORT,24292.75,38.75,77.5,6.0,33.0,11.5,NEAR_PIVOT,FLAT,0.4603319215184117,0.2706427734979626,0.26902530498362565,0.10645181197801912,0.8301613865758158,0.8301613865758158
2026_03_20,1774016609,LONG,24254.0,72.25,144.5,13.0,33.0,78.5,NEAR_PIVOT,FLAT,0.42257195244281964,0.2557239987885738,0.3217040487686066,0.6724910335257832,0.28389909065775604,0.6724910335257832
2026_03_20,1774017389,SHORT,24326.25,88.0,176.0,18.0,33.0,110.0,AT_PIVOT,FLAT,0.2773094240032354,0.4328215735433438,0.2898690024534208,0.5011924692848523,0.4232238777241015,0.4232238777241015
2026_03_20,1774018469,LONG,24232.5,73.5,147.0,6.0,33.0,81.0,NEAR_PIVOT,FLAT,0.3633879347797637,0.28073155976844544,0.3558805054517909,0.8091355013943916,0.12074966295227453,0.8091355013943916
2026_03_20,1774018829,SHORT,24316.0,77.25,154.5,8.0,33.0,88.5,NEAR_PIVOT,DECAYING,0.3069400094457792,0.5558303283599851,0.13722966219423563,0.1097261309956178,0.829725667728594,0.829725667728594
2026_03_20,1774019309,LONG,24238.75,67.5,135.0,6.0,33.0,69.0,NEAR_PIVOT,DECAYING,0.33303535948290025,0.3900005701026829,0.27696407041441684,0.7280875613443278,0.19635028439013466,0.7280875613443278
2026_03_20,1774019669,SHORT,24310.0,58.75,117.5,8.0,33.0,51.5,NEAR_PIVOT,RISING,0.33734749613912146,0.22535013373279822,0.43730237012808026,0.2730776384057865,0.6513165730717329,0.6513165730717329
2026_03_20,1774020149,LONG,24251.25,97.5,195.0,42.0,33.0,129.0,NEAR_3m,FLAT,0.3526406917306532,0.37704268496440807,0.27031662330493883,0.7995131116259452,0.16055472984911778,0.7995131116259452
2026_03_20,1774022669,SHORT,24353.25,40.75,81.5,5.0,33.0,15.5,NEAR_PIVOT,FLAT,0.47828122412379764,0.19146408435933096,0.33025469151687137,0.1143035796195682,0.7954464844935852,0.7954464844935852
2026_03_20,1774022969,LONG,24312.5,37.75,75.5,11.0,33.0,9.5,NEAR_PIVOT,FLAT,0.40707008967685543,0.4358549305922313,0.1570749797309133,0.48821394065496493,0.33753657587497693,0.48821394065496493
2026_03_20,1774023629,SHORT,24355.0,118.0,236.0,32.0,33.0,170.0,NEAR_3m,RISING,0.45859157290676067,0.2636197701005876,0.27778865699265165,0.13318010943269623,0.7695222076767301,0.7695222076767301
2026_03_20,1774025549,LONG,24237.0,62.0,124.0,5.0,33.0,58.0,NEAR_PIVOT,FLAT,0.3403830370138602,0.3331358724990109,0.32648109048712903,0.5794767551920862,0.3557076160783202,0.5794767551920862
2026_03_20,1774025849,SHORT,24299.0,47.75,95.5,8.0,33.0,29.5,NEAR_PIVOT,FLAT,0.2766431797706851,0.5107228632614853,0.21263395696782963,0.20984291086750181,0.7018541248782256,0.7018541248782256
2026_03_20,1774026329,LONG,24229.25,40.25,80.5,3.0,33.0,14.5,NEAR_3m,DECAYING,0.2864786573384084,0.5537099584707159,0.15981138419087568,0.7491109771698247,0.15882066177903864,0.7491109771698247
2026_03_20,1774026509,SHORT,24281.5,111.75,223.5,29.0,33.0,157.5,IMMINENT,FLAT,0.3872013142635935,0.3276771377729176,0.28512154796348893,0.1340966201775721,0.7534030765494835,0.7534030765494835
2026_03_20,1774028249,LONG,24169.75,32.5,65.0,3.0,33.0,-1.0,NEAR_PIVOT,RISING,0.21107715142133876,0.4483846963677407,0.34053815221092054,0.3227574428072231,0.5723036940557867,0.3227574428072231
2026_03_20,1774028429,SHORT,24209.0,32.25,64.5,7.0,33.0,-1.5,NEAR_3m,FLAT,0.2591404467209771,0.45359481820503517,0.28726473507398775,0.03637615975644205,0.8607275535092793,0.8607275535092793
2026_03_20,1774028849,LONG,24171.25,46.5,93.0,13.0,33.0,27.0,NEAR_3m,RISING,0.3403037812558363,0.333830506761293,0.3258657119828707,0.7530957267217953,0.1847828318924411,0.7530957267217953
2026_03_20,1774029629,SHORT,24219.0,101.5,203.0,24.0,33.0,137.0,NEAR_5m,DECAYING,0.36622688908791473,0.31796761205369717,0.3158054988583882,0.4274951471371023,0.4699820620103012,0.4699820620103012
2026_03_20,1774031069,LONG,24116.75,38.25,76.5,4.0,33.0,10.5,NEAR_PIVOT,FLAT,0.4061719830700162,0.30642131314318377,0.2874067037868001,0.6368347294575154,0.2649003014216414,0.6368347294575154
2026_03_20,1774031309,SHORT,24155.0,78.5,157.0,29.0,33.0,91.0,NEAR_PIVOT,FLAT,0.42603973982094523,0.3351983127318944,0.23876194744716026,0.4806586830986525,0.4124011835392537,0.4124011835392537
2026_03_20,1774033049,LONG,24074.25,41.75,83.5,5.0,33.0,17.5,NEAR_3m,FLAT,0.2564668463104663,0.1895781952640685,0.5539549584254653,0.6864751723658447,0.22350619524054208,0.6864751723658447
2026_03_20,1774033349,SHORT,24118.0,143.5,287.0,36.0,33.0,221.0,NEAR_3m,FLAT,0.38814651692506447,0.28789601720598446,0.3239574658689512,0.22832244790212267,0.7225972918185467,0.7225972918185467
2026_03_20,1774035509,LONG,23974.5,70.5,141.0,6.0,33.0,75.0,NEAR_PIVOT,FLAT,0.21429139425642918,0.4702420818857187,0.31546652385785223,0.7084346553419412,0.2365783484365755,0.7084346553419412
2026_03_20,1774035869,SHORT,24054.75,24.5,49.0,5.0,33.0,-17.0,NEAR_PIVOT,FLAT,0.29623697192741255,0.3509435995394246,0.3528194285331628,0.08280397917988722,0.8599072288509425,0.8599072288509425
2026_03_22,1774216859,LONG,23930.0,85.5,171.0,8.5,46.0,79.0,NEAR_PIVOT,FLAT,0.24502055652411592,0.5717501548634828,0.18322928861240134,0.6391968908726648,0.23194308365658464,0.6391968908726648
2026_03_22,1774217369,SHORT,24016.75,58.0,116.0,4.0,46.0,24.0,NEAR_PIVOT,RISING,0.4106976425644824,0.35115967841241075,0.23814267902310696,0.1380659094601004,0.8001866101408429,0.8001866101408429
2026_03_22,1774217609,LONG,23958.75,133.0,266.0,18.0,46.0,174.0,NEAR_PIVOT,FLAT,0.2846668898145154,0.47222250781404596,0.24311060237143875,0.5315172206913785,0.40264152811553644,0.5315172206913785
2026_03_22,1774218689,SHORT,24092.5,67.25,134.5,12.0,46.0,42.5,WATCH,DECAYING,0.29758413358250835,0.30342334995669895,0.3989925164607927,0.5847830881342773,0.31182418024664654,0.31182418024664654
2026_03_22,1774219409,LONG,24025.25,57.25,114.5,32.0,46.0,22.5,NEAR_5m,DECAYING,0.37072629952415287,0.33362380875418635,0.2956498917216609,0.5926667383623544,0.24978646456916098,0.5926667383623544
2026_03_22,1774221329,SHORT,24082.75,101.0,202.0,39.0,46.0,110.0,CLEAR,FLAT,0.325224240109988,0.28041685189830123,0.3943589079917108,0.1717244652562234,0.5110854747255132,0.5110854747255132
2026_03_22,1774223669,LONG,23976.5,47.5,95.0,6.0,46.0,3.0,NEAR_PIVOT,RISING,0.2326621130312249,0.2573919603875695,0.5099459265812055,0.7148978894482414,0.1644400587558902,0.7148978894482414
2026_03_22,1774224029,SHORT,24025.25,30.0,60.0,5.0,46.0,-32.0,NEAR_PIVOT,FLAT,0.2104815966072845,0.6196382992078968,0.16988010418481858,0.2877044923997915,0.6054786745865913,0.6054786745865913
2026_03_22,1774224329,LONG,23973.75,115.25,230.5,18.0,46.0,138.5,NEAR_PIVOT,FLAT,0.24606696555734103,0.6333850244392908,0.12054801000336822,0.7442108997903115,0.17865314316459477,0.7442108997903115
2026_03_22,1774225409,SHORT,24089.0,151.0,302.0,38.0,46.0,210.0,NEAR_PIVOT,FLAT,0.2396076105628937,0.3881479599577565,0.3722444294793497,0.19828453109994598,0.6597208268531385,0.6597208268531385
2026_03_22,1774227689,LONG,23938.0,132.25,264.5,37.0,46.0,172.5,NEAR_PIVOT,FLAT,0.22805206033018144,0.4040138602058878,0.36793407946393086,0.6331435879774933,0.2462882359356615,0.6331435879774933
2026_03_22,1774229909,SHORT,24071.25,125.0,250.0,146.0,46.0,158.0,NEAR_PIVOT,RISING,0.3141183616603371,0.39735897972534895,0.288522658614314,0.21231424192503104,0.5738780162587784,0.5738780162587784
2026_03_22,1774238669,LONG,23946.25,87.0,174.0,63.0,46.0,82.0,CLEAR,FLAT,0.27860237301962354,0.39763526703640334,0.32376235994397307,0.6100128656354107,0.17805202627033476,0.6100128656354107
2026_03_22,1774242449,SHORT,24033.25,90.75,181.5,26.0,46.0,89.5,CLEAR,RISING,0.24999087107826995,0.31232899490468835,0.43768013401704176,0.12155316394729898,0.582472228443068,0.582472228443068
2026_03_22,1774244009,LONG,23940.25,62.0,124.0,5.0,46.0,32.0,IMMINENT,RISING,0.30676640468586736,0.2220329493515412,0.4712006459625914,0.6723368114177468,0.12182238699993125,0.6723368114177468
2026_03_23,1774249259,LONG,23856.25,49.75,99.5,10.5,37.0,25.5,WIDE_ZONE,FLAT,0.3265761804134319,0.4474353529226206,0.2259884666639474,0.10933653570863719,0.7576665860338561,0.10933653570863719
2026_03_23,1774249889,SHORT,23913.5,136.5,273.0,17.0,37.0,199.0,WATCH,FLAT,0.2956933212188195,0.421548555530797,0.28275812325038346,0.1540964710795578,0.7064250295863088,0.7064250295863088
2026_03_23,1774250909,LONG,23777.0,99.5,199.0,20.0,37.0,125.0,NEAR_PIVOT,RISING,0.2689436919386383,0.3663082891018833,0.36474801895947834,0.5624931028255107,0.3302052770207506,0.5624931028255107
2026_03_23,1774252109,SHORT,23878.25,54.5,109.0,10.0,37.0,35.0,WATCH,RISING,0.2945974835268162,0.36436167548933024,0.3410408409838535,0.12279903346680164,0.754937391211233,0.754937391211233
2026_03_23,1774252709,LONG,23823.75,99.25,198.5,16.0,37.0,124.5,WATCH,DECAYING,0.3713800350384779,0.456820734774218,0.17179923018730406,0.3878548779374644,0.45121865762464597,0.3878548779374644
2026_03_23,1774253669,SHORT,23923.0,39.25,78.5,5.0,37.0,4.5,NEAR_PIVOT,FLAT,0.27813494749121354,0.38653626275642955,0.33532878975235697,0.18705369295204569,0.7317126825778227,0.7317126825778227
2026_03_23,1774253969,LONG,23883.75,68.0,136.0,35.0,37.0,62.0,NEAR_PIVOT,FLAT,0.3347564451569497,0.4109584444860582,0.2542851103569921,0.5449762133046152,0.3132210765666564,0.5449762133046152
2026_03_23,1774256069,SHORT,23951.75,48.5,97.0,9.0,37.0,23.0,NEAR_PIVOT,FLAT,0.35803532536883775,0.3940631239956969,0.2479015506354655,0.34983632304664286,0.5267980755925186,0.5267980755925186
2026_03_23,1774256609,LONG,23898.0,70.75,141.5,19.0,37.0,67.5,NEAR_PIVOT,RISING,0.2997048657589517,0.3011537087705748,0.3991414254704735,0.7425546036285312,0.11936390085883264,0.7425546036285312
2026_03_23,1774257749,SHORT,23968.75,122.5,245.0,15.0,37.0,171.0,NEAR_PIVOT,FLAT,0.23430073268888482,0.2996495950642107,0.46604967224690447,0.15701017072994192,0.6676245500286646,0.6676245500286646
2026_03_23,1774258649,LONG,23846.25,82.0,164.0,35.0,37.0,90.0,NEAR_3m,RISING,0.28170474928582967,0.3758304904671652,0.34246476024700506,0.6417259763504273,0.20173899171637788,0.6417259763504273
2026_03_23,1774260749,SHORT,23928.25,83.0,166.0,16.0,37.0,92.0,NEAR_PIVOT,FLAT,0.3130027513506062,0.3791797134490179,0.30781753520037586,0.44717786497323725,0.41209069443775803,0.41209069443775803
2026_03_23,1774261709,LONG,23845.25,40.75,81.5,9.0,37.0,7.5,NEAR_PIVOT,FLAT,0.3768599123359214,0.3409005560220041,0.28223953164207444,0.5767528214822093,0.2952970504131412,0.5767528214822093
2026_03_23,1774262249,SHORT,23886.0,65.25,130.5,12.0,37.0,56.5,NEAR_PIVOT,DECAYING,0.3026128794044144,0.4648472533482241,0.23253986724736142,0.2170243265863706,0.5945811330744043,0.5945811330744043
2026_03_23,1774262969,LONG,23816.5,864.75,1729.5,20.0,37.0,1655.5,NEAR_PIVOT,DECAYING,0.3866735607114494,0.32286899694951315,0.2904574423390375,0.7548158185239136,0.09992195579981056,0.7548158185239136
2026_03_23,1774264169,SHORT,24719.25,148.5,297.0,3.0,37.0,223.0,NEAR_PIVOT,RISING,0.30733898495579465,0.34575891553085314,0.3469020995133522,0.2508421611058499,0.6894719640970756,0.6894719640970756
2026_03_23,1774264349,LONG,24596.25,157.75,315.5,3.0,37.0,241.5,NEAR_PIVOT,FLAT,0.28904353794715665,0.5037792084546296,0.20717725359821362,0.8063661924236034,0.15862473426388157,0.8063661924236034
2026_03_23,1774264529,SHORT,24713.0,197.5,395.0,9.0,37.0,321.0,NEAR_PIVOT,FLAT,0.38006887604749817,0.46144679716518766,0.1584843267873142,0.6267222626540123,0.30682395975778476,0.30682395975778476
2026_03_23,1774265069,LONG,24515.5,163.75,327.5,10.0,37.0,253.5,NEAR_PIVOT,FLAT,0.38027667438792767,0.451473547795588,0.1682497778164843,0.23637777390005543,0.7163038311885442,0.23637777390005543
2026_03_23,1774265669,SHORT,24690.5,266.5,533.0,13.0,37.0,459.0,NEAR_PIVOT,FLAT,0.43025509000005185,0.32588733695718275,0.24385757304276534,0.14840446058633824,0.8022263179645235,0.8022263179645235
2026_03_23,1774266449,LONG,24424.0,72.75,145.5,7.0,37.0,71.5,NEAR_PIVOT,RISING,0.268352062483792,0.43426234832830324,0.2973855891879047,0.4461403188116583,0.509262669774177,0.4461403188116583
2026_03_23,1774266869,SHORT,24493.5,144.0,288.0,7.0,37.0,214.0,NEAR_PIVOT,FLAT,0.3406077890026335,0.3374992619829725,0.321892949014394,0.24138278946457123,0.6868509893603086,0.6868509893603086
2026_03_23,1774267289,LONG,24349.5,100.25,200.5,8.0,37.0,126.5,NEAR_PIVOT,FLAT,0.24055588332489442,0.4465422742302442,0.3129018424448614,0.6298505771909624,0.29307770165943126,0.6298505771909624
2026_03_23,1774267769,SHORT,24477.75,78.0,156.0,6.0,37.0,82.0,NEAR_PIVOT,FLAT,0.33757708120104024,0.45676983085928186,0.20565308793967796,0.18219681111946362,0.7349790356234929,0.7349790356234929
2026_03_23,1774268129,LONG,24399.75,107.0,214.0,4.0,37.0,140.0,NEAR_PIVOT,DECAYING,0.2915681107152723,0.514934337858765,0.19349755142596273,0.7216364202108773,0.20931343204900626,0.7216364202108773
2026_03_23,1774268369,SHORT,24521.5,62.75,125.5,11.0,37.0,51.5,NEAR_PIVOT,FLAT,0.3606918498538091,0.39467042003532155,0.24463773011086934,0.08174121034089576,0.8443954808589244,0.8443954808589244
2026_03_23,1774269029,LONG,24458.75,50.0,100.0,7.0,37.0,26.0,NEAR_PIVOT,DECAYING,0.2587562706597343,0.5733952017177674,0.1678485276224983,0.6673687507322614,0.25859357570207275,0.6673687507322614
2026_03_23,1774269449,SHORT,24508.75,52.75,105.5,3.0,37.0,31.5,NEAR_PIVOT,RISING,0.32554569291263946,0.47292733916602026,0.2015269679213402,0.43814268115759736,0.4788622202397072,0.4788622202397072
2026_03_23,1774269629,LONG,24459.5,149.0,298.0,12.0,37.0,224.0,NEAR_PIVOT,FLAT,0.36135763332229914,0.4165755881340194,0.22206677854368134,0.5519294832419417,0.3561515291864029,0.5519294832419417
2026_03_23,1774270349,SHORT,24619.75,41.0,82.0,4.0,37.0,8.0,NEAR_PIVOT,FLAT,0.2889817104200482,0.3387383487141019,0.3722799408658498,0.21361825703568194,0.7056622808269448,0.7056622808269448
2026_03_23,1774270589,LONG,24581.25,52.5,105.0,4.0,37.0,31.0,NEAR_PIVOT,FLAT,0.3033376953816108,0.4404214217778209,0.2562408828405682,0.4331261377156051,0.4360873763254063,0.4331261377156051
2026_03_23,1774270829,SHORT,24642.5,79.25,158.5,5.0,37.0,84.5,NEAR_PIVOT,RISING,0.25269009171982376,0.3167447175639227,0.4305651907162536,0.2396593312949601,0.6890599712656784,0.6890599712656784
2026_03_23,1774271129,LONG,24541.25,44.5,89.0,5.0,37.0,15.0,NEAR_PIVOT,RISING,0.38626739183608483,0.4037423402109988,0.2099902679529163,0.8626710032280486,0.08011375615809312,0.8626710032280486
2026_03_23,1774271429,SHORT,24585.75,145.0,290.0,20.0,37.0,216.0,NEAR_PIVOT,FLAT,0.36453835083386416,0.4369700774844966,0.19849157168163925,0.1420078645928124,0.7941053277915489,0.7941053277915489
2026_03_23,1774272629,LONG,24437.25,118.75,237.5,12.0,37.0,163.5,NEAR_PIVOT,RISING,0.19476963893761332,0.4811626962024485,0.32406766485993826,0.7163047100933769,0.20288684118294237,0.7163047100933769
2026_03_23,1774273349,SHORT,24562.0,70.0,140.0,3.0,37.0,66.0,NEAR_PIVOT,FLAT,0.23339858334191232,0.6493400831047713,0.1172613335533163,0.28122861397804283,0.6574091686405459,0.6574091686405459
2026_03_23,1774273529,LONG,24513.75,87.75,175.5,8.0,37.0,101.5,NEAR_PIVOT,FLAT,0.36899734995475686,0.41975376979294626,0.211248880252297,0.7343800522459768,0.21882266091578512,0.7343800522459768
2026_03_23,1774274009,SHORT,24604.75,57.5,115.0,4.0,37.0,41.0,NEAR_PIVOT,FLAT,0.29967863866852396,0.3288382926163888,0.37148306871508713,0.1493916080243883,0.7745589835880018,0.7745589835880018
2026_03_23,1774274249,LONG,24547.25,52.75,105.5,5.0,37.0,31.5,NEAR_PIVOT,FLAT,0.29992241773291894,0.4562805698045307,0.24379701246255037,0.7005418739655592,0.20992141443213344,0.7005418739655592
2026_03_23,1774274549,SHORT,24609.75,75.75,151.5,4.0,37.0,77.5,NEAR_PIVOT,DECAYING,0.2752481868309223,0.254619763446095,0.4701320497229826,0.3192933418978632,0.5053965133397923,0.5053965133397923
2026_03_23,1774274789,LONG,24537.5,147.0,294.0,18.0,37.0,220.0,NEAR_PIVOT,FLAT,0.3132097107126831,0.47356529502344424,0.2132249942638727,0.7575415387536493,0.11605668754257331,0.7575415387536493
2026_03_23,1774275869,SHORT,24686.5,72.5,145.0,6.0,37.0,71.0,NEAR_PIVOT,FLAT,0.24606897420081952,0.400774704880357,0.3531563209188235,0.22238821572346235,0.6065920905003651,0.6065920905003651
2026_03_23,1774276229,LONG,24613.0,30.25,60.5,3.0,37.0,-13.5,NEAR_PIVOT,DECAYING,0.35277128682070946,0.41175271813679865,0.23547599504249192,0.6678021804738119,0.18123643769866277,0.6678021804738119
2026_03_23,1774276409,SHORT,24654.0,69.0,138.0,12.0,37.0,64.0,NEAR_PIVOT,DECAYING,0.3492808628953458,0.41623044117965136,0.23448869592500277,0.16331407745500445,0.6121726033329614,0.6121726033329614
2026_03_23,1774277129,LONG,24581.5,63.0,126.0,3.0,37.0,52.0,NEAR_PIVOT,FLAT,0.25250453407611334,0.5084449253655625,0.23905054055832423,0.3774511492111489,0.5383079426391578,0.3774511492111489
2026_03_23,1774277309,SHORT,24633.75,42.75,85.5,8.0,37.0,11.5,NEAR_PIVOT,FLAT,0.3479144871023485,0.4531181962217364,0.19896731667591505,0.16925974933779664,0.7415203892975398,0.7415203892975398
2026_03_23,1774277789,LONG,24591.0,90.5,181.0,14.0,37.0,107.0,NEAR_PIVOT,FLAT,0.2816126940323476,0.4492138355607821,0.2691734704068704,0.4606660618133429,0.3647731948309356,0.4606660618133429
2026_03_23,1774278629,SHORT,24684.5,74.75,149.5,11.0,37.0,75.5,NEAR_5m,FLAT,0.3231923507381765,0.25242231000640525,0.4243853392554183,0.19453155488564938,0.6751340777709924,0.6751340777709924
2026_03_23,1774279289,LONG,24609.75,44.75,89.5,3.0,37.0,15.5,NEAR_PIVOT,FLAT,0.3336574874697634,0.4008871792318885,0.26545533329834803,0.678201693559125,0.19730215203867335,0.678201693559125
2026_03_23,1774279469,SHORT,24657.25,265.25,530.5,34.0,37.0,456.5,IMMINENT,FLAT,0.3679523600218347,0.46522882814995686,0.1668188118282083,0.09500225257399071,0.7609677838288974,0.7609677838288974
2026_03_23,1774281509,LONG,24373.25,90.25,180.5,14.0,37.0,106.5,NEAR_PIVOT,RISING,0.2270662638059072,0.1849287673195477,0.5880049688745451,0.786142260925793,0.1188958233940161,0.786142260925793
2026_03_23,1774282349,SHORT,24463.5,138.5,277.0,17.0,37.0,203.0,NEAR_PIVOT,FLAT,0.35484926741130185,0.22862770098694973,0.41652303160174853,0.3494779300872315,0.4931790450780406,0.4931790450780406
2026_03_23,1774283369,LONG,24309.75,112.25,224.5,21.0,37.0,150.5,NEAR_PIVOT,FLAT,0.2495117157633419,0.45188058329397884,0.2986077009426791,0.5137883980491826,0.3608113641263879,0.5137883980491826
2026_03_23,1774284629,SHORT,24422.25,77.5,155.0,16.0,37.0,81.0,WATCH,FLAT,0.28416924022322676,0.2542883111037939,0.4615424486729792,0.3897542696745079,0.43999835824636163,0.43999835824636163
2026_03_23,1774285589,LONG,24344.75,40.25,80.5,3.0,37.0,6.5,NEAR_5m,FLAT,0.3423255120971211,0.22851899594439648,0.4291554919584824,0.49831979515631286,0.41792580359523146,0.49831979515631286
2026_03_23,1774285769,SHORT,24391.5,62.5,125.0,11.0,37.0,51.0,IMMINENT,FLAT,0.351565129943865,0.3962018172992516,0.25223305275688346,0.07814382236784637,0.8255328189367179,0.8255328189367179
2026_03_23,1774286429,LONG,24313.5,157.0,314.0,17.0,37.0,240.0,NEAR_5m,FLAT,0.3131427767535804,0.4207335297549786,0.26612369349144105,0.6498685726368394,0.22312351873804367,0.6498685726368394
2026_03_23,1774287449,SHORT,24470.5,75.75,151.5,10.0,37.0,77.5,NEAR_PIVOT,FLAT,0.25269338275081155,0.25332973400703446,0.493976883242154,0.2123690276385031,0.6407668570417242,0.6407668570417242
2026_03_23,1774288049,LONG,24394.75,90.0,180.0,17.0,37.0,106.0,NEAR_5m,FLAT,0.33174934731139516,0.3263729648419063,0.3418776878466985,0.796316723343913,0.12281371468416136,0.796316723343913
