ts,day,depth,pattern,micro_z,macro_z,gate,gate1_dist,gate3_conv,oracle_label,oracle_dir,oracle_pnl,template_id,tier,pattern_dna,trade_direction,trade_result,trade_pnl,exit_reason,exit_signal_reason,exit_conviction,exit_wave_maturity
1738598880,2025_02,12,STRUCTURAL_DRIVE,2.61,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,101.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,STRUCTURAL_DRIVE,2.61,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,101.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.48,2.39,score_loser,2.952,0.0,MEGA,LONG,97.0,50012,4,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.61,2.39,score_loser,2.148,0.0,MEGA,LONG,101.5,23,3,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.61,2.39,score_loser,1.899,0.0,MEGA,LONG,101.5,49,3,,,,0.0,,,0.0,0.0
1738598880,2025_02,11,ROCHE_SNAP,2.36,2.39,gate3,13.758,0.475,MEGA,LONG,79.0,50010,4,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,,,0.0,,,0.0,0.0
1738598880,2025_02,11,STRUCTURAL_DRIVE,2.36,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,79.0,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,3.95,2.39,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,99.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,STRUCTURAL_DRIVE,3.95,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,99.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,STRUCTURAL_DRIVE,2.61,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,101.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,STRUCTURAL_DRIVE,2.61,2.39,gate0_r4_struct,0.0,0.0,MEGA,LONG,101.5,,,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.48,2.39,score_loser,2.952,0.0,MEGA,LONG,97.0,50012,4,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.61,2.39,score_loser,2.148,0.0,MEGA,LONG,101.5,23,3,,,,0.0,,,0.0,0.0
1738598880,2025_02,12,ROCHE_SNAP,2.61,2.39,score_loser,1.899,0.0,MEGA,LONG,101.5,49,3,,,,0.0,,,0.0,0.0
1738598880,2025_02,11,ROCHE_SNAP,2.36,2.39,traded,13.758,0.491,MEGA,LONG,79.0,50010,4,L|1h:2|30m:0|15m:0|5m:0|3m:0|1m:0|30s:0|15s:0,SHORT,WIN,126.0,profit_target,aligned_fresh,0.45582418819693593,0.031262521503463966
1738645500,2025_02,5,STRUCTURAL_DRIVE,2.91,2.0,gate0_r4_struct,0.0,0.0,MEGA,SHORT,179.0,,,,,,0.0,,,0.0,0.0
1738645500,2025_02,5,ROCHE_SNAP,2.91,2.0,gate3,7.245,0.456,MEGA,SHORT,179.0,1,3,L|1h:2|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1738645500,2025_02,5,STRUCTURAL_DRIVE,2.91,2.0,gate0_r4_struct,0.0,0.0,MEGA,SHORT,179.0,,,,,,0.0,,,0.0,0.0
1738645500,2025_02,5,ROCHE_SNAP,2.91,2.0,gate3,7.245,0.457,MEGA,SHORT,179.0,1,3,L|1h:2|30m:0|15m:0|5m:0,,,0.0,,,0.0,0.0
1738645560,2025_02,6,ROCHE_SNAP,3.12,2.0,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,745.0,,,,,,0.0,,,0.0,0.0
1738645560,2025_02,6,STRUCTURAL_DRIVE,3.12,2.0,gate0_r4_struct,0.0,0.0,MEGA,LONG,745.0,,,,,,0.0,,,0.0,0.0
1738645560,2025_02,7,STRUCTURAL_DRIVE,2.42,2.0,gate0_r4_struct,0.0,0.0,MEGA,LONG,746.5,,,,,,0.0,,,0.0,0.0
1738645560,2025_02,8,ROCHE_SNAP,3.63,2.0,gate0_r4_nightmare,0.0,0.0,MEGA,LONG,478.0,,,,,,0.0,,,0.0,0.0
