from,to,count,p_to_given_from
GENTLE_CONVEX_UP,STEEP_LINEAR_DOWN,2,0.0081
GENTLE_CONVEX_UP,GENTLE_CONVEX_DOWN,2,0.0081
GENTLE_CONVEX_UP,STEEP_CONVEX_DOWN,1,0.004
GENTLE_LINEAR_DOWN,FLATLINE,97,0.2051
GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,92,0.1945
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,74,0.1564
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,60,0.1268
GENTLE_LINEAR_DOWN,NOISE,23,0.0486
GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,22,0.0465
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,22,0.0465
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,20,0.0423
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,18,0.0381
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,17,0.0359
GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,15,0.0317
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_UP,7,0.0148
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,6,0.0127
GENTLE_LINEAR_UP,FLATLINE,104,0.2222
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,80,0.1709
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,62,0.1325
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,48,0.1026
GENTLE_LINEAR_UP,NOISE,40,0.0855
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,29,0.062
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,22,0.047
GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,20,0.0427
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,18,0.0385
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,17,0.0363
GENTLE_LINEAR_UP,STEEP_CONVEX_UP,10,0.0214
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,10,0.0214
GENTLE_LINEAR_UP,GENTLE_CONCAVE_DOWN,8,0.0171
NOISE,FLATLINE,282,0.2014
NOISE,STEEP_LINEAR_UP,206,0.1471
NOISE,STEEP_LINEAR_DOWN,204,0.1457
NOISE,STEEP_CONVEX_DOWN,138,0.0986
NOISE,STEEP_CONCAVE_UP,136,0.0971
NOISE,GENTLE_CONCAVE_UP,109,0.0779
NOISE,GENTLE_CONVEX_DOWN,97,0.0693
NOISE,GENTLE_LINEAR_UP,53,0.0379
NOISE,GENTLE_LINEAR_DOWN,50,0.0357
NOISE,STEEP_CONVEX_UP,43,0.0307
NOISE,STEEP_CONCAVE_DOWN,35,0.025
NOISE,GENTLE_CONCAVE_DOWN,28,0.02
NOISE,GENTLE_CONVEX_UP,19,0.0136
STEEP_CONCAVE_DOWN,FLATLINE,139,0.3971
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,98,0.28
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,57,0.1629
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,19,0.0543
STEEP_CONCAVE_DOWN,NOISE,15,0.0429
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,8,0.0229
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_UP,5,0.0143
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,5,0.0143
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,2,0.0057
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_UP,1,0.0029
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,1,0.0029
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,556,0.2689
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,484,0.234
STEEP_CONCAVE_UP,FLATLINE,374,0.1809
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,205,0.0991
STEEP_CONCAVE_UP,NOISE,120,0.058
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,95,0.0459
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,61,0.0295
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,54,0.0261
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,48,0.0232
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,29,0.014
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,23,0.0111
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,12,0.0058
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,7,0.0034
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,537,0.28
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,471,0.2456
STEEP_CONVEX_DOWN,FLATLINE,341,0.1778
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,164,0.0855
STEEP_CONVEX_DOWN,NOISE,99,0.0516
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,90,0.0469
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,57,0.0297
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,50,0.0261
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,41,0.0214
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,28,0.0146
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,23,0.012
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,10,0.0052
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,7,0.0036
STEEP_CONVEX_UP,FLATLINE,158,0.4191
STEEP_CONVEX_UP,STEEP_LINEAR_UP,84,0.2228
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,62,0.1645
STEEP_CONVEX_UP,NOISE,22,0.0584
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,18,0.0477
STEEP_CONVEX_UP,GENTLE_CONCAVE_DOWN,6,0.0159
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,6,0.0159
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,6,0.0159
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,5,0.0133
STEEP_CONVEX_UP,GENTLE_CONVEX_UP,4,0.0106
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,3,0.008
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,2,0.0053
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,1,0.0027
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,297,0.3
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,245,0.2475
STEEP_LINEAR_DOWN,FLATLINE,151,0.1525
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,92,0.0929
STEEP_LINEAR_DOWN,NOISE,58,0.0586
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,43,0.0434
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,30,0.0303
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,25,0.0253
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,15,0.0152
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,12,0.0121
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,9,0.0091
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,7,0.0071
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,6,0.0061
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,227,0.247
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,217,0.2361
STEEP_LINEAR_UP,FLATLINE,145,0.1578
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,107,0.1164
STEEP_LINEAR_UP,NOISE,63,0.0686
STEEP_LINEAR_UP,STEEP_CONVEX_UP,36,0.0392
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,32,0.0348
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,29,0.0316
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,23,0.025
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,17,0.0185
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,13,0.0141
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,7,0.0076
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,3,0.0033
