from,to,count,p_to_given_from
STEEP_CONVEX_DOWN,FLATLINE,1552,0.1078
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,1100,0.0764
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,571,0.0397
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,14,0.001
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,11,0.0008
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,7,0.0005
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,6,0.0004
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,3,0.0002
STEEP_CONVEX_UP,NOISE,3834,0.3948
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,1997,0.2056
STEEP_CONVEX_UP,STEEP_LINEAR_UP,1392,0.1433
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,1273,0.1311
STEEP_CONVEX_UP,FLATLINE,581,0.0598
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,520,0.0535
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,95,0.0098
STEEP_CONVEX_UP,GENTLE_CONCAVE_DOWN,9,0.0009
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,4,0.0004
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,4,0.0004
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,3,0.0003
STEEP_LINEAR_DOWN,NOISE,4198,0.3923
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,1334,0.1247
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,1193,0.1115
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,1040,0.0972
STEEP_LINEAR_DOWN,FLATLINE,1013,0.0947
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,967,0.0904
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,930,0.0869
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,6,0.0006
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,5,0.0005
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,5,0.0005
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,4,0.0004
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,3,0.0003
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,2,0.0002
STEEP_LINEAR_UP,NOISE,4422,0.4071
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,1342,0.1235
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,1098,0.1011
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,1012,0.0932
STEEP_LINEAR_UP,FLATLINE,990,0.0911
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,984,0.0906
STEEP_LINEAR_UP,STEEP_CONVEX_UP,973,0.0896
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,12,0.0011
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,9,0.0008
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,7,0.0006
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,6,0.0006
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,5,0.0005
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,3,0.0003
