from,to,count,p_to_given_from
GENTLE_LINEAR_DOWN,STEEP_CONCAVE_DOWN,29,0.0624
GENTLE_LINEAR_DOWN,STEEP_CONVEX_UP,23,0.0495
GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,14,0.0301
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_UP,10,0.0215
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_UP,9,0.0194
GENTLE_LINEAR_DOWN,GENTLE_LINEAR_UP,9,0.0194
GENTLE_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,7,0.0151
GENTLE_LINEAR_DOWN,GENTLE_CONVEX_DOWN,6,0.0129
GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,92,0.204
GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,73,0.1619
GENTLE_LINEAR_UP,NOISE,73,0.1619
GENTLE_LINEAR_UP,FLATLINE,69,0.153
GENTLE_LINEAR_UP,STEEP_LINEAR_UP,31,0.0687
GENTLE_LINEAR_UP,STEEP_CONCAVE_DOWN,27,0.0599
GENTLE_LINEAR_UP,STEEP_CONVEX_UP,27,0.0599
GENTLE_LINEAR_UP,GENTLE_CONVEX_DOWN,18,0.0399
GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,14,0.031
GENTLE_LINEAR_UP,GENTLE_LINEAR_DOWN,9,0.02
GENTLE_LINEAR_UP,GENTLE_CONCAVE_DOWN,8,0.0177
GENTLE_LINEAR_UP,GENTLE_CONVEX_UP,7,0.0155
GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,3,0.0067
NOISE,STEEP_CONCAVE_UP,1745,0.1794
NOISE,STEEP_CONVEX_DOWN,1723,0.1771
NOISE,FLATLINE,1525,0.1567
NOISE,STEEP_LINEAR_DOWN,1498,0.154
NOISE,STEEP_LINEAR_UP,1404,0.1443
NOISE,STEEP_CONVEX_UP,612,0.0629
NOISE,STEEP_CONCAVE_DOWN,600,0.0617
NOISE,GENTLE_CONCAVE_UP,134,0.0138
NOISE,GENTLE_CONVEX_DOWN,133,0.0137
NOISE,GENTLE_CONVEX_UP,99,0.0102
NOISE,GENTLE_LINEAR_DOWN,91,0.0094
NOISE,GENTLE_CONCAVE_DOWN,87,0.0089
NOISE,GENTLE_LINEAR_UP,78,0.008
STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,633,0.2996
STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,594,0.2811
STEEP_CONCAVE_DOWN,NOISE,363,0.1718
STEEP_CONCAVE_DOWN,FLATLINE,314,0.1486
STEEP_CONCAVE_DOWN,STEEP_CONVEX_UP,113,0.0535
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_DOWN,30,0.0142
STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,19,0.009
STEEP_CONCAVE_DOWN,GENTLE_CONVEX_UP,16,0.0076
STEEP_CONCAVE_DOWN,STEEP_CONCAVE_UP,13,0.0062
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_UP,9,0.0043
STEEP_CONCAVE_DOWN,GENTLE_LINEAR_DOWN,8,0.0038
STEEP_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,1,0.0005
STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,2311,0.2687
STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,1837,0.2136
STEEP_CONCAVE_UP,FLATLINE,1484,0.1726
STEEP_CONCAVE_UP,NOISE,1137,0.1322
STEEP_CONCAVE_UP,STEEP_CONVEX_UP,816,0.0949
STEEP_CONCAVE_UP,STEEP_LINEAR_UP,375,0.0436
STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,228,0.0265
STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,145,0.0169
STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,130,0.0151
STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,56,0.0065
STEEP_CONCAVE_UP,GENTLE_LINEAR_DOWN,43,0.005
STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,21,0.0024
STEEP_CONCAVE_UP,GENTLE_CONCAVE_DOWN,17,0.002
STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,2218,0.268
STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,1830,0.2211
STEEP_CONVEX_DOWN,FLATLINE,1406,0.1699
STEEP_CONVEX_DOWN,NOISE,1174,0.1418
STEEP_CONVEX_DOWN,STEEP_CONCAVE_DOWN,772,0.0933
STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,351,0.0424
STEEP_CONVEX_DOWN,STEEP_CONVEX_UP,177,0.0214
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_UP,113,0.0137
STEEP_CONVEX_DOWN,GENTLE_CONCAVE_DOWN,91,0.011
STEEP_CONVEX_DOWN,GENTLE_LINEAR_UP,60,0.0072
STEEP_CONVEX_DOWN,GENTLE_LINEAR_DOWN,57,0.0069
STEEP_CONVEX_DOWN,GENTLE_CONVEX_DOWN,17,0.0021
STEEP_CONVEX_DOWN,GENTLE_CONVEX_UP,11,0.0013
STEEP_CONVEX_UP,STEEP_CONCAVE_UP,712,0.3153
STEEP_CONVEX_UP,STEEP_LINEAR_UP,609,0.2697
STEEP_CONVEX_UP,NOISE,404,0.1789
STEEP_CONVEX_UP,FLATLINE,306,0.1355
STEEP_CONVEX_UP,STEEP_CONCAVE_DOWN,104,0.0461
STEEP_CONVEX_UP,STEEP_LINEAR_DOWN,40,0.0177
STEEP_CONVEX_UP,GENTLE_CONCAVE_UP,33,0.0146
STEEP_CONVEX_UP,GENTLE_CONCAVE_DOWN,15,0.0066
STEEP_CONVEX_UP,GENTLE_LINEAR_UP,13,0.0058
STEEP_CONVEX_UP,STEEP_CONVEX_DOWN,10,0.0044
STEEP_CONVEX_UP,GENTLE_LINEAR_DOWN,9,0.004
STEEP_CONVEX_UP,GENTLE_CONVEX_DOWN,3,0.0013
STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,1066,0.2788
STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,737,0.1928
STEEP_LINEAR_DOWN,FLATLINE,674,0.1763
STEEP_LINEAR_DOWN,NOISE,581,0.152
STEEP_LINEAR_DOWN,STEEP_CONCAVE_DOWN,330,0.0863
STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,155,0.0405
STEEP_LINEAR_DOWN,STEEP_CONVEX_UP,118,0.0309
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_UP,44,0.0115
STEEP_LINEAR_DOWN,GENTLE_CONCAVE_DOWN,35,0.0092
STEEP_LINEAR_DOWN,GENTLE_CONVEX_DOWN,25,0.0065
STEEP_LINEAR_DOWN,GENTLE_LINEAR_UP,22,0.0058
STEEP_LINEAR_DOWN,GENTLE_LINEAR_DOWN,21,0.0055
STEEP_LINEAR_DOWN,GENTLE_CONVEX_UP,15,0.0039
STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,975,0.251
STEEP_LINEAR_UP,FLATLINE,697,0.1794
STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,681,0.1753
STEEP_LINEAR_UP,NOISE,611,0.1573
STEEP_LINEAR_UP,STEEP_CONVEX_UP,376,0.0968
STEEP_LINEAR_UP,STEEP_CONCAVE_UP,203,0.0523
STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,122,0.0314
STEEP_LINEAR_UP,GENTLE_CONVEX_UP,63,0.0162
STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,61,0.0157
STEEP_LINEAR_UP,GENTLE_LINEAR_DOWN,28,0.0072
STEEP_LINEAR_UP,GENTLE_CONCAVE_UP,27,0.0069
STEEP_LINEAR_UP,GENTLE_LINEAR_UP,26,0.0067
STEEP_LINEAR_UP,GENTLE_CONCAVE_DOWN,15,0.0039
