trade_id,direction,start_idx,end_idx,ts_start,ts_end,entry_price,exit_price,change_ticks,change_dollars,mfe_ticks,mae_ticks,mfe_dollars,mae_dollars,duration_mins,time_to_mfe_mins,n_bars,lookback_bars,lookback_start_idx,lookback_timestamps,regime_start_idx
164,SHORT,1029,1033,1735924200.0,1735924440.0,21477.75,21453.0,-99.0,-49.5,19.0,38.0,9.5,19.0,4.0,3.0,5,10,1019,"[1735923600.0, 1735923660.0, 1735923720.0, 1735923780.0, 1735923840.0, 1735923900.0, 1735923960.0, 1735924020.0, 1735924080.0, 1735924140.0]",1029
165,LONG,1033,1034,1735924440.0,1735924500.0,21453.0,21472.25,77.0,38.5,5.0,0.0,2.5,0.0,1.0,0.0,2,10,1023,"[1735923840.0, 1735923900.0, 1735923960.0, 1735924020.0, 1735924080.0, 1735924140.0, 1735924200.0, 1735924260.0, 1735924320.0, 1735924380.0]",1033
166,SHORT,1034,1038,1735924500.0,1735924740.0,21472.25,21447.75,-98.0,-49.0,14.0,0.0,7.0,0.0,4.0,0.0,5,10,1024,"[1735923900.0, 1735923960.0, 1735924020.0, 1735924080.0, 1735924140.0, 1735924200.0, 1735924260.0, 1735924320.0, 1735924380.0, 1735924440.0]",1034
167,LONG,1038,1044,1735924740.0,1735925100.0,21447.75,21472.0,97.0,48.5,32.0,64.0,16.0,32.0,6.0,5.9,7,10,1028,"[1735924140.0, 1735924200.0, 1735924260.0, 1735924320.0, 1735924380.0, 1735924440.0, 1735924500.0, 1735924560.0, 1735924620.0, 1735924680.0]",1038
168,SHORT,1044,1048,1735925100.0,1735925340.0,21472.0,21449.75,-89.0,-44.5,41.0,45.0,20.5,22.5,4.0,3.6,5,10,1034,"[1735924500.0, 1735924560.0, 1735924620.0, 1735924680.0, 1735924740.0, 1735924800.0, 1735924860.0, 1735924920.0, 1735924980.0, 1735925040.0]",1044
169,LONG,1048,1050,1735925340.0,1735925460.0,21449.75,21455.75,24.0,12.0,5.0,46.0,2.5,23.0,2.0,1.3,3,10,1038,"[1735924740.0, 1735924800.0, 1735924860.0, 1735924920.0, 1735924980.0, 1735925040.0, 1735925100.0, 1735925160.0, 1735925220.0, 1735925280.0]",1048
170,SHORT,1050,1051,1735925460.0,1735925520.0,21455.75,21444.25,-46.0,-23.0,2.0,8.0,1.0,4.0,1.0,0.1,2,10,1040,"[1735924860.0, 1735924920.0, 1735924980.0, 1735925040.0, 1735925100.0, 1735925160.0, 1735925220.0, 1735925280.0, 1735925340.0, 1735925400.0]",1050
171,LONG,1051,1054,1735925520.0,1735925700.0,21444.25,21457.0,51.0,25.5,14.0,51.0,7.0,25.5,3.0,2.4,4,10,1041,"[1735924920.0, 1735924980.0, 1735925040.0, 1735925100.0, 1735925160.0, 1735925220.0, 1735925280.0, 1735925340.0, 1735925400.0, 1735925460.0]",1051
172,SHORT,1054,1057,1735925700.0,1735925880.0,21457.0,21449.5,-30.0,-15.0,28.0,25.0,14.0,12.5,3.0,2.5,4,10,1044,"[1735925100.0, 1735925160.0, 1735925220.0, 1735925280.0, 1735925340.0, 1735925400.0, 1735925460.0, 1735925520.0, 1735925580.0, 1735925640.0]",1054
173,LONG,1057,1059,1735925880.0,1735926000.0,21449.5,21464.0,58.0,29.0,2.0,18.0,1.0,9.0,2.0,0.4,3,10,1047,"[1735925280.0, 1735925340.0, 1735925400.0, 1735925460.0, 1735925520.0, 1735925580.0, 1735925640.0, 1735925700.0, 1735925760.0, 1735925820.0]",1057
