direction,entry_ts,exit_ts,entry_price,exit_price,pnl,peak_pnl,exit_reason,bayes_exit_ts,bayes_exit_price,bayes_exit_reason,bayes_pnl,delta_vs_actual
short,1761731520,1761731580,26236.0,26236.0,0.0,0.0,z_se_retracement,1761731775,26237.25,past_peak_h4m_giveback_30pct,-2.5,-2.5
long,1761732060,1761732105,26230.75,26230.75,0.0,0.0,z_15s_overshoot,1761732360,26237.5,past_peak_h5m_giveback_30pct,13.5,13.5
long,1761732120,1761732180,26233.25,26239.25,12.0,12.0,z_se_retracement,1761732435,26240.5,past_peak_h5m_giveback_30pct,14.5,2.5
short,1761732360,1761732420,26244.5,26243.0,3.0,3.0,z_15s_overshoot,1761732700,26239.0,past_peak_h4m_giveback_30pct,11.0,8.0
long,1761732660,1761732720,26241.0,26243.75,5.5,5.5,z_se_retracement,1761732955,26245.0,past_peak_h5m_giveback_30pct,8.0,2.5
long,1761733920,1761733980,26254.75,26260.0,10.5,10.5,z_se_retracement,1761734215,26250.75,past_peak_h5m_giveback_30pct,-8.0,-18.5
short,1761735000,1761735005,26258.75,26258.75,0.0,0.0,z_15s_overshoot,1761735255,26269.25,past_peak_h4m_giveback_30pct,-21.0,-21.0
short,1761735060,1761735120,26259.0,26263.75,-9.5,0.0,z_se_retracement,1761735315,26270.25,past_peak_h4m_giveback_30pct,-22.5,-13.0
long,1761735480,1761735630,26253.0,26252.25,-1.5,0.0,z_15s_overshoot,1761735775,26250.5,past_peak_h5m_giveback_30pct,-5.0,-3.5
short,1761735900,1761735915,26267.5,26267.5,0.0,0.0,z_15s_overshoot,1761736155,26268.75,past_peak_h4m_giveback_30pct,-2.5,-2.5
long,1761736920,1761736925,26272.0,26272.0,0.0,0.0,z_15s_overshoot,1761737560,26287.25,past_peak_h5m_giveback_30pct,30.5,30.5
long,1761736980,1761737040,26277.0,26282.5,11.0,11.0,z_se_retracement,1761737420,26286.0,past_peak_h5m_giveback_30pct,18.0,7.0
long,1761738120,1761738180,26291.25,26288.25,-6.0,0.0,z_se_retracement,1761739005,26277.5,time_stop_3x_peak_5m,-27.5,-21.5
long,1761738240,1761738300,26290.0,26289.5,-1.0,0.0,z_se_retracement,1761738535,26288.0,past_peak_h5m_giveback_30pct,-4.0,-3.0
short,1761739800,1761739860,26282.75,26282.0,1.5,1.5,z_se_retracement,1761740055,26280.25,past_peak_h4m_giveback_30pct,5.0,3.5
short,1761739860,1761739920,26282.0,26280.25,3.5,3.5,z_se_retracement,1761740115,26282.5,past_peak_h4m_giveback_30pct,-1.0,-4.5
long,1761740340,1761740415,26277.0,26272.25,-9.5,0.0,z_15s_overshoot,1761740635,26269.5,past_peak_h5m_giveback_30pct,-15.0,-5.5
long,1761740460,1761740520,26273.75,26272.5,-2.5,0.0,z_se_retracement,1761740755,26268.5,past_peak_h5m_giveback_30pct,-10.5,-8.0
long,1761740520,1761740595,26272.5,26269.25,-6.5,0.0,z_15s_overshoot,1761740815,26270.5,past_peak_h5m_giveback_30pct,-4.0,2.5
short,1761742020,1761742035,26256.75,26256.75,0.0,0.0,z_15s_overshoot,1761742275,26264.5,past_peak_h4m_giveback_30pct,-15.5,-15.5
short,1761742080,1761742260,26262.75,26269.25,-13.0,0.0,z_se_retracement,1761742335,26266.25,past_peak_h4m_giveback_30pct,-7.0,6.0
short,1761743040,1761743045,26265.75,26265.75,0.0,0.0,z_15s_overshoot,1761743295,26274.5,past_peak_h4m_giveback_30pct,-17.5,-17.5
short,1761743220,1761743340,26275.0,26271.5,7.0,8.0,z_se_retracement,1761743585,26268.5,past_peak_h4m_giveback_30pct,13.0,6.0
long,1761743460,1761743465,26266.5,26266.5,0.0,0.0,z_15s_overshoot,1761743755,26267.75,past_peak_h5m_giveback_30pct,2.5,2.5
short,1761744600,1761744615,26268.75,26268.75,0.0,0.0,z_15s_overshoot,1761744855,26280.5,past_peak_h4m_giveback_30pct,-23.5,-23.5
short,1761744660,1761744780,26280.5,26278.25,4.5,4.5,z_15s_overshoot,1761744915,26274.0,past_peak_h4m_giveback_30pct,13.0,8.5
long,1761744960,1761745050,26274.0,26257.25,-33.5,0.0,z_15s_overshoot,1761745255,26268.0,past_peak_h5m_giveback_30pct,-12.0,21.5
long,1761745080,1761745085,26273.5,26273.5,0.0,0.0,z_15s_overshoot,1761745375,26269.5,past_peak_h5m_giveback_30pct,-8.0,-8.0
short,1761745620,1761745635,26277.75,26277.75,0.0,0.0,z_15s_overshoot,1761745875,26291.5,past_peak_h4m_giveback_30pct,-27.5,-27.5
long,1761746820,1761746880,26278.0,26278.0,0.0,0.0,z_15s_overshoot,1761747115,26280.0,past_peak_h5m_giveback_30pct,4.0,4.0
long,1761748020,1761748080,26293.5,26293.75,0.5,0.5,z_se_retracement,1761748315,26299.0,past_peak_h5m_giveback_30pct,11.0,10.5
short,1761750120,1761750125,26274.75,26274.75,0.0,0.0,z_15s_overshoot,1761750380,26263.75,past_peak_h4m_giveback_30pct,22.0,22.0
short,1761750840,1761750845,26254.75,26254.75,0.0,0.0,z_15s_overshoot,1761751095,26259.25,past_peak_h4m_giveback_30pct,-9.0,-9.0
short,1761751140,1761751155,26266.25,26266.25,0.0,0.0,z_15s_overshoot,1761751395,26271.5,past_peak_h4m_giveback_30pct,-10.5,-10.5
short,1761751320,1761751325,26270.75,26270.75,0.0,0.0,z_15s_overshoot,1761751575,26272.5,past_peak_h4m_giveback_30pct,-3.5,-3.5
long,1761751740,1761751815,26253.75,26253.25,-1.0,0.0,z_15s_overshoot,1761752035,26239.75,past_peak_h5m_giveback_30pct,-28.0,-27.0
long,1761751920,1761751980,26246.5,26239.5,-14.0,0.0,z_se_retracement,1761752215,26240.25,past_peak_h5m_giveback_30pct,-12.5,1.5
short,1761753240,1761753360,26246.0,26230.0,32.0,32.0,z_se_retracement,1761753495,26239.5,past_peak_h4m_giveback_30pct,13.0,-19.0
long,1761753780,1761753785,26228.75,26228.75,0.0,0.0,z_15s_overshoot,1761754075,26223.5,past_peak_h5m_giveback_30pct,-10.5,-10.5
long,1761755880,1761755940,26247.75,26247.25,-1.0,0.0,z_se_retracement,1761756175,26251.25,past_peak_h5m_giveback_30pct,7.0,8.0
short,1761756060,1761756090,26250.5,26250.5,0.0,0.0,z_15s_overshoot,1761756315,26264.0,past_peak_h4m_giveback_30pct,-27.0,-27.0
long,1761756540,1761756545,26246.0,26246.0,0.0,0.0,z_15s_overshoot,1761757135,26257.5,past_peak_h5m_giveback_30pct,23.0,23.0
long,1761756600,1761756660,26247.75,26254.25,13.0,13.0,z_se_retracement,1761756895,26257.25,past_peak_h5m_giveback_30pct,19.0,6.0
long,1761756660,1761756720,26254.25,26258.5,8.5,8.5,z_se_retracement,1761756965,26259.5,past_peak_h5m_giveback_30pct,10.5,2.0
long,1761760620,1761760625,26249.0,26249.0,0.0,0.0,z_15s_overshoot,1761760915,26258.75,past_peak_h5m_giveback_30pct,19.5,19.5
short,1761763860,1761764040,26182.0,26191.75,-19.5,10.5,z_se_retracement,1761764115,26208.0,past_peak_h4m_giveback_30pct,-52.0,-32.5
short,1761764820,1761765000,26207.25,26200.75,13.0,30.5,z_se_retracement,1761765075,26200.75,past_peak_h4m_giveback_30pct,13.0,0.0
long,1761766200,1761766260,26203.0,26188.25,-29.5,0.0,z_se_retracement,1761766495,26181.5,past_peak_h5m_giveback_30pct,-43.0,-13.5
long,1761766320,1761766325,26179.25,26179.25,0.0,0.0,z_15s_overshoot,1761766615,26161.0,past_peak_h5m_giveback_30pct,-36.5,-36.5
long,1761766380,1761766500,26176.75,26165.5,-22.5,8.5,z_se_retracement,1761766675,26182.0,past_peak_h5m_giveback_30pct,10.5,33.0
short,1761766740,1761766860,26210.5,26192.25,36.5,36.5,z_se_retracement,1761767005,26183.5,past_peak_h4m_giveback_30pct,54.0,17.5
long,1761769320,1761769365,26193.0,26193.0,0.0,0.0,z_15s_overshoot,1761769625,26211.25,past_peak_h5m_giveback_30pct,36.5,36.5
long,1761771300,1761771305,26240.25,26240.25,0.0,0.0,z_15s_overshoot,1761771595,26221.0,past_peak_h5m_giveback_30pct,-38.5,-38.5
short,1761777120,1761777135,26200.25,26200.25,0.0,0.0,z_15s_overshoot,1761777380,26208.75,past_peak_h4m_giveback_30pct,-17.0,-17.0
short,1761777180,1761777300,26203.25,26208.25,-10.0,0.0,z_15s_overshoot,1761777435,26205.75,past_peak_h4m_giveback_30pct,-5.0,5.0
short,1761777300,1761777310,26208.25,26208.25,0.0,0.0,z_15s_overshoot,1761777570,26203.5,past_peak_h4m_giveback_30pct,9.5,9.5
short,1761777360,1761777420,26208.25,26207.5,1.5,1.5,z_se_retracement,1761777630,26201.5,past_peak_h4m_giveback_30pct,13.5,12.0
short,1761778140,1761778200,26203.5,26207.5,-8.0,0.0,z_se_retracement,1761778395,26206.0,past_peak_h4m_giveback_30pct,-5.0,3.0
short,1761778380,1761778440,26206.25,26201.25,10.0,10.0,z_se_retracement,1761778635,26202.0,past_peak_h4m_giveback_30pct,8.5,-1.5
long,1761778800,1761778815,26196.75,26196.75,0.0,0.0,z_15s_overshoot,1761779100,26200.5,past_peak_h5m_giveback_30pct,7.5,7.5
long,1761778860,1761778920,26198.25,26202.75,9.0,9.0,z_se_retracement,1761779155,26204.0,past_peak_h5m_giveback_30pct,11.5,2.5
short,1761778980,1761778985,26201.75,26201.75,0.0,0.0,z_15s_overshoot,1761779250,26198.75,past_peak_h4m_giveback_30pct,6.0,6.0
short,1761779160,1761779220,26201.0,26198.25,5.5,5.5,z_se_retracement,1761779425,26198.5,past_peak_h4m_giveback_30pct,5.0,-0.5
short,1761780060,1761780065,26218.0,26218.0,0.0,0.0,z_15s_overshoot,1761780315,26230.75,past_peak_h4m_giveback_30pct,-25.5,-25.5
short,1761781740,1761781785,26211.75,26211.75,0.0,0.0,z_15s_overshoot,1761781995,26240.0,past_peak_h4m_giveback_30pct,-56.5,-56.5
