================================================================================
IS FORWARD PASS COMPLETE  (run: 2026-03-19 12:25:45)
  Commit: 9a4460cf  -- revert: disable peak override on exits (held losers too long)
  Changes: 1 file changed, 20 insertions(+), 72 deletions(-)
  Period: DATA\ATLAS\15s\2025_01.parquet to 2026_01 (13 files)
Total Trades: 2010
Win Rate: 56.8%
Total PnL: $1942.87

── WORKER STATES LOADED ──
  1h=489/file(13/13 files ok)  30m=978/file(13/13 files ok)  15m=1956/file(13/13 files ok)  5m=5864/file(13/13 files ok)  3m=9764/file(13/13 files ok)
  1m=29175/file(13/13 files ok)  30s=58046/file(13/13 files ok)  15s=114136/file(13/13 files ok)  5s=315565/file(13/13 files ok)  1s=1985918/file(13/13 files ok)

── DAILY SESSION LEDGER ──
  Date         Trades  Wins    WR%      Day PnL    Min Dip    Cumul PnL   Cumul DD
  2025-01-29        2     1  50.0% $     -2.50 $   -2.50 $   -143.38 $  238.88
  2025-01-30        1     0   0.0% $     -3.50 $   -3.50 $   -146.88 $  242.38
  2025-01-31       14     8  57.1% $    -18.50 $  -18.50 $   -165.38 $  260.88
  2025-02-03        1     0   0.0% $     -6.50 $   -6.50 $   -171.88 $  267.38
  2025-02-04        1     0   0.0% $     -5.50 $   -5.50 $   -177.38 $  272.88
  2025-02-05        8     5  62.5% $     -3.50 $   -3.50 $   -180.88 $  276.38
  2025-02-06       11     5  45.5% $    -27.00 $  -27.00 $   -207.88 $  303.38
  2025-02-07        9     4  44.4% $    -19.00 $  -19.00 $   -226.88 $  322.38
  2025-02-10        1     0   0.0% $     -1.00 $   -1.00 $   -227.88 $  323.38
  2025-02-11       29    18  62.1% $    +26.00        $0 $   -201.88 $  297.38
  2025-02-12        1     0   0.0% $     -2.00 $   -2.00 $   -203.88 $  299.38
  2025-02-13        1     0   0.0% $    -18.50 $  -18.50 $   -222.38 $  317.88
  2025-02-14        6     4  66.7% $    -12.50 $  -12.50 $   -234.88 $  330.38
  2025-02-17        7     3  42.9% $     -1.00 $   -1.00 $   -235.88 $  331.38
  2025-02-18        1     0   0.0% $     -1.50 $   -1.50 $   -237.38 $  332.88
  2025-02-19        1     0   0.0% $     -1.50 $   -1.50 $   -238.88 $  334.38
  2025-02-20       21    12  57.1% $    +42.80        $0 $   -196.07 $  291.57
  2025-02-21        1     0   0.0% $     -1.50 $   -1.50 $   -197.57 $  293.07
  2025-02-23        1     0   0.0% $     +0.00        $0 $   -197.57 $  293.07
  2025-02-24        1     0   0.0% $    -19.00 $  -19.00 $   -216.57 $  312.07
  2025-02-25        1     0   0.0% $     -7.00 $   -7.00 $   -223.57 $  319.07
  2025-02-26        1     0   0.0% $     -1.50 $   -1.50 $   -225.07 $  320.57
  2025-02-27        2     1  50.0% $     -0.50 $   -0.50 $   -225.57 $  321.07
  2025-02-28        1     0   0.0% $     -2.00 $   -2.00 $   -227.57 $  323.07
  2025-03-02        1     0   0.0% $     -3.50 $   -3.50 $   -231.07 $  326.57
  2025-03-03       17     9  52.9% $   +112.50        $0 $   -118.57 $  214.07
  2025-03-04       14     9  64.3% $   +206.10        $0 $    +87.53 $    7.97
  2025-03-05        4     2  50.0% $    -15.50 $  -15.50 $    +72.03 $   42.50
  2025-03-06        1     0   0.0% $     -0.50 $   -0.50 $    +71.53 $   43.00
  2025-03-07       12     6  50.0% $    -65.82 $  -65.82 $     +5.70 $  108.82
  2025-03-09        2     1  50.0% $    -16.50 $  -16.50 $    -10.80 $  125.32
  2025-03-10        4     2  50.0% $     -4.50 $   -4.50 $    -15.30 $  129.82
  2025-03-11        1     0   0.0% $    -24.50 $  -24.50 $    -39.80 $  154.32
  2025-03-12        1     0   0.0% $     -5.50 $   -5.50 $    -45.30 $  159.82
  2025-03-13        1     0   0.0% $    -28.50 $  -28.50 $    -73.80 $  188.32
  2025-03-14        2     1  50.0% $    -12.00 $  -12.00 $    -85.80 $  200.32
  2025-03-16        2     2 100.0% $     +7.00        $0 $    -78.80 $  193.32
  2025-03-17        2     1  50.0% $     -2.50 $   -2.50 $    -81.30 $  195.82
  2025-03-18        1     0   0.0% $     -1.50 $   -1.50 $    -82.80 $  197.32
  2025-03-19        5     3  60.0% $     -6.00 $   -6.00 $    -88.80 $  203.32
  2025-03-20        1     0   0.0% $     -2.50 $   -2.50 $    -91.30 $  205.82
  2025-03-21        1     0   0.0% $    -10.00 $  -10.00 $   -101.30 $  215.82
  2025-03-23        1     1 100.0% $     +0.50        $0 $   -100.80 $  215.32
  2025-03-24        3     1  33.3% $    -29.50 $  -29.50 $   -130.30 $  244.82
  2025-03-25        1     0   0.0% $     -5.00 $   -5.00 $   -135.30 $  249.82
  2025-03-26        4     2  50.0% $    -10.00 $  -10.00 $   -145.30 $  259.82
  2025-03-27        2     1  50.0% $     -1.00 $   -1.00 $   -146.30 $  260.82
  2025-03-28       26    21  80.8% $   +119.95        $0 $    -26.35 $  140.88
  2025-03-30        2     1  50.0% $    +11.28        $0 $    -15.07 $  129.60
  2025-03-31        1     0   0.0% $     -7.00 $   -7.00 $    -22.07 $  136.60
  2025-04-01        1     0   0.0% $     -2.00 $   -2.00 $    -24.07 $  138.60
  2025-04-02        2     1  50.0% $     -4.00 $   -4.00 $    -28.07 $  142.60
  2025-04-03        3     2  66.7% $     -0.50 $   -0.50 $    -28.57 $  143.10
  2025-04-04       11     7  63.6% $    +57.30        $0 $    +28.72 $   85.80
  2025-04-07        2     1  50.0% $    -28.50 $  -28.50 $     +0.22 $  114.30
  2025-04-08        1     0   0.0% $    -19.50 $  -19.50 $    -19.28 $  133.80
  2025-04-09       20    16  80.0% $   +190.22        $0 $   +170.95 $   15.80
  2025-04-10        3     1  33.3% $     -8.50 $   -8.50 $   +162.45 $   24.30
  2025-04-11        7     5  71.4% $    -30.97 $  -30.97 $   +131.47 $   88.00
  2025-04-14       19    10  52.6% $   +119.05        $0 $   +250.52 $   18.50
  2025-04-15       15    10  66.7% $     -6.05 $   -6.05 $   +244.47 $  103.50
  2025-04-16       25    18  72.0% $   +105.35        $0 $   +349.82 $   37.00
  2025-04-17        1     0   0.0% $     -7.50 $   -7.50 $   +342.32 $   44.50
  2025-04-20        1     0   0.0% $     -0.50 $   -0.50 $   +341.82 $   45.00
  2025-04-21        1     0   0.0% $     -2.00 $   -2.00 $   +339.82 $   47.00
  2025-04-22       17    11  64.7% $   +131.55        $0 $   +471.37 $   35.00
  2025-04-23        2     1  50.0% $    -37.00 $  -37.00 $   +434.37 $   72.00
  2025-04-24        1     0   0.0% $    -41.00 $  -41.00 $   +393.37 $  113.00
  2025-04-25        3     2  66.7% $    -10.50 $  -10.50 $   +382.87 $  123.50
  2025-04-27        4     2  50.0% $     +6.97        $0 $   +389.85 $  116.53
  2025-04-28        1     0   0.0% $     -6.00 $   -6.00 $   +383.85 $  122.53
  2025-04-29        3     2  66.7% $     -1.00 $   -1.00 $   +382.85 $  123.53
  2025-04-30       11     6  54.5% $    -27.00 $  -27.00 $   +355.85 $  150.53
  2025-05-01        1     0   0.0% $     -5.50 $   -5.50 $   +350.35 $  156.03
  2025-05-02        1     0   0.0% $    -30.50 $  -30.50 $   +319.85 $  186.53
  2025-05-04        1     1 100.0% $     +1.50        $0 $   +321.35 $  185.03
  2025-05-05       20    14  70.0% $   +104.03        $0 $   +425.37 $   81.00
  2025-05-06        3     2  66.7% $     -3.00 $   -3.00 $   +422.37 $   84.00
  2025-05-07       12    10  83.3% $   +160.40        $0 $   +582.77        $0
  2025-05-08        1     0   0.0% $     -1.00 $   -1.00 $   +581.77 $    1.00
  2025-05-09       15     9  60.0% $     -2.00 $   -2.00 $   +579.77 $   39.00
  2025-05-11        1     0   0.0% $     -6.50 $   -6.50 $   +573.27 $   45.50
  2025-05-12        1     0   0.0% $     -4.00 $   -4.00 $   +569.27 $   49.50
  2025-05-13        1     0   0.0% $     -2.50 $   -2.50 $   +566.77 $   52.00
  2025-05-14        1     0   0.0% $    -12.50 $  -12.50 $   +554.27 $   64.50
  2025-05-15       28    17  60.7% $    +56.12        $0 $   +610.40 $   41.00
  2025-05-16       14     7  50.0% $     -6.50 $   -6.50 $   +603.90 $   47.50
  2025-05-18        2     2 100.0% $     +4.00        $0 $   +607.90 $   43.50
  2025-05-19       12     7  58.3% $     -8.10 $   -8.10 $   +599.80 $   51.60
  2025-05-20       29    19  65.5% $   +107.28        $0 $   +707.07 $   14.00
  2025-05-21       15     8  53.3% $     -3.20 $   -3.20 $   +703.87 $   36.00
  2025-05-22       26    17  65.4% $    +11.00        $0 $   +714.87 $   29.50
  2025-05-23        7     5  71.4% $     -5.50 $   -5.50 $   +709.37 $   35.00
  2025-05-25        1     1 100.0% $     +3.00        $0 $   +712.37 $   32.00
  2025-05-26        3     1  33.3% $     -3.00 $   -3.00 $   +709.37 $   35.00
  2025-05-27        2     1  50.0% $    -10.00 $  -10.00 $   +699.37 $   45.00
  2025-05-28        4     2  50.0% $     -2.50 $   -2.50 $   +696.87 $   47.50
  2025-05-29       10     6  60.0% $    -23.50 $  -23.50 $   +673.37 $   71.00
  2025-05-30        1     0   0.0% $     -2.50 $   -2.50 $   +670.87 $   73.50
  2025-06-02        1     0   0.0% $     -3.00 $   -3.00 $   +667.87 $   76.50
  2025-06-03        1     0   0.0% $    -11.50 $  -11.50 $   +656.37 $   88.00
  2025-06-04        1     0   0.0% $     -4.50 $   -4.50 $   +651.87 $   92.50
  2025-06-05        1     0   0.0% $    -11.00 $  -11.00 $   +640.87 $  103.50
  2025-06-06       33    24  72.7% $   +155.80        $0 $   +796.67 $    1.00
  2025-06-08        1     1 100.0% $     +6.50        $0 $   +803.17        $0
  2025-06-09        1     0   0.0% $     -4.50 $   -4.50 $   +798.67 $    4.50
  2025-06-10        2     1  50.0% $     -9.50 $   -9.50 $   +789.17 $   14.00
  2025-06-11        1     0   0.0% $     -7.00 $   -7.00 $   +782.17 $   21.00
  2025-06-12        1     0   0.0% $    -12.00 $  -12.00 $   +770.17 $   33.00
  2025-06-13        2     1  50.0% $     -3.50 $   -3.50 $   +766.67 $   36.50
  2025-06-16        1     0   0.0% $    -30.00 $  -30.00 $   +736.67 $   66.50
  2025-06-17       34    22  64.7% $   +125.33        $0 $   +862.00        $0
  2025-06-18       10     7  70.0% $     -7.50 $   -7.50 $   +854.50 $   27.00
  2025-06-19       24    15  62.5% $    +55.30        $0 $   +909.80 $    5.50
  2025-06-20       16    12  75.0% $    +66.00        $0 $   +975.80 $   24.00
  2025-06-23        3     1  33.3% $    -39.50 $  -39.50 $   +936.30 $   63.50
  2025-06-24        1     0   0.0% $     -4.00 $   -4.00 $   +932.30 $   67.50
  2025-06-25        1     0   0.0% $     -8.00 $   -8.00 $   +924.30 $   75.50
  2025-06-26        1     0   0.0% $     -6.00 $   -6.00 $   +918.30 $   81.50
  2025-06-27        1     0   0.0% $     -4.00 $   -4.00 $   +914.30 $   85.50
  2025-06-29        1     1 100.0% $    +15.00        $0 $   +929.30 $   70.50
  2025-06-30       27    18  66.7% $    +48.00        $0 $   +977.30 $   22.50
  2025-07-01        1     0   0.0% $     -1.00 $   -1.00 $   +976.30 $   23.50
  2025-07-02        2     1  50.0% $     -5.50 $   -5.50 $   +970.80 $   29.00
  2025-07-03        8     6  75.0% $    +19.50        $0 $   +990.30 $    9.50
  2025-07-04        6     3  50.0% $     -1.50 $   -1.50 $   +988.80 $   11.00
  2025-07-07       10     5  50.0% $    -29.50 $  -29.50 $   +959.30 $   51.50
  2025-07-08        1     0   0.0% $     -5.50 $   -5.50 $   +953.80 $   57.00
  2025-07-09        6     4  66.7% $     -4.50 $   -4.50 $   +949.30 $   61.50
  2025-07-10        1     0   0.0% $     -5.00 $   -5.00 $   +944.30 $   66.50
  2025-07-11        1     0   0.0% $     -4.00 $   -4.00 $   +940.30 $   70.50
  2025-07-14        1     0   0.0% $    -18.50 $  -18.50 $   +921.80 $   89.00
  2025-07-15        2     1  50.0% $     -2.50 $   -2.50 $   +919.30 $   91.50
  2025-07-16        1     0   0.0% $     -0.50 $   -0.50 $   +918.80 $   92.00
  2025-07-17        1     0   0.0% $     -3.00 $   -3.00 $   +915.80 $   95.00
  2025-07-18        5     3  60.0% $     -9.00 $   -9.00 $   +906.80 $  104.00
  2025-07-20        1     1 100.0% $     +5.00        $0 $   +911.80 $   99.00
  2025-07-21        1     0   0.0% $     -0.50 $   -0.50 $   +911.30 $   99.50
  2025-07-22        9     5  55.6% $     -4.50 $   -4.50 $   +906.80 $  104.00
  2025-07-23       20    13  65.0% $    +40.50        $0 $   +947.30 $   63.50
  2025-07-24       13     6  46.2% $     -1.50 $   -1.50 $   +945.80 $   65.00
  2025-07-25        7     3  42.9% $     -0.50 $   -0.50 $   +945.30 $   65.50
  2025-07-28       17     9  52.9% $    +12.00        $0 $   +957.30 $   53.50
  2025-07-29        1     0   0.0% $     -2.00 $   -2.00 $   +955.30 $   55.50
  2025-07-30        1     0   0.0% $     -6.00 $   -6.00 $   +949.30 $   61.50
  2025-07-31       10     4  40.0% $     -4.85 $   -4.85 $   +944.45 $   66.35
  2025-08-01        2     1  50.0% $     -9.50 $   -9.50 $   +934.95 $   75.85
  2025-08-04        1     0   0.0% $     -6.00 $   -6.00 $   +928.95 $   81.85
  2025-08-05        1     0   0.0% $     -0.50 $   -0.50 $   +928.45 $   82.35
  2025-08-06        1     0   0.0% $    -17.50 $  -17.50 $   +910.95 $   99.85
  2025-08-07        1     0   0.0% $    -17.50 $  -17.50 $   +893.45 $  117.35
  2025-08-08       29    12  41.4% $     -0.90 $   -0.90 $   +892.55 $  118.25
  2025-08-11        1     0   0.0% $     -2.50 $   -2.50 $   +890.05 $  120.75
  2025-08-12        2     1  50.0% $     -9.00 $   -9.00 $   +881.05 $  129.75
  2025-08-13        6     4  66.7% $     -1.50 $   -1.50 $   +879.55 $  131.25
  2025-08-14        3     2  66.7% $     -0.50 $   -0.50 $   +879.05 $  131.75
  2025-08-15        1     0   0.0% $     -3.00 $   -3.00 $   +876.05 $  134.75
  2025-08-17        1     1 100.0% $     +5.00        $0 $   +881.05 $  129.75
  2025-08-18        2     1  50.0% $    -13.50 $  -13.50 $   +867.55 $  143.25
  2025-08-19       12     7  58.3% $     -2.50 $   -2.50 $   +865.05 $  145.75
  2025-08-20        3     2  66.7% $    -11.50 $  -11.50 $   +853.55 $  157.25
  2025-08-21        1     0   0.0% $    -70.00 $  -70.00 $   +783.55 $  227.25
  2025-08-22        1     0   0.0% $     -2.50 $   -2.50 $   +781.05 $  229.75
  2025-08-24        1     1 100.0% $     +5.50        $0 $   +786.55 $  224.25
  2025-08-25        1     0   0.0% $     -1.00 $   -1.00 $   +785.55 $  225.25
  2025-08-26        9     6  66.7% $     -2.00 $   -2.00 $   +783.55 $  227.25
  2025-08-27        2     1  50.0% $     -2.50 $   -2.50 $   +781.05 $  229.75
  2025-08-28        5     4  80.0% $     -2.00 $   -2.00 $   +779.05 $  231.75
  2025-08-29        1     0   0.0% $     -1.00 $   -1.00 $   +778.05 $  232.75
  2025-08-31        1     1 100.0% $     +3.50        $0 $   +781.55 $  229.25
  2025-09-01        2     1  50.0% $    -14.00 $  -14.00 $   +767.55 $  243.25
  2025-09-02       18    12  66.7% $   +165.50        $0 $   +933.05 $   77.75
  2025-09-03        2     1  50.0% $     -2.00 $   -2.00 $   +931.05 $   79.75
  2025-09-04       23    18  78.3% $   +125.50        $0 $ +1,056.55 $   13.50
  2025-09-05        1     0   0.0% $     -3.00 $   -3.00 $ +1,053.55 $   16.50
  2025-09-08        2     1  50.0% $     -7.50 $   -7.50 $ +1,046.05 $   24.00
  2025-09-09       11     6  54.5% $     -1.00 $   -1.00 $ +1,045.05 $   25.00
  2025-09-10       20    12  60.0% $    -11.00 $  -11.00 $ +1,034.05 $   42.50
  2025-09-11        4     4 100.0% $    +79.85        $0 $ +1,113.90        $0
  2025-09-12        5     3  60.0% $    -22.00 $  -22.00 $ +1,091.90 $   43.50
  2025-09-14        2     2 100.0% $    +14.00        $0 $ +1,105.90 $   29.50
  2025-09-15        9     5  55.6% $     -1.50 $   -1.50 $ +1,104.40 $   31.00
  2025-09-16        6     4  66.7% $     -3.50 $   -3.50 $ +1,100.90 $   34.50
  2025-09-17        3     2  66.7% $     -1.00 $   -1.00 $ +1,099.90 $   35.50
  2025-09-18       21    15  71.4% $    +84.40        $0 $ +1,184.30 $    2.50
  2025-09-19       11     4  36.4% $     -6.50 $   -6.50 $ +1,177.80 $   18.00
  2025-09-21        1     0   0.0% $    -13.50 $  -13.50 $ +1,164.30 $   31.50
  2025-09-22        1     0   0.0% $     -2.00 $   -2.00 $ +1,162.30 $   33.50
  2025-09-23        3     2  66.7% $     -8.00 $   -8.00 $ +1,154.30 $   41.50
  2025-09-24        2     1  50.0% $     -2.50 $   -2.50 $ +1,151.80 $   44.00
  2025-09-25        1     0   0.0% $     -3.00 $   -3.00 $ +1,148.80 $   47.00
  2025-09-26        1     0   0.0% $     -0.50 $   -0.50 $ +1,148.30 $   47.50
  2025-09-28        4     3  75.0% $    +11.50        $0 $ +1,159.80 $   36.00
  2025-09-29        2     0   0.0% $     -2.00 $   -2.00 $ +1,157.80 $   38.00
  2025-09-30        7     5  71.4% $     -1.50 $   -1.50 $ +1,156.30 $   39.50
  2025-10-01       16    11  68.8% $    +37.50        $0 $ +1,193.80 $   64.00
  2025-10-02        1     0   0.0% $     -9.50 $   -9.50 $ +1,184.30 $   73.50
  2025-10-03       10     6  60.0% $    -89.00 $  -89.00 $ +1,095.30 $  162.50
  2025-10-06        2     1  50.0% $    -10.50 $  -10.50 $ +1,084.80 $  173.00
  2025-10-07       10     6  60.0% $     -5.50 $   -5.50 $ +1,079.30 $  178.50
  2025-10-08        1     0   0.0% $     -3.50 $   -3.50 $ +1,075.80 $  182.00
  2025-10-09        1     0   0.0% $     -4.00 $   -4.00 $ +1,071.80 $  186.00
  2025-10-10        1     0   0.0% $     -6.50 $   -6.50 $ +1,065.30 $  192.50
  2025-10-12        1     1 100.0% $    +12.50        $0 $ +1,077.80 $  180.00
  2025-10-13        1     0   0.0% $    -23.00 $  -23.00 $ +1,054.80 $  203.00
  2025-10-14       14     7  50.0% $    -23.25 $  -23.25 $ +1,031.55 $  226.25
  2025-10-15       18     9  50.0% $    +23.55        $0 $ +1,055.10 $  202.70
  2025-10-16       23    17  73.9% $   +178.30        $0 $ +1,233.40 $   24.40
  2025-10-17        6     2  33.3% $     -4.00 $   -4.00 $ +1,229.40 $   30.50
  2025-10-19        1     0   0.0% $    -10.50 $  -10.50 $ +1,218.90 $   41.00
  2025-10-20       27    19  70.4% $    +12.00        $0 $ +1,230.90 $   33.50
  2025-10-21        1     0   0.0% $     -0.50 $   -0.50 $ +1,230.40 $   34.00
  2025-10-22        1     0   0.0% $     -6.50 $   -6.50 $ +1,223.90 $   40.50
  2025-10-23        1     0   0.0% $     -2.50 $   -2.50 $ +1,221.40 $   43.00
  2025-10-24        1     0   0.0% $     -3.50 $   -3.50 $ +1,217.90 $   46.50
  2025-10-26        2     2 100.0% $     +5.50        $0 $ +1,223.40 $   41.00
  2025-10-27        5     3  60.0% $     -1.00 $   -1.00 $ +1,222.40 $   42.00
  2025-10-28        1     0   0.0% $    -10.00 $  -10.00 $ +1,212.40 $   52.00
  2025-10-29        4     2  50.0% $    -12.00 $  -12.00 $ +1,200.40 $   64.00
  2025-10-30       29    17  58.6% $    +60.80        $0 $ +1,261.20 $   24.70
  2025-10-31        2     1  50.0% $     -4.00 $   -4.00 $ +1,257.20 $   28.70
  2025-11-03        1     0   0.0% $     -0.50 $   -0.50 $ +1,256.70 $   29.20
  2025-11-04        2     1  50.0% $     -6.50 $   -6.50 $ +1,250.20 $   35.70
  2025-11-05        1     0   0.0% $    -16.50 $  -16.50 $ +1,233.70 $   52.20
  2025-11-06        1     0   0.0% $    -24.00 $  -24.00 $ +1,209.70 $   76.20
  2025-11-07       17    10  58.8% $    +58.85        $0 $ +1,268.55 $   17.35
  2025-11-10       33    23  69.7% $   +187.30        $0 $ +1,455.85 $   24.00
  2025-11-11        6     3  50.0% $     -2.00 $   -2.00 $ +1,453.85 $   26.00
  2025-11-12        4     1  25.0% $     -2.50 $   -2.50 $ +1,451.35 $   28.50
  2025-11-13        2     1  50.0% $     -2.50 $   -2.50 $ +1,448.85 $   31.00
  2025-11-14        3     1  33.3% $     -1.50 $   -1.50 $ +1,447.35 $   32.50
  2025-11-17        2     1  50.0% $    -15.00 $  -15.00 $ +1,432.35 $   47.50
  2025-11-18        5     1  20.0% $     -5.90 $   -5.90 $ +1,426.45 $   53.40
  2025-11-19        1     0   0.0% $     -3.50 $   -3.50 $ +1,422.95 $   56.90
  2025-11-20       18    13  72.2% $    +28.00        $0 $ +1,450.95 $  123.50
  2025-11-21        2     1  50.0% $     -1.25 $   -1.25 $ +1,449.70 $  124.75
  2025-11-24        1     0   0.0% $    -62.00 $  -62.00 $ +1,387.70 $  186.75
  2025-11-25        4     2  50.0% $    -21.00 $  -21.00 $ +1,366.70 $  207.75
  2025-11-26       34    17  50.0% $    +21.50        $0 $ +1,388.20 $  186.25
  2025-11-27        1     0   0.0% $    -15.00 $  -15.00 $ +1,373.20 $  201.25
  2025-11-28        2     1  50.0% $     -9.50 $   -9.50 $ +1,363.70 $  210.75
  2025-12-01        1     0   0.0% $     -8.50 $   -8.50 $ +1,355.20 $  219.25
  2025-12-02       13     5  38.5% $    -21.50 $  -21.50 $ +1,333.70 $  240.75
  2025-12-03       10     7  70.0% $    +33.18        $0 $ +1,366.88 $  207.57
  2025-12-04        1     0   0.0% $     -1.00 $   -1.00 $ +1,365.88 $  208.57
  2025-12-05        1     0   0.0% $     -7.00 $   -7.00 $ +1,358.88 $  215.57
  2025-12-08       11     6  54.5% $    -19.00 $  -19.00 $ +1,339.88 $  234.57
  2025-12-09        6     3  50.0% $    -14.50 $  -14.50 $ +1,325.38 $  249.07
  2025-12-10        1     0   0.0% $     -2.00 $   -2.00 $ +1,323.38 $  251.07
  2025-12-11        1     0   0.0% $    -25.00 $  -25.00 $ +1,298.38 $  276.07
  2025-12-12       53    37  69.8% $   +426.55        $0 $ +1,724.93 $    2.50
  2025-12-14        1     1 100.0% $     +0.50        $0 $ +1,725.43 $    2.00
  2025-12-15        7     4  57.1% $     -3.50 $   -3.50 $ +1,721.93 $   16.50
  2025-12-16       28    13  46.4% $    +32.80        $0 $ +1,754.73 $   59.20
  2025-12-17       14     6  42.9% $    -28.00 $  -28.00 $ +1,726.73 $   87.20
  2025-12-18        8     4  50.0% $    -20.50 $  -20.50 $ +1,706.23 $  107.70
  2025-12-19        1     0   0.0% $     -1.50 $   -1.50 $ +1,704.73 $  109.20
  2025-12-22        1     0   0.0% $     -5.50 $   -5.50 $ +1,699.23 $  114.70
  2025-12-23        1     0   0.0% $     -5.00 $   -5.00 $ +1,694.23 $  119.70
  2025-12-24       14    10  71.4% $    +11.50        $0 $ +1,705.73 $  108.20
  2025-12-26       29    22  75.9% $    +63.50        $0 $ +1,769.23 $   44.70
  2025-12-28        1     1 100.0% $     +3.00        $0 $ +1,772.23 $   41.70
  2025-12-29        1     0   0.0% $    -11.00 $  -11.00 $ +1,761.23 $   52.70
  2025-12-30       10     4  40.0% $     -1.00 $   -1.00 $ +1,760.23 $   53.70
  2025-12-31        1     0   0.0% $     -0.50 $   -0.50 $ +1,759.73 $   54.20
  2026-01-01        1     0   0.0% $    -11.00 $  -11.00 $ +1,748.73 $   65.20
  2026-01-02        1     0   0.0% $     -8.50 $   -8.50 $ +1,740.23 $   73.70
  2026-01-04        1     0   0.0% $    -59.50 $  -59.50 $ +1,680.73 $  133.20
  2026-01-05       12     7  58.3% $     +8.00        $0 $ +1,688.73 $  125.20
  2026-01-06        1     0   0.0% $     -1.00 $   -1.00 $ +1,687.73 $  126.20
  2026-01-07       19    12  63.2% $    -29.80 $  -29.80 $ +1,657.93 $  156.00
  2026-01-08        1     0   0.0% $     -1.50 $   -1.50 $ +1,656.43 $  157.50
  2026-01-09       29    15  51.7% $   +101.25        $0 $ +1,757.68 $   56.25
  2026-01-11        1     1 100.0% $     +5.50        $0 $ +1,763.18 $   50.75
  2026-01-12        1     0   0.0% $     -4.50 $   -4.50 $ +1,758.68 $   55.25
  2026-01-13        1     0   0.0% $     -1.50 $   -1.50 $ +1,757.18 $   56.75
  2026-01-14        1     0   0.0% $     -2.50 $   -2.50 $ +1,754.68 $   59.25
  2026-01-15       11     7  63.6% $     -9.00 $   -9.00 $ +1,745.68 $   68.25
  2026-01-16        1     0   0.0% $     -3.50 $   -3.50 $ +1,742.18 $   71.75
  2026-01-19       36    24  66.7% $   +127.30        $0 $ +1,869.47 $   22.00
  2026-01-20        4     2  50.0% $     -0.50 $   -0.50 $ +1,868.97 $   22.50
  2026-01-21        2     1  50.0% $     -0.50 $   -0.50 $ +1,868.47 $   23.00
  2026-01-22        2     1  50.0% $     -3.00 $   -3.00 $ +1,865.47 $   26.00
  2026-01-23        6     3  50.0% $     -3.50 $   -3.50 $ +1,861.97 $   29.50
  2026-01-26       15     8  53.3% $     -6.00 $   -6.00 $ +1,855.97 $   54.50
