timestamp,git_hash,mode,total_pnl,profit_factor,gross_profit,gross_loss,trades,win_rate,avg_pnl,correct_dir_pct,counter_trend_pct,reversed_pct,avg_capture_pct,avg_target_capture_pct,too_early_pct,too_late_pct,avg_hold_min,worst_dip,max_dd,halflife,giveback_pct,wrong_dir_pnl,scalp_pnl,left_on_table
2026-03-08 17:05,8b923cb,OOS,22383.0,4.43,28917.0,6534.0,1750,77.5,12.79,56.1,31.1,20.0,8.4,3.4,11.7,56.2,2.8,-267.0,394.5,51.9,55,4385.5,10154.0,215892.5
2026-03-08 17:43,ab62a4b,OOS,22234.5,3.92,29860.5,7626.0,1943,78.2,11.44,58.1,29.8,19.6,7.3,3.0,21.9,47.5,2.3,-267.0,294.0,24.2,55,4510.0,10888.0,254773.5
2026-03-08 19:58,b2be6e1,IS,87880.0,4.18,115506.0,27626.0,7780,79.2,11.3,51.9,35.4,19.8,8.3,2.9,20.5,46.3,3.3,0,0,42.9,55,17745.5,44656.0,876142.0
2026-03-08 20:04,b2be6e1,OOS,22458.5,4.38,29096.5,6638.0,1769,77.4,12.7,56.7,30.8,20.7,8.1,3.6,13.7,53.8,2.7,-267.0,294.0,42.9,55,4047.5,10316.0,222686.0
2026-03-08 20:10,b2be6e1,OOS,22427.5,4.37,29089.0,6661.5,1775,77.3,12.64,56.5,30.8,20.5,8.3,3.4,13.2,54.0,2.7,-267.0,394.5,42.9,55,4386.0,10134.5,223053.0
2026-03-08 23:25,589a1c1,IS,82194.5,3.03,122639.5,40445.0,11881,56.0,6.92,52.5,24.6,43.1,4.8,1.5,22.0,25.7,1.6,0,0,26.6,55,21287.5,48320.0,1054520.0
2026-03-08 23:32,589a1c1,OOS,21871.0,2.99,32857.5,10986.5,2983,58.1,7.33,57.9,22.5,40.8,4.4,1.8,24.1,27.8,0.9,-100.0,476.0,26.6,55,5390.5,12259.0,305741.0
2026-03-08 23:38,589a1c1,OOS,22232.0,3.1,32806.5,10574.5,2977,58.3,7.47,57.9,22.4,40.4,4.5,1.7,24.0,27.9,0.9,-107.0,223.0,26.6,55,4966.0,12173.0,305639.0
2026-03-09 01:10,7c12e70,IS,79179.0,3.28,113962.0,34783.0,12650,68.3,6.26,52.7,30.8,32.2,4.3,1.4,22.0,37.8,1.5,0,0,60,55,18260.0,44358.0,1316125.0
2026-03-09 01:15,7c12e70,OOS,20966.0,3.13,30832.0,9866.0,3168,67.9,6.62,58.0,26.7,31.6,3.9,1.6,22.6,39.7,0.9,-117.5,485.0,60,55,4941.0,11432.0,367487.0
2026-03-09 01:21,7c12e70,OOS,21510.5,3.27,30973.5,9463.0,3179,68.3,6.77,58.1,26.8,31.3,4.0,1.5,22.4,39.9,0.9,-107.0,231.5,60,55,4522.0,11493.5,368089.0
2026-03-09 06:43,fb3fadc,IS,-44.5,0.66,86.5,131.0,7,57.1,-6.36,28.6,28.6,50.0,1.8,0.7,50.0,0.0,1.5,0,0,20,70,124.5,56.5,406.0
2026-03-09 06:50,fb3fadc,IS,-44.5,0.66,86.5,131.0,7,57.1,-6.36,28.6,28.6,50.0,1.8,0.7,50.0,0.0,1.5,0,0,20,70,124.5,56.5,406.0
2026-03-09 06:56,fb3fadc,OOS,20946.0,3.12,30809.5,9863.5,3167,68.0,6.61,58.0,26.6,31.5,3.9,1.6,22.6,39.7,0.9,-118.5,485.0,35.4,55,4962.5,11408.5,367598.0
2026-03-09 07:01,fb3fadc,OOS,21511.5,3.28,30965.0,9453.5,3178,68.3,6.77,58.1,26.8,31.2,4.0,1.5,22.4,40.0,0.9,-107.0,229.0,54.0,55,4524.5,11489.5,368179.5
2026-03-09 12:08,b5d3f2a,IS,76539.0,4.08,101395.0,24856.0,10046,69.7,7.62,51.9,32.1,30.9,5.5,1.8,16.2,42.5,2.1,0,0,60,55,12969.0,35582.5,1001360.5
2026-03-09 12:15,b5d3f2a,OOS,21042.0,4.26,27487.0,6445.0,2379,68.5,8.84,57.9,27.1,30.9,5.1,2.2,13.1,46.4,1.4,-99.5,236.5,60,55,3178.0,9663.5,265744.5
2026-03-09 12:22,b5d3f2a,OOS,21033.5,4.33,27349.5,6316.0,2361,68.9,8.91,57.3,27.6,30.4,5.3,2.1,13.1,46.6,1.5,-73.5,236.5,60,55,3195.5,9543.0,263378.0
