
======================================================================
BASELINE REPORT (physics only, no CNN)
Generated: 2026-05-24 07:29:48
======================================================================

Dataset             $/day   Trades      WinDays   Days
--------------------------------------------------------
IS                    -81    3,574  125/277  (45%)  277
OOS                  +110      985   36/68   (53%)   68

PRIMARY TRADES:
Tier                  Trades    WR     $/tr    $/day
----------------------------------------------------
MTF_BREAKOUT            2322   49%      1.0       +9
FADE_CALM                230   47%     -2.8       -2
FADE_AGAINST             250   46%    -13.2      -12
TOTAL PRIMARY           2802                      -6

CHAIN TRADES:
Tier                  Trades    WR     $/tr    $/day
----------------------------------------------------
FADE_AGAINST             275   45%    -16.9      -17
MTF_EXHAUSTION            31   29%   -164.0      -18
FADE_CALM                466   44%    -24.1      -40
TOTAL CHAIN              772                     -76

IS DISTRIBUTION:
  Mean:   $-81
  Median: $-72
  Mode:   $+0 bucket (69 days)
  P5/P25/P75/P95: $-2,747 / $-1,172 / $+606 / $+3,489
  Worst:  $-14,762 (2025_04_09)
  Best:   $+9,247 (2025_04_04)

OOS DISTRIBUTION:
  Mean:   $+110
  Median: $+12
  Mode:   $+0 bucket (19 days)
  P5/P25/P75/P95: $-3,023 / $-1,030 / $+819 / $+3,651
  Worst:  $-4,689 (2026_02_06)
  Best:   $+6,514 (2026_02_05)

DAY-OF-WEEK ANALYSIS:
  IS:
  Day           Days   Win    WR    $/day   Losing
  --------------------------------------------------
  Monday          44    17   39%     -564       27
  Tuesday         46    23   50%      -62       23
  Wednesday       48    16   33%     -807       32
  Thursday        48    27   56%     +637       21
  Friday          47    21   45%     +333       26
  Sunday          44    21   48%      -53       23

  OOS:
  Day           Days   Win    WR    $/day   Losing
  --------------------------------------------------
  Monday          11     2   18%   -1,548        9
  Tuesday         11     3   27%      -66        8
  Wednesday       11     7   64%     +378        4
  Thursday        12    10   83%   +1,460        2
  Friday          12     7   58%     +225        5
  Sunday          11     7   64%      +76        4

LOSING DAYS:
  IS (152 losing):
  Day            DOW             PnL  Trades
  2025_08_24     Sunday          -54      10
  2025_01_26     Sunday          -53       2
  2025_04_29     Tuesday         -46      17
  2025_07_15     Tuesday         -30       7
  2025_08_03     Sunday          -27       7
  2025_12_07     Sunday          -16       5
  2025_11_09     Sunday          -14       2
  2025_01_01     Wednesday       -10       3
  -> 23/152 are Sundays

  OOS (32 losing):
  Day            DOW             PnL  Trades
  ------------------------------------------
  2026_02_06     Friday       -4,689      11
  2026_03_09     Monday       -4,549      27
  2026_02_02     Monday       -4,410      12
  2026_03_04     Wednesday    -3,232      11
  2026_01_21     Wednesday    -2,636      12
  2026_01_26     Monday       -2,116       4
  2026_02_25     Wednesday    -2,073      10
  2026_01_06     Tuesday      -2,006      12
  2026_01_09     Friday       -1,828      20
  2026_01_27     Tuesday      -1,640      22
  2026_01_12     Monday       -1,594      23
  2026_02_09     Monday       -1,486      35
  2026_02_24     Tuesday      -1,337      19
  2026_02_20     Friday       -1,332      37
  2026_03_17     Tuesday      -1,304      11
  2026_03_16     Monday       -1,271       7
  2026_03_02     Monday       -1,259      24
  2026_02_18     Wednesday      -953      96
  2026_01_15     Thursday       -950      32
  2026_01_05     Monday         -767      11
  2026_01_22     Thursday       -404      13
  2026_02_17     Tuesday        -358      13
  2026_03_03     Tuesday        -342       6
  2026_01_04     Sunday         -266       9
  2026_03_10     Tuesday        -249       9
  2026_01_23     Friday         -152       8
  2026_03_01     Sunday          -60       1
  2026_03_08     Sunday          -52      10
  2026_03_20     Friday          -24      26
  2026_01_19     Monday          -22       8
  2026_02_15     Sunday          -17       1
  2026_01_13     Tuesday          -9      30
  -> 4/32 are Sundays

======================================================================
