**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,parent_motif_idx,shape_class,parent_15m_cluster,cluster_5m,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_01_03,2,5,FLATLINE,FLATLINE_C3,2,25.0,False,5.0,2.457
2025_01_03,0,6,EXPONENTIAL_DOWN,EXPONENTIAL_UP_C1,2,-20.0,False,35.0,2.92
2025_01_03,1,6,LINEAR_UP,EXPONENTIAL_UP_C1,1,27.0,False,55.0,3.508
2025_01_03,2,6,EXPONENTIAL_DOWN,EXPONENTIAL_UP_C1,2,17.5,False,45.0,3.784
2025_01_03,0,7,EXPONENTIAL_DOWN,FLATLINE_C1,2,25.5,False,30.0,4.319
2025_01_03,0,8,FLATLINE,FLATLINE_C1,0,-11.5,False,20.0,1.37
2025_01_03,1,8,FLATLINE,FLATLINE_C1,0,4.0,False,25.0,1.892
2025_01_03,0,9,LINEAR_DOWN,FLATLINE_C1,-1,20.75,False,45.0,3.823
2025_01_03,1,9,EXPONENTIAL_UP,FLATLINE_C1,-1,31.0,False,30.0,3.411
2025_01_03,0,10,LINEAR_UP,FLATLINE_C1,0,3.0,False,30.0,1.892
2025_01_03,0,11,FLATLINE,LINEAR_UP_C0,-1,-0.75,False,25.0,4.304
2025_01_03,1,11,EXPONENTIAL_UP,LINEAR_UP_C0,2,90.5,True,65.0,4.515
2025_01_03,2,11,FLATLINE,LINEAR_UP_C0,0,0.75,False,20.0,3.156
2025_01_03,3,11,FLATLINE,LINEAR_UP_C0,-1,6.0,False,5.0,0.689
2025_01_03,4,11,FLATLINE,LINEAR_UP_C0,0,-5.5,False,15.0,1.071
2025_01_03,5,11,EXPONENTIAL_UP,LINEAR_UP_C0,2,93.0,False,80.0,2.964
2025_01_03,6,11,FLATLINE,LINEAR_UP_C0,0,3.5,False,5.0,1.784
2025_01_03,7,11,FLATLINE,LINEAR_UP_C0,0,18.75,False,5.0,1.802
2025_01_03,8,11,LOGARITHMIC_DOWN,LINEAR_UP_C0,0,3.0,False,30.0,2.204
2025_01_03,9,11,LINEAR_UP,LINEAR_UP_C0,2,73.25,False,120.0,3.834
2025_01_03,10,11,LINEAR_DOWN,LINEAR_UP_C0,0,54.25,True,80.0,4.267
2025_01_03,0,12,LOGARITHMIC_DOWN,FLATLINE_C8,1,-9.25,False,44.92,2.535
2025_01_05,0,0,FLATLINE,FLATLINE_NOISE,-1,0.0,False,15.0,1.807
2025_01_05,1,0,FLATLINE,FLATLINE_NOISE,3,19.75,False,25.0,3.247
2025_01_05,2,0,FLATLINE,FLATLINE_NOISE,2,10.75,False,5.0,1.162
2025_01_05,3,0,FLATLINE,FLATLINE_NOISE,2,-0.0,False,5.0,1.048
2025_01_05,4,0,FLATLINE,FLATLINE_NOISE,3,-0.75,False,9.92,1.229
2025_01_06,0,0,NOISE,NOISE_NOISE,-1,0.0,True,75.0,24.183
2025_01_06,1,0,FLATLINE,NOISE_NOISE,1,-2.25,False,20.0,2.52
2025_01_06,2,0,FLATLINE,NOISE_NOISE,1,3.5,False,10.0,3.531
2025_01_06,0,1,FLATLINE,EXPONENTIAL_UP_C1,0,-6.75,False,15.0,1.872
2025_01_06,1,1,FLATLINE,EXPONENTIAL_UP_C1,0,12.25,False,5.0,2.09
2025_01_06,2,1,LINEAR_UP,EXPONENTIAL_UP_C1,1,23.0,False,35.0,4.38
2025_01_06,3,1,FLATLINE,EXPONENTIAL_UP_C1,0,10.75,False,5.0,0.776
2025_01_06,4,1,FLATLINE,EXPONENTIAL_UP_C1,0,11.0,False,15.0,0.717
2025_01_06,5,1,FLATLINE,EXPONENTIAL_UP_C1,0,4.0,False,10.0,1.092
2025_01_06,6,1,FLATLINE,EXPONENTIAL_UP_C1,0,5.0,False,10.0,1.495
2025_01_06,7,1,FLATLINE,EXPONENTIAL_UP_C1,0,6.75,False,5.0,0.92
2025_01_06,8,1,FLATLINE,EXPONENTIAL_UP_C1,-1,1.75,False,30.0,3.921
2025_01_06,9,1,FLATLINE,EXPONENTIAL_UP_C1,-1,-1.0,False,10.0,1.167
2025_01_06,10,1,FLATLINE,EXPONENTIAL_UP_C1,-1,3.0,False,15.25,2.142
2025_01_06,11,1,LINEAR_UP,EXPONENTIAL_UP_C1,1,27.5,True,104.92,6.465
2025_01_06,12,1,FLATLINE,EXPONENTIAL_UP_C1,0,-0.25,False,24.83,2.252
2025_01_06,13,1,LINEAR_UP,EXPONENTIAL_UP_C1,1,52.75,False,105.0,3.813
2025_01_06,14,1,FLATLINE,EXPONENTIAL_UP_C1,2,17.0,False,5.0,1.995
2025_01_06,15,1,LINEAR_UP,EXPONENTIAL_UP_C1,1,99.75,False,150.0,3.697
2025_01_06,16,1,FLATLINE,EXPONENTIAL_UP_C1,2,-11.75,False,20.0,4.859
2025_01_06,17,1,LINEAR_UP,EXPONENTIAL_UP_C1,1,39.5,False,65.0,3.476
2025_01_06,18,1,FLATLINE,EXPONENTIAL_UP_C1,3,-4.5,False,10.0,2.448
2025_01_06,19,1,FLATLINE,EXPONENTIAL_UP_C1,2,-10.0,False,10.0,2.225
2025_01_06,20,1,FLATLINE,EXPONENTIAL_UP_C1,2,-11.25,False,10.0,2.293
2025_01_06,21,1,FLATLINE,EXPONENTIAL_UP_C1,1,2.75,False,25.0,8.196
2025_01_06,22,1,FLATLINE,EXPONENTIAL_UP_C1,2,8.25,False,5.0,1.154
2025_01_06,23,1,FLATLINE,EXPONENTIAL_UP_C1,2,22.0,False,15.0,1.54
2025_01_06,24,1,FLATLINE,EXPONENTIAL_UP_C1,2,13.0,False,20.0,3.729
2025_01_06,25,1,FLATLINE,EXPONENTIAL_UP_C1,1,-1.5,False,20.0,3.173
2025_01_06,26,1,FLATLINE,EXPONENTIAL_UP_C1,-1,35.0,False,15.0,9.339
2025_01_06,27,1,LOGARITHMIC_UP,EXPONENTIAL_UP_C1,1,185.25,False,125.0,3.491
2025_01_06,28,1,EXPONENTIAL_DOWN,EXPONENTIAL_UP_C1,2,62.25,False,60.0,3.839
2025_01_06,0,2,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,123.75,True,130.0,5.864
2025_01_06,1,2,FLATLINE,LINEAR_DOWN_NOISE,1,14.75,False,10.0,1.998
2025_01_06,2,2,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,15.75,False,30.0,8.933
2025_01_06,3,2,FLATLINE,LINEAR_DOWN_NOISE,1,26.5,False,25.0,2.348
2025_01_06,4,2,FLATLINE,LINEAR_DOWN_NOISE,1,30.25,False,5.0,1.552
2025_01_06,5,2,FLATLINE,LINEAR_DOWN_NOISE,1,66.0,False,10.0,1.786
2025_01_06,0,3,LINEAR_UP,FLATLINE_C0,1,16.0,False,30.0,2.54
2025_01_06,0,4,LOGARITHMIC_UP,FLATLINE_NOISE,4,7.5,False,25.0,2.073
2025_01_06,1,4,FLATLINE,FLATLINE_NOISE,-1,-2.5,False,65.0,1.945
2025_01_06,2,4,FLATLINE,FLATLINE_NOISE,-1,-8.5,False,20.0,6.323
2025_01_06,3,4,FLATLINE,FLATLINE_NOISE,-1,4.0,False,39.92,2.196
2025_01_07,0,0,NOISE,NOISE_NOISE,-1,0.0,False,25.0,16.971
2025_01_07,1,0,FLATLINE,NOISE_NOISE,1,4.25,False,5.0,1.248
2025_01_07,2,0,FLATLINE,NOISE_NOISE,1,15.5,False,15.0,3.883
2025_01_07,0,1,FLATLINE,FLATLINE_C9,3,-11.5,False,10.0,1.816
2025_01_07,1,1,EXPONENTIAL_DOWN,FLATLINE_C9,2,15.75,False,50.08,3.496
2025_01_07,0,2,EXPONENTIAL_UP,FLATLINE_NOISE,6,24.75,False,44.92,3.765
2025_01_07,0,3,EXPONENTIAL_DOWN,LINEAR_DOWN_NOISE,0,29.5,False,65.0,3.734
2025_01_07,1,3,FLATLINE,LINEAR_DOWN_NOISE,2,-8.5,False,30.0,2.214
2025_01_07,2,3,FLATLINE,LINEAR_DOWN_NOISE,3,6.0,False,5.0,2.042
2025_01_07,3,3,FLATLINE,LINEAR_DOWN_NOISE,3,5.75,False,5.0,1.849
2025_01_07,4,3,FLATLINE,LINEAR_DOWN_NOISE,2,1.25,False,10.0,2.76
2025_01_07,5,3,FLATLINE,LINEAR_DOWN_NOISE,3,3.75,False,5.0,1.216
2025_01_07,6,3,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,34.5,True,95.0,17.351
2025_01_07,7,3,LOGARITHMIC_UP,LINEAR_DOWN_NOISE,2,-5.0,False,30.0,1.681
2025_01_07,8,3,EXPONENTIAL_DOWN,LINEAR_DOWN_NOISE,2,14.0,False,25.0,4.461
2025_01_07,9,3,LINEAR_UP,LINEAR_DOWN_NOISE,1,23.5,False,45.0,3.116
2025_01_07,0,4,FLATLINE,FLATLINE_C7,-1,-3.75,False,30.0,2.562
2025_01_07,0,5,FLATLINE,LINEAR_UP_C3,1,9.25,False,10.0,1.665
2025_01_07,1,5,FLATLINE,LINEAR_UP_C3,1,5.75,False,5.0,2.123
2025_01_07,2,5,LINEAR_UP,LINEAR_UP_C3,0,45.25,False,60.0,3.055
2025_01_07,3,5,FLATLINE,LINEAR_UP_C3,1,-0.0,False,5.0,1.439
2025_01_07,4,5,FLATLINE,LINEAR_UP_C3,1,7.75,False,5.0,1.169
2025_01_07,5,5,LINEAR_DOWN,LINEAR_UP_C3,1,7.75,False,35.0,4.838
2025_01_07,6,5,FLATLINE,LINEAR_UP_C3,1,4.5,False,5.0,1.334
2025_01_07,7,5,FLATLINE,LINEAR_UP_C3,1,3.0,False,5.0,1.731
2025_01_07,8,5,LINEAR_UP,LINEAR_UP_C3,0,7.5,False,35.0,1.785
2025_01_07,9,5,FLATLINE,LINEAR_UP_C3,1,1.75,False,30.0,3.255
2025_01_07,0,6,LOGARITHMIC_DOWN,FLATLINE_NOISE,5,25.0,False,45.0,3.428
2025_01_07,1,6,FLATLINE,FLATLINE_NOISE,1,3.25,False,5.0,1.769
2025_01_07,2,6,FLATLINE,FLATLINE_NOISE,0,11.5,False,10.0,2.16
2025_01_07,0,7,LINEAR_UP,FLATLINE_C9,1,12.25,False,30.0,4.114
2025_01_07,0,8,FLATLINE,FLATLINE_C5,-1,-9.75,False,10.0,1.425
2025_01_07,1,8,FLATLINE,FLATLINE_C5,-1,15.25,False,15.0,1.749
2025_01_07,2,8,FLATLINE,FLATLINE_C5,-1,1.25,False,15.0,1.794
2025_01_07,3,8,FLATLINE,FLATLINE_C5,-1,1.75,False,5.0,1.184
2025_01_07,0,9,LINEAR_UP,FLATLINE_C9,1,40.25,False,45.0,4.399
2025_01_07,1,9,FLATLINE,FLATLINE_C9,-1,23.75,False,15.0,5.553
2025_01_07,0,10,LINEAR_DOWN,LOGARITHMIC_DOWN_C-99,4,252.75,True,90.0,4.943
2025_01_07,1,10,LINEAR_UP,LOGARITHMIC_DOWN_C-99,0,21.25,False,25.0,2.365
2025_01_07,2,10,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN_C-99,4,75.0,True,85.0,4.414
2025_01_07,3,10,LINEAR_UP,LOGARITHMIC_DOWN_C-99,3,-14.25,False,40.0,3.06
2025_01_07,4,10,LINEAR_DOWN,LOGARITHMIC_DOWN_C-99,-1,-1.75,False,40.0,2.064
2025_01_07,5,10,FLATLINE,LOGARITHMIC_DOWN_C-99,2,-2.25,False,10.0,1.599
2025_01_07,6,10,EXPONENTIAL_DOWN,LOGARITHMIC_DOWN_C-99,4,82.0,False,85.0,3.617
2025_01_07,7,10,LINEAR_UP,LOGARITHMIC_DOWN_C-99,0,18.0,False,50.0,2.282
2025_01_07,8,10,LINEAR_DOWN,LOGARITHMIC_DOWN_C-99,-1,5.0,True,105.08,5.521
2025_01_07,9,10,FLATLINE,LOGARITHMIC_DOWN_C-99,0,-2.75,False,9.92,2.282
2025_01_07,10,10,FLATLINE,LOGARITHMIC_DOWN_C-99,2,19.25,False,14.92,2.837
2025_01_08,0,0,NOISE,NOISE_NOISE,-1,0.0,True,75.0,37.477
2025_01_08,1,0,FLATLINE,NOISE_NOISE,1,-1.0,False,15.0,3.512
2025_01_08,2,0,LINEAR_UP,NOISE_NOISE,1,18.0,False,60.0,3.418
2025_01_08,0,1,LINEAR_DOWN,FLATLINE_C9,2,6.0,False,30.0,6.589
2025_01_08,0,2,FLATLINE,FLATLINE_C2,0,16.5,False,15.0,1.471
2025_01_08,1,2,FLATLINE,FLATLINE_C2,-1,2.5,False,5.0,2.777
2025_01_08,2,2,LINEAR_DOWN,FLATLINE_C2,2,2.75,False,35.0,1.889
2025_01_08,3,2,FLATLINE,FLATLINE_C2,1,5.5,False,5.0,1.707
2025_01_08,0,3,LINEAR_UP,FLATLINE_C9,-1,5.75,False,30.17,4.325
2025_01_08,0,4,FLATLINE,FLATLINE_C9,0,0.75,False,9.83,1.043
2025_01_08,1,4,LINEAR_DOWN,FLATLINE_C9,2,6.0,False,45.0,5.163
2025_01_08,2,4,FLATLINE,FLATLINE_C9,3,0.25,False,5.0,1.746
2025_01_08,0,5,LINEAR_UP,FLATLINE_NOISE,6,12.0,False,60.0,2.298
2025_01_08,1,5,FLATLINE,FLATLINE_NOISE,1,14.25,False,15.0,6.981
2025_01_08,0,6,LINEAR_DOWN,FLATLINE_C3,0,20.5,False,65.0,3.089
2025_01_08,1,6,LINEAR_UP,FLATLINE_C3,0,22.5,True,70.0,4.64
2025_01_08,0,7,EXPONENTIAL_UP,FLATLINE_C5,-1,13.0,False,30.0,2.926
2025_01_08,0,8,FLATLINE,EXPONENTIAL_UP_C1,3,-3.0,False,15.17,1.075
2025_01_08,1,8,FLATLINE,EXPONENTIAL_UP_C1,3,0.25,False,9.92,2.001
2025_01_08,2,8,LINEAR_UP,EXPONENTIAL_UP_C1,1,24.75,False,74.92,3.926
2025_01_08,3,8,FLATLINE,EXPONENTIAL_UP_C1,-1,11.75,False,5.0,1.689
2025_01_08,0,9,LINEAR_DOWN,LINEAR_DOWN_NOISE,0,156.5,True,105.0,6.172
2025_01_08,1,9,LINEAR_UP,LINEAR_DOWN_NOISE,1,87.0,True,65.0,4.925
2025_01_08,2,9,FLATLINE,LINEAR_DOWN_NOISE,1,24.25,False,10.0,1.127
2025_01_08,3,9,FLATLINE,LINEAR_DOWN_NOISE,1,12.0,False,15.0,1.24
2025_01_08,0,10,FLATLINE,FLATLINE_C6,0,-9.75,False,15.0,3.412
2025_01_08,1,10,FLATLINE,FLATLINE_C6,0,1.5,False,5.0,1.531
2025_01_08,2,10,FLATLINE,FLATLINE_C6,1,39.75,False,5.0,2.701
2025_01_08,3,10,FLATLINE,FLATLINE_C6,0,45.25,False,15.0,2.528
2025_01_08,4,10,FLATLINE,FLATLINE_C6,1,115.75,False,5.0,3.979
2025_01_08,0,11,FLATLINE,FLATLINE_C0,-1,-60.5,False,10.0,2.353
2025_01_08,1,11,FLATLINE,FLATLINE_C0,-1,1.75,False,10.0,1.101
2025_01_08,2,11,FLATLINE,FLATLINE_C0,0,14.75,False,5.0,1.183
2025_01_08,3,11,FLATLINE,FLATLINE_C0,0,-29.5,False,15.0,1.989
2025_01_08,4,11,FLATLINE,FLATLINE_C0,0,-13.5,False,20.0,2.029
2025_01_08,0,12,EXPONENTIAL_UP,FLATLINE_C0,1,42.5,False,45.0,3.69
2025_01_08,0,13,EXPONENTIAL_DOWN,FLATLINE_C6,1,114.0,False,60.0,2.841
2025_01_08,0,14,LINEAR_UP,FLATLINE_C0,1,106.5,False,45.0,2.854
2025_01_08,0,15,FLATLINE,FLATLINE_C6,0,58.5,False,20.0,3.286
2025_01_08,1,15,FLATLINE,FLATLINE_C6,0,73.75,False,5.0,1.341
2025_01_08,2,15,FLATLINE,FLATLINE_C6,0,58.5,False,5.0,1.071
2025_01_08,0,16,FLATLINE,FLATLINE_C6,-1,19.0,False,35.0,2.244
2025_01_08,1,16,FLATLINE,FLATLINE_C6,0,24.5,False,5.0,1.366
2025_01_08,2,16,FLATLINE,FLATLINE_C6,0,15.75,False,5.0,1.163
2025_01_08,0,17,FLATLINE,FLATLINE_C8,-1,-0.5,False,20.0,1.83
2025_01_08,1,17,FLATLINE,FLATLINE_C8,0,7.5,False,10.0,1.513
2025_01_08,2,17,FLATLINE,FLATLINE_C8,-1,38.0,False,10.0,1.529
2025_01_08,3,17,FLATLINE,FLATLINE_C8,2,33.5,False,5.0,1.361
2025_01_08,4,17,FLATLINE,FLATLINE_C8,1,1.5,False,5.0,0.73
2025_01_08,5,17,FLATLINE,FLATLINE_C8,0,8.5,False,25.0,3.324
2025_01_08,0,18,FLATLINE,FLATLINE_C6,0,-29.75,False,20.0,3.914
2025_01_08,1,18,FLATLINE,FLATLINE_C6,0,-3.75,False,10.0,5.763
2025_01_08,0,19,LINEAR_DOWN,FLATLINE_C8,1,-10.0,False,90.0,1.599
2025_01_08,0,20,LINEAR_UP,FLATLINE_C6,0,1.75,False,30.0,2.978
2025_01_08,1,20,FLATLINE,FLATLINE_C6,0,23.5,False,14.83,2.864
2025_01_09,0,0,FLATLINE,FLATLINE_NOISE,-1,0.0,False,15.0,4.091
2025_01_09,1,0,FLATLINE,FLATLINE_NOISE,-1,9.75,False,10.0,1.315
2025_01_09,2,0,LINEAR_DOWN,FLATLINE_NOISE,-1,25.0,False,20.0,3.224
2025_01_09,0,1,FLATLINE,LINEAR_UP_NOISE,0,-13.0,False,10.0,0.983
2025_01_09,1,1,FLATLINE,LINEAR_UP_NOISE,0,16.25,False,10.0,1.894
2025_01_09,2,1,FLATLINE,LINEAR_UP_NOISE,0,6.0,False,5.0,1.604
2025_01_09,3,1,LINEAR_UP,LINEAR_UP_NOISE,0,10.25,False,35.0,2.66
2025_01_09,4,1,FLATLINE,LINEAR_UP_NOISE,0,6.75,False,5.17,1.177
2025_01_09,5,1,EXPONENTIAL_UP,LINEAR_UP_NOISE,1,19.75,False,89.83,3.893
2025_01_09,6,1,EXPONENTIAL_DOWN,LINEAR_UP_NOISE,0,22.25,False,40.0,4.581
2025_01_09,0,2,LOGARITHMIC_DOWN,EXPONENTIAL_DOWN_C1,2,8.25,False,50.0,2.495
2025_01_09,1,2,LINEAR_UP,EXPONENTIAL_DOWN_C1,2,20.25,False,65.0,3.802
2025_01_09,2,2,FLATLINE,EXPONENTIAL_DOWN_C1,2,0.75,False,10.0,1.275
2025_01_09,3,2,FLATLINE,EXPONENTIAL_DOWN_C1,1,-6.0,False,15.0,2.056
2025_01_09,4,2,FLATLINE,EXPONENTIAL_DOWN_C1,2,1.0,False,5.0,2.378
2025_01_09,5,2,FLATLINE,EXPONENTIAL_DOWN_C1,1,7.5,False,10.0,1.754
2025_01_09,6,2,FLATLINE,EXPONENTIAL_DOWN_C1,1,11.0,False,10.08,3.303
2025_01_09,0,3,EXPONENTIAL_DOWN,LINEAR_DOWN_NOISE,0,54.75,True,99.92,5.262
2025_01_09,1,3,LINEAR_UP,LINEAR_DOWN_NOISE,1,37.5,False,55.0,2.714
2025_01_09,2,3,FLATLINE,LINEAR_DOWN_NOISE,2,7.0,False,10.0,1.463
2025_01_09,3,3,EXPONENTIAL_UP,LINEAR_DOWN_NOISE,2,21.5,False,30.0,3.689
2025_01_09,0,4,LOGARITHMIC_UP,FLATLINE_NOISE,6,12.5,False,50.0,2.663
2025_01_09,1,4,FLATLINE,FLATLINE_NOISE,0,2.25,False,5.0,1.553
2025_01_09,2,4,FLATLINE,FLATLINE_NOISE,0,7.5,False,5.0,3.207
2025_01_09,3,4,LINEAR_DOWN,FLATLINE_NOISE,5,16.75,False,30.0,6.61
2025_01_09,0,5,FLATLINE,FLATLINE_C7,-1,1.5,False,20.0,2.137
2025_01_09,1,5,FLATLINE,FLATLINE_C7,-1,-17.5,False,40.0,1.874
2025_01_09,0,6,FLATLINE,FLATLINE_NOISE,1,1.0,False,15.0,1.929
2025_01_09,1,6,FLATLINE,FLATLINE_NOISE,0,15.25,False,5.0,1.717
2025_01_09,2,6,FLATLINE,FLATLINE_NOISE,1,-1.5,False,10.0,1.569
2025_01_09,0,7,LINEAR_UP,FLATLINE_C7,-1,9.0,False,30.0,3.146
2025_01_09,0,8,FLATLINE,FLATLINE_C8,0,2.5,False,20.0,2.41
2025_01_09,1,8,LINEAR_DOWN,FLATLINE_C8,-1,82.0,True,609.92,4.526
2025_01_10,0,0,NOISE,FLATLINE_NOISE,-1,0.0,False,25.0,2.027
2025_01_10,1,0,FLATLINE,FLATLINE_NOISE,0,5.75,False,5.0,0.398
2025_01_10,2,0,FLATLINE,FLATLINE_NOISE,0,10.0,False,30.0,2.505
2025_01_10,0,1,LOGARITHMIC_UP,LINEAR_UP_C2,1,98.75,False,185.0,3.422
2025_01_10,1,1,FLATLINE,LINEAR_UP_C2,0,8.75,False,5.0,1.136
2025_01_10,2,1,FLATLINE,LINEAR_UP_C2,-1,2.5,False,5.0,0.849
2025_01_10,3,1,FLATLINE,LINEAR_UP_C2,-1,4.5,False,5.33,1.625
2025_01_10,4,1,FLATLINE,LINEAR_UP_C2,-1,-5.0,False,29.67,1.888
2025_01_10,5,1,LINEAR_UP,LINEAR_UP_C2,1,26.75,False,45.08,5.479
2025_01_10,6,1,FLATLINE,LINEAR_UP_C2,0,-13.75,False,14.92,1.929
