concept,tf,regime_2d,lag_k,n_pairs,p_q4_given_q4
price_sigma_w,5s,UP_CHOPPY,12,766,0.48825065274151436
price_sigma_w,5s,UP_CHOPPY,13,763,0.4980340760157274
price_sigma_w,5s,UP_CHOPPY,14,760,0.4855263157894737
price_sigma_w,5s,UP_CHOPPY,15,758,0.4868073878627968
price_sigma_w,5s,UP_CHOPPY,16,755,0.48874172185430464
price_sigma_w,5s,UP_CHOPPY,17,754,0.46153846153846156
price_sigma_w,5s,UP_CHOPPY,18,752,0.47074468085106386
price_sigma_w,5s,UP_CHOPPY,19,750,0.47333333333333333
price_sigma_w,5s,UP_CHOPPY,20,748,0.4612299465240642
price_sigma_w,5s,DOWN_SMOOTH,1,931,0.5574650912996778
price_sigma_w,5s,DOWN_SMOOTH,2,927,0.5555555555555556
price_sigma_w,5s,DOWN_SMOOTH,3,925,0.5481081081081081
price_sigma_w,5s,DOWN_SMOOTH,4,921,0.5396308360477742
price_sigma_w,5s,DOWN_SMOOTH,5,915,0.5333333333333333
price_sigma_w,5s,DOWN_SMOOTH,6,911,0.54006586169045
price_sigma_w,5s,DOWN_SMOOTH,7,907,0.5314222712238148
price_sigma_w,5s,DOWN_SMOOTH,8,903,0.521594684385382
price_sigma_w,5s,DOWN_SMOOTH,9,899,0.5294771968854283
price_sigma_w,5s,DOWN_SMOOTH,10,895,0.5050279329608939
price_sigma_w,5s,DOWN_SMOOTH,11,889,0.5016872890888638
price_sigma_w,5s,DOWN_SMOOTH,12,884,0.5090497737556561
price_sigma_w,5s,DOWN_SMOOTH,13,878,0.489749430523918
price_sigma_w,5s,DOWN_SMOOTH,14,876,0.4794520547945205
price_sigma_w,5s,DOWN_SMOOTH,15,872,0.4793577981651376
price_sigma_w,5s,DOWN_SMOOTH,16,869,0.46835443037974683
price_sigma_w,5s,DOWN_SMOOTH,17,865,0.484393063583815
price_sigma_w,5s,DOWN_SMOOTH,18,861,0.4715447154471545
price_sigma_w,5s,DOWN_SMOOTH,19,857,0.4574095682613769
price_sigma_w,5s,DOWN_SMOOTH,20,853,0.47010550996483
price_sigma_w,5s,DOWN_CHOPPY,1,598,0.5334448160535117
price_sigma_w,5s,DOWN_CHOPPY,2,597,0.5309882747068677
price_sigma_w,5s,DOWN_CHOPPY,3,596,0.5016778523489933
price_sigma_w,5s,DOWN_CHOPPY,4,595,0.507563025210084
price_sigma_w,5s,DOWN_CHOPPY,5,593,0.4924114671163575
price_sigma_w,5s,DOWN_CHOPPY,6,593,0.47386172006745364
price_sigma_w,5s,DOWN_CHOPPY,7,593,0.47892074198988194
price_sigma_w,5s,DOWN_CHOPPY,8,593,0.4839797639123103
price_sigma_w,5s,DOWN_CHOPPY,9,591,0.4720812182741117
price_sigma_w,5s,DOWN_CHOPPY,10,591,0.44839255499153974
price_sigma_w,5s,DOWN_CHOPPY,11,590,0.4440677966101695
price_sigma_w,5s,DOWN_CHOPPY,12,587,0.45826235093696766
price_sigma_w,5s,DOWN_CHOPPY,13,585,0.46153846153846156
price_sigma_w,5s,DOWN_CHOPPY,14,583,0.45797598627787306
price_sigma_w,5s,DOWN_CHOPPY,15,582,0.4484536082474227
price_sigma_w,5s,DOWN_CHOPPY,16,581,0.4475043029259897
price_sigma_w,5s,DOWN_CHOPPY,17,578,0.444636678200692
price_sigma_w,5s,DOWN_CHOPPY,18,577,0.42114384748700173
price_sigma_w,5s,DOWN_CHOPPY,19,574,0.41114982578397213
price_sigma_w,5s,DOWN_CHOPPY,20,573,0.40663176265270506
price_sigma_w,5s,FLAT_SMOOTH,1,1971,0.4926433282597666
price_sigma_w,5s,FLAT_SMOOTH,2,1966,0.47100712105798576
price_sigma_w,5s,FLAT_SMOOTH,3,1960,0.4775510204081633
price_sigma_w,5s,FLAT_SMOOTH,4,1952,0.45491803278688525
price_sigma_w,5s,FLAT_SMOOTH,5,1943,0.4462171899125064
price_sigma_w,5s,FLAT_SMOOTH,6,1939,0.445074780814853
price_sigma_w,5s,FLAT_SMOOTH,7,1935,0.4351421188630491
price_sigma_w,5s,FLAT_SMOOTH,8,1929,0.43390357698289267
price_sigma_w,5s,FLAT_SMOOTH,9,1921,0.42009370119729306
price_sigma_w,5s,FLAT_SMOOTH,10,1915,0.412532637075718
price_sigma_w,5s,FLAT_SMOOTH,11,1908,0.41457023060796644
price_sigma_w,5s,FLAT_SMOOTH,12,1901,0.4087322461862178
price_sigma_w,5s,FLAT_SMOOTH,13,1893,0.40570522979397783
price_sigma_w,5s,FLAT_SMOOTH,14,1884,0.40817409766454354
price_sigma_w,5s,FLAT_SMOOTH,15,1878,0.3972310969116081
price_sigma_w,5s,FLAT_SMOOTH,16,1874,0.4066168623265742
price_sigma_w,5s,FLAT_SMOOTH,17,1866,0.402465166130761
price_sigma_w,5s,FLAT_SMOOTH,18,1856,0.3933189655172414
price_sigma_w,5s,FLAT_SMOOTH,19,1851,0.39005942733657484
price_sigma_w,5s,FLAT_SMOOTH,20,1849,0.38777717685235263
price_sigma_w,5s,FLAT_CHOPPY,1,3656,0.5640043763676149
price_sigma_w,5s,FLAT_CHOPPY,2,3645,0.5374485596707819
price_sigma_w,5s,FLAT_CHOPPY,3,3638,0.5296866410115448
price_sigma_w,5s,FLAT_CHOPPY,4,3631,0.5163866703387496
price_sigma_w,5s,FLAT_CHOPPY,5,3624,0.5027593818984547
price_sigma_w,5s,FLAT_CHOPPY,6,3619,0.5029013539651838
price_sigma_w,5s,FLAT_CHOPPY,7,3612,0.4950166112956811
price_sigma_w,5s,FLAT_CHOPPY,8,3606,0.49750415973377704
price_sigma_w,5s,FLAT_CHOPPY,9,3599,0.49235898860794663
price_sigma_w,5s,FLAT_CHOPPY,10,3593,0.479543556916226
price_sigma_w,5s,FLAT_CHOPPY,11,3587,0.48146083077780877
price_sigma_w,5s,FLAT_CHOPPY,12,3570,0.48207282913165267
price_sigma_w,5s,FLAT_CHOPPY,13,3556,0.46991001124859394
price_sigma_w,5s,FLAT_CHOPPY,14,3546,0.4605188945290468
price_sigma_w,5s,FLAT_CHOPPY,15,3539,0.45295281152868044
price_sigma_w,5s,FLAT_CHOPPY,16,3531,0.4505805720758992
price_sigma_w,5s,FLAT_CHOPPY,17,3520,0.44886363636363635
price_sigma_w,5s,FLAT_CHOPPY,18,3514,0.44593056346044396
price_sigma_w,5s,FLAT_CHOPPY,19,3507,0.43997718848018247
price_sigma_w,5s,FLAT_CHOPPY,20,3500,0.4437142857142857
price_sigma_w,1m,UP_SMOOTH,1,1427,0.7456201822004205
price_sigma_w,1m,UP_SMOOTH,2,1426,0.620617110799439
price_sigma_w,1m,UP_SMOOTH,3,1424,0.5877808988764045
price_sigma_w,1m,UP_SMOOTH,4,1422,0.5590717299578059
price_sigma_w,1m,UP_SMOOTH,5,1419,0.5398167723749119
price_sigma_w,1m,UP_SMOOTH,6,1419,0.5229034531360113
price_sigma_w,1m,UP_SMOOTH,7,1417,0.5144671841919548
price_sigma_w,1m,UP_SMOOTH,8,1413,0.5123849964614295
price_sigma_w,1m,UP_SMOOTH,9,1409,0.511000709723208
price_sigma_w,1m,UP_SMOOTH,10,1403,0.49679258731290094
price_sigma_w,1m,UP_SMOOTH,11,1398,0.5
price_sigma_w,1m,UP_SMOOTH,12,1392,0.4985632183908046
price_sigma_w,1m,UP_SMOOTH,13,1389,0.4866810655147588
price_sigma_w,1m,UP_SMOOTH,14,1385,0.4808664259927798
price_sigma_w,1m,UP_SMOOTH,15,1381,0.4779145546705286
price_sigma_w,1m,UP_SMOOTH,16,1379,0.467005076142132
price_sigma_w,1m,UP_SMOOTH,17,1379,0.4648295866569978
price_sigma_w,1m,UP_SMOOTH,18,1377,0.4531590413943355
price_sigma_w,1m,UP_SMOOTH,19,1373,0.43918426802621996
price_sigma_w,1m,UP_SMOOTH,20,1370,0.42773722627737226
price_sigma_w,1m,UP_CHOPPY,1,784,0.7474489795918368
price_sigma_w,1m,UP_CHOPPY,2,783,0.632183908045977
price_sigma_w,1m,UP_CHOPPY,3,782,0.5959079283887468
price_sigma_w,1m,UP_CHOPPY,4,782,0.5907928388746803
price_sigma_w,1m,UP_CHOPPY,5,782,0.5728900255754475
price_sigma_w,1m,UP_CHOPPY,6,782,0.5537084398976982
price_sigma_w,1m,UP_CHOPPY,7,781,0.5480153649167734
price_sigma_w,1m,UP_CHOPPY,8,780,0.5397435897435897
price_sigma_w,1m,UP_CHOPPY,9,777,0.5302445302445302
price_sigma_w,1m,UP_CHOPPY,10,775,0.5135483870967742
price_sigma_w,1m,UP_CHOPPY,11,771,0.5019455252918288
price_sigma_w,1m,UP_CHOPPY,12,769,0.49934980494148246
price_sigma_w,1m,UP_CHOPPY,13,767,0.49934810951760106
price_sigma_w,1m,UP_CHOPPY,14,764,0.4856020942408377
price_sigma_w,1m,UP_CHOPPY,15,762,0.4776902887139108
price_sigma_w,1m,UP_CHOPPY,16,760,0.49078947368421055
price_sigma_w,1m,UP_CHOPPY,17,759,0.4795783926218709
price_sigma_w,1m,UP_CHOPPY,18,756,0.4656084656084656
price_sigma_w,1m,UP_CHOPPY,19,754,0.45755968169761274
price_sigma_w,1m,UP_CHOPPY,20,753,0.448871181938911
price_sigma_w,1m,DOWN_SMOOTH,1,931,0.7679914070891515
price_sigma_w,1m,DOWN_SMOOTH,2,928,0.6627155172413793
price_sigma_w,1m,DOWN_SMOOTH,3,925,0.6227027027027027
price_sigma_w,1m,DOWN_SMOOTH,4,922,0.6008676789587852
price_sigma_w,1m,DOWN_SMOOTH,5,918,0.5969498910675382
price_sigma_w,1m,DOWN_SMOOTH,6,915,0.5792349726775956
price_sigma_w,1m,DOWN_SMOOTH,7,912,0.5646929824561403
price_sigma_w,1m,DOWN_SMOOTH,8,907,0.5589856670341786
price_sigma_w,1m,DOWN_SMOOTH,9,903,0.5514950166112956
price_sigma_w,1m,DOWN_SMOOTH,10,899,0.5539488320355951
price_sigma_w,1m,DOWN_SMOOTH,11,896,0.546875
price_sigma_w,1m,DOWN_SMOOTH,12,892,0.5403587443946188
price_sigma_w,1m,DOWN_SMOOTH,13,888,0.5394144144144144
price_sigma_w,1m,DOWN_SMOOTH,14,885,0.5322033898305085
price_sigma_w,1m,DOWN_SMOOTH,15,883,0.5300113250283126
price_sigma_w,1m,DOWN_SMOOTH,16,879,0.5233219567690558
price_sigma_w,1m,DOWN_SMOOTH,17,877,0.5051311288483467
price_sigma_w,1m,DOWN_SMOOTH,18,874,0.5068649885583524
price_sigma_w,1m,DOWN_SMOOTH,19,872,0.5011467889908257
price_sigma_w,1m,DOWN_SMOOTH,20,870,0.49770114942528737
price_sigma_w,1m,DOWN_CHOPPY,1,597,0.7236180904522613
price_sigma_w,1m,DOWN_CHOPPY,2,596,0.5889261744966443
price_sigma_w,1m,DOWN_CHOPPY,3,595,0.5529411764705883
price_sigma_w,1m,DOWN_CHOPPY,4,595,0.5226890756302521
price_sigma_w,1m,DOWN_CHOPPY,5,595,0.507563025210084
price_sigma_w,1m,DOWN_CHOPPY,6,595,0.5159663865546219
price_sigma_w,1m,DOWN_CHOPPY,7,595,0.519327731092437
price_sigma_w,1m,DOWN_CHOPPY,8,595,0.492436974789916
price_sigma_w,1m,DOWN_CHOPPY,9,595,0.48067226890756304
price_sigma_w,1m,DOWN_CHOPPY,10,593,0.47386172006745364
price_sigma_w,1m,DOWN_CHOPPY,11,590,0.48983050847457626
price_sigma_w,1m,DOWN_CHOPPY,12,589,0.4923599320882852
price_sigma_w,1m,DOWN_CHOPPY,13,588,0.49489795918367346
price_sigma_w,1m,DOWN_CHOPPY,14,586,0.48464163822525597
price_sigma_w,1m,DOWN_CHOPPY,15,585,0.4683760683760684
price_sigma_w,1m,DOWN_CHOPPY,16,584,0.4657534246575342
price_sigma_w,1m,DOWN_CHOPPY,17,582,0.4587628865979381
price_sigma_w,1m,DOWN_CHOPPY,18,580,0.4482758620689655
price_sigma_w,1m,DOWN_CHOPPY,19,578,0.4619377162629758
price_sigma_w,1m,DOWN_CHOPPY,20,577,0.4610051993067591
price_sigma_w,1m,FLAT_SMOOTH,1,1973,0.7126203750633553
price_sigma_w,1m,FLAT_SMOOTH,2,1965,0.5592875318066157
price_sigma_w,1m,FLAT_SMOOTH,3,1960,0.5198979591836734
price_sigma_w,1m,FLAT_SMOOTH,4,1957,0.5242718446601942
price_sigma_w,1m,FLAT_SMOOTH,5,1954,0.5220061412487206
price_sigma_w,1m,FLAT_SMOOTH,6,1951,0.5120451050743209
price_sigma_w,1m,FLAT_SMOOTH,7,1947,0.4946070878274268
price_sigma_w,1m,FLAT_SMOOTH,8,1943,0.4930519814719506
price_sigma_w,1m,FLAT_SMOOTH,9,1939,0.4925219185146983
price_sigma_w,1m,FLAT_SMOOTH,10,1931,0.48368720870015536
price_sigma_w,1m,FLAT_SMOOTH,11,1924,0.48440748440748443
price_sigma_w,1m,FLAT_SMOOTH,12,1918,0.4781021897810219
price_sigma_w,1m,FLAT_SMOOTH,13,1909,0.4798323729701414
price_sigma_w,1m,FLAT_SMOOTH,14,1904,0.4795168067226891
price_sigma_w,1m,FLAT_SMOOTH,15,1902,0.4679284963196635
price_sigma_w,1m,FLAT_SMOOTH,16,1897,0.4575645756457565
price_sigma_w,1m,FLAT_SMOOTH,17,1893,0.4527205493924987
price_sigma_w,1m,FLAT_SMOOTH,18,1888,0.4480932203389831
price_sigma_w,1m,FLAT_SMOOTH,19,1883,0.44768985661178967
price_sigma_w,1m,FLAT_SMOOTH,20,1880,0.449468085106383
price_sigma_w,1m,FLAT_CHOPPY,1,3659,0.7537578573380705
price_sigma_w,1m,FLAT_CHOPPY,2,3654,0.6371100164203612
price_sigma_w,1m,FLAT_CHOPPY,3,3651,0.6028485346480417
price_sigma_w,1m,FLAT_CHOPPY,4,3647,0.5796545105566219
price_sigma_w,1m,FLAT_CHOPPY,5,3642,0.5656232839099395
price_sigma_w,1m,FLAT_CHOPPY,6,3641,0.5589123867069486
price_sigma_w,1m,FLAT_CHOPPY,7,3640,0.5464285714285714
price_sigma_w,1m,FLAT_CHOPPY,8,3639,0.5405331134927178
price_sigma_w,1m,FLAT_CHOPPY,9,3631,0.5304323877719637
price_sigma_w,1m,FLAT_CHOPPY,10,3620,0.5245856353591161
price_sigma_w,1m,FLAT_CHOPPY,11,3612,0.526578073089701
price_sigma_w,1m,FLAT_CHOPPY,12,3605,0.5325936199722607
price_sigma_w,1m,FLAT_CHOPPY,13,3599,0.522645179216449
price_sigma_w,1m,FLAT_CHOPPY,14,3593,0.5101586418035068
price_sigma_w,1m,FLAT_CHOPPY,15,3588,0.5061315496098104
price_sigma_w,1m,FLAT_CHOPPY,16,3582,0.506141820212172
price_sigma_w,1m,FLAT_CHOPPY,17,3575,0.4993006993006993
price_sigma_w,1m,FLAT_CHOPPY,18,3568,0.4910313901345291
price_sigma_w,1m,FLAT_CHOPPY,19,3560,0.4904494382022472
price_sigma_w,1m,FLAT_CHOPPY,20,3555,0.4829817158931083
price_sigma_w,5m,UP_SMOOTH,1,1429,0.8859342197340798
price_sigma_w,5m,UP_SMOOTH,2,1428,0.7843137254901961
price_sigma_w,5m,UP_SMOOTH,3,1427,0.6979677645409951
price_sigma_w,5m,UP_SMOOTH,4,1426,0.6283309957924264
price_sigma_w,5m,UP_SMOOTH,5,1422,0.5717299578059072
price_sigma_w,5m,UP_SMOOTH,6,1418,0.5331452750352609
price_sigma_w,5m,UP_SMOOTH,7,1413,0.5067232837933475
price_sigma_w,5m,UP_SMOOTH,8,1408,0.48863636363636365
price_sigma_w,5m,UP_SMOOTH,9,1404,0.4779202279202279
price_sigma_w,5m,UP_SMOOTH,10,1400,0.47285714285714286
price_sigma_w,5m,UP_SMOOTH,11,1397,0.46957766642806015
price_sigma_w,5m,UP_SMOOTH,12,1393,0.4630294328786791
price_sigma_w,5m,UP_SMOOTH,13,1388,0.4596541786743516
price_sigma_w,5m,UP_SMOOTH,14,1383,0.4569775849602314
price_sigma_w,5m,UP_SMOOTH,15,1381,0.4532947139753802
price_sigma_w,5m,UP_SMOOTH,16,1378,0.4477503628447025
price_sigma_w,5m,UP_SMOOTH,17,1375,0.43781818181818183
price_sigma_w,5m,UP_SMOOTH,18,1372,0.42857142857142855
price_sigma_w,5m,UP_SMOOTH,19,1369,0.4214755295836377
price_sigma_w,5m,UP_SMOOTH,20,1366,0.40922401171303074
price_sigma_w,5m,UP_CHOPPY,1,784,0.8852040816326531
price_sigma_w,5m,UP_CHOPPY,2,783,0.7905491698595147
price_sigma_w,5m,UP_CHOPPY,3,783,0.7100893997445722
price_sigma_w,5m,UP_CHOPPY,4,783,0.6411238825031929
price_sigma_w,5m,UP_CHOPPY,5,783,0.5900383141762452
price_sigma_w,5m,UP_CHOPPY,6,782,0.5485933503836317
price_sigma_w,5m,UP_CHOPPY,7,780,0.5217948717948718
price_sigma_w,5m,UP_CHOPPY,8,777,0.5083655083655083
price_sigma_w,5m,UP_CHOPPY,9,774,0.5038759689922481
price_sigma_w,5m,UP_CHOPPY,10,771,0.49546044098573283
price_sigma_w,5m,UP_CHOPPY,11,768,0.4921875
price_sigma_w,5m,UP_CHOPPY,12,765,0.4915032679738562
price_sigma_w,5m,UP_CHOPPY,13,763,0.49148099606815204
price_sigma_w,5m,UP_CHOPPY,14,761,0.48620236530880423
price_sigma_w,5m,UP_CHOPPY,15,760,0.48289473684210527
price_sigma_w,5m,UP_CHOPPY,16,758,0.4788918205804749
price_sigma_w,5m,UP_CHOPPY,17,756,0.47619047619047616
price_sigma_w,5m,UP_CHOPPY,18,754,0.47214854111405835
price_sigma_w,5m,UP_CHOPPY,19,752,0.46941489361702127
price_sigma_w,5m,UP_CHOPPY,20,750,0.4653333333333333
price_sigma_w,5m,DOWN_SMOOTH,1,928,0.9051724137931034
price_sigma_w,5m,DOWN_SMOOTH,2,924,0.8257575757575758
price_sigma_w,5m,DOWN_SMOOTH,3,920,0.7619565217391304
price_sigma_w,5m,DOWN_SMOOTH,4,916,0.7183406113537117
price_sigma_w,5m,DOWN_SMOOTH,5,911,0.6827661909989023
price_sigma_w,5m,DOWN_SMOOTH,6,906,0.6545253863134658
price_sigma_w,5m,DOWN_SMOOTH,7,902,0.6330376940133038
price_sigma_w,5m,DOWN_SMOOTH,8,900,0.6211111111111111
price_sigma_w,5m,DOWN_SMOOTH,9,898,0.6146993318485523
price_sigma_w,5m,DOWN_SMOOTH,10,897,0.6064659977703456
price_sigma_w,5m,DOWN_SMOOTH,11,895,0.6
price_sigma_w,5m,DOWN_SMOOTH,12,893,0.5912653975363942
price_sigma_w,5m,DOWN_SMOOTH,13,891,0.5836139169472503
price_sigma_w,5m,DOWN_SMOOTH,14,889,0.578177727784027
price_sigma_w,5m,DOWN_SMOOTH,15,887,0.5738444193912063
price_sigma_w,5m,DOWN_SMOOTH,16,885,0.5638418079096045
price_sigma_w,5m,DOWN_SMOOTH,17,883,0.5537938844847112
price_sigma_w,5m,DOWN_SMOOTH,18,881,0.5437003405221339
price_sigma_w,5m,DOWN_SMOOTH,19,878,0.5375854214123007
price_sigma_w,5m,DOWN_SMOOTH,20,875,0.5348571428571428
price_sigma_w,5m,DOWN_CHOPPY,1,597,0.8626465661641541
price_sigma_w,5m,DOWN_CHOPPY,2,596,0.7718120805369127
price_sigma_w,5m,DOWN_CHOPPY,3,595,0.692436974789916
price_sigma_w,5m,DOWN_CHOPPY,4,595,0.6352941176470588
price_sigma_w,5m,DOWN_CHOPPY,5,595,0.5983193277310924
price_sigma_w,5m,DOWN_CHOPPY,6,595,0.5663865546218487
price_sigma_w,5m,DOWN_CHOPPY,7,595,0.5411764705882353
price_sigma_w,5m,DOWN_CHOPPY,8,595,0.5243697478991597
price_sigma_w,5m,DOWN_CHOPPY,9,595,0.5092436974789916
price_sigma_w,5m,DOWN_CHOPPY,10,594,0.4983164983164983
price_sigma_w,5m,DOWN_CHOPPY,11,593,0.49409780775716694
price_sigma_w,5m,DOWN_CHOPPY,12,592,0.49493243243243246
price_sigma_w,5m,DOWN_CHOPPY,13,590,0.49830508474576274
price_sigma_w,5m,DOWN_CHOPPY,14,588,0.49829931972789115
price_sigma_w,5m,DOWN_CHOPPY,15,585,0.4905982905982906
price_sigma_w,5m,DOWN_CHOPPY,16,581,0.4853700516351119
price_sigma_w,5m,DOWN_CHOPPY,17,577,0.4696707105719237
price_sigma_w,5m,DOWN_CHOPPY,18,573,0.4607329842931937
price_sigma_w,5m,DOWN_CHOPPY,19,570,0.4614035087719298
price_sigma_w,5m,DOWN_CHOPPY,20,567,0.4585537918871252
price_sigma_w,5m,FLAT_SMOOTH,1,1971,0.878234398782344
price_sigma_w,5m,FLAT_SMOOTH,2,1967,0.7819013726487036
price_sigma_w,5m,FLAT_SMOOTH,3,1961,0.7042325344212137
price_sigma_w,5m,FLAT_SMOOTH,4,1954,0.6397134083930399
price_sigma_w,5m,FLAT_SMOOTH,5,1947,0.5921931176168465
price_sigma_w,5m,FLAT_SMOOTH,6,1939,0.5621454357916452
price_sigma_w,5m,FLAT_SMOOTH,7,1933,0.5400931195033627
price_sigma_w,5m,FLAT_SMOOTH,8,1929,0.5246241575946086
price_sigma_w,5m,FLAT_SMOOTH,9,1924,0.5192307692307693
price_sigma_w,5m,FLAT_SMOOTH,10,1919,0.5091193329859302
price_sigma_w,5m,FLAT_SMOOTH,11,1913,0.4986931521170936
price_sigma_w,5m,FLAT_SMOOTH,12,1909,0.4892613933996857
price_sigma_w,5m,FLAT_SMOOTH,13,1905,0.4818897637795276
price_sigma_w,5m,FLAT_SMOOTH,14,1901,0.4760652288269332
price_sigma_w,5m,FLAT_SMOOTH,15,1898,0.4678609062170706
price_sigma_w,5m,FLAT_SMOOTH,16,1894,0.4640971488912355
price_sigma_w,5m,FLAT_SMOOTH,17,1891,0.45848757271285034
price_sigma_w,5m,FLAT_SMOOTH,18,1889,0.4536791953414505
price_sigma_w,5m,FLAT_SMOOTH,19,1887,0.44992050874403816
price_sigma_w,5m,FLAT_SMOOTH,20,1883,0.44556558682952735
price_sigma_w,5m,FLAT_CHOPPY,1,3658,0.8936577364680153
price_sigma_w,5m,FLAT_CHOPPY,2,3655,0.8073871409028728
price_sigma_w,5m,FLAT_CHOPPY,3,3652,0.7365826944140197
price_sigma_w,5m,FLAT_CHOPPY,4,3649,0.6790901616881337
price_sigma_w,5m,FLAT_CHOPPY,5,3647,0.6325747189470798
price_sigma_w,5m,FLAT_CHOPPY,6,3644,0.5965971459934138
price_sigma_w,5m,FLAT_CHOPPY,7,3640,0.5686813186813187
price_sigma_w,5m,FLAT_CHOPPY,8,3636,0.5497799779977998
price_sigma_w,5m,FLAT_CHOPPY,9,3632,0.5390969162995595
price_sigma_w,5m,FLAT_CHOPPY,10,3628,0.5316979051819184
price_sigma_w,5m,FLAT_CHOPPY,11,3624,0.5259381898454746
price_sigma_w,5m,FLAT_CHOPPY,12,3620,0.519889502762431
price_sigma_w,5m,FLAT_CHOPPY,13,3617,0.5175559856234448
price_sigma_w,5m,FLAT_CHOPPY,14,3613,0.5134237475781899
price_sigma_w,5m,FLAT_CHOPPY,15,3609,0.5084510944860072
price_sigma_w,5m,FLAT_CHOPPY,16,3603,0.5037468776019983
price_sigma_w,5m,FLAT_CHOPPY,17,3599,0.4998610725201445
price_sigma_w,5m,FLAT_CHOPPY,18,3594,0.49638286032276013
price_sigma_w,5m,FLAT_CHOPPY,19,3590,0.49220055710306404
price_sigma_w,5m,FLAT_CHOPPY,20,3586,0.4860568878973787
price_sigma_w,15m,UP_SMOOTH,1,1429,0.9678096571028691
price_sigma_w,15m,UP_SMOOTH,2,1426,0.9354838709677419
price_sigma_w,15m,UP_SMOOTH,3,1423,0.9030217849613492
price_sigma_w,15m,UP_SMOOTH,4,1420,0.8760563380281691
price_sigma_w,15m,UP_SMOOTH,5,1417,0.8489767113620325
price_sigma_w,15m,UP_SMOOTH,6,1414,0.8217821782178217
price_sigma_w,15m,UP_SMOOTH,7,1413,0.7954706298655343
price_sigma_w,15m,UP_SMOOTH,8,1412,0.7691218130311614
price_sigma_w,15m,UP_SMOOTH,9,1411,0.742735648476258
price_sigma_w,15m,UP_SMOOTH,10,1411,0.7200566973777462
price_sigma_w,15m,UP_SMOOTH,11,1411,0.6973777462792345
price_sigma_w,15m,UP_SMOOTH,12,1411,0.6746987951807228
price_sigma_w,15m,UP_SMOOTH,13,1411,0.6562721474131822
price_sigma_w,15m,UP_SMOOTH,14,1411,0.6378454996456414
price_sigma_w,15m,UP_SMOOTH,15,1411,0.6194188518781006
price_sigma_w,15m,UP_SMOOTH,16,1411,0.6031183557760453
price_sigma_w,15m,UP_SMOOTH,17,1411,0.58681785967399
price_sigma_w,15m,UP_SMOOTH,18,1411,0.5705173635719348
price_sigma_w,15m,UP_SMOOTH,19,1410,0.5546099290780142
price_sigma_w,15m,UP_SMOOTH,20,1409,0.5386799148332151
price_sigma_w,15m,UP_CHOPPY,1,785,0.9668789808917198
price_sigma_w,15m,UP_CHOPPY,2,784,0.9336734693877551
price_sigma_w,15m,UP_CHOPPY,3,783,0.9003831417624522
price_sigma_w,15m,UP_CHOPPY,4,781,0.8706786171574904
price_sigma_w,15m,UP_CHOPPY,5,779,0.8408215661103979
price_sigma_w,15m,UP_CHOPPY,6,777,0.8108108108108109
price_sigma_w,15m,UP_CHOPPY,7,775,0.7870967741935484
price_sigma_w,15m,UP_CHOPPY,8,773,0.7632600258732212
price_sigma_w,15m,UP_CHOPPY,9,771,0.7392996108949417
price_sigma_w,15m,UP_CHOPPY,10,769,0.717815344603381
price_sigma_w,15m,UP_CHOPPY,11,767,0.6962190352020861
