**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,run_pos,lo,hi,n,mean_fwd,win_rate
bar_range,5m,DOWN_CHOPPY,bar_5_8,5,8,80,-10.28125,0.55
bar_range,5m,DOWN_CHOPPY,bar_9_16,9,16,69,-50.981884057971016,0.3188405797101449
bar_range,5m,DOWN_CHOPPY,bar_17p,17,9999,60,-73.44166666666666,0.21666666666666667
bar_range,5m,FLAT_SMOOTH,bar_1,1,1,728,0.04739010989010989,0.5123626373626373
bar_range,5m,FLAT_SMOOTH,bar_2,2,2,331,0.5453172205438066,0.5498489425981873
bar_range,5m,FLAT_SMOOTH,bar_3_4,3,4,275,4.573636363636363,0.5381818181818182
bar_range,5m,FLAT_SMOOTH,bar_5_8,5,8,222,10.42454954954955,0.5855855855855856
bar_range,5m,FLAT_SMOOTH,bar_9_16,9,16,177,-12.360169491525424,0.4915254237288136
bar_range,5m,FLAT_SMOOTH,bar_17p,17,9999,287,-15.910278745644598,0.5365853658536586
bar_range,5m,FLAT_CHOPPY,bar_1,1,1,1114,4.894524236983842,0.5341113105924596
bar_range,5m,FLAT_CHOPPY,bar_2,2,2,525,5.386666666666667,0.5657142857142857
bar_range,5m,FLAT_CHOPPY,bar_3_4,3,4,511,1.7270058708414873,0.5322896281800391
bar_range,5m,FLAT_CHOPPY,bar_5_8,5,8,446,-11.73822869955157,0.4461883408071749
bar_range,5m,FLAT_CHOPPY,bar_9_16,9,16,413,-9.909806295399516,0.49878934624697335
bar_range,5m,FLAT_CHOPPY,bar_17p,17,9999,705,10.680141843971631,0.574468085106383
bar_range,15m,UP_SMOOTH,bar_1,1,1,170,24.272058823529413,0.6764705882352942
bar_range,15m,UP_SMOOTH,bar_2,2,2,170,21.180882352941175,0.6411764705882353
bar_range,15m,UP_SMOOTH,bar_3_4,3,4,249,25.016064257028113,0.6907630522088354
