**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf,regime_2d,run_len,count
price_sigma_w,5m,DOWN_CHOPPY,3,9
price_sigma_w,5m,DOWN_CHOPPY,4,14
price_sigma_w,5m,DOWN_CHOPPY,5,3
price_sigma_w,5m,DOWN_CHOPPY,6,8
price_sigma_w,5m,DOWN_CHOPPY,7,9
price_sigma_w,5m,DOWN_CHOPPY,8,3
price_sigma_w,5m,DOWN_CHOPPY,9,5
price_sigma_w,5m,DOWN_CHOPPY,10,2
price_sigma_w,5m,DOWN_CHOPPY,11,2
price_sigma_w,5m,DOWN_CHOPPY,12,2
price_sigma_w,5m,DOWN_CHOPPY,13,2
price_sigma_w,5m,DOWN_CHOPPY,14,2
price_sigma_w,5m,DOWN_CHOPPY,17,2
price_sigma_w,5m,DOWN_CHOPPY,18,1
price_sigma_w,5m,DOWN_CHOPPY,20,1
price_sigma_w,5m,DOWN_CHOPPY,22,1
price_sigma_w,5m,DOWN_CHOPPY,25,2
price_sigma_w,5m,DOWN_CHOPPY,38,1
price_sigma_w,5m,FLAT_SMOOTH,1,25
price_sigma_w,5m,FLAT_SMOOTH,2,30
price_sigma_w,5m,FLAT_SMOOTH,3,23
price_sigma_w,5m,FLAT_SMOOTH,4,23
price_sigma_w,5m,FLAT_SMOOTH,5,24
price_sigma_w,5m,FLAT_SMOOTH,6,19
price_sigma_w,5m,FLAT_SMOOTH,7,18
price_sigma_w,5m,FLAT_SMOOTH,8,20
price_sigma_w,5m,FLAT_SMOOTH,9,11
price_sigma_w,5m,FLAT_SMOOTH,10,8
price_sigma_w,5m,FLAT_SMOOTH,11,7
price_sigma_w,5m,FLAT_SMOOTH,12,4
price_sigma_w,5m,FLAT_SMOOTH,13,3
price_sigma_w,5m,FLAT_SMOOTH,14,3
price_sigma_w,5m,FLAT_SMOOTH,15,2
price_sigma_w,5m,FLAT_SMOOTH,16,3
price_sigma_w,5m,FLAT_SMOOTH,17,2
price_sigma_w,5m,FLAT_SMOOTH,18,1
price_sigma_w,5m,FLAT_SMOOTH,20,2
price_sigma_w,5m,FLAT_SMOOTH,22,3
price_sigma_w,5m,FLAT_SMOOTH,23,2
price_sigma_w,5m,FLAT_SMOOTH,24,2
price_sigma_w,5m,FLAT_SMOOTH,30,1
price_sigma_w,5m,FLAT_SMOOTH,34,1
price_sigma_w,5m,FLAT_SMOOTH,35,1
price_sigma_w,5m,FLAT_SMOOTH,48,1
price_sigma_w,5m,FLAT_SMOOTH,62,1
price_sigma_w,5m,FLAT_SMOOTH,68,3
price_sigma_w,5m,FLAT_SMOOTH,71,1
price_sigma_w,5m,FLAT_CHOPPY,1,33
price_sigma_w,5m,FLAT_CHOPPY,2,37
price_sigma_w,5m,FLAT_CHOPPY,3,28
price_sigma_w,5m,FLAT_CHOPPY,4,31
price_sigma_w,5m,FLAT_CHOPPY,5,31
price_sigma_w,5m,FLAT_CHOPPY,6,33
price_sigma_w,5m,FLAT_CHOPPY,7,38
price_sigma_w,5m,FLAT_CHOPPY,8,35
price_sigma_w,5m,FLAT_CHOPPY,9,21
price_sigma_w,5m,FLAT_CHOPPY,10,9
price_sigma_w,5m,FLAT_CHOPPY,11,7
price_sigma_w,5m,FLAT_CHOPPY,12,10
price_sigma_w,5m,FLAT_CHOPPY,13,6
price_sigma_w,5m,FLAT_CHOPPY,14,7
price_sigma_w,5m,FLAT_CHOPPY,15,4
price_sigma_w,5m,FLAT_CHOPPY,16,11
price_sigma_w,5m,FLAT_CHOPPY,17,5
price_sigma_w,5m,FLAT_CHOPPY,18,5
price_sigma_w,5m,FLAT_CHOPPY,19,3
price_sigma_w,5m,FLAT_CHOPPY,20,5
price_sigma_w,5m,FLAT_CHOPPY,21,2
price_sigma_w,5m,FLAT_CHOPPY,22,2
price_sigma_w,5m,FLAT_CHOPPY,23,4
price_sigma_w,5m,FLAT_CHOPPY,24,1
price_sigma_w,5m,FLAT_CHOPPY,25,2
price_sigma_w,5m,FLAT_CHOPPY,29,4
price_sigma_w,5m,FLAT_CHOPPY,30,2
price_sigma_w,5m,FLAT_CHOPPY,31,1
price_sigma_w,5m,FLAT_CHOPPY,32,1
price_sigma_w,5m,FLAT_CHOPPY,33,2
price_sigma_w,5m,FLAT_CHOPPY,35,1
price_sigma_w,5m,FLAT_CHOPPY,36,1
price_sigma_w,5m,FLAT_CHOPPY,37,1
price_sigma_w,5m,FLAT_CHOPPY,39,2
price_sigma_w,5m,FLAT_CHOPPY,41,1
price_sigma_w,5m,FLAT_CHOPPY,45,1
price_sigma_w,5m,FLAT_CHOPPY,48,1
price_sigma_w,5m,FLAT_CHOPPY,49,1
price_sigma_w,5m,FLAT_CHOPPY,87,1
price_sigma_w,5m,FLAT_CHOPPY,90,1
price_sigma_w,5m,FLAT_CHOPPY,106,1
price_sigma_w,15m,UP_SMOOTH,3,4
price_sigma_w,15m,UP_SMOOTH,6,4
price_sigma_w,15m,UP_SMOOTH,9,5
price_sigma_w,15m,UP_SMOOTH,12,3
price_sigma_w,15m,UP_SMOOTH,15,4
price_sigma_w,15m,UP_SMOOTH,18,1
price_sigma_w,15m,UP_SMOOTH,21,3
price_sigma_w,15m,UP_SMOOTH,24,1
price_sigma_w,15m,UP_SMOOTH,27,2
price_sigma_w,15m,UP_SMOOTH,28,1
price_sigma_w,15m,UP_SMOOTH,30,3
price_sigma_w,15m,UP_SMOOTH,33,4
price_sigma_w,15m,UP_SMOOTH,36,1
price_sigma_w,15m,UP_SMOOTH,42,3
price_sigma_w,15m,UP_SMOOTH,45,2
price_sigma_w,15m,UP_SMOOTH,48,1
price_sigma_w,15m,UP_SMOOTH,51,3
price_sigma_w,15m,UP_SMOOTH,57,1
price_sigma_w,15m,UP_SMOOTH,60,1
price_sigma_w,15m,UP_SMOOTH,87,1
price_sigma_w,15m,UP_SMOOTH,189,1
price_sigma_w,15m,UP_CHOPPY,3,2
price_sigma_w,15m,UP_CHOPPY,6,4
price_sigma_w,15m,UP_CHOPPY,15,3
price_sigma_w,15m,UP_CHOPPY,18,1
price_sigma_w,15m,UP_CHOPPY,21,3
price_sigma_w,15m,UP_CHOPPY,24,3
price_sigma_w,15m,UP_CHOPPY,27,2
price_sigma_w,15m,UP_CHOPPY,30,3
price_sigma_w,15m,UP_CHOPPY,33,4
price_sigma_w,15m,UP_CHOPPY,78,1
price_sigma_w,15m,UP_CHOPPY,204,1
price_sigma_w,15m,DOWN_SMOOTH,3,2
price_sigma_w,15m,DOWN_SMOOTH,6,2
price_sigma_w,15m,DOWN_SMOOTH,15,1
price_sigma_w,15m,DOWN_SMOOTH,18,2
price_sigma_w,15m,DOWN_SMOOTH,24,4
price_sigma_w,15m,DOWN_SMOOTH,27,5
price_sigma_w,15m,DOWN_SMOOTH,30,5
price_sigma_w,15m,DOWN_SMOOTH,33,5
price_sigma_w,15m,DOWN_SMOOTH,36,1
price_sigma_w,15m,DOWN_SMOOTH,39,1
price_sigma_w,15m,DOWN_SMOOTH,54,1
price_sigma_w,15m,DOWN_SMOOTH,64,1
price_sigma_w,15m,DOWN_CHOPPY,9,1
price_sigma_w,15m,DOWN_CHOPPY,10,1
price_sigma_w,15m,DOWN_CHOPPY,12,5
price_sigma_w,15m,DOWN_CHOPPY,15,2
price_sigma_w,15m,DOWN_CHOPPY,18,2
price_sigma_w,15m,DOWN_CHOPPY,24,3
price_sigma_w,15m,DOWN_CHOPPY,27,1
price_sigma_w,15m,DOWN_CHOPPY,33,2
price_sigma_w,15m,DOWN_CHOPPY,39,1
price_sigma_w,15m,DOWN_CHOPPY,57,1
price_sigma_w,15m,DOWN_CHOPPY,81,1
price_sigma_w,15m,DOWN_CHOPPY,112,1
price_sigma_w,15m,FLAT_SMOOTH,3,6
price_sigma_w,15m,FLAT_SMOOTH,6,3
price_sigma_w,15m,FLAT_SMOOTH,9,1
price_sigma_w,15m,FLAT_SMOOTH,10,1
price_sigma_w,15m,FLAT_SMOOTH,12,6
price_sigma_w,15m,FLAT_SMOOTH,15,5
price_sigma_w,15m,FLAT_SMOOTH,16,1
price_sigma_w,15m,FLAT_SMOOTH,18,4
price_sigma_w,15m,FLAT_SMOOTH,21,6
price_sigma_w,15m,FLAT_SMOOTH,24,5
price_sigma_w,15m,FLAT_SMOOTH,27,6
price_sigma_w,15m,FLAT_SMOOTH,30,4
price_sigma_w,15m,FLAT_SMOOTH,33,2
price_sigma_w,15m,FLAT_SMOOTH,36,4
price_sigma_w,15m,FLAT_SMOOTH,39,1
price_sigma_w,15m,FLAT_SMOOTH,45,3
price_sigma_w,15m,FLAT_SMOOTH,54,1
price_sigma_w,15m,FLAT_SMOOTH,63,1
price_sigma_w,15m,FLAT_SMOOTH,93,1
price_sigma_w,15m,FLAT_SMOOTH,102,2
price_sigma_w,15m,FLAT_SMOOTH,117,1
price_sigma_w,15m,FLAT_SMOOTH,141,1
price_sigma_w,15m,FLAT_CHOPPY,3,7
price_sigma_w,15m,FLAT_CHOPPY,6,5
price_sigma_w,15m,FLAT_CHOPPY,9,7
price_sigma_w,15m,FLAT_CHOPPY,12,6
price_sigma_w,15m,FLAT_CHOPPY,15,5
price_sigma_w,15m,FLAT_CHOPPY,18,4
price_sigma_w,15m,FLAT_CHOPPY,21,5
price_sigma_w,15m,FLAT_CHOPPY,24,19
price_sigma_w,15m,FLAT_CHOPPY,27,5
price_sigma_w,15m,FLAT_CHOPPY,30,7
price_sigma_w,15m,FLAT_CHOPPY,31,1
price_sigma_w,15m,FLAT_CHOPPY,33,7
price_sigma_w,15m,FLAT_CHOPPY,36,4
price_sigma_w,15m,FLAT_CHOPPY,42,1
price_sigma_w,15m,FLAT_CHOPPY,45,1
price_sigma_w,15m,FLAT_CHOPPY,48,1
price_sigma_w,15m,FLAT_CHOPPY,51,2
price_sigma_w,15m,FLAT_CHOPPY,54,5
price_sigma_w,15m,FLAT_CHOPPY,57,1
price_sigma_w,15m,FLAT_CHOPPY,60,1
price_sigma_w,15m,FLAT_CHOPPY,63,1
price_sigma_w,15m,FLAT_CHOPPY,66,1
price_sigma_w,15m,FLAT_CHOPPY,69,1
price_sigma_w,15m,FLAT_CHOPPY,75,1
price_sigma_w,15m,FLAT_CHOPPY,78,1
price_sigma_w,15m,FLAT_CHOPPY,84,1
price_sigma_w,15m,FLAT_CHOPPY,87,1
price_sigma_w,15m,FLAT_CHOPPY,93,1
price_sigma_w,15m,FLAT_CHOPPY,102,1
price_sigma_w,15m,FLAT_CHOPPY,126,1
price_sigma_w,15m,FLAT_CHOPPY,129,1
price_sigma_w,15m,FLAT_CHOPPY,219,1
price_sigma_w,1h,UP_SMOOTH,12,1
price_sigma_w,1h,UP_SMOOTH,24,1
price_sigma_w,1h,UP_SMOOTH,36,1
price_sigma_w,1h,UP_SMOOTH,48,3
price_sigma_w,1h,UP_SMOOTH,60,1
price_sigma_w,1h,UP_SMOOTH,72,5
price_sigma_w,1h,UP_SMOOTH,108,1
price_sigma_w,1h,UP_SMOOTH,120,1
price_sigma_w,1h,UP_SMOOTH,132,1
price_sigma_w,1h,UP_SMOOTH,168,1
price_sigma_w,1h,UP_SMOOTH,276,1
price_sigma_w,1h,UP_CHOPPY,12,2
price_sigma_w,1h,UP_CHOPPY,36,1
price_sigma_w,1h,UP_CHOPPY,48,1
