**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

month,date,zone,zone_range,daily_range,pct_of_zone,peak_hour,bars_in_zone
2025-01,2025-01-06,21681-21866,741.0,1020.0,137.65182186234816,14,10
2025-01,2025-01-07,21681-21866,741.0,580.0,78.27260458839406,14,15
2025-01,2025-01-20,21681-21866,741.0,963.0,129.95951417004048,13,6
2025-01,2025-01-21,21681-21866,741.0,707.0,95.41160593792173,17,10
2025-01,2025-01-22,21681-21866,741.0,260.0,35.08771929824561,0,7
2025-01,2025-01-31,21681-21866,741.0,1013.0,136.70715249662618,18,15
2025-02,2025-02-03,20781-21067,1143.0,498.0,43.569553805774284,2,4
2025-02,2025-02-27,20781-21067,1143.0,2341.0,204.81189851268593,14,6
2025-02,2025-02-03,21067-21233,663.0,1265.0,190.79939668174964,14,11
2025-02,2025-02-25,21067-21233,663.0,1165.0,175.71644042232276,15,8
2025-02,2025-02-26,21067-21233,663.0,789.0,119.00452488687783,18,5
2025-02,2025-02-27,21067-21233,663.0,483.0,72.85067873303167,0,5
2025-02,2025-02-03,21233-21454,884.0,1574.0,178.05429864253392,15,5
2025-02,2025-02-04,21233-21454,884.0,933.0,105.54298642533936,5,10
2025-02,2025-02-24,21233-21454,884.0,810.0,91.6289592760181,20,3
2025-02,2025-02-25,21233-21454,884.0,972.0,109.95475113122173,14,15
2025-02,2025-02-26,21233-21454,884.0,1417.0,160.29411764705884,21,18
2025-02,2025-02-27,21233-21454,884.0,885.0,100.1131221719457,13,9
2025-02,2025-02-03,21454-21681,908.0,997.0,109.80176211453745,21,4
2025-02,2025-02-04,21454-21681,908.0,1172.0,129.07488986784142,14,13
2025-02,2025-02-05,21454-21681,908.0,776.0,85.46255506607929,15,15
2025-02,2025-02-07,21454-21681,908.0,826.0,90.96916299559471,16,6
2025-02,2025-02-24,21454-21681,908.0,1476.0,162.55506607929516,14,6
2025-02,2025-02-05,21681-21866,741.0,929.0,125.37112010796221,16,7
2025-02,2025-02-06,21681-21866,741.0,682.0,92.03778677462888,19,22
2025-02,2025-02-07,21681-21866,741.0,1168.0,157.62483130904184,15,10
2025-02,2025-02-10,21681-21866,741.0,1007.0,135.8974358974359,15,19
2025-02,2025-02-11,21681-21866,741.0,808.0,109.04183535762483,14,22
2025-02,2025-02-12,21681-21866,741.0,1128.0,152.22672064777328,15,20
2025-02,2025-02-13,21681-21866,741.0,562.0,75.84345479082322,8,6
2025-02,2025-02-21,21681-21866,741.0,1344.0,181.3765182186235,17,4
2025-02,2025-02-24,21681-21866,741.0,448.0,60.45883940620783,8,14
2025-02,2025-02-07,21866-22140,1096.0,711.0,64.87226277372264,13,6
2025-02,2025-02-10,21866-22140,1096.0,277.0,25.27372262773723,17,3
2025-02,2025-02-13,21866-22140,1096.0,1347.0,122.90145985401459,15,17
2025-02,2025-02-14,21866-22140,1096.0,511.0,46.62408759124087,16,12
2025-02,2025-02-20,21866-22140,1096.0,1098.0,100.18248175182482,14,7
2025-02,2025-02-21,21866-22140,1096.0,1184.0,108.02919708029196,15,7
2025-02,2025-02-14,22140-22318,710.0,532.0,74.92957746478874,15,10
2025-02,2025-02-17,22140-22318,710.0,357.0,50.28169014084507,14,19
2025-02,2025-02-18,22140-22318,710.0,868.0,122.25352112676056,14,23
2025-02,2025-02-19,22140-22318,710.0,727.0,102.39436619718309,15,23
2025-02,2025-02-20,22140-22318,710.0,582.0,81.97183098591549,1,16
2025-02,2025-02-21,22140-22318,710.0,567.0,79.85915492957747,12,10
2025-03,2025-03-12,19672-19942,1080.0,1030.0,95.37037037037037,12,3
2025-03,2025-03-13,19672-19942,1080.0,1163.0,107.68518518518519,9,11
2025-03,2025-03-14,19672-19942,1080.0,1278.0,118.33333333333333,13,10
2025-03,2025-03-17,19672-19942,1080.0,1037.0,96.01851851851852,14,15
2025-03,2025-03-18,19672-19942,1080.0,1368.0,126.66666666666666,13,12
2025-03,2025-03-19,19672-19942,1080.0,1110.0,102.77777777777777,15,18
2025-03,2025-03-20,19672-19942,1080.0,1219.0,112.87037037037038,10,11
2025-03,2025-03-21,19672-19942,1080.0,1322.0,122.4074074074074,16,19
2025-03,2025-03-28,19672-19942,1080.0,675.0,62.5,13,6
2025-03,2025-03-06,19942-20193,1002.0,1097.0,109.48103792415169,19,6
2025-03,2025-03-07,19942-20193,1002.0,2012.0,200.79840319361278,17,16
2025-03,2025-03-10,19942-20193,1002.0,944.0,94.2115768463074,8,12
2025-03,2025-03-17,19942-20193,1002.0,1202.0,119.96007984031935,17,8
2025-03,2025-03-18,19942-20193,1002.0,464.0,46.30738522954092,8,10
2025-03,2025-03-19,19942-20193,1002.0,1496.0,149.3013972055888,18,5
2025-03,2025-03-20,19942-20193,1002.0,715.0,71.35728542914171,14,12
2025-03,2025-03-24,19942-20193,1002.0,503.0,50.199600798403196,9,9
2025-03,2025-03-26,19942-20193,1002.0,1269.0,126.64670658682635,15,8
2025-03,2025-03-27,19942-20193,1002.0,1049.0,104.69061876247505,14,23
2025-03,2025-03-28,19942-20193,1002.0,365.0,36.427145708582835,10,8
2025-03,2025-03-04,20193-20520,1311.0,2629.0,200.53394355453852,20,14
2025-03,2025-03-05,20193-20520,1311.0,1370.0,104.50038138825323,15,8
2025-03,2025-03-06,20193-20520,1311.0,1314.0,100.2288329519451,15,9
2025-03,2025-03-07,20193-20520,1311.0,751.0,57.284515636918385,20,6
2025-03,2025-03-24,20193-20520,1311.0,1003.0,76.5064836003051,13,14
2025-03,2025-03-25,20193-20520,1311.0,954.0,72.76887871853546,14,22
2025-03,2025-03-26,20193-20520,1311.0,1198.0,91.38062547673532,13,14
2025-03,2025-03-03,20520-20781,1043.0,1571.0,150.62320230105465,19,3
2025-03,2025-03-04,20520-20781,1043.0,953.0,91.37104506232023,21,9
2025-03,2025-03-05,20520-20781,1043.0,1576.0,151.1025886864813,17,15
2025-03,2025-03-06,20520-20781,1043.0,464.0,44.48705656759348,7,8
2025-03,2025-03-03,20781-21031,1000.0,1444.0,144.4,14,15
2025-03,2025-03-03,21031-21454,1690.0,423.0,25.029585798816566,12,3
2025-04,2025-04-04,16770-17948,4711.0,3252.0,69.02992995117809,14,7
2025-04,2025-04-07,16770-17948,4711.0,6772.0,143.74867331776693,14,18
2025-04,2025-04-08,16770-17948,4711.0,4787.0,101.61324559541498,19,18
2025-04,2025-04-09,16770-17948,4711.0,3450.0,73.23285926554871,13,17
2025-04,2025-04-21,16770-17948,4711.0,1193.0,25.323710464869453,19,8
2025-04,2025-04-03,17948-19009,4242.0,1943.0,45.8038661008958,13,14
2025-04,2025-04-04,17948-19009,4242.0,3569.0,84.13484205563414,10,14
2025-04,2025-04-08,17948-19009,4242.0,2389.0,56.31777463460632,13,5
2025-04,2025-04-10,17948-19009,4242.0,5070.0,119.51909476661953,17,16
2025-04,2025-04-11,17948-19009,4242.0,3226.0,76.04903347477605,14,21
2025-04,2025-04-14,17948-19009,4242.0,1655.0,39.014615747289014,15,9
2025-04,2025-04-15,17948-19009,4242.0,1591.0,37.505893446487505,16,19
2025-04,2025-04-16,17948-19009,4242.0,2980.0,70.24988213107025,8,23
2025-04,2025-04-17,17948-19009,4242.0,1565.0,36.892975011786895,14,21
2025-04,2025-04-21,17948-19009,4242.0,1942.0,45.78029231494578,13,15
2025-04,2025-04-22,17948-19009,4242.0,3426.0,80.76379066478077,17,23
2025-04,2025-04-23,17948-19009,4242.0,1924.0,45.35596416784536,15,21
2025-04,2025-04-24,17948-19009,4242.0,1124.0,26.4969354078265,10,13
2025-04,2025-04-03,19009-19299,1161.0,734.0,63.2213608957795,9,9
2025-04,2025-04-10,19009-19299,1161.0,1467.0,126.35658914728683,0,7
2025-04,2025-04-14,19009-19299,1161.0,1280.0,110.24978466838932,13,14
2025-04,2025-04-15,19009-19299,1161.0,908.0,78.20844099913867,14,4
2025-04,2025-04-24,19009-19299,1161.0,2004.0,172.60981912144703,13,6
2025-04,2025-04-25,19009-19299,1161.0,799.0,68.81998277347114,10,4
2025-04,2025-04-01,19299-19672,1493.0,1743.0,116.74480910917615,14,23
2025-04,2025-04-02,19299-19672,1493.0,1783.0,119.42397856664435,13,17
2025-04,2025-04-09,19299-19672,1493.0,617.0,41.326188881446754,20,3
2025-04,2025-04-24,19299-19672,1493.0,858.0,57.46818486269256,19,4
2025-04,2025-04-25,19299-19672,1493.0,1421.0,95.17749497655727,17,17
2025-04,2025-04-28,19299-19672,1493.0,1463.0,97.99062290689886,15,23
2025-04,2025-04-29,19299-19672,1493.0,1242.0,83.18821165438715,17,23
2025-04,2025-04-30,19299-19672,1493.0,2448.0,163.9651707970529,14,18
2025-04,2025-04-02,19672-19942,1080.0,1129.0,104.53703703703702,19,3
2025-04,2025-04-30,19672-19942,1080.0,1379.0,127.68518518518519,20,3
2025-05,2025-05-01,19672-19942,1080.0,1092.0,101.11111111111111,20,10
2025-05,2025-05-02,19672-19942,1080.0,469.0,43.425925925925924,8,7
2025-05,2025-05-06,19672-19942,1080.0,1149.0,106.38888888888889,14,14
2025-05,2025-05-07,19672-19942,1080.0,1275.0,118.05555555555556,18,7
2025-05,2025-05-01,19942-20193,1002.0,1041.0,103.89221556886228,14,13
2025-05,2025-05-02,19942-20193,1002.0,1922.0,191.81636726546907,0,9
2025-05,2025-05-05,19942-20193,1002.0,902.0,90.01996007984032,1,23
2025-05,2025-05-06,19942-20193,1002.0,1337.0,133.43313373253494,22,9
2025-05,2025-05-07,19942-20193,1002.0,1376.0,137.3253493013972,19,16
2025-05,2025-05-08,19942-20193,1002.0,1623.0,161.97604790419163,19,15
2025-05,2025-05-09,19942-20193,1002.0,868.0,86.62674650698602,14,15
2025-05,2025-05-02,20193-20520,1311.0,598.0,45.614035087719294,15,5
2025-05,2025-05-08,20193-20520,1311.0,1376.0,104.95804729214339,15,8
2025-05,2025-05-09,20193-20520,1311.0,595.0,45.385202135774215,11,6
2025-05,2025-05-12,20520-20781,1043.0,1383.0,132.59827420901246,14,7
2025-05,2025-05-12,20781-21031,1000.0,1731.0,173.10000000000002,7,14
2025-05,2025-05-13,20781-21031,1000.0,991.0,99.1,12,13
2025-05,2025-05-23,20781-21031,1000.0,1825.0,182.5,11,8
2025-05,2025-05-13,21031-21454,1690.0,1495.0,88.46153846153845,13,10
2025-05,2025-05-14,21031-21454,1690.0,725.0,42.89940828402367,13,23
2025-05,2025-05-15,21031-21454,1690.0,1131.0,66.92307692307692,19,21
2025-05,2025-05-16,21031-21454,1690.0,758.0,44.85207100591716,14,16
2025-05,2025-05-19,21031-21454,1690.0,1455.0,86.09467455621301,13,16
2025-05,2025-05-20,21031-21454,1690.0,756.0,44.73372781065088,19,17
2025-05,2025-05-21,21031-21454,1690.0,1802.0,106.62721893491126,17,20
2025-05,2025-05-22,21031-21454,1690.0,1190.0,70.41420118343196,13,23
2025-05,2025-05-23,21031-21454,1690.0,1037.0,61.36094674556213,17,13
2025-05,2025-05-26,21031-21454,1690.0,559.0,33.07692307692307,6,19
2025-05,2025-05-27,21031-21454,1690.0,1388.0,82.1301775147929,7,18
2025-05,2025-05-28,21031-21454,1690.0,661.0,39.112426035502956,19,10
2025-05,2025-05-29,21031-21454,1690.0,823.0,48.69822485207101,15,7
2025-05,2025-05-30,21031-21454,1690.0,1448.0,85.68047337278107,16,21
2025-05,2025-05-16,21454-21681,908.0,326.0,35.90308370044053,18,5
2025-05,2025-05-19,21454-21681,908.0,535.0,58.920704845814974,19,7
2025-05,2025-05-20,21454-21681,908.0,638.0,70.26431718061674,1,6
2025-05,2025-05-21,21454-21681,908.0,784.0,86.34361233480176,14,3
2025-05,2025-05-27,21454-21681,908.0,282.0,31.05726872246696,19,5
2025-05,2025-05-28,21454-21681,908.0,1103.0,121.47577092511013,20,12
2025-05,2025-05-29,21454-21681,908.0,1754.0,193.1718061674009,13,5
2025-05,2025-05-29,21681-21866,741.0,596.0,80.43184885290148,0,11
2025-06,2025-06-02,21454-21681,908.0,598.0,65.85903083700441,18,5
2025-06,2025-06-03,21454-21681,908.0,911.0,100.33039647577094,14,12
2025-06,2025-06-04,21454-21681,908.0,118.0,12.995594713656388,4,3
2025-06,2025-06-05,21454-21681,908.0,908.0,100.0,19,4
2025-06,2025-06-06,21454-21681,908.0,602.0,66.29955947136564,6,11
2025-06,2025-06-03,21681-21866,741.0,496.0,66.9365721997301,18,8
2025-06,2025-06-04,21681-21866,741.0,648.0,87.4493927125506,14,20
2025-06,2025-06-05,21681-21866,741.0,1267.0,170.98515519568153,16,18
2025-06,2025-06-06,21681-21866,741.0,889.0,119.97300944669367,15,10
2025-06,2025-06-09,21681-21866,741.0,699.0,94.33198380566802,14,20
2025-06,2025-06-10,21681-21866,741.0,796.0,107.42240215924426,5,11
2025-06,2025-06-11,21681-21866,741.0,561.0,75.7085020242915,18,3
2025-06,2025-06-13,21681-21866,741.0,1301.0,175.5735492577598,0,10
2025-06,2025-06-19,21681-21866,741.0,993.0,134.0080971659919,13,14
2025-06,2025-06-20,21681-21866,741.0,1061.0,143.18488529014846,14,6
2025-06,2025-06-23,21681-21866,741.0,953.0,128.60998650472334,16,10
2025-06,2025-06-09,21866-22140,1096.0,278.0,25.364963503649633,16,3
2025-06,2025-06-10,21866-22140,1096.0,1040.0,94.8905109489051,18,12
2025-06,2025-06-11,21866-22140,1096.0,1127.0,102.82846715328466,12,20
2025-06,2025-06-12,21866-22140,1096.0,920.0,83.94160583941606,12,17
2025-06,2025-06-13,21866-22140,1096.0,1039.0,94.7992700729927,18,11
2025-06,2025-06-16,21866-22140,1096.0,1201.0,109.58029197080292,22,15
2025-06,2025-06-17,21866-22140,1096.0,1091.0,99.54379562043796,17,23
2025-06,2025-06-18,21866-22140,1096.0,862.0,78.64963503649635,18,23
2025-06,2025-06-19,21866-22140,1096.0,828.0,75.54744525547446,22,5
2025-06,2025-06-20,21866-22140,1096.0,1189.0,108.48540145985402,13,15
2025-06,2025-06-23,21866-22140,1096.0,1338.0,122.08029197080292,17,11
2025-06,2025-06-12,22140-22318,710.0,538.0,75.77464788732394,14,6
2025-06,2025-06-16,22140-22318,710.0,843.0,118.73239436619718,13,8
2025-06,2025-06-24,22140-22318,710.0,762.0,107.32394366197182,7,14
2025-06,2025-06-24,22318-22898,2321.0,615.0,26.497199482981475,6,9
2025-06,2025-06-25,22318-22898,2321.0,639.0,27.53123653597587,17,23
2025-06,2025-06-26,22318-22898,2321.0,1027.0,44.24816889271865,13,23
2025-06,2025-06-27,22318-22898,2321.0,902.0,38.862559241706165,19,21
2025-06,2025-06-30,22318-22898,2321.0,615.0,26.497199482981475,13,23
2025-07,2025-07-03,22980-23181,805.0,846.0,105.09316770186334,13,7
2025-07,2025-07-04,22980-23181,805.0,269.0,33.41614906832298,2,7
2025-07,2025-07-09,22980-23181,805.0,664.0,82.48447204968944,13,8
2025-07,2025-07-10,22980-23181,805.0,548.0,68.07453416149069,15,21
2025-07,2025-07-14,22980-23181,805.0,644.0,80.0,14,9
2025-07,2025-07-15,22980-23181,805.0,996.0,123.72670807453416,1,22
2025-07,2025-07-16,22980-23181,805.0,1058.0,131.42857142857142,15,21
2025-07,2025-07-17,22980-23181,805.0,566.0,70.31055900621118,13,14
2025-07,2025-07-17,23181-23287,424.0,695.0,163.91509433962264,14,9
2025-07,2025-07-18,23181-23287,424.0,605.0,142.68867924528303,14,20
2025-07,2025-07-21,23181-23287,424.0,236.0,55.660377358490564,12,9
2025-07,2025-07-22,23181-23287,424.0,834.0,196.69811320754718,14,11
2025-07,2025-07-23,23181-23287,424.0,587.0,138.4433962264151,15,17
2025-07,2025-07-21,23287-23414,511.0,804.0,157.3385518590998,13,14
2025-07,2025-07-22,23287-23414,511.0,358.0,70.0587084148728,7,11
2025-07,2025-07-23,23287-23414,511.0,619.0,121.13502935420743,20,5
2025-07,2025-07-24,23287-23414,511.0,505.0,98.82583170254404,14,23
2025-07,2025-07-25,23287-23414,511.0,404.0,79.06066536203522,13,12
2025-07,2025-07-31,23287-23414,511.0,1227.0,240.11741682974562,17,4
2025-07,2025-07-25,23414-23582,670.0,333.0,49.701492537313435,16,9
2025-07,2025-07-28,23414-23582,670.0,594.0,88.65671641791046,15,23
2025-07,2025-07-29,23414-23582,670.0,925.0,138.05970149253733,15,18
2025-07,2025-07-30,23414-23582,670.0,778.0,116.11940298507464,19,19
2025-07,2025-07-31,23414-23582,670.0,1578.0,235.52238805970148,14,3
2025-08,2025-08-01,22980-23181,805.0,1530.0,190.06211180124225,7,7
2025-08,2025-08-04,22980-23181,805.0,537.0,66.70807453416148,7,9
2025-08,2025-08-05,22980-23181,805.0,814.0,101.11801242236025,18,7
2025-08,2025-08-06,22980-23181,805.0,709.0,88.07453416149067,1,10
2025-08,2025-08-20,22980-23181,805.0,1588.0,197.26708074534162,13,3
2025-08,2025-08-04,23181-23287,424.0,859.0,202.5943396226415,13,6
2025-08,2025-08-06,23181-23287,424.0,554.0,130.66037735849056,14,5
2025-08,2025-08-20,23181-23287,424.0,587.0,138.4433962264151,16,3
2025-08,2025-08-21,23181-23287,424.0,861.0,203.06603773584902,15,10
2025-08,2025-08-22,23181-23287,424.0,832.0,196.22641509433961,13,13
2025-08,2025-08-01,23287-23414,511.0,282.0,55.18590998043052,1,5
2025-08,2025-08-04,23287-23414,511.0,427.0,83.56164383561644,20,4
2025-08,2025-08-05,23287-23414,511.0,403.0,78.86497064579257,13,14
2025-08,2025-08-06,23287-23414,511.0,671.0,131.31115459882582,15,4
2025-08,2025-08-20,23287-23414,511.0,833.0,163.013698630137,19,13
2025-08,2025-08-21,23287-23414,511.0,853.0,166.92759295499022,14,12
2025-08,2025-08-06,23414-23582,670.0,442.0,65.97014925373135,22,4
2025-08,2025-08-07,23414-23582,670.0,1165.0,173.88059701492537,14,18
2025-08,2025-08-08,23414-23582,670.0,320.0,47.76119402985074,12,13
2025-08,2025-08-19,23414-23582,670.0,1261.0,188.2089552238806,14,9
2025-08,2025-08-20,23414-23582,670.0,182.0,27.164179104477608,12,4
2025-08,2025-08-22,23414-23582,670.0,571.0,85.22388059701493,15,3
2025-08,2025-08-25,23414-23582,670.0,619.0,92.38805970149254,19,21
2025-08,2025-08-26,23414-23582,670.0,741.0,110.59701492537313,0,19
2025-08,2025-08-27,23414-23582,670.0,1017.0,151.7910447761194,20,4
2025-08,2025-08-28,23414-23582,670.0,387.0,57.76119402985075,0,6
2025-08,2025-08-29,23414-23582,670.0,1091.0,162.8358208955224,13,8
2025-08,2025-08-07,23582-23745,652.0,484.0,74.23312883435584,13,5
2025-08,2025-08-08,23582-23745,652.0,811.0,124.38650306748467,13,7
2025-08,2025-08-11,23582-23745,652.0,868.0,133.12883435582822,19,18
2025-08,2025-08-12,23582-23745,652.0,849.0,130.21472392638037,13,13
2025-08,2025-08-19,23582-23745,652.0,578.0,88.65030674846625,13,3
2025-08,2025-08-22,23582-23745,652.0,1515.0,232.36196319018404,14,4
2025-08,2025-08-26,23582-23745,652.0,359.0,55.061349693251536,19,4
2025-08,2025-08-27,23582-23745,652.0,524.0,80.3680981595092,19,19
2025-08,2025-08-28,23582-23745,652.0,906.0,138.95705521472394,13,12
2025-08,2025-08-29,23582-23745,652.0,557.0,85.42944785276073,8,12
2025-08,2025-08-11,23745-23999,1016.0,232.0,22.83464566929134,15,5
2025-08,2025-08-12,23745-23999,1016.0,1392.0,137.00787401574803,12,10
2025-08,2025-08-13,23745-23999,1016.0,530.0,52.16535433070866,14,20
2025-08,2025-08-14,23745-23999,1016.0,858.0,84.4488188976378,12,23
2025-08,2025-08-15,23745-23999,1016.0,914.0,89.96062992125984,13,21
2025-08,2025-08-18,23745-23999,1016.0,651.0,64.0748031496063,14,22
2025-08,2025-08-19,23745-23999,1016.0,286.0,28.1496062992126,0,11
2025-08,2025-08-28,23745-23999,1016.0,326.0,32.08661417322835,17,5
2025-09,2025-09-02,23181-23287,424.0,1707.0,402.5943396226415,13,7
2025-09,2025-09-02,23287-23414,511.0,685.0,134.0508806262231,20,6
2025-09,2025-09-03,23287-23414,511.0,663.0,129.74559686888455,17,12
2025-09,2025-09-01,23414-23582,670.0,728.0,108.65671641791043,6,19
2025-09,2025-09-02,23414-23582,670.0,309.0,46.11940298507463,1,6
2025-09,2025-09-03,23414-23582,670.0,781.0,116.56716417910448,14,11
2025-09,2025-09-04,23414-23582,670.0,621.0,92.6865671641791,14,17
2025-09,2025-09-04,23582-23745,652.0,719.0,110.2760736196319,17,6
2025-09,2025-09-05,23582-23745,652.0,987.0,151.38036809815952,15,11
2025-09,2025-09-08,23582-23745,652.0,186.0,28.52760736196319,2,3
2025-09,2025-09-05,23745-23999,1016.0,706.0,69.48818897637796,12,9
2025-09,2025-09-08,23745-23999,1016.0,631.0,62.10629921259843,13,20
2025-09,2025-09-09,23745-23999,1016.0,781.0,76.87007874015748,14,23
2025-09,2025-09-10,23745-23999,1016.0,920.0,90.5511811023622,13,22
2025-09,2025-09-11,23999-24503,2015.0,785.0,38.95781637717122,12,23
2025-09,2025-09-12,23999-24503,2015.0,779.0,38.660049627791565,14,21
2025-09,2025-09-15,23999-24503,2015.0,387.0,19.205955334987593,8,13
2025-09,2025-09-17,23999-24503,2015.0,1235.0,61.29032258064516,18,10
2025-09,2025-09-15,24503-24970,1870.0,618.0,33.04812834224599,13,10
2025-09,2025-09-16,24503-24970,1870.0,592.0,31.65775401069519,13,23
2025-09,2025-09-17,24503-24970,1870.0,531.0,28.39572192513369,8,13
2025-09,2025-09-18,24503-24970,1870.0,1024.0,54.75935828877005,14,23
2025-09,2025-09-19,24503-24970,1870.0,932.0,49.83957219251337,13,21
2025-09,2025-09-22,24503-24970,1870.0,756.0,40.42780748663102,13,16
2025-09,2025-09-23,24503-24970,1870.0,921.0,49.25133689839572,17,10
2025-09,2025-09-24,24503-24970,1870.0,1146.0,61.283422459893046,15,23
2025-09,2025-09-25,24503-24970,1870.0,1394.0,74.54545454545455,14,22
2025-09,2025-09-26,24503-24970,1870.0,910.0,48.663101604278076,14,21
2025-09,2025-09-29,24503-24970,1870.0,842.0,45.026737967914436,15,23
2025-09,2025-09-30,24503-24970,1870.0,766.0,40.962566844919785,13,23
2025-10,2025-10-17,23999-24503,2015.0,714.0,35.43424317617866,7,3
2025-10,2025-10-01,24503-24970,1870.0,1298.0,69.41176470588235,14,17
2025-10,2025-10-10,24503-24970,1870.0,2496.0,133.475935828877,15,4
2025-10,2025-10-13,24503-24970,1870.0,962.0,51.44385026737967,14,23
2025-10,2025-10-14,24503-24970,1870.0,2398.0,128.23529411764707,19,21
2025-10,2025-10-15,24503-24970,1870.0,1786.0,95.50802139037432,17,18
2025-10,2025-10-16,24503-24970,1870.0,1412.0,75.50802139037434,16,13
2025-10,2025-10-17,24503-24970,1870.0,1961.0,104.8663101604278,13,15
2025-10,2025-10-01,24970-25278,1231.0,338.0,27.45735174654752,18,6
2025-10,2025-10-02,24970-25278,1231.0,745.0,60.519902518277824,13,23
2025-10,2025-10-03,24970-25278,1231.0,1093.0,88.78960194963445,17,21
2025-10,2025-10-06,24970-25278,1231.0,829.0,67.34362307067425,13,23
2025-10,2025-10-07,24970-25278,1231.0,1161.0,94.3135662063363,15,23
2025-10,2025-10-08,24970-25278,1231.0,1085.0,88.13972380178716,13,19
2025-10,2025-10-09,24970-25278,1231.0,512.0,41.59220146222583,14,5
2025-10,2025-10-15,24970-25278,1231.0,872.0,70.83671811535336,13,5
2025-10,2025-10-16,24970-25278,1231.0,934.0,75.87327376116978,15,10
2025-10,2025-10-17,24970-25278,1231.0,483.0,39.23639317627945,18,3
2025-10,2025-10-20,24970-25278,1231.0,1137.0,92.36393176279446,13,14
2025-10,2025-10-21,24970-25278,1231.0,377.0,30.62550771730301,13,6
2025-10,2025-10-22,24970-25278,1231.0,1728.0,140.37367993501218,16,15
2025-10,2025-10-23,24970-25278,1231.0,1436.0,116.65312753858652,13,20
2025-10,2025-10-08,25278-25552,1094.0,508.0,46.435100548446066,19,4
2025-10,2025-10-09,25278-25552,1094.0,583.0,53.29067641681902,13,18
2025-10,2025-10-10,25278-25552,1094.0,535.0,48.90310786106033,13,13
2025-10,2025-10-20,25278-25552,1094.0,571.0,52.19378427787934,14,9
2025-10,2025-10-21,25278-25552,1094.0,659.0,60.237659963436926,14,17
2025-10,2025-10-22,25278-25552,1094.0,377.0,34.46069469835466,7,6
2025-10,2025-10-23,25278-25552,1094.0,460.0,42.04753199268739,17,4
2025-10,2025-10-24,25278-25552,1094.0,1144.0,104.57038391224862,12,21
2025-10,2025-10-27,25734-25987,1011.0,1075.0,106.3303659742829,14,18
2025-10,2025-10-28,25734-25987,1011.0,210.0,20.77151335311573,6,11
2025-10,2025-10-31,25734-25987,1011.0,659.0,65.18298714144412,16,3
2025-10,2025-10-27,25987-26289,1207.0,235.0,19.46975973487987,20,3
2025-10,2025-10-28,25987-26289,1207.0,1017.0,84.25849212924606,13,12
2025-10,2025-10-29,25987-26289,1207.0,1322.0,109.52775476387737,18,21
2025-10,2025-10-30,25987-26289,1207.0,2119.0,175.55923777961888,20,19
2025-10,2025-10-31,25987-26289,1207.0,1318.0,109.1963545981773,13,18
2025-11,2025-11-07,24503-24970,1870.0,1343.0,71.81818181818181,15,4
