**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

month,feature,corr,p_value
2025-03,vwap_distance,-0.19607210471094721,1.3664490550505893e-05
2025-03,time_of_day,0.0686870037330501,0.13090173951919934
2025-04,dmi_diff,-0.29986598364773653,1.7128828377107365e-11
2025-04,dmi_gap,-0.002022319909039591,0.9646414087714941
2025-04,vol_rel,-0.008391796439244517,0.8540494865692546
2025-04,dir_vol,-0.08866129027978312,0.05149639745863917
2025-04,velocity,-0.09266000965612906,0.04179881607921272
2025-04,z_se,-0.3177293487753816,8.623910511950438e-13
2025-04,price_accel,-0.019811962944964685,0.664050910262389
2025-04,std_price,0.18812913684649626,3.1677146792617106e-05
2025-04,variance_ratio,0.11442692469069753,0.011851173509751048
2025-04,bar_range,0.161515759703799,0.000365380842711298
2025-04,wick_ratio,0.004129364092951569,0.9278761053708592
2025-04,vwap_distance,-0.23902621947761526,1.0561316194178239e-07
2025-04,time_of_day,0.022533500673398793,0.6213032220411379
2025-05,dmi_diff,-0.14862804035004748,0.0008571773992337141
2025-05,dmi_gap,0.2640132123631647,2.0293644299313517e-09
2025-05,vol_rel,-0.07127386947435967,0.111436815019655
2025-05,dir_vol,-0.020755529637710747,0.6433672172647693
2025-05,velocity,-0.044184182818818744,0.32413452264963416
2025-05,z_se,-0.2578526037819894,4.899532503645375e-09
2025-05,price_accel,-0.022955653812827236,0.6085902838364694
2025-05,std_price,0.19095766945057063,1.716654185369911e-05
2025-05,variance_ratio,0.05641515055064044,0.20791228673119375
2025-05,bar_range,0.022805437427635276,0.6109380424130041
2025-05,wick_ratio,-0.07360968933207414,0.10016091712409493
2025-05,vwap_distance,-0.1274464894839664,0.004313108274736877
2025-05,time_of_day,-0.010317167623511949,0.8179926227812905
2025-06,dmi_diff,0.19301488012558904,2.023540394812971e-05
2025-06,dmi_gap,0.0033785470512271622,0.9410861832199526
2025-06,vol_rel,0.028431001927519524,0.5339129773411572
2025-06,dir_vol,-0.008115972534827412,0.8590866260742362
2025-06,velocity,0.027657296404506253,0.5451063033713699
2025-06,z_se,0.1489675930210872,0.0010494764351139658
2025-06,price_accel,-0.03701929476453441,0.4179046779692862
2025-06,std_price,-0.2631441873095899,4.635008308439107e-09
2025-06,variance_ratio,-0.15845474163194664,0.0004862776885612645
2025-06,bar_range,-0.0997749119889602,0.02866935323191449
2025-06,wick_ratio,-0.047957741218907335,0.29387317279660347
2025-06,vwap_distance,0.13283902504088227,0.003514352323545348
2025-06,time_of_day,-0.02770178828481046,0.5444594981416478
2025-07,dmi_diff,-0.2659283022834359,6.714572195587751e-10
2025-07,dmi_gap,-0.0017013494430620226,0.9690672919942839
2025-07,vol_rel,-0.00556015311363783,0.899153280765765
2025-07,dir_vol,-0.0800321963130765,0.06768935220213657
2025-07,velocity,-0.059039156216480475,0.17803569449790854
2025-07,z_se,-0.2692229099860807,4.0503124608102824e-10
2025-07,price_accel,-0.03635833203494481,0.407119608853151
2025-07,std_price,-0.13098577227643474,0.002713765082043772
2025-07,variance_ratio,-0.16018386029246476,0.0002380791575369624
2025-07,bar_range,0.040053305190981194,0.36109351276557844
2025-07,wick_ratio,0.00818109896796932,0.8520752532203815
2025-07,vwap_distance,-0.07651934550096169,0.08070112939843258
2025-07,time_of_day,-0.009388458244300322,0.8305536070959978
2025-08,dmi_diff,-0.12295306862417747,0.0068213513851387115
2025-08,dmi_gap,-0.056050622073953366,0.2188416206419991
2025-08,vol_rel,-0.03329263995270823,0.4653977805098847
2025-08,dir_vol,-0.016756972749981437,0.7133624865403929
2025-08,velocity,-0.010146712800519294,0.8239831464980665
2025-08,z_se,-0.11837941218602957,0.009212219808936802
2025-08,price_accel,0.007706962621727515,0.8658426038406684
