day,idx,parent_chain,shape,parent_shape,seed_shape,seed_r,length_min,fwd_return
2025_01_03,3,7/2/4/0,NOISE,STEEP_LINEAR_DOWN,STEP_UP,0.8149937899376699,2.5,-2.5
2025_01_03,0,7/4/6/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6517792971513857,6.75,-3.75
2025_01_03,1,7/5/0/1,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.9188551845186765,1.17,1.5
2025_01_03,0,7/5/1/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6019039279909189,1.08,-2.5
2025_01_03,5,7/5/1/3,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.8450354679282646,1.67,-9.25
2025_01_03,8,7/5/1/3,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.8301108958316546,1.92,4.0
2025_01_06,0,0/0/1/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5607586330300738,1.5,1.5
2025_01_06,0,0/1/1/2,NOISE,STEEP_LINEAR_DOWN,FRONT_SKEWED_DOWN,0.8859946586523207,1.08,-2.0
2025_01_06,0,2/0/2/1,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_DOWN,0.7710855243036616,2.08,-1.0
2025_01_06,2,2/0/2/1,NOISE,STEEP_LINEAR_DOWN,DAMPED_OSCILLATOR,0.7772887277199433,5.83,1.0
2025_01_06,0,2/0/8/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.818042430768198,2.58,0.5
2025_01_06,0,2/0/11/4,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5088907590221574,4.33,-3.0
2025_01_06,2,2/0/11/4,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8826277595576563,1.17,1.0
2025_01_06,0,2/0/12/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6468218605491115,6.58,1.5
2025_01_06,1,2/2/5/9,NOISE,STEEP_LINEAR_DOWN,NOISE,0.741688708459512,0.58,0.25
2025_01_06,0,2/2/7/5,NOISE,STEEP_LINEAR_DOWN,STEP_UP,0.8994346269232625,3.33,-2.25
2025_01_06,2,2/2/7/5,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8151956132960407,1.25,-4.25
2025_01_06,0,2/4/2/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6813387580058445,1.17,-3.0
2025_01_06,2,2/4/2/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.2809782140579699,1.58,-4.75
2025_01_06,4,2/4/2/2,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9311974774269037,1.17,3.25
2025_01_06,0,2/6/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5464962558940625,2.42,-1.0
2025_01_06,3,2/6/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6785942414010543,1.25,1.25
2025_01_06,5,2/6/0/0,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.8560393644562571,2.58,1.75
2025_01_06,0,2/9/0/4,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7152635388908786,1.08,8.0
2025_01_06,0,2/9/6/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.600243142147706,2.75,-2.25
2025_01_06,0,2/9/9/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.8269874295069018,1.42,-10.75
2025_01_06,2,2/9/9/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5031110069237614,4.5,2.75
2025_01_06,4,2/10/0/5,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7254384378150286,1.92,-1.5
2025_01_06,0,3/0/1/3,NOISE,STEEP_LINEAR_DOWN,BACK_SKEWED_UP,0.7752974258438607,0.75,4.25
2025_01_06,2,3/0/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.698811696969243,1.42,3.25
2025_01_06,4,3/0/2/0,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.9218888994779689,0.75,10.25
2025_01_06,7,3/0/2/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.7707940610104385,1.5,3.5
2025_01_06,0,3/1/0/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3938018531552109,1.33,-7.75
2025_01_06,0,3/1/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3486898359196447,1.67,-12.5
2025_01_06,0,3/1/2/5,NOISE,STEEP_LINEAR_DOWN,SINE_WAVE,0.8105334742281222,4.17,0.75
2025_01_06,3,3/1/2/5,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.9343141651614888,0.75,0.75
2025_01_06,2,3/1/4/1,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.8490906301571121,1.17,3.75
2025_01_06,1,4/0/0/3,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8353591397190129,1.08,-4.25
2025_01_06,0,4/0/1/2,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.8331742276209951,5.33,-3.25
2025_01_07,2,1/0/1/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7282664541757041,1.42,1.5
2025_01_07,3,2/0/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7372434937300257,1.33,2.0
2025_01_07,0,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,LOGARITHMIC_DOWN,0.8267862272269819,4.25,-1.25
2025_01_07,2,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6543231208486509,1.83,0.75
2025_01_07,0,2/1/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.26354574046525847,1.17,0.75
2025_01_07,1,2/2/0/6,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3909007838938099,4.58,-12.25
2025_01_07,3,2/2/0/6,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7026197510614287,2.25,6.5
2025_01_07,1,2/3/0/4,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.875386051578181,1.58,4.0
2025_01_07,0,2/5/0/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.39761336798605273,1.83,-3.0
2025_01_07,0,2/5/1/5,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.7510474901704437,0.92,-2.0
2025_01_07,0,3/0/2/3,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6141411475001713,1.33,4.0
2025_01_07,2,3/2/0/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.5815856539516747,1.58,2.75
2025_01_07,0,3/2/2/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6734583663566293,4.17,-1.0
2025_01_07,0,4/0/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6310381170051236,1.92,3.5
2025_01_07,1,5/0/2/0,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_DOWN,0.8749435233183044,1.0,-16.75
2025_01_07,7,5/0/2/0,NOISE,STEEP_LINEAR_DOWN,SINE_WAVE,0.8399025890422318,0.92,3.25
2025_01_07,9,5/0/2/0,NOISE,STEEP_LINEAR_DOWN,NOISE,0.668645906807715,1.75,-1.25
2025_01_07,0,5/0/3/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.3674874938039202,5.08,-1.25
2025_01_07,2,5/4/1/2,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.9723233139611225,0.83,-3.75
2025_01_07,8,5/4/1/2,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.8677514911107245,1.08,11.0
2025_01_07,1,5/4/3/4,NOISE,STEEP_LINEAR_DOWN,STEP_DOWN,0.8657842938540861,1.17,14.75
2025_01_07,3,5/4/3/4,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7044437671472452,1.08,-5.25
2025_01_07,2,5/4/3/6,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6454710213192874,1.25,-0.25
2025_01_07,4,5/4/3/6,NOISE,STEEP_LINEAR_DOWN,EXPONENTIAL_UP,0.8995830636440942,0.83,-11.5
2025_01_07,0,5/4/3/8,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7237816866497686,1.25,-0.75
2025_01_07,0,5/5/1/1,NOISE,STEEP_LINEAR_DOWN,NOISE,0.7115333826816546,2.67,-3.25
2025_01_07,3,5/5/1/1,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.7807628969956756,4.92,1.0
2025_01_08,0,0/0/0/2,NOISE,STEEP_LINEAR_DOWN,NOISE,0.6888145415527913,2.33,1.25
2025_01_08,0,1/0/0/6,NOISE,STEEP_LINEAR_DOWN,FRONT_SKEWED_UP,0.8483340928862265,1.5,-3.75
2025_01_08,2,1/1/0/2,NOISE,STEEP_LINEAR_DOWN,ROUNDED_U_UP,0.9177099349787806,1.67,-1.75
2025_01_08,1,1/1/1/0,NOISE,STEEP_LINEAR_DOWN,SYMMETRIC_V_UP,0.804558174521304,2.75,-1.25
