day,idx,parent_chain,shape,parent_shape,length_min,subshape_id
2025_11_06,4,1/0/7/2,NOISE,STEEP_LINEAR_DOWN,3.17,0
2026_03_01,0,0/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_05_07,3,9/2/0/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_06_05,0,5/0/0/0,NOISE,STEEP_LINEAR_DOWN,3.33,0
2025_08_22,7,2/4/0/1,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_03_04,0,2/7/0/7,NOISE,STEEP_LINEAR_DOWN,2.25,0
2026_02_12,2,3/4/1/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2026_02_18,5,4/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_05_07,0,10/0/1/0,NOISE,STEEP_LINEAR_DOWN,3.08,0
2025_03_10,4,2/10/6/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_15,5,1/0/1/3,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_10_20,3,3/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_05_02,0,3/5/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_04_08,0,10/3/0/4,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_12_02,0,1/5/5/0,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_05_15,3,5/0/0/1,NOISE,STEEP_LINEAR_DOWN,2.75,0
2026_01_09,0,7/0/8/1,NOISE,STEEP_LINEAR_DOWN,2.1,0
2025_07_15,0,3/1/3/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_21,2,3/1/7/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2026_02_23,1,0/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_01_14,0,3/3/0/6,NOISE,STEEP_LINEAR_DOWN,6.42,0
2025_04_30,4,3/2/0/4,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_10_07,1,4/4/0/3,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_12_02,0,2/4/1/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_02_04,2,0/0/1/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_07_17,0,2/1/1/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2025_05_14,3,8/2/0/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_04_15,0,3/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_05_05,4,2/0/4/2,NOISE,STEEP_LINEAR_DOWN,0.58,0
2025_07_28,2,4/0/7/3,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_08_12,0,7/0/1/0,NOISE,STEEP_LINEAR_DOWN,3.25,0
2025_08_19,4,3/6/1/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_05_22,3,6/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_12_01,2,4/0/7/1,NOISE,STEEP_LINEAR_DOWN,4.08,0
2025_12_03,3,3/0/4/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_01_30,4,1/0/2/4,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_01_30,0,4/2/0/5,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_10_29,2,1/0/3/2,NOISE,STEEP_LINEAR_DOWN,3.83,0
2025_12_04,0,9/0/0/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_03_19,0,0/0/2/2,NOISE,STEEP_LINEAR_DOWN,1.7,0
2025_11_04,3,5/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_08_04,2,2/0/0/2,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_07_30,0,3/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_03_13,1,6/0/1/3,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_03_05,0,3/2/0/7,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_10_13,2,7/0/4/0,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_05_20,1,1/0/8/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_08_06,3,2/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_01_02,2,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,2.42,0
2025_11_05,6,4/3/0/0,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_03_10,6,3/0/0/0,NOISE,STEEP_LINEAR_DOWN,4.08,0
2025_07_30,0,3/0/3/2,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_11_05,0,3/0/0/1,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_04_30,0,2/0/8/0,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_06_16,2,5/1/3/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_01_13,2,10/0/4/0,NOISE,STEEP_LINEAR_DOWN,1.63,0
2025_09_10,0,4/1/0/4,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_12_16,4,2/3/1/5,NOISE,STEEP_LINEAR_DOWN,2.9,0
2025_04_23,10,3/4/2/2,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_03_20,0,2/3/0/3,NOISE,STEEP_LINEAR_DOWN,4.08,0
2026_03_10,2,2/1/2/2,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_05_19,0,4/4/0/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_02_18,2,4/1/2/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2026_03_04,2,2/0/3/4,NOISE,STEEP_LINEAR_DOWN,0.92,0
2026_02_12,11,4/0/7/5,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_01_28,2,11/3/1/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_10_08,1,5/4/2/7,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_10_30,4,8/0/2/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_01_28,0,9/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_07_01,0,2/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_07_11,2,5/0/0/2,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_02_26,0,0/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_03_05,2,4/0/1/3,NOISE,STEEP_LINEAR_DOWN,3.75,0
2026_03_04,0,2/7/2/1,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_01_30,1,1/3/1/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_05_26,3,1/4/0/0,NOISE,STEEP_LINEAR_DOWN,3.83,0
2025_05_07,2,9/1/1/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_07_08,1,6/2/0/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_02_11,2,4/1/1/0,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_07_15,5,5/0/2/2,NOISE,STEEP_LINEAR_DOWN,0.17,0
2025_04_14,0,2/4/0/4,NOISE,STEEP_LINEAR_DOWN,1.92,0
2026_01_07,0,2/1/12/8,NOISE,STEEP_LINEAR_DOWN,4.25,0
2025_05_06,3,1/2/1/2,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_12_12,3,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.37,0
2025_03_03,13,1/2/5/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_01_26,5,3/3/0/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_11_14,0,3/2/3/8,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_02_19,4,0/0/2/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_03_11,0,7/1/1/0,NOISE,STEEP_LINEAR_DOWN,3.92,0
2025_03_13,0,3/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_10_14,3,2/0/3/2,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_03_06,2,4/2/3/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_02_04,4,4/2/1/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_01_30,5,4/2/0/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_01_28,0,9/4/1/5,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_11_13,2,6/4/0/6,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_02_05,1,2/6/2/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_12_03,0,0/0/0/2,NOISE,STEEP_LINEAR_DOWN,2.5,0
2025_11_20,1,3/2/2/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_11_11,1,3/1/4/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_02_25,2,3/1/2/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_05_15,3,3/2/1/0,NOISE,STEEP_LINEAR_DOWN,0.17,0
2025_02_14,2,4/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_07_14,0,6/2/3/1,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_08_22,0,2/6/0/3,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_03_03,0,1/0/0/2,NOISE,STEEP_LINEAR_DOWN,1.83,0
2026_01_13,3,9/0/4/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_05_26,0,4/1/0/6,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_10_29,2,1/2/1/4,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_10_02,0,1/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.67,0
2026_01_26,2,5/1/19/1,NOISE,STEEP_LINEAR_DOWN,3.17,0
2025_11_13,4,1/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_01_01,2,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_05_30,5,1/0/4/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2025_09_01,2,2/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_09_01,3,1/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.92,0
2026_02_26,4,10/2/1/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2026_02_18,3,2/8/1/0,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_06_17,4,5/7/1/4,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_02_13,0,1/0/1/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2026_01_08,0,8/0/1/2,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_02_04,3,3/3/1/2,NOISE,STEEP_LINEAR_DOWN,1.08,0
2026_02_23,2,3/6/1/2,NOISE,STEEP_LINEAR_DOWN,6.5,0
2025_08_19,8,1/3/1/1,NOISE,STEEP_LINEAR_DOWN,0.83,0
2026_01_13,0,9/3/0/0,NOISE,STEEP_LINEAR_DOWN,2.58,0
2026_02_10,0,10/2/10/1,NOISE,STEEP_LINEAR_DOWN,1.03,0
2025_02_20,0,6/0/3/4,NOISE,STEEP_LINEAR_DOWN,4.0,0
2025_04_23,2,0/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_08_15,1,4/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.33,0
2026_01_19,0,1/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.65,0
2025_09_02,5,3/4/0/7,NOISE,STEEP_LINEAR_DOWN,1.42,0
2026_02_04,5,6/0/8/4,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_06_02,2,2/0/6/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_02_11,6,3/2/1/3,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_03_06,5,1/1/0/0,NOISE,STEEP_LINEAR_DOWN,0.98,0
2025_02_19,2,2/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_08_28,0,5/4/6/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_07_09,0,5/6/0/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_05_14,3,3/0/4/1,NOISE,STEEP_LINEAR_DOWN,3.0,0
2026_03_18,2,3/6/1/2,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_02_23,0,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.58,0
2025_04_21,0,0/0/1/6,NOISE,STEEP_LINEAR_DOWN,0.83,0
2025_11_21,0,8/0/0/0,NOISE,STEEP_LINEAR_DOWN,3.33,0
2025_11_21,3,4/0/1/2,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_07_17,2,2/1/1/0,NOISE,STEEP_LINEAR_DOWN,6.17,0
2026_01_26,0,3/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.22,0
2025_02_19,6,2/7/0/0,NOISE,STEEP_LINEAR_DOWN,3.92,0
2025_12_01,5,4/1/0/4,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_06_02,0,5/4/9/4,NOISE,STEEP_LINEAR_DOWN,2.5,0
2025_10_13,2,5/1/5/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_08_01,0,1/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_02_26,2,6/0/0/4,NOISE,STEEP_LINEAR_DOWN,4.75,0
2025_02_13,0,4/1/0/6,NOISE,STEEP_LINEAR_DOWN,3.67,0
2025_08_01,0,1/2/1/0,NOISE,STEEP_LINEAR_DOWN,3.5,0
2025_05_08,3,2/0/6/3,NOISE,STEEP_LINEAR_DOWN,2.08,0
2026_03_04,2,2/2/4/5,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_01_02,2,1/2/3/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_07_15,2,1/4/3/1,NOISE,STEEP_LINEAR_DOWN,2.17,0
2026_01_08,4,1/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_03_17,0,0/2/1/1,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_02_12,0,0/0/4/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2026_01_20,2,2/1/4/0,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_05_09,1,1/5/1/2,NOISE,STEEP_LINEAR_DOWN,3.5,0
2026_03_10,0,6/1/0/3,NOISE,STEEP_LINEAR_DOWN,3.27,0
2025_10_03,3,7/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_01_27,1,2/2/2/0,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_06_03,0,2/0/3/0,NOISE,STEEP_LINEAR_DOWN,2.92,0
2026_01_28,2,5/0/1/0,NOISE,STEEP_LINEAR_DOWN,4.1,0
2025_03_10,2,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.83,0
2025_04_08,0,9/3/2/4,NOISE,STEEP_LINEAR_DOWN,1.0,0
2026_03_09,6,1/1/1/1,NOISE,STEEP_LINEAR_DOWN,1.58,0
2026_02_19,0,1/4/0/0,NOISE,STEEP_LINEAR_DOWN,1.13,0
2026_03_12,8,3/4/0/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_23,0,4/4/0/3,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_11_24,0,1/3/3/0,NOISE,STEEP_LINEAR_DOWN,6.42,0
2025_12_01,0,1/3/0/4,NOISE,STEEP_LINEAR_DOWN,0.75,0
2026_03_02,0,6/1/0/0,NOISE,STEEP_LINEAR_DOWN,1.67,0
2026_03_06,1,4/0/7/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_05_28,0,6/0/2/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_08_14,0,8/0/0/3,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_01_08,6,7/0/1/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_11_21,2,9/0/4/2,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_11_24,8,5/4/5/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_01_07,7,5/0/2/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2026_01_06,0,3/4/2/1,NOISE,STEEP_LINEAR_DOWN,1.22,0
2025_07_14,4,6/5/0/2,NOISE,STEEP_LINEAR_DOWN,5.08,0
2025_04_14,4,2/0/11/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_01_02,4,2/3/3/0,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_04_10,2,3/2/1/1,NOISE,STEEP_LINEAR_DOWN,0.67,0
2026_02_24,0,0/0/1/0,NOISE,STEEP_LINEAR_DOWN,2.78,0
2025_11_21,3,7/0/4/0,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_08_13,0,5/3/1/4,NOISE,STEEP_LINEAR_DOWN,1.67,0
2025_07_22,2,9/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_11_21,0,6/2/2/1,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_03_05,0,2/0/1/0,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_08_22,0,2/3/2/0,NOISE,STEEP_LINEAR_DOWN,2.83,0
2025_05_26,6,1/4/0/0,NOISE,STEEP_LINEAR_DOWN,3.83,0
2025_01_06,0,3/0/1/3,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_11_20,4,6/2/0/9,NOISE,STEEP_LINEAR_DOWN,2.08,0
2025_01_17,1,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_04_08,5,9/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_12_05,4,5/0/7/3,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_01_03,2,2/0/5/0,NOISE,STEEP_LINEAR_DOWN,3.25,0
2025_02_28,0,4/0/2/6,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_11_11,0,4/0/7/1,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_11_25,0,4/4/1/5,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_12_12,0,6/0/6/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_01_27,7,1/2/0/3,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_11_06,2,2/2/2/2,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_09_09,1,2/0/0/4,NOISE,STEEP_LINEAR_DOWN,0.17,0
2025_09_10,0,4/0/0/3,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_02,0,3/0/1/3,NOISE,STEEP_LINEAR_DOWN,2.5,0
2025_09_04,4,4/2/1/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_11_20,6,7/3/0/0,NOISE,STEEP_LINEAR_DOWN,4.08,0
2025_11_04,2,5/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_04_23,4,3/4/2/2,NOISE,STEEP_LINEAR_DOWN,2.5,0
2026_01_13,13,6/1/0/1,NOISE,STEEP_LINEAR_DOWN,3.08,0
2025_12_16,3,4/0/1/0,NOISE,STEEP_LINEAR_DOWN,0.77,0
2025_04_21,2,5/0/1/0,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_07_30,0,5/0/0/3,NOISE,STEEP_LINEAR_DOWN,2.75,0
2025_04_07,5,5/5/0/2,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_11_06,2,5/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.92,0
2025_10_23,5,5/6/0/1,NOISE,STEEP_LINEAR_DOWN,3.0,0
2025_05_20,2,2/2/1/0,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_08_12,1,2/1/0/0,NOISE,STEEP_LINEAR_DOWN,2.67,0
2025_03_06,2,0/3/0/1,NOISE,STEEP_LINEAR_DOWN,1.5,0
2025_10_06,1,5/1/3/1,NOISE,STEEP_LINEAR_DOWN,2.0,0
2025_06_04,2,0/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_10_30,5,2/1/1/2,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_04_04,2,3/7/0/1,NOISE,STEEP_LINEAR_DOWN,2.58,0
2025_10_09,1,5/0/0/3,NOISE,STEEP_LINEAR_DOWN,0.42,0
2025_03_07,1,4/0/0/3,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_01_22,3,3/4/6/0,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_05_06,0,6/0/0/0,NOISE,STEEP_LINEAR_DOWN,4.75,0
2025_04_09,2,2/0/0/2,NOISE,STEEP_LINEAR_DOWN,1.33,0
2026_02_03,8,4/1/0/6,NOISE,STEEP_LINEAR_DOWN,0.75,0
2026_01_16,0,3/0/2/0,NOISE,STEEP_LINEAR_DOWN,2.0,0
2026_01_19,0,4/1/0/1,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_12_01,4,1/3/1/0,NOISE,STEEP_LINEAR_DOWN,2.83,0
2026_03_06,9,2/0/2/4,NOISE,STEEP_LINEAR_DOWN,3.0,0
2025_02_21,0,3/0/0/5,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_08_11,2,3/1/0/2,NOISE,STEEP_LINEAR_DOWN,1.08,0
2026_01_05,4,1/4/1/0,NOISE,STEEP_LINEAR_DOWN,1.52,0
2025_08_07,0,4/0/1/2,NOISE,STEEP_LINEAR_DOWN,1.25,0
2026_03_11,7,2/0/0/0,NOISE,STEEP_LINEAR_DOWN,2.25,0
2025_07_31,4,4/4/0/1,NOISE,STEEP_LINEAR_DOWN,1.42,0
2025_03_10,3,2/9/0/2,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_04_09,5,1/1/3/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_06_03,1,4/0/3/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_04_21,1,3/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_06_16,0,2/0/2/0,NOISE,STEEP_LINEAR_DOWN,7.0,0
2025_04_01,3,6/0/0/3,NOISE,STEEP_LINEAR_DOWN,0.17,0
2025_08_07,0,1/2/2/0,NOISE,STEEP_LINEAR_DOWN,0.92,0
2025_05_12,3,3/1/1/2,NOISE,STEEP_LINEAR_DOWN,1.42,0
2026_01_26,2,3/3/0/2,NOISE,STEEP_LINEAR_DOWN,2.42,0
2025_03_10,4,2/6/0/3,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_11_24,2,1/1/5/0,NOISE,STEEP_LINEAR_DOWN,0.67,0
2025_03_13,0,3/3/0/9,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_01_23,1,5/0/3/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_08_29,2,3/3/1/5,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_10_31,0,9/2/0/6,NOISE,STEEP_LINEAR_DOWN,1.17,0
2025_09_05,0,4/2/6/3,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_04_30,0,1/3/0/1,NOISE,STEEP_LINEAR_DOWN,4.5,0
2025_08_06,4,3/0/6/0,NOISE,STEEP_LINEAR_DOWN,1.0,0
2025_01_16,0,3/3/3/1,NOISE,STEEP_LINEAR_DOWN,1.08,0
2025_07_22,0,3/0/0/3,NOISE,STEEP_LINEAR_DOWN,2.83,0
2026_01_21,1,5/0/2/4,NOISE,STEEP_LINEAR_DOWN,0.75,0
2025_10_15,0,2/0/7/6,NOISE,STEEP_LINEAR_DOWN,1.33,0
2025_04_28,0,2/0/0/0,NOISE,STEEP_LINEAR_DOWN,1.75,0
2025_03_11,5,7/0/3/1,NOISE,STEEP_LINEAR_DOWN,2.17,0
2025_06_16,2,6/0/1/0,NOISE,STEEP_LINEAR_DOWN,4.67,0
2025_07_17,3,5/1/0/1,NOISE,STEEP_LINEAR_DOWN,1.25,0
2025_11_13,5,1/1/0/9,NOISE,STEEP_LINEAR_DOWN,1.17,0
2026_02_23,2,1/1/0/1,NOISE,STEEP_LINEAR_DOWN,2.42,0
