**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,date_iso,threshold,max_depth,n_phrases,n_motifs,n_sub_motifs,n_measures,n_notes
2025_09_19,IS,2025-09-19,0.85,5,1,5,8,18,39
2025_10_01,IS,2025-10-01,0.85,5,4,13,74,251,698
2025_10_02,IS,2025-10-02,0.85,5,7,23,78,267,677
2025_10_03,IS,2025-10-03,0.85,5,8,23,68,220,599
2025_10_05,IS,2025-10-05,0.85,5,2,3,4,13,37
2025_10_06,IS,2025-10-06,0.85,5,7,17,70,241,682
2025_10_07,IS,2025-10-07,0.85,5,7,22,80,233,661
2025_10_08,IS,2025-10-08,0.85,5,6,17,63,245,697
2025_10_09,IS,2025-10-09,0.85,5,8,22,75,245,714
2025_10_10,IS,2025-10-10,0.85,5,8,17,64,228,661
2025_10_12,IS,2025-10-12,0.85,5,2,4,6,18,54
2025_10_13,IS,2025-10-13,0.85,5,8,23,70,263,744
2025_10_14,IS,2025-10-14,0.85,5,5,24,79,244,789
2025_10_15,IS,2025-10-15,0.85,5,4,27,77,253,724
2025_10_16,IS,2025-10-16,0.85,5,7,28,81,254,745
2025_10_17,IS,2025-10-17,0.85,5,4,19,65,242,713
2025_10_19,IS,2025-10-19,0.85,5,1,2,7,23,56
2025_10_20,IS,2025-10-20,0.85,5,6,20,72,263,734
2025_10_21,IS,2025-10-21,0.85,5,7,24,82,251,733
2025_10_22,IS,2025-10-22,0.85,5,5,17,65,232,681
2025_10_23,IS,2025-10-23,0.85,5,6,20,88,271,733
2025_10_24,IS,2025-10-24,0.85,5,3,16,66,219,649
2025_10_26,IS,2025-10-26,0.85,5,2,4,7,15,44
2025_10_27,IS,2025-10-27,0.85,5,5,21,70,241,720
2025_10_28,IS,2025-10-28,0.85,5,5,18,76,258,663
2025_10_29,IS,2025-10-29,0.85,5,7,23,89,272,727
2025_10_30,IS,2025-10-30,0.85,5,10,26,76,267,748
2025_10_31,IS,2025-10-31,0.85,5,11,23,71,210,694
2025_11_02,IS,2025-11-02,0.85,5,1,2,4,11,25
2025_11_03,IS,2025-11-03,0.85,5,6,20,79,252,713
2025_11_04,IS,2025-11-04,0.85,5,7,19,72,276,772
2025_11_05,IS,2025-11-05,0.85,5,6,23,80,279,793
2025_11_06,IS,2025-11-06,0.85,5,7,18,75,273,779
2025_11_07,IS,2025-11-07,0.85,5,5,20,60,263,761
2025_11_09,IS,2025-11-09,0.85,5,1,2,3,10,26
2025_11_10,IS,2025-11-10,0.85,5,6,22,73,270,780
2025_11_11,IS,2025-11-11,0.85,5,6,21,83,285,766
2025_11_12,IS,2025-11-12,0.85,5,9,21,77,261,737
2025_11_13,IS,2025-11-13,0.85,5,8,27,83,274,806
2025_11_14,IS,2025-11-14,0.85,5,6,21,79,272,747
2025_11_16,IS,2025-11-16,0.85,5,1,2,3,10,28
2025_11_17,IS,2025-11-17,0.85,5,6,22,65,280,802
2025_11_18,IS,2025-11-18,0.85,5,7,25,83,270,791
2025_11_19,IS,2025-11-19,0.85,5,8,27,81,268,774
2025_11_20,IS,2025-11-20,0.85,5,9,30,84,270,771
2025_11_21,IS,2025-11-21,0.85,5,10,24,72,252,772
2025_11_23,IS,2025-11-23,0.85,5,1,2,5,10,31
2025_11_24,IS,2025-11-24,0.85,5,6,21,82,269,772
2025_11_25,IS,2025-11-25,0.85,5,8,28,83,280,726
2025_11_26,IS,2025-11-26,0.85,5,6,21,77,264,738
2025_11_27,IS,2025-11-27,0.85,5,9,20,55,184,447
2025_11_28,IS,2025-11-28,0.85,5,2,10,25,70,197
2025_11_30,IS,2025-11-30,0.85,5,1,3,6,12,26
2025_12_01,IS,2025-12-01,0.85,5,6,19,67,265,754
2025_12_02,IS,2025-12-02,0.85,5,7,21,76,250,697
2025_12_03,IS,2025-12-03,0.85,5,6,22,75,268,715
2025_12_04,IS,2025-12-04,0.85,5,13,30,79,255,678
