**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_03,IS,motif,0,1,NOISE,NOISE,NONE,0.8168060764508183,7.943431232786265,1735868520,1735871160,1037,1483,44.0
2025_01_03,IS,motif,1,1,FLATLINE,FLATLINE,NONE,0.0,9.653187441347473,1735871160,1735871280,1483,1502,2.0
2025_01_03,IS,motif,0,2,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9064019972381834,6.7015876709602615,1735871400,1735878300,1524,2510,115.0
2025_01_03,IS,motif,1,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9823111643376323,6.4601294477606075,1735878300,1735882250,2510,3034,65.83
2025_01_03,IS,motif,0,3,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9088244294704505,6.579229960847352,1735882250,1735888935,3034,4034,111.42
2025_01_03,IS,motif,1,3,FLATLINE,FLATLINE,NONE,0.0,7.962736162480495,1735888935,1735891040,4034,4370,35.08
2025_01_03,IS,motif,2,3,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9256637391374459,6.929998748443213,1735891040,1735891775,4370,4510,12.25
2025_01_03,IS,motif,0,4,FLATLINE,FLATLINE,NONE,0.6575016256179143,14.57631371395801,1735891775,1735896045,4510,5346,71.17
2025_01_03,IS,motif,1,4,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.923981873568444,12.959258195420217,1735896045,1735899610,5346,5971,59.42
2025_01_03,IS,motif,2,4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9965368560637864,8.81879084113534,1735899610,1735903630,5971,6647,67.0
2025_01_03,IS,motif,0,5,NOISE,NOISE,NONE,0.6688995358998097,7.467101908819495,1735903800,1735906800,6677,7177,50.0
2025_01_03,IS,motif,1,5,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.8822354358633846,12.753790504431283,1735906800,1735907185,7177,7251,6.42
2025_01_03,IS,motif,0,6,FLATLINE,FLATLINE,NONE,0.0,9.626232567122202,1735907400,1735909500,7292,7680,35.0
2025_01_03,IS,motif,1,6,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9186461422355074,10.880973575965111,1735909500,1735913115,7680,8390,60.25
2025_01_03,IS,motif,2,6,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.8571501342022363,14.127379636879976,1735913115,1735913700,8390,8506,9.75
2025_01_03,IS,motif,0,7,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9534118361526861,40.871285715557434,1735913700,1735918500,8506,9466,80.0
2025_01_03,IS,motif,1,7,NOISE,NOISE,NONE,0.6428826404608033,29.126556718439836,1735918500,1735920300,9466,9826,30.0
2025_01_03,IS,motif,2,7,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9650085190740417,24.98385249234543,1735920300,1735926000,9826,10966,95.0
2025_01_03,IS,motif,3,7,FLATLINE,FLATLINE,NONE,0.0,8.483921882874961,1735926000,1735928100,10966,11386,35.0
2025_01_03,IS,motif,4,7,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9708914574560221,13.10045563243528,1735928100,1735935300,11386,12826,120.0
2025_01_03,IS,motif,5,7,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9959225897310102,10.040293868738944,1735935300,1735940850,12826,13906,92.5
2025_01_03,IS,motif,0,8,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.938041338758779,4.016964457385811,1735940850,1735941595,13906,14027,12.42
2025_01_05,IS,motif,0,0,FLATLINE,FLATLINE,NONE,-2.0,7.73456433400199,1736118000,1736121595,0,580,59.92
2025_01_06,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,9.767793120277775,1736121600,1736123735,0,361,35.58
2025_01_06,IS,motif,1,0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9675995454696089,10.692467391990348,1736124255,1736125750,453,721,24.92
2025_01_06,IS,motif,0,1,NOISE,NOISE,NONE,0.8126957540006738,4.328284283020257,1736127585,1736129700,1024,1378,35.25
2025_01_06,IS,motif,0,2,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9635925856876386,5.4821783109812845,1736129700,1736145685,1378,3674,266.42
2025_01_06,IS,motif,1,2,FLATLINE,FLATLINE,NONE,0.8432478974642961,5.998902844400831,1736145685,1736146205,3674,3759,8.67
2025_01_06,IS,motif,2,2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9877409363025665,10.03399514425638,1736146205,1736161880,3759,6659,261.25
2025_01_06,IS,motif,3,2,NOISE,NOISE,NONE,0.845554948783236,7.41748548364096,1736161880,1736162400,6659,6763,8.67
2025_01_06,IS,motif,4,2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9720235838858386,12.883830617809158,1736162400,1736167205,6763,7718,80.08
2025_01_06,IS,motif,5,2,FLATLINE,FLATLINE,NONE,0.0,4.285717853695539,1736167205,1736167800,7718,7834,9.92
2025_01_06,IS,motif,6,2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9370883118477858,9.844468999591975,1736167800,1736170515,7834,8374,45.25
2025_01_06,IS,motif,7,2,FLATLINE,FLATLINE,NONE,0.3771582198513474,8.325303918100651,1736170515,1736173200,8374,8909,44.75
2025_01_06,IS,motif,8,2,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,SYMMETRIC,0.8772024624820719,28.33816027440898,1736173200,1736174700,8909,9209,25.0
2025_01_06,IS,motif,9,2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9829214989255645,21.742084128832555,1736174700,1736182200,9209,10709,125.0
2025_01_06,IS,motif,10,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9807538631772614,15.322417700772093,1736182200,1736187300,10709,11729,85.0
2025_01_06,IS,motif,0,3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9558709170937063,16.5056133229789,1736187300,1736195700,11729,13409,140.0
2025_01_06,IS,motif,1,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9913793691093324,20.804520530159174,1736195700,1736204400,13409,14361,145.0
2025_01_06,IS,motif,0,4,FLATLINE,FLATLINE,NONE,0.0,5.305565742786678,1736204400,1736207170,14361,14777,46.17
2025_01_06,IS,motif,1,4,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9398083192606019,5.378060456652575,1736207170,1736207995,14777,14902,13.75
2025_01_07,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,2.11564476625719,1736208000,1736210235,0,361,37.25
2025_01_07,IS,motif,1,0,FLATLINE,FLATLINE,NONE,0.0,6.7587972856780345,1736210875,1736212410,464,721,25.58
2025_01_07,IS,motif,0,1,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9667210645598185,6.305239360175044,1736214255,1736218035,1008,1598,63.0
2025_01_07,IS,motif,0,2,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,SYMMETRIC,0.9447844126837606,11.183229713138493,1736218035,1736222625,1598,2359,76.5
2025_01_07,IS,motif,1,2,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,SYMMETRIC,0.8778596614748154,3.9451974357698747,1736222625,1736224675,2359,2642,34.17
2025_01_07,IS,motif,2,2,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9637490429573047,10.723513071110638,1736224675,1736230985,2642,3644,105.17
2025_01_07,IS,motif,3,2,NOISE,NOISE,NONE,0.7097212832598299,4.100977617417934,1736230985,1736233200,3644,3988,36.92
2025_01_07,IS,motif,4,2,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,BACK_SKEWED,0.9653210483681594,7.773505071203228,1736233200,1736234400,3988,4202,20.0
2025_01_07,IS,motif,5,2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9903458046640269,8.536005335479954,1736234400,1736238965,4202,5023,76.08
2025_01_07,IS,motif,0,3,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9503905047729967,12.653564976844521,1736238965,1736243520,5023,5897,75.92
2025_01_07,IS,motif,1,3,FLATLINE,FLATLINE,NONE,0.0,13.70027863253448,1736243520,1736246400,5897,6391,48.0
2025_01_07,IS,motif,2,3,NOISE,NOISE,NONE,0.7962174135588499,7.9277989119529115,1736246400,1736249100,6391,6867,45.0
2025_01_07,IS,motif,3,3,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9903188863730952,10.221573673975906,1736249100,1736252470,6867,7485,56.17
2025_01_07,IS,motif,0,4,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,SYMMETRIC,0.9233615694753273,6.6933579722756775,1736252470,1736257575,7485,8455,85.08
2025_01_07,IS,motif,1,4,FLATLINE,FLATLINE,NONE,0.0,5.472082395984208,1736257575,1736257800,8455,8500,3.75
2025_01_07,IS,motif,2,4,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.8887179610738292,16.112496501930963,1736257800,1736261400,8500,9218,60.0
2025_01_07,IS,motif,3,4,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9591772255701059,44.6369537780385,1736261400,1736262900,9218,9518,25.0
2025_01_07,IS,motif,0,5,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9581737424532802,66.10713474003809,1736262900,1736267400,9518,10418,75.0
2025_01_07,IS,motif,1,5,NOISE,NOISE,NONE,0.7496327144097161,23.66139959771793,1736267400,1736269200,10418,10778,30.0
2025_01_07,IS,motif,2,5,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.971952468350095,26.699975629235656,1736269200,1736273700,10778,11678,75.0
2025_01_07,IS,motif,3,5,NOISE,NOISE,NONE,0.8227802209091412,29.32763193377709,1736273700,1736276700,11678,12278,50.0
2025_01_07,IS,motif,4,5,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9566540280198627,22.001248271250862,1736276700,1736284500,12278,13838,130.0
2025_01_07,IS,motif,5,5,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9409182128081384,13.499999059999348,1736284500,1736291265,13838,14430,112.75
2025_01_07,IS,motif,6,5,NOISE,NOISE,NONE,0.8196065261915685,9.39792955460342,1736291265,1736294100,14430,14901,47.25
2025_01_07,IS,motif,7,5,FLATLINE,FLATLINE,NONE,0.0,8.029675861723668,1736294100,1736294395,14901,14956,4.92
2025_01_08,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,4.744328204136026,1736294400,1736296415,0,361,33.58
2025_01_08,IS,motif,1,0,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9658101142413299,4.892982258137988,1736297040,1736298525,468,721,24.75
2025_01_08,IS,motif,0,1,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.890023543282437,8.601612821424256,1736300515,1736304440,1043,1694,65.42
2025_01_08,IS,motif,1,1,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9869785341405528,8.211791430757607,1736304440,1736307900,1694,2257,57.67
2025_01_08,IS,motif,0,2,NOISE,NOISE,NONE,0.8399403978721196,3.720284424054345,1736307900,1736309700,2257,2529,30.0
2025_01_08,IS,motif,0,3,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9710560731952048,5.676472801709946,1736309700,1736311505,2529,2756,30.08
2025_01_08,IS,motif,0,4,NOISE,NOISE,NONE,0.7169023416020471,7.472803487211909,1736311505,1736319000,2756,3861,124.92
2025_01_08,IS,motif,1,4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9917383417305071,11.600767251554858,1736319000,1736321315,3861,4268,38.58
2025_01_08,IS,motif,0,5,NOISE,NOISE,NONE,0.7312167889038206,8.994431099166812,1736321315,1736324050,4268,4752,45.58
2025_01_08,IS,motif,1,5,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9815901112287345,8.8175842666205,1736324050,1736330400,4752,5926,105.83
2025_01_08,IS,motif,0,6,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.881597809915234,6.505428557360306,1736330400,1736335800,5926,6872,90.0
2025_01_08,IS,motif,1,6,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9683922871678016,41.946324240299255,1736335800,1736336925,6872,7097,18.75
2025_01_08,IS,motif,0,7,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9656078235565676,34.48872410371549,1736336925,1736342400,7097,8188,91.25
2025_01_08,IS,motif,1,7,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9781118097235063,22.6450506130918,1736342400,1736347500,8188,9208,85.0
2025_01_08,IS,motif,2,7,FLATLINE,FLATLINE,NONE,0.2146752958899576,23.86267030862579,1736347500,1736349300,9208,9568,30.0
2025_01_08,IS,motif,3,7,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.9291793503782261,40.02923085758804,1736349300,1736352000,9568,10108,45.0
2025_01_08,IS,motif,0,8,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9489050729352488,24.284994980747225,1736352000,1736356800,10108,11068,80.0
2025_01_08,IS,motif,1,8,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.8759439120373228,52.563516040034806,1736356800,1736357400,11068,11188,10.0
2025_01_08,IS,motif,0,9,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9059319402718573,51.229923793963145,1736357400,1736360100,11188,11728,45.0
2025_01_08,IS,motif,1,9,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9481731204053905,38.610035616082946,1736360100,1736363700,11728,12448,60.0
2025_01_08,IS,motif,2,9,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,BACK_SKEWED,0.9356181652091569,36.64553576942763,1736363700,1736364900,12448,12688,20.0
2025_01_08,IS,motif,3,9,FLATLINE,FLATLINE,NONE,0.8854440702205401,24.04447627456728,1736364900,1736369700,12688,13648,80.0
2025_01_08,IS,motif,4,9,NOISE,NOISE,NONE,0.8289573348964996,13.89972860563549,1736369700,1736373000,13648,14288,55.0
2025_01_08,IS,motif,5,9,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9339363496842039,15.696652421609432,1736373000,1736377365,14288,14428,72.75
2025_01_08,IS,motif,0,10,NOISE,NOISE,NONE,0.3988160449985194,8.428147914610475,1736377365,1736380030,14428,14809,44.42
2025_01_08,IS,motif,1,10,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9262989269579919,7.396419142119761,1736380030,1736380790,14809,14924,12.67
2025_01_09,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,6.207167601581192,1736380800,1736382885,0,361,34.75
2025_01_09,IS,motif,1,0,FLATLINE,FLATLINE,NONE,0.0,11.489950848921309,1736383485,1736384940,468,721,24.25
2025_01_09,IS,motif,0,1,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9459308294679433,5.596373610225537,1736386985,1736394300,1030,2078,121.92
2025_01_09,IS,motif,1,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9880602370981986,8.661996926561235,1736394300,1736398250,2078,2687,65.83
2025_01_09,IS,motif,0,2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9707052987483947,4.94128163381933,1736398250,1736405105,2687,3632,114.25
2025_01_09,IS,motif,1,2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9645501921877788,13.045054958408041,1736405105,1736412070,3632,4844,116.08
2025_01_09,IS,motif,2,2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9481885391628898,11.462645736970655,1736412070,1736418600,4844,5995,108.83
2025_01_09,IS,motif,0,3,NOISE,NOISE,NONE,0.6546384676059274,5.8327471613246,1736418600,1736421085,5995,6400,41.42
2025_01_09,IS,motif,1,3,GENTLE_CONVEX_DOWN,GENTLE_CONVEX_DOWN,SYMMETRIC,0.920118653046483,10.992513291155046,1736421085,1736425225,6400,7114,69.0
2025_01_09,IS,motif,2,3,FLATLINE,FLATLINE,NONE,0.49856417412485443,7.494851044599243,1736425225,1736428200,7114,7639,49.58
2025_01_09,IS,motif,3,3,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.9342668720634579,11.980476979271451,1736428200,1736428990,7639,7783,13.17
2025_01_09,IS,motif,0,4,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9419334771908572,7.850587475276009,1736428990,1736431200,7783,8210,36.83
2025_01_09,IS,motif,0,5,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9868152405366561,16.441099494902605,1736431200,1736467195,8210,9242,599.92
2025_01_10,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,15.262468737917647,1736467200,1736471130,0,721,65.5
2025_01_10,IS,motif,0,1,GENTLE_LINEAR_UP,GENTLE_LINEAR_UP,NONE,0.985700210479223,7.786398177971294,1736473020,1736484005,1061,2832,183.08
2025_01_10,IS,motif,1,1,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,BACK_SKEWED,0.9247517540615969,5.917512160428471,1736484005,1736485855,2832,3119,30.83
2025_01_10,IS,motif,2,1,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,SYMMETRIC,0.914689610175453,6.659886311676487,1736485855,1736489470,3119,3700,60.25
2025_01_10,IS,motif,3,1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9948018562864738,10.866189286936784,1736489470,1736492330,3700,4156,47.67
2025_01_10,IS,motif,0,2,NOISE,NOISE,NONE,0.6403672179224237,15.54213898796528,1736492330,1736494800,4156,4600,41.17
2025_01_10,IS,motif,1,2,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9356140496149369,9.534500951702913,1736494800,1736500200,4600,5569,90.0
2025_01_10,IS,motif,2,2,FLATLINE,FLATLINE,NONE,0.0,9.76829547535079,1736500200,1736503200,5569,6077,50.0
2025_01_10,IS,motif,0,3,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9603957467741234,12.087016421206238,1736503200,1736510700,6077,7438,125.0
2025_01_10,IS,motif,1,3,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9475780357146266,19.6949492558913,1736510700,1736514135,7438,8085,57.25
2025_01_10,IS,motif,2,3,NOISE,NOISE,NONE,0.5717495093184012,10.249859263500511,1736514135,1736516100,8085,8466,32.75
2025_01_10,IS,motif,3,3,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.8729171784128646,86.7665161083527,1736516100,1736516700,8466,8586,10.0
2025_01_10,IS,motif,0,4,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9120439082002435,59.77586939228494,1736516700,1736520000,8586,9246,55.0
2025_01_10,IS,motif,1,4,FLATLINE,FLATLINE,NONE,0.0,30.50135932382826,1736520000,1736520600,9246,9366,10.0
2025_01_10,IS,motif,2,4,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9472889631113109,71.56990010333087,1736520600,1736524200,9366,10086,60.0
2025_01_10,IS,motif,3,4,FLATLINE,FLATLINE,NONE,0.0,57.22343682996156,1736524200,1736526300,10086,10506,35.0
2025_01_10,IS,motif,4,4,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9604496696871053,30.26106896736882,1736526300,1736530800,10506,11406,75.0
2025_01_10,IS,motif,5,4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9959874636237653,36.717115856464396,1736530800,1736533800,11406,12006,50.0
2025_01_10,IS,motif,0,5,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9289161145143704,32.4317584358646,1736533800,1736537100,12006,12666,55.0
2025_01_10,IS,motif,1,5,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9794235748070497,23.597533401688978,1736537100,1736543700,12666,13986,110.0
2025_01_10,IS,motif,0,6,GENTLE_CONCAVE_DOWN,GENTLE_CONCAVE_DOWN,SYMMETRIC,0.9269801138482286,11.073156725597332,1736543700,1736546395,13986,14497,44.92
2025_01_12,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,13.970638881698983,1736722800,1736724775,0,361,32.92
2025_01_12,IS,motif,1,0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9352586009114241,21.571187323496495,1736725455,1736726395,478,648,15.67
2025_01_13,IS,motif,0,0,NOISE,NOISE,NONE,-2.0,8.076988523541939,1736726400,1736728515,0,361,35.25
2025_01_13,IS,motif,1,0,FLATLINE,FLATLINE,NONE,0.0,8.350715948576466,1736729195,1736729400,470,508,3.42
2025_01_13,IS,motif,2,0,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.957109678669772,12.62536988559248,1736729400,1736730650,508,721,20.83
2025_01_13,IS,motif,0,1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9446217248274461,16.655506595282873,1736732350,1736736325,1031,1737,66.25
2025_01_13,IS,motif,1,1,FLATLINE,FLATLINE,NONE,0.0,8.63013196762414,1736736325,1736738100,1737,2024,29.58
2025_01_13,IS,motif,2,1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9530959142298098,14.858596877653232,1736738100,1736742630,2024,2828,75.5
2025_01_13,IS,motif,3,1,NOISE,NOISE,NONE,0.5574028753174555,5.671194925149042,1736742630,1736746805,2828,3413,69.58
2025_01_13,IS,motif,4,1,FLATLINE,FLATLINE,NONE,0.0,9.344407411274558,1736746805,1736749020,3413,3773,36.92
2025_01_13,IS,motif,5,1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.985978131876694,12.40543174947533,1736749020,1736751600,3773,4155,43.0
2025_01_13,IS,motif,0,2,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9809059455439653,7.584355542844953,1736751600,1736755700,4155,4875,68.33
