**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_02,IS,sub_motif,2,1/6,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9772925827371417,9.78098678815643,1735812600,1735813200,6566,6683,10.0
2025_01_02,IS,sub_motif,0,1/7,NOISE,NOISE,NONE,0.6370240444275796,7.555429363218023,1735813200,1735813740,6683,6775,9.0
2025_01_02,IS,sub_motif,1,1/7,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9576285597251667,4.830665516805978,1735813740,1735815190,6775,7035,24.17
2025_01_02,IS,sub_motif,2,1/7,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9656442320847032,9.339742233999202,1735815190,1735815530,7035,7096,5.67
2025_01_02,IS,sub_motif,0,1/8,FLATLINE,FLATLINE,NONE,0.0,9.502293945057486,1735815530,1735815600,7096,7108,1.17
2025_01_02,IS,sub_motif,0,1/9,FLATLINE,FLATLINE,NONE,0.0,7.470306384192022,1735815600,1735816260,7108,7233,11.0
2025_01_02,IS,sub_motif,1,1/9,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9462880645678311,5.151242076402489,1735816260,1735817640,7233,7496,23.0
2025_01_02,IS,sub_motif,2,1/9,FLATLINE,FLATLINE,NONE,0.0,5.795922794506942,1735817640,1735818170,7496,7597,8.83
2025_01_02,IS,sub_motif,3,1/9,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.985077642509809,9.514413570499075,1735818170,1735821160,7597,8187,49.83
2025_01_02,IS,sub_motif,4,1/9,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.960324771661755,9.65913841559686,1735821160,1735822820,8187,8515,27.67
2025_01_02,IS,sub_motif,0,1/10,NOISE,NOISE,NONE,0.7778518770005208,5.806139816659934,1735822820,1735823740,8515,8696,15.33
2025_01_02,IS,sub_motif,1,1/10,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9530372174156211,6.673447524744149,1735823740,1735824960,8696,8938,20.33
2025_01_02,IS,sub_motif,2,1/10,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.9325055247054365,11.165478023194382,1735824960,1735826010,8938,9146,17.5
2025_01_02,IS,sub_motif,3,1/10,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9849779249119649,13.69449003392671,1735826010,1735826415,9146,9226,6.75
2025_01_02,IS,sub_motif,0,1/11,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9768983857521301,18.052073084582467,1735826415,1735826700,9226,9283,4.75
2025_01_02,IS,sub_motif,0,1/12,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9629553771034983,16.93900591416129,1735826700,1735827750,9283,9493,17.5
2025_01_02,IS,sub_motif,1,1/12,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9819035491664905,31.350429848189876,1735827750,1735829100,9493,9763,22.5
2025_01_02,IS,sub_motif,0,2/0,FLATLINE,FLATLINE,NONE,0.0,41.17183580265223,1735829100,1735829610,9763,9865,8.5
2025_01_02,IS,sub_motif,1,2/0,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,BACK_SKEWED,0.9896238086892785,34.758848180899435,1735829610,1735831290,9865,10201,28.0
2025_01_02,IS,sub_motif,2,2/0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,SYMMETRIC,0.9776243620716137,37.83743657397923,1735831290,1735832700,10201,10483,23.5
2025_01_02,IS,sub_motif,0,2/1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9138679101484308,25.218328777441418,1735832700,1735833960,10483,10735,21.0
2025_01_02,IS,sub_motif,1,2/1,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,BACK_SKEWED,0.9546545825979316,28.072347899022198,1735833960,1735834860,10735,10915,15.0
2025_01_02,IS,sub_motif,2,2/1,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9917758389321176,20.178823548782663,1735834860,1735835700,10915,11083,14.0
2025_01_02,IS,sub_motif,0,2/2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,BACK_SKEWED,0.977198683507999,14.926053227075377,1735835700,1735837560,11083,11455,31.0
2025_01_02,IS,sub_motif,1,2/2,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9072062760514145,12.689834688102938,1735837560,1735838190,11455,11581,10.5
