leaf_id,n_trades,strategy,strategy_pct,actual_pnl,optimal_pnl,recoverable,avg_regret,exit_bar_same,exit_bar_counter,long_pct,wr
29,139,short_extended,71.94244604316546,69859.5,69859.5,0.0,0.0,116.50359712230215,141.6043165467626,25.899280575539567,99.28057553956835
55,264,short_extended,68.56060606060606,61300.0,61300.0,0.0,0.0,98.67424242424242,109.31060606060606,27.27272727272727,99.62121212121212
186,172,short_extended,51.162790697674424,57182.5,57182.5,0.0,0.0,95.55232558139535,106.23255813953489,47.093023255813954,99.4186046511628
138,101,long_extended,100.0,56055.0,56055.0,0.0,0.0,222.41584158415841,143.34653465346534,100.0,100.0
40,204,short_extended,49.50980392156863,53923.0,53923.0,0.0,0.0,147.43627450980392,111.4656862745098,50.0,99.50980392156863
107,334,long_extended,66.1676646706587,49538.0,49538.0,0.0,0.0,138.33532934131736,138.67964071856287,66.46706586826348,100.0
151,63,long_extended,100.0,43241.0,43241.0,0.0,0.0,217.63492063492063,120.53968253968254,100.0,100.0
183,69,long_extended,92.7536231884058,39471.5,39471.5,0.0,0.0,129.0144927536232,160.2173913043478,92.7536231884058,100.0
169,147,short_extended,76.87074829931973,36438.5,36438.5,0.0,0.0,89.95238095238095,103.98639455782313,17.006802721088434,97.27891156462584
227,116,long_extended,86.20689655172413,34015.5,34015.5,0.0,0.0,122.68103448275862,124.96551724137932,89.65517241379311,98.27586206896551
28,104,long_extended,55.769230769230774,33087.0,33087.0,0.0,0.0,109.77884615384616,130.46153846153845,57.692307692307686,99.03846153846155
234,124,short_extended,65.32258064516128,33046.5,33046.5,0.0,0.0,149.43548387096774,129.23387096774192,33.87096774193548,100.0
94,33,short_extended,93.93939393939394,32030.0,32030.0,0.0,0.0,241.84848484848484,65.78787878787878,3.0303030303030303,100.0
119,120,long_extended,80.0,31774.0,31774.0,0.0,0.0,147.25,177.75,80.0,100.0
112,87,long_extended,48.275862068965516,31687.0,31687.0,0.0,0.0,97.24137931034483,92.8735632183908,51.724137931034484,100.0
170,92,short_extended,51.08695652173913,31531.5,31531.5,0.0,0.0,115.3804347826087,108.27173913043478,46.73913043478261,100.0
98,55,short_extended,98.18181818181819,30585.0,30585.0,0.0,0.0,171.21818181818182,150.98181818181817,1.8181818181818181,100.0
38,93,short_extended,50.53763440860215,29681.0,29681.0,0.0,0.0,121.50537634408602,107.47311827956989,41.935483870967744,100.0
196,48,long_extended,100.0,29048.0,29048.0,0.0,0.0,255.4375,92.70833333333333,100.0,100.0
237,157,long_extended,55.4140127388535,27287.0,27287.0,0.0,0.0,73.87261146496816,102.2484076433121,58.59872611464968,100.0
175,84,short_extended,95.23809523809523,25487.5,25487.5,0.0,0.0,124.16666666666667,128.27380952380952,3.571428571428571,100.0
150,20,long_extended,85.0,21037.5,21037.5,0.0,0.0,135.45,161.9,85.0,100.0
58,88,short_extended,54.54545454545454,20363.0,20363.0,0.0,0.0,121.02272727272727,107.61363636363636,44.31818181818182,100.0
15,45,short_extended,93.33333333333333,20263.0,20263.0,0.0,0.0,55.48888888888889,92.62222222222222,4.444444444444445,100.0
114,112,long_extended,75.0,18776.0,18776.0,0.0,0.0,144.14285714285714,156.625,75.0,100.0
83,46,short_extended,82.6086956521739,18526.5,18526.5,0.0,0.0,114.95652173913044,140.52173913043478,15.217391304347828,100.0
99,20,short_extended,70.0,18025.5,18025.5,0.0,0.0,93.1,100.35,30.0,100.0
31,22,short_extended,100.0,17940.5,17940.5,0.0,0.0,163.4090909090909,173.04545454545453,0.0,100.0
