day,seg_idx,shape_class,subshape_id,length_min,shape_pearson_r
2025_06_05,6,LINEAR_DOWN,1,105.0,0.982
2025_06_05,12,LINEAR_DOWN,1,404.92,0.993
2025_06_09,4,LINEAR_DOWN,1,269.92,0.992
2025_06_13,8,LINEAR_DOWN,1,179.92,0.992
2025_06_16,8,LINEAR_DOWN,1,150.0,0.988
2025_06_17,10,LINEAR_DOWN,1,434.92,0.995
2025_06_19,1,LINEAR_DOWN,1,195.08,0.979
2025_06_20,4,LINEAR_DOWN,1,179.83,0.98
2025_07_01,8,LINEAR_DOWN,1,180.0,0.98
2025_07_02,4,LINEAR_DOWN,1,375.0,0.992
2025_07_03,4,LINEAR_DOWN,1,180.0,0.981
2025_07_04,2,LINEAR_DOWN,1,719.75,0.991
2025_07_07,4,LINEAR_DOWN,1,164.92,0.986
2025_07_07,8,LINEAR_DOWN,1,225.0,0.993
2025_07_08,11,LINEAR_DOWN,1,165.0,0.995
2025_07_15,9,LINEAR_DOWN,1,120.0,0.987
2025_07_16,3,LINEAR_DOWN,1,240.0,0.979
2025_07_17,1,LINEAR_DOWN,1,195.0,0.992
2025_07_18,4,LINEAR_DOWN,1,135.0,0.984
2025_07_18,5,LINEAR_DOWN,1,180.0,0.986
2025_07_18,7,LINEAR_DOWN,1,210.0,0.99
2025_07_22,5,LINEAR_DOWN,1,180.0,0.991
2025_07_22,7,LINEAR_DOWN,1,195.0,0.993
2025_07_22,10,LINEAR_DOWN,1,239.92,0.968
2025_07_25,2,LINEAR_DOWN,1,344.75,0.997
2025_07_28,2,LINEAR_DOWN,1,405.0,0.995
2025_07_28,7,LINEAR_DOWN,1,195.0,0.995
2025_07_29,5,LINEAR_DOWN,1,285.0,0.981
2025_07_29,7,LINEAR_DOWN,1,270.08,0.981
2025_07_30,12,LINEAR_DOWN,1,75.0,0.983
2025_07_31,2,LINEAR_DOWN,1,180.0,0.983
2025_07_31,4,LINEAR_DOWN,1,644.92,0.997
2025_08_01,3,LINEAR_DOWN,1,225.0,0.989
2025_08_05,5,LINEAR_DOWN,1,150.08,0.993
2025_08_08,3,LINEAR_DOWN,1,270.0,0.988
2025_08_08,5,LINEAR_DOWN,1,90.0,0.985
2025_08_11,2,LINEAR_DOWN,1,150.0,0.986
2025_08_11,4,LINEAR_DOWN,1,195.0,0.99
2025_08_11,9,LINEAR_DOWN,1,434.83,0.983
2025_08_12,8,LINEAR_DOWN,1,165.0,0.991
2025_08_13,7,LINEAR_DOWN,1,225.0,0.989
2025_08_15,3,LINEAR_DOWN,1,180.0,0.994
2025_08_18,3,LINEAR_DOWN,1,420.0,0.996
2025_08_19,2,LINEAR_DOWN,1,210.0,0.99
2025_08_19,5,LINEAR_DOWN,1,675.0,0.978
2025_08_20,1,LINEAR_DOWN,1,345.0,0.991
2025_08_21,3,LINEAR_DOWN,1,75.0,0.974
2025_08_21,7,LINEAR_DOWN,1,330.0,0.991
2025_08_21,11,LINEAR_DOWN,1,180.0,0.98
2025_08_22,6,LINEAR_DOWN,1,180.0,0.985
2025_08_27,3,LINEAR_DOWN,1,239.92,0.986
2025_08_27,8,LINEAR_DOWN,1,224.75,0.987
2025_08_29,1,LINEAR_DOWN,1,330.0,0.994
2025_08_29,3,LINEAR_DOWN,1,285.0,0.984
2025_08_29,6,LINEAR_DOWN,1,255.0,0.989
2025_09_02,3,LINEAR_DOWN,1,450.0,0.995
2025_09_04,9,LINEAR_DOWN,1,150.0,0.984
2025_09_05,6,LINEAR_DOWN,1,210.0,0.992
2025_09_08,1,LINEAR_DOWN,1,224.92,0.986
2025_09_08,6,LINEAR_DOWN,1,210.0,0.991
2025_09_09,9,LINEAR_DOWN,1,165.0,0.974
2025_09_10,3,LINEAR_DOWN,1,180.0,0.986
2025_09_10,5,LINEAR_DOWN,1,420.0,0.989
2025_09_11,7,LINEAR_DOWN,1,239.92,0.989
2025_09_12,1,LINEAR_DOWN,1,180.0,0.984
2025_09_12,3,LINEAR_DOWN,1,180.0,0.983
2025_09_14,1,LINEAR_DOWN,1,59.83,0.956
2025_09_15,2,LINEAR_DOWN,1,180.0,0.989
2025_09_16,1,LINEAR_DOWN,1,360.0,0.991
2025_09_17,2,LINEAR_DOWN,1,285.0,0.977
2025_09_19,7,LINEAR_DOWN,1,164.33,0.994
2025_10_03,5,LINEAR_DOWN,1,300.0,0.99
2025_10_03,8,LINEAR_DOWN,1,224.92,0.995
2025_10_07,5,LINEAR_DOWN,1,240.0,0.994
2025_10_08,1,LINEAR_DOWN,1,180.0,0.986
2025_10_09,3,LINEAR_DOWN,1,195.0,0.99
2025_10_10,3,LINEAR_DOWN,1,135.0,0.985
2025_10_13,2,LINEAR_DOWN,1,135.0,0.988
2025_10_16,8,LINEAR_DOWN,1,405.0,0.99
2025_10_20,4,LINEAR_DOWN,1,195.0,0.982
2025_10_21,1,LINEAR_DOWN,1,330.0,0.988
2025_10_22,2,LINEAR_DOWN,1,210.0,0.99
2025_10_28,5,LINEAR_DOWN,1,180.0,0.989
2025_10_29,2,LINEAR_DOWN,1,150.0,0.991
2025_10_30,8,LINEAR_DOWN,1,285.0,0.989
2025_11_03,2,LINEAR_DOWN,1,390.0,0.991
2025_11_03,4,LINEAR_DOWN,1,180.0,0.992
2025_11_04,2,LINEAR_DOWN,1,585.0,0.985
2025_11_05,8,LINEAR_DOWN,1,209.92,0.985
2025_11_06,5,LINEAR_DOWN,1,270.0,0.985
2025_11_07,1,LINEAR_DOWN,1,210.0,0.991
2025_11_11,5,LINEAR_DOWN,1,195.0,0.991
2025_11_12,6,LINEAR_DOWN,1,195.0,0.993
2025_11_13,4,LINEAR_DOWN,1,270.0,0.989
2025_11_13,6,LINEAR_DOWN,1,480.0,0.989
2025_11_14,5,LINEAR_DOWN,1,390.0,0.994
2025_11_14,8,LINEAR_DOWN,1,164.92,0.964
2025_11_17,8,LINEAR_DOWN,1,255.0,0.983
2025_11_18,2,LINEAR_DOWN,1,285.0,0.985
2025_11_18,8,LINEAR_DOWN,1,209.92,0.99
2025_11_24,7,LINEAR_DOWN,1,180.0,0.989
2025_11_25,5,LINEAR_DOWN,1,165.0,0.986
2025_11_26,2,LINEAR_DOWN,1,180.0,0.988
2025_11_27,11,LINEAR_DOWN,1,195.0,0.988
2025_12_01,2,LINEAR_DOWN,1,210.0,0.993
2025_12_03,2,LINEAR_DOWN,1,240.0,0.991
2025_12_04,13,LINEAR_DOWN,1,135.0,0.992
2025_12_08,2,LINEAR_DOWN,1,180.0,0.991
2025_12_09,2,LINEAR_DOWN,1,390.0,0.998
2025_12_09,5,LINEAR_DOWN,1,150.0,0.975
2025_12_09,6,LINEAR_DOWN,1,165.0,0.983
2025_12_10,4,LINEAR_DOWN,1,195.0,0.994
2025_12_10,6,LINEAR_DOWN,1,225.0,0.983
2025_12_11,5,LINEAR_DOWN,1,180.0,0.991
2025_12_12,6,LINEAR_DOWN,1,300.03,0.992
2025_12_12,9,LINEAR_DOWN,1,210.0,0.985
2025_12_15,4,LINEAR_DOWN,1,225.0,0.993
2025_12_15,6,LINEAR_DOWN,1,314.92,0.988
