day,regime,total_pnl,n_trades,n_winners,pnl__CASCADE,pnl__FADE_AGAINST,pnl__FADE_CALM,pnl__FADE_MOMENTUM,pnl__KILL_SHOT,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__RIDE_CALM
2026_02_13,FLAT_CHOPPY,-172.5,284,69,-207.5,-24.5,-8.5,137.5,-214.5,101.5,,43.5,,
2026_03_19,FLAT_CHOPPY,-173.5,114,29,-66.0,2.0,-49.5,-3.0,-51.5,-145.0,,139.5,,
2026_02_19,FLAT_SMOOTH,-196.5,619,156,37.0,-88.5,18.0,-217.5,84.5,-64.0,22.5,11.5,,
2026_01_12,FLAT_CHOPPY,-240.0,267,82,10.0,55.0,80.0,-77.0,-137.0,-45.0,-26.5,-77.5,-22.0,
2026_02_25,UP_SMOOTH,-248.5,296,82,,0.0,39.0,-34.0,-40.0,-56.5,-78.5,-78.5,,
2026_02_26,FLAT_CHOPPY,-254.0,295,93,5.0,2.5,-5.0,-214.0,44.5,-83.0,,-4.0,,
2026_03_02,FLAT_CHOPPY,-300.0,230,62,9.5,-38.5,-8.0,-27.0,-35.5,-83.0,72.0,-235.5,46.0,
2026_01_07,FLAT_CHOPPY,-327.0,365,85,2.0,0.0,20.5,-11.5,-40.0,-152.5,-48.5,-48.5,,-48.5
2026_02_24,FLAT_CHOPPY,-370.0,611,159,11.0,22.5,50.0,-267.5,86.5,-155.0,-23.0,-48.5,,-46.0
2026_03_01,FLAT_CHOPPY,-376.5,33,5,,,-13.0,-141.5,-12.5,-209.5,,,,
2026_02_04,DOWN_CHOPPY,-399.0,139,43,42.5,18.0,21.5,-196.5,-88.5,-115.0,30.0,-41.0,-70.0,
2026_02_11,FLAT_CHOPPY,-484.5,745,175,30.0,,-42.0,-79.5,-96.5,-296.5,,,,
2026_02_23,FLAT_CHOPPY,-519.5,554,168,22.5,63.5,122.5,-222.5,170.5,-0.5,-276.5,-258.5,,-140.5
2026_02_02,UP_SMOOTH,-538.5,80,22,0.0,-56.5,15.0,-18.5,-10.0,-29.0,,-439.5,,
2026_01_08,FLAT_CHOPPY,-565.0,505,127,-16.5,-41.5,-26.0,151.0,-195.5,-126.5,-155.0,-155.0,,
2026_02_27,FLAT_CHOPPY,-602.5,313,86,50.0,-93.0,-86.5,-165.5,-15.0,-174.0,,-118.5,,
2026_01_09,UP_SMOOTH,-607.0,389,105,-25.0,28.5,-11.0,-192.5,-10.5,-93.0,-39.5,-264.0,,
2026_01_23,FLAT_CHOPPY,-615.5,531,145,-111.0,,-78.0,-3.5,-72.5,-350.5,,,,
2026_03_05,FLAT_CHOPPY,-1068.5,315,77,-129.0,11.5,-42.5,-334.0,-130.5,-31.5,,-412.5,,
2026_02_17,FLAT_CHOPPY,-1842.0,499,128,-195.0,30.0,72.0,31.5,-226.0,60.5,-636.5,-767.0,88.0,-299.5
