**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

X,Y,tfX,tfY,regime_2d,n,pearson
price_velocity_w,price_sigma_w,15s,1D,UP_CHOPPY,3924,0.031098016700459526
price_velocity_w,price_sigma_w,15s,1D,DOWN_SMOOTH,4662,-0.017826402600218123
price_velocity_w,price_sigma_w,15s,1D,DOWN_CHOPPY,2988,0.01181550485075859
price_velocity_w,price_sigma_w,15s,1D,FLAT_SMOOTH,9402,0.0015187652618288453
price_velocity_w,price_sigma_w,15s,1D,FLAT_CHOPPY,18135,-0.019924218054200332
price_velocity_w,price_sigma_w,1m,5s,ALL,46925,-0.04328346020337679
price_velocity_w,price_sigma_w,1m,5s,UP_SMOOTH,7146,0.2887951123685336
price_velocity_w,price_sigma_w,1m,5s,UP_CHOPPY,3924,0.008548848789225813
price_velocity_w,price_sigma_w,1m,5s,DOWN_SMOOTH,4662,-0.29512514966409087
price_velocity_w,price_sigma_w,1m,5s,DOWN_CHOPPY,2988,-0.17057447433033565
price_velocity_w,price_sigma_w,1m,5s,FLAT_SMOOTH,9890,-0.10891134018216883
price_velocity_w,price_sigma_w,1m,5s,FLAT_CHOPPY,18315,-0.09307779494274565
price_velocity_w,price_sigma_w,1m,15s,ALL,46925,-0.005932966428899131
price_velocity_w,price_sigma_w,1m,15s,UP_SMOOTH,7146,0.3849225683690747
price_velocity_w,price_sigma_w,1m,15s,UP_CHOPPY,3924,0.18941447590732569
price_velocity_w,price_sigma_w,1m,15s,DOWN_SMOOTH,4662,-0.29396187798924556
price_velocity_w,price_sigma_w,1m,15s,DOWN_CHOPPY,2988,-0.15284072417490685
price_velocity_w,price_sigma_w,1m,15s,FLAT_SMOOTH,9890,-0.11635236005642745
price_velocity_w,price_sigma_w,1m,15s,FLAT_CHOPPY,18315,-0.10852083813058293
price_velocity_w,price_sigma_w,1m,1m,ALL,46925,0.03034094778762428
price_velocity_w,price_sigma_w,1m,1m,UP_SMOOTH,7146,0.5348318225482102
price_velocity_w,price_sigma_w,1m,1m,UP_CHOPPY,3924,0.25755656034634167
price_velocity_w,price_sigma_w,1m,1m,DOWN_SMOOTH,4662,-0.4984958864675234
price_velocity_w,price_sigma_w,1m,1m,DOWN_CHOPPY,2988,-0.2540688256245609
price_velocity_w,price_sigma_w,1m,1m,FLAT_SMOOTH,9890,0.1849997016553371
price_velocity_w,price_sigma_w,1m,1m,FLAT_CHOPPY,18315,-0.12975272548863803
price_velocity_w,price_sigma_w,1m,5m,ALL,46920,0.031993480120028644
price_velocity_w,price_sigma_w,1m,5m,UP_SMOOTH,7146,0.4453287178902599
price_velocity_w,price_sigma_w,1m,5m,UP_CHOPPY,3924,0.20246635774002147
price_velocity_w,price_sigma_w,1m,5m,DOWN_SMOOTH,4662,-0.3652401770104335
price_velocity_w,price_sigma_w,1m,5m,DOWN_CHOPPY,2988,-0.18619889781688204
price_velocity_w,price_sigma_w,1m,5m,FLAT_SMOOTH,9885,0.1521773403423094
price_velocity_w,price_sigma_w,1m,5m,FLAT_CHOPPY,18315,-0.09773828698781652
price_velocity_w,price_sigma_w,1m,15m,ALL,46893,0.023202815927764315
price_velocity_w,price_sigma_w,1m,15m,UP_SMOOTH,7146,0.18239095300443336
price_velocity_w,price_sigma_w,1m,15m,UP_CHOPPY,3924,0.06654774686819181
price_velocity_w,price_sigma_w,1m,15m,DOWN_SMOOTH,4662,-0.07412321254173765
price_velocity_w,price_sigma_w,1m,15m,DOWN_CHOPPY,2988,-0.07554338057054832
price_velocity_w,price_sigma_w,1m,15m,FLAT_SMOOTH,9858,0.017206136321022487
price_velocity_w,price_sigma_w,1m,15m,FLAT_CHOPPY,18315,-0.01713604622123754
price_velocity_w,price_sigma_w,1m,1h,ALL,46785,0.002575587772415956
price_velocity_w,price_sigma_w,1m,1h,UP_SMOOTH,7146,0.009694912255091335
price_velocity_w,price_sigma_w,1m,1h,UP_CHOPPY,3924,0.05658312519640507
price_velocity_w,price_sigma_w,1m,1h,DOWN_SMOOTH,4662,-0.037601957903847884
price_velocity_w,price_sigma_w,1m,1h,DOWN_CHOPPY,2988,0.03274894477843303
price_velocity_w,price_sigma_w,1m,1h,FLAT_SMOOTH,9750,0.008086049314514046
price_velocity_w,price_sigma_w,1m,1h,FLAT_CHOPPY,18315,0.0006098130670470619
price_velocity_w,price_sigma_w,1m,4h,ALL,46089,0.006992186431213331
price_velocity_w,price_sigma_w,1m,4h,UP_SMOOTH,6978,0.044195110880192824
price_velocity_w,price_sigma_w,1m,4h,UP_CHOPPY,3924,0.0713578778304068
price_velocity_w,price_sigma_w,1m,4h,DOWN_SMOOTH,4662,-0.07437253739618874
price_velocity_w,price_sigma_w,1m,4h,DOWN_CHOPPY,2988,-0.006134437881359539
price_velocity_w,price_sigma_w,1m,4h,FLAT_SMOOTH,9402,0.008310781996743776
price_velocity_w,price_sigma_w,1m,4h,FLAT_CHOPPY,18135,-0.011269366557690194
price_velocity_w,price_sigma_w,1m,1D,ALL,46089,0.006680380751337172
price_velocity_w,price_sigma_w,1m,1D,UP_SMOOTH,6978,0.07089300838504785
price_velocity_w,price_sigma_w,1m,1D,UP_CHOPPY,3924,0.0734905588359275
price_velocity_w,price_sigma_w,1m,1D,DOWN_SMOOTH,4662,-0.051432974357330026
price_velocity_w,price_sigma_w,1m,1D,DOWN_CHOPPY,2988,-0.02048400707052626
price_velocity_w,price_sigma_w,1m,1D,FLAT_SMOOTH,9402,0.00015357438367947495
price_velocity_w,price_sigma_w,1m,1D,FLAT_CHOPPY,18135,-0.016242161104083132
price_velocity_w,price_sigma_w,5m,5s,ALL,46919,-0.032136494118730353
price_velocity_w,price_sigma_w,5m,5s,UP_SMOOTH,7146,0.35633697395743386
price_velocity_w,price_sigma_w,5m,5s,UP_CHOPPY,3924,0.16927120161191395
price_velocity_w,price_sigma_w,5m,5s,DOWN_SMOOTH,4662,-0.34626293615349196
price_velocity_w,price_sigma_w,5m,5s,DOWN_CHOPPY,2988,-0.20239061207652298
price_velocity_w,price_sigma_w,5m,5s,FLAT_SMOOTH,9884,-0.13039999575572492
price_velocity_w,price_sigma_w,5m,5s,FLAT_CHOPPY,18315,-0.13578428669470458
price_velocity_w,price_sigma_w,5m,15s,ALL,46919,-0.005924459669070491
price_velocity_w,price_sigma_w,5m,15s,UP_SMOOTH,7146,0.41049662704889056
price_velocity_w,price_sigma_w,5m,15s,UP_CHOPPY,3924,0.3731238737687935
price_velocity_w,price_sigma_w,5m,15s,DOWN_SMOOTH,4662,-0.3772867173332685
price_velocity_w,price_sigma_w,5m,15s,DOWN_CHOPPY,2988,-0.18146053891216873
price_velocity_w,price_sigma_w,5m,15s,FLAT_SMOOTH,9884,-0.13711550597857933
price_velocity_w,price_sigma_w,5m,15s,FLAT_CHOPPY,18315,-0.14160353377163248
price_velocity_w,price_sigma_w,5m,1m,ALL,46919,0.010413642010759304
price_velocity_w,price_sigma_w,5m,1m,UP_SMOOTH,7146,0.4945285464167001
price_velocity_w,price_sigma_w,5m,1m,UP_CHOPPY,3924,0.3908668125250924
price_velocity_w,price_sigma_w,5m,1m,DOWN_SMOOTH,4662,-0.44180677665644713
price_velocity_w,price_sigma_w,5m,1m,DOWN_CHOPPY,2988,-0.2604094971279928
price_velocity_w,price_sigma_w,5m,1m,FLAT_SMOOTH,9884,0.0652916146419432
price_velocity_w,price_sigma_w,5m,1m,FLAT_CHOPPY,18315,-0.17143543765382677
price_velocity_w,price_sigma_w,5m,5m,ALL,46919,0.04865024371073737
price_velocity_w,price_sigma_w,5m,5m,UP_SMOOTH,7146,0.7033909717447502
price_velocity_w,price_sigma_w,5m,5m,UP_CHOPPY,3924,0.4243185451486272
price_velocity_w,price_sigma_w,5m,5m,DOWN_SMOOTH,4662,-0.6241671360312651
price_velocity_w,price_sigma_w,5m,5m,DOWN_CHOPPY,2988,-0.3550620419441491
price_velocity_w,price_sigma_w,5m,5m,FLAT_SMOOTH,9884,0.2464246861464045
price_velocity_w,price_sigma_w,5m,5m,FLAT_CHOPPY,18315,-0.1762831987663704
price_velocity_w,price_sigma_w,5m,15m,ALL,46893,0.04268921162325247
price_velocity_w,price_sigma_w,5m,15m,UP_SMOOTH,7146,0.40322926045298246
price_velocity_w,price_sigma_w,5m,15m,UP_CHOPPY,3924,0.20828981663392995
price_velocity_w,price_sigma_w,5m,15m,DOWN_SMOOTH,4662,-0.27429137920853075
price_velocity_w,price_sigma_w,5m,15m,DOWN_CHOPPY,2988,-0.2211539835190383
price_velocity_w,price_sigma_w,5m,15m,FLAT_SMOOTH,9858,0.09723098442172765
price_velocity_w,price_sigma_w,5m,15m,FLAT_CHOPPY,18315,-0.07504224997114319
price_velocity_w,price_sigma_w,5m,1h,ALL,46785,0.0032046945978626965
price_velocity_w,price_sigma_w,5m,1h,UP_SMOOTH,7146,0.03908278861584376
price_velocity_w,price_sigma_w,5m,1h,UP_CHOPPY,3924,0.1081020072984197
price_velocity_w,price_sigma_w,5m,1h,DOWN_SMOOTH,4662,-0.07772650473151184
price_velocity_w,price_sigma_w,5m,1h,DOWN_CHOPPY,2988,0.0271493410179365
price_velocity_w,price_sigma_w,5m,1h,FLAT_SMOOTH,9750,0.007189482362068573
price_velocity_w,price_sigma_w,5m,1h,FLAT_CHOPPY,18315,-0.00914496116589508
price_velocity_w,price_sigma_w,5m,4h,ALL,46089,0.011565571822845582
price_velocity_w,price_sigma_w,5m,4h,UP_SMOOTH,6978,0.07389237014260268
price_velocity_w,price_sigma_w,5m,4h,UP_CHOPPY,3924,0.13123256790015259
price_velocity_w,price_sigma_w,5m,4h,DOWN_SMOOTH,4662,-0.11883175753058876
price_velocity_w,price_sigma_w,5m,4h,DOWN_CHOPPY,2988,-0.002190135307274108
price_velocity_w,price_sigma_w,5m,4h,FLAT_SMOOTH,9402,0.01575306480225933
price_velocity_w,price_sigma_w,5m,4h,FLAT_CHOPPY,18135,-0.020645772659141484
price_velocity_w,price_sigma_w,5m,1D,ALL,46089,0.011606004331784658
price_velocity_w,price_sigma_w,5m,1D,UP_SMOOTH,6978,0.1141790929874053
price_velocity_w,price_sigma_w,5m,1D,UP_CHOPPY,3924,0.13724582967214768
price_velocity_w,price_sigma_w,5m,1D,DOWN_SMOOTH,4662,-0.07519496374110096
price_velocity_w,price_sigma_w,5m,1D,DOWN_CHOPPY,2988,-0.03130804733411203
price_velocity_w,price_sigma_w,5m,1D,FLAT_SMOOTH,9402,0.0037330167918749485
price_velocity_w,price_sigma_w,5m,1D,FLAT_CHOPPY,18135,-0.02968726470207339
price_velocity_w,price_sigma_w,15m,5s,ALL,46890,-0.05335793168087994
price_velocity_w,price_sigma_w,15m,5s,UP_SMOOTH,7146,0.33693824214725643
price_velocity_w,price_sigma_w,15m,5s,UP_CHOPPY,3924,0.23077962117278764
price_velocity_w,price_sigma_w,15m,5s,DOWN_SMOOTH,4662,-0.40484630393696347
price_velocity_w,price_sigma_w,15m,5s,DOWN_CHOPPY,2988,-0.25682297407474775
price_velocity_w,price_sigma_w,15m,5s,FLAT_SMOOTH,9855,-0.11768807755322222
price_velocity_w,price_sigma_w,15m,5s,FLAT_CHOPPY,18315,-0.19189397863133498
price_velocity_w,price_sigma_w,15m,15s,ALL,46890,-0.044994545156617494
price_velocity_w,price_sigma_w,15m,15s,UP_SMOOTH,7146,0.37145274576567566
price_velocity_w,price_sigma_w,15m,15s,UP_CHOPPY,3924,0.3260054881525249
price_velocity_w,price_sigma_w,15m,15s,DOWN_SMOOTH,4662,-0.44274934721162573
price_velocity_w,price_sigma_w,15m,15s,DOWN_CHOPPY,2988,-0.23807666846214934
price_velocity_w,price_sigma_w,15m,15s,FLAT_SMOOTH,9855,-0.13884799312546275
price_velocity_w,price_sigma_w,15m,15s,FLAT_CHOPPY,18315,-0.182806179105017
price_velocity_w,price_sigma_w,15m,1m,ALL,46890,-0.05204308291249247
price_velocity_w,price_sigma_w,15m,1m,UP_SMOOTH,7146,0.35801568731997985
price_velocity_w,price_sigma_w,15m,1m,UP_CHOPPY,3924,0.3210424265734648
price_velocity_w,price_sigma_w,15m,1m,DOWN_SMOOTH,4662,-0.3850090525214729
price_velocity_w,price_sigma_w,15m,1m,DOWN_CHOPPY,2988,-0.27741977460580436
price_velocity_w,price_sigma_w,15m,1m,FLAT_SMOOTH,9855,-0.07635627760877811
price_velocity_w,price_sigma_w,15m,1m,FLAT_CHOPPY,18315,-0.21192976969336322
price_velocity_w,price_sigma_w,15m,5m,ALL,46890,-0.03334954472136197
price_velocity_w,price_sigma_w,15m,5m,UP_SMOOTH,7146,0.46908301465152424
price_velocity_w,price_sigma_w,15m,5m,UP_CHOPPY,3924,0.37572456562965806
price_velocity_w,price_sigma_w,15m,5m,DOWN_SMOOTH,4662,-0.5301246004374712
price_velocity_w,price_sigma_w,15m,5m,DOWN_CHOPPY,2988,-0.37190529178770354
price_velocity_w,price_sigma_w,15m,5m,FLAT_SMOOTH,9855,0.06486823848277125
price_velocity_w,price_sigma_w,15m,5m,FLAT_CHOPPY,18315,-0.2313609584983557
price_velocity_w,price_sigma_w,15m,15m,ALL,46890,0.07265250819830597
price_velocity_w,price_sigma_w,15m,15m,UP_SMOOTH,7146,0.8461087583218552
price_velocity_w,price_sigma_w,15m,15m,UP_CHOPPY,3924,0.5610852820580607
price_velocity_w,price_sigma_w,15m,15m,DOWN_SMOOTH,4662,-0.8077892226610973
price_velocity_w,price_sigma_w,15m,15m,DOWN_CHOPPY,2988,-0.5823924532468632
price_velocity_w,price_sigma_w,15m,15m,FLAT_SMOOTH,9855,0.32416622498169884
price_velocity_w,price_sigma_w,15m,15m,FLAT_CHOPPY,18315,-0.25928527606882107
price_velocity_w,price_sigma_w,15m,1h,ALL,46785,0.03413768821814826
price_velocity_w,price_sigma_w,15m,1h,UP_SMOOTH,7146,0.2947485054166714
price_velocity_w,price_sigma_w,15m,1h,UP_CHOPPY,3924,0.3058202951493726
price_velocity_w,price_sigma_w,15m,1h,DOWN_SMOOTH,4662,-0.3650955313405665
price_velocity_w,price_sigma_w,15m,1h,DOWN_CHOPPY,2988,-0.18755498347895855
price_velocity_w,price_sigma_w,15m,1h,FLAT_SMOOTH,9750,0.12980198530610537
price_velocity_w,price_sigma_w,15m,1h,FLAT_CHOPPY,18315,-0.10020762743394145
price_velocity_w,price_sigma_w,15m,4h,ALL,46089,0.020628057640163653
price_velocity_w,price_sigma_w,15m,4h,UP_SMOOTH,6978,0.1724841962002686
price_velocity_w,price_sigma_w,15m,4h,UP_CHOPPY,3924,0.2868649146322612
price_velocity_w,price_sigma_w,15m,4h,DOWN_SMOOTH,4662,-0.2646178151134419
price_velocity_w,price_sigma_w,15m,4h,DOWN_CHOPPY,2988,-0.04207761622563071
price_velocity_w,price_sigma_w,15m,4h,FLAT_SMOOTH,9402,0.03407909591179548
price_velocity_w,price_sigma_w,15m,4h,FLAT_CHOPPY,18135,-0.04789212636500797
price_velocity_w,price_sigma_w,15m,1D,ALL,46089,0.014703963128854405
price_velocity_w,price_sigma_w,15m,1D,UP_SMOOTH,6978,0.22351164351071623
price_velocity_w,price_sigma_w,15m,1D,UP_CHOPPY,3924,0.2871646048963189
price_velocity_w,price_sigma_w,15m,1D,DOWN_SMOOTH,4662,-0.19207248537942379
price_velocity_w,price_sigma_w,15m,1D,DOWN_CHOPPY,2988,-0.08620574512689934
price_velocity_w,price_sigma_w,15m,1D,FLAT_SMOOTH,9402,0.00583203284196288
price_velocity_w,price_sigma_w,15m,1D,FLAT_CHOPPY,18135,-0.06642670136297107
price_velocity_w,price_sigma_w,1h,5s,ALL,46773,-0.08507445809774711
price_velocity_w,price_sigma_w,1h,5s,UP_SMOOTH,7146,0.19223075442457016
price_velocity_w,price_sigma_w,1h,5s,UP_CHOPPY,3924,0.13192350718334073
price_velocity_w,price_sigma_w,1h,5s,DOWN_SMOOTH,4662,-0.37331146986143804
price_velocity_w,price_sigma_w,1h,5s,DOWN_CHOPPY,2988,-0.16004841620431773
price_velocity_w,price_sigma_w,1h,5s,FLAT_SMOOTH,9738,-0.04506564113850268
price_velocity_w,price_sigma_w,1h,5s,FLAT_CHOPPY,18315,-0.22941615639602272
price_velocity_w,price_sigma_w,1h,15s,ALL,46773,-0.09441849207321623
price_velocity_w,price_sigma_w,1h,15s,UP_SMOOTH,7146,0.18648428846889697
price_velocity_w,price_sigma_w,1h,15s,UP_CHOPPY,3924,0.12216309496082504
price_velocity_w,price_sigma_w,1h,15s,DOWN_SMOOTH,4662,-0.39974788903434155
price_velocity_w,price_sigma_w,1h,15s,DOWN_CHOPPY,2988,-0.1505400931405358
price_velocity_w,price_sigma_w,1h,15s,FLAT_SMOOTH,9738,-0.05297572133002873
price_velocity_w,price_sigma_w,1h,15s,FLAT_CHOPPY,18315,-0.2218649080663831
price_velocity_w,price_sigma_w,1h,1m,ALL,46773,-0.09551614382067179
price_velocity_w,price_sigma_w,1h,1m,UP_SMOOTH,7146,0.1607104030863575
price_velocity_w,price_sigma_w,1h,1m,UP_CHOPPY,3924,0.139459466870539
