**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

concept,tf1,tf2,regime_2d,n,pearson
price_velocity_1b,5s,1D,FLAT_CHOPPY,18315,0.008318336626378254
price_velocity_1b,15s,1m,ALL,46928,0.41066917957052357
price_velocity_1b,15s,1m,UP_SMOOTH,7146,0.4523567660590485
price_velocity_1b,15s,1m,UP_CHOPPY,3924,0.35403456729621485
price_velocity_1b,15s,1m,DOWN_SMOOTH,4662,0.45032473605495665
price_velocity_1b,15s,1m,DOWN_CHOPPY,2988,0.37359733941870354
price_velocity_1b,15s,1m,FLAT_SMOOTH,9893,0.4356739855439891
price_velocity_1b,15s,1m,FLAT_CHOPPY,18315,0.3990211194011081
price_velocity_1b,15s,5m,ALL,46927,0.14652460055061775
price_velocity_1b,15s,5m,UP_SMOOTH,7146,0.1822248802323038
price_velocity_1b,15s,5m,UP_CHOPPY,3924,0.17319221311317523
price_velocity_1b,15s,5m,DOWN_SMOOTH,4662,0.09181452195118979
price_velocity_1b,15s,5m,DOWN_CHOPPY,2988,0.15319206736211588
price_velocity_1b,15s,5m,FLAT_SMOOTH,9892,0.110294377569256
price_velocity_1b,15s,5m,FLAT_CHOPPY,18315,0.15760913253997377
price_velocity_1b,15s,15m,ALL,46923,0.03922132202288499
price_velocity_1b,15s,15m,UP_SMOOTH,7146,-0.018828959446768136
price_velocity_1b,15s,15m,UP_CHOPPY,3924,0.15625957203698418
price_velocity_1b,15s,15m,DOWN_SMOOTH,4662,-0.034338466568211753
price_velocity_1b,15s,15m,DOWN_CHOPPY,2988,0.017275921627828487
price_velocity_1b,15s,15m,FLAT_SMOOTH,9888,0.01568889436923873
price_velocity_1b,15s,15m,FLAT_CHOPPY,18315,0.06236997161443369
price_velocity_1b,15s,1h,ALL,46905,0.006748019325309429
price_velocity_1b,15s,1h,UP_SMOOTH,7146,-0.02296057740131107
price_velocity_1b,15s,1h,UP_CHOPPY,3924,-0.0549736640977765
price_velocity_1b,15s,1h,DOWN_SMOOTH,4662,0.041139267201647345
price_velocity_1b,15s,1h,DOWN_CHOPPY,2988,-0.04053886998605997
price_velocity_1b,15s,1h,FLAT_SMOOTH,9870,0.009653714596042286
price_velocity_1b,15s,1h,FLAT_CHOPPY,18315,0.024261757344134206
price_velocity_1b,15s,4h,ALL,46821,-0.001259568336019863
price_velocity_1b,15s,4h,UP_SMOOTH,7146,-0.03164767382334454
price_velocity_1b,15s,4h,UP_CHOPPY,3924,-0.032238817881916
price_velocity_1b,15s,4h,DOWN_SMOOTH,4662,0.017839032490952318
price_velocity_1b,15s,4h,DOWN_CHOPPY,2988,-0.016617680232768234
price_velocity_1b,15s,4h,FLAT_SMOOTH,9786,-0.009832357523899648
price_velocity_1b,15s,4h,FLAT_CHOPPY,18315,0.01042123242127858
price_velocity_1b,15s,1D,ALL,46641,-0.003082401255804869
price_velocity_1b,15s,1D,UP_SMOOTH,7146,0.009300236533781113
price_velocity_1b,15s,1D,UP_CHOPPY,3924,0.046921558173024284
price_velocity_1b,15s,1D,DOWN_SMOOTH,4662,-0.0030392365370823563
price_velocity_1b,15s,1D,DOWN_CHOPPY,2988,-0.005961119822363945
price_velocity_1b,15s,1D,FLAT_SMOOTH,9606,-0.009442454729139559
price_velocity_1b,15s,1D,FLAT_CHOPPY,18315,-0.019434349485051877
price_velocity_1b,1m,5m,ALL,46927,0.36860822664112997
price_velocity_1b,1m,5m,UP_SMOOTH,7146,0.4117316587958529
price_velocity_1b,1m,5m,UP_CHOPPY,3924,0.30192500179561277
price_velocity_1b,1m,5m,DOWN_SMOOTH,4662,0.4226655315993199
price_velocity_1b,1m,5m,DOWN_CHOPPY,2988,0.3976706559760348
price_velocity_1b,1m,5m,FLAT_SMOOTH,9892,0.2628052758947593
price_velocity_1b,1m,5m,FLAT_CHOPPY,18315,0.39416316441417654
price_velocity_1b,1m,15m,ALL,46923,0.05802724002507626
price_velocity_1b,1m,15m,UP_SMOOTH,7146,0.05421091373311417
price_velocity_1b,1m,15m,UP_CHOPPY,3924,0.09568332165123106
price_velocity_1b,1m,15m,DOWN_SMOOTH,4662,0.0678048820337003
price_velocity_1b,1m,15m,DOWN_CHOPPY,2988,0.053580555137964773
price_velocity_1b,1m,15m,FLAT_SMOOTH,9888,-0.002846739686006957
price_velocity_1b,1m,15m,FLAT_CHOPPY,18315,0.05931225590522421
price_velocity_1b,1m,1h,ALL,46905,-0.015659561092011724
price_velocity_1b,1m,1h,UP_SMOOTH,7146,-0.032343988416025996
price_velocity_1b,1m,1h,UP_CHOPPY,3924,-0.09555307522125325
price_velocity_1b,1m,1h,DOWN_SMOOTH,4662,-0.03472907743204163
price_velocity_1b,1m,1h,DOWN_CHOPPY,2988,0.004433271009164658
price_velocity_1b,1m,1h,FLAT_SMOOTH,9870,-0.01776338183981546
price_velocity_1b,1m,1h,FLAT_CHOPPY,18315,0.007446931340946831
price_velocity_1b,1m,4h,ALL,46821,0.007025748908412733
price_velocity_1b,1m,4h,UP_SMOOTH,7146,0.001956304003544657
price_velocity_1b,1m,4h,UP_CHOPPY,3924,-0.02864948728645596
price_velocity_1b,1m,4h,DOWN_SMOOTH,4662,0.028850219278625553
price_velocity_1b,1m,4h,DOWN_CHOPPY,2988,0.017735298209764074
price_velocity_1b,1m,4h,FLAT_SMOOTH,9786,-0.019062717208744934
price_velocity_1b,1m,4h,FLAT_CHOPPY,18315,-0.0058728093376836845
price_velocity_1b,1m,1D,ALL,46641,-0.01988206571901632
price_velocity_1b,1m,1D,UP_SMOOTH,7146,-0.03944937255897437
price_velocity_1b,1m,1D,UP_CHOPPY,3924,0.01075277430548276
price_velocity_1b,1m,1D,DOWN_SMOOTH,4662,-0.012986714025446518
price_velocity_1b,1m,1D,DOWN_CHOPPY,2988,-0.012965648626874412
price_velocity_1b,1m,1D,FLAT_SMOOTH,9606,0.0021049284772643364
price_velocity_1b,1m,1D,FLAT_CHOPPY,18315,-0.03378999039120408
price_velocity_1b,5m,15m,ALL,46923,0.15078460329798157
price_velocity_1b,5m,15m,UP_SMOOTH,7146,0.14854275441966455
price_velocity_1b,5m,15m,UP_CHOPPY,3924,0.16550527755134273
price_velocity_1b,5m,15m,DOWN_SMOOTH,4662,0.1489154478364001
price_velocity_1b,5m,15m,DOWN_CHOPPY,2988,0.13002534955321585
price_velocity_1b,5m,15m,FLAT_SMOOTH,9888,0.058621670782903604
price_velocity_1b,5m,15m,FLAT_CHOPPY,18315,0.18502403039161425
price_velocity_1b,5m,1h,ALL,46905,0.01968970442237096
price_velocity_1b,5m,1h,UP_SMOOTH,7146,0.027588539768009752
price_velocity_1b,5m,1h,UP_CHOPPY,3924,-0.015178715789468462
price_velocity_1b,5m,1h,DOWN_SMOOTH,4662,0.006772409735683462
price_velocity_1b,5m,1h,DOWN_CHOPPY,2988,-0.0052206637354904745
price_velocity_1b,5m,1h,FLAT_SMOOTH,9870,0.006791220927048027
price_velocity_1b,5m,1h,FLAT_CHOPPY,18315,0.019377727010232108
price_velocity_1b,5m,4h,ALL,46821,0.004417999757689706
price_velocity_1b,5m,4h,UP_SMOOTH,7146,-0.0020982038090886974
price_velocity_1b,5m,4h,UP_CHOPPY,3924,0.011732261896757941
price_velocity_1b,5m,4h,DOWN_SMOOTH,4662,-0.006785998249082212
price_velocity_1b,5m,4h,DOWN_CHOPPY,2988,-0.02020644936427013
price_velocity_1b,5m,4h,FLAT_SMOOTH,9786,-0.004453144886337898
price_velocity_1b,5m,4h,FLAT_CHOPPY,18315,-0.02246270173625786
price_velocity_1b,5m,1D,ALL,46641,-0.020874840299634188
price_velocity_1b,5m,1D,UP_SMOOTH,7146,-0.06123307212069502
price_velocity_1b,5m,1D,UP_CHOPPY,3924,-0.044816138879252836
price_velocity_1b,5m,1D,DOWN_SMOOTH,4662,0.014589673760071517
price_velocity_1b,5m,1D,DOWN_CHOPPY,2988,-0.010669819056303842
price_velocity_1b,5m,1D,FLAT_SMOOTH,9606,0.007680175664763781
price_velocity_1b,5m,1D,FLAT_CHOPPY,18315,-0.029001216342487025
price_velocity_1b,15m,1h,ALL,46905,0.10058690539871248
price_velocity_1b,15m,1h,UP_SMOOTH,7146,0.14319033714337762
price_velocity_1b,15m,1h,UP_CHOPPY,3924,0.05687531715163648
price_velocity_1b,15m,1h,DOWN_SMOOTH,4662,0.059124572749550984
price_velocity_1b,15m,1h,DOWN_CHOPPY,2988,0.07362662942701452
price_velocity_1b,15m,1h,FLAT_SMOOTH,9870,0.04379069151509659
price_velocity_1b,15m,1h,FLAT_CHOPPY,18315,0.10596763424184498
price_velocity_1b,15m,4h,ALL,46821,0.018731113997803406
price_velocity_1b,15m,4h,UP_SMOOTH,7146,0.009643556169367937
price_velocity_1b,15m,4h,UP_CHOPPY,3924,0.017933486876361853
price_velocity_1b,15m,4h,DOWN_SMOOTH,4662,0.0026434286027716618
price_velocity_1b,15m,4h,DOWN_CHOPPY,2988,-0.044706912844826
price_velocity_1b,15m,4h,FLAT_SMOOTH,9786,0.0066030715425067
price_velocity_1b,15m,4h,FLAT_CHOPPY,18315,-0.023088821820454457
price_velocity_1b,15m,1D,ALL,46641,-0.03223732087142472
price_velocity_1b,15m,1D,UP_SMOOTH,7146,-0.10139988499338647
price_velocity_1b,15m,1D,UP_CHOPPY,3924,-0.0658527576898204
price_velocity_1b,15m,1D,DOWN_SMOOTH,4662,0.026204253389793885
price_velocity_1b,15m,1D,DOWN_CHOPPY,2988,-0.012187874020581864
price_velocity_1b,15m,1D,FLAT_SMOOTH,9606,0.01652049495352949
price_velocity_1b,15m,1D,FLAT_CHOPPY,18315,-0.046579654613913724
price_velocity_1b,1h,4h,ALL,46821,0.12176214865340403
price_velocity_1b,1h,4h,UP_SMOOTH,7146,0.18809522120761826
price_velocity_1b,1h,4h,UP_CHOPPY,3924,0.10163956045206188
price_velocity_1b,1h,4h,DOWN_SMOOTH,4662,0.025617589774159875
price_velocity_1b,1h,4h,DOWN_CHOPPY,2988,0.007189833243189716
price_velocity_1b,1h,4h,FLAT_SMOOTH,9786,0.0810386928677951
price_velocity_1b,1h,4h,FLAT_CHOPPY,18315,0.022126748411905397
price_velocity_1b,1h,1D,ALL,46641,-0.05373242117581858
price_velocity_1b,1h,1D,UP_SMOOTH,7146,-0.17782252245334176
price_velocity_1b,1h,1D,UP_CHOPPY,3924,-0.1716221834302688
price_velocity_1b,1h,1D,DOWN_SMOOTH,4662,0.052742322197614114
price_velocity_1b,1h,1D,DOWN_CHOPPY,2988,-0.016895210217245108
price_velocity_1b,1h,1D,FLAT_SMOOTH,9606,0.07119420577016636
price_velocity_1b,1h,1D,FLAT_CHOPPY,18315,-0.07242664215634563
price_velocity_1b,4h,1D,ALL,46641,-0.022819581892997074
price_velocity_1b,4h,1D,UP_SMOOTH,7146,-0.19867097946664103
price_velocity_1b,4h,1D,UP_CHOPPY,3924,-0.2554486015860087
price_velocity_1b,4h,1D,DOWN_SMOOTH,4662,0.15030307400454013
price_velocity_1b,4h,1D,DOWN_CHOPPY,2988,0.026498212634218
price_velocity_1b,4h,1D,FLAT_SMOOTH,9606,0.19825581233650286
price_velocity_1b,4h,1D,FLAT_CHOPPY,18315,-0.05499575584509256
price_accel_1b,5s,15s,ALL,46928,-0.015017414854913447
price_accel_1b,5s,15s,UP_SMOOTH,7146,-0.07878974577639047
price_accel_1b,5s,15s,UP_CHOPPY,3924,-0.010603826328526925
price_accel_1b,5s,15s,DOWN_SMOOTH,4662,0.014765318970079561
price_accel_1b,5s,15s,DOWN_CHOPPY,2988,-0.061871156170072425
price_accel_1b,5s,15s,FLAT_SMOOTH,9893,-0.0009875473522635825
price_accel_1b,5s,15s,FLAT_CHOPPY,18315,0.0008139871937728164
price_accel_1b,5s,1m,ALL,46928,0.006753881369875147
price_accel_1b,5s,1m,UP_SMOOTH,7146,0.0697572528834252
price_accel_1b,5s,1m,UP_CHOPPY,3924,-0.01634304677949531
price_accel_1b,5s,1m,DOWN_SMOOTH,4662,-0.023777009346658943
price_accel_1b,5s,1m,DOWN_CHOPPY,2988,-0.01806959675307999
price_accel_1b,5s,1m,FLAT_SMOOTH,9893,0.005104626296341773
price_accel_1b,5s,1m,FLAT_CHOPPY,18315,0.0011950362018116672
price_accel_1b,5s,5m,ALL,46925,0.00958500477690614
price_accel_1b,5s,5m,UP_SMOOTH,7146,-0.03276647503450705
price_accel_1b,5s,5m,UP_CHOPPY,3924,0.029871652839650705
price_accel_1b,5s,5m,DOWN_SMOOTH,4662,-0.0029446133541707405
price_accel_1b,5s,5m,DOWN_CHOPPY,2988,0.02959831877533077
price_accel_1b,5s,5m,FLAT_SMOOTH,9890,0.03308979397821483
price_accel_1b,5s,5m,FLAT_CHOPPY,18315,0.012857616044961821
price_accel_1b,5s,15m,ALL,46920,0.0011439968945304302
price_accel_1b,5s,15m,UP_SMOOTH,7146,0.021112469795849347
price_accel_1b,5s,15m,UP_CHOPPY,3924,0.04968865141638089
price_accel_1b,5s,15m,DOWN_SMOOTH,4662,0.025509657609028718
price_accel_1b,5s,15m,DOWN_CHOPPY,2988,0.005058034604949578
price_accel_1b,5s,15m,FLAT_SMOOTH,9885,-0.014572214061308
price_accel_1b,5s,15m,FLAT_CHOPPY,18315,-0.025349356408617133
price_accel_1b,5s,1h,ALL,46893,-0.007627122749615024
price_accel_1b,5s,1h,UP_SMOOTH,7146,-0.07695269958703568
price_accel_1b,5s,1h,UP_CHOPPY,3924,9.783322075373148e-05
price_accel_1b,5s,1h,DOWN_SMOOTH,4662,-0.003246178077530895
price_accel_1b,5s,1h,DOWN_CHOPPY,2988,0.008856875522198987
price_accel_1b,5s,1h,FLAT_SMOOTH,9858,0.011062957142262806
price_accel_1b,5s,1h,FLAT_CHOPPY,18315,0.013327601414262827
price_accel_1b,5s,4h,ALL,46773,-0.0011104233160981762
price_accel_1b,5s,4h,UP_SMOOTH,7146,0.004005804961800523
price_accel_1b,5s,4h,UP_CHOPPY,3924,-0.005233695286274311
price_accel_1b,5s,4h,DOWN_SMOOTH,4662,0.0030242289629965136
price_accel_1b,5s,4h,DOWN_CHOPPY,2988,-0.0011338391404064091
price_accel_1b,5s,4h,FLAT_SMOOTH,9738,-0.01712708307119918
price_accel_1b,5s,4h,FLAT_CHOPPY,18315,-0.0014332966576623854
price_accel_1b,5s,1D,ALL,46377,0.002018050144452649
price_accel_1b,5s,1D,UP_SMOOTH,6978,-0.026364236229260325
price_accel_1b,5s,1D,UP_CHOPPY,3924,-0.031119322206265124
price_accel_1b,5s,1D,DOWN_SMOOTH,4662,0.0012197411701225346
price_accel_1b,5s,1D,DOWN_CHOPPY,2988,0.005413166299208248
price_accel_1b,5s,1D,FLAT_SMOOTH,9510,-0.0073847133888176025
price_accel_1b,5s,1D,FLAT_CHOPPY,18315,0.016726386946238615
price_accel_1b,15s,1m,ALL,46928,-0.08317732948516539
price_accel_1b,15s,1m,UP_SMOOTH,7146,-0.1085365236498129
price_accel_1b,15s,1m,UP_CHOPPY,3924,-0.3005457870578456
price_accel_1b,15s,1m,DOWN_SMOOTH,4662,-0.011320668150555378
price_accel_1b,15s,1m,DOWN_CHOPPY,2988,-0.09311423331725456
price_accel_1b,15s,1m,FLAT_SMOOTH,9893,-0.000592959683265332
price_accel_1b,15s,1m,FLAT_CHOPPY,18315,-0.034129750952842035
price_accel_1b,15s,5m,ALL,46925,-0.03591019832581312
price_accel_1b,15s,5m,UP_SMOOTH,7146,-0.009664370070746515
price_accel_1b,15s,5m,UP_CHOPPY,3924,-0.061551136833558305
price_accel_1b,15s,5m,DOWN_SMOOTH,4662,-0.0518048997711732
price_accel_1b,15s,5m,DOWN_CHOPPY,2988,-0.010618490916368436
price_accel_1b,15s,5m,FLAT_SMOOTH,9890,-0.010590439973985637
price_accel_1b,15s,5m,FLAT_CHOPPY,18315,-0.043892419460634755
price_accel_1b,15s,15m,ALL,46920,-0.01588265786215756
price_accel_1b,15s,15m,UP_SMOOTH,7146,-0.02042457895813245
price_accel_1b,15s,15m,UP_CHOPPY,3924,-0.04331323343618128
price_accel_1b,15s,15m,DOWN_SMOOTH,4662,-0.05417788202120031
price_accel_1b,15s,15m,DOWN_CHOPPY,2988,-0.03734442879556709
price_accel_1b,15s,15m,FLAT_SMOOTH,9885,-0.0009510061170001206
price_accel_1b,15s,15m,FLAT_CHOPPY,18315,0.007326846353677503
price_accel_1b,15s,1h,ALL,46893,0.027401263119158335
price_accel_1b,15s,1h,UP_SMOOTH,7146,0.06999383206790055
price_accel_1b,15s,1h,UP_CHOPPY,3924,0.019958786006311242
price_accel_1b,15s,1h,DOWN_SMOOTH,4662,0.0747474447637802
price_accel_1b,15s,1h,DOWN_CHOPPY,2988,-0.016669043508031424
price_accel_1b,15s,1h,FLAT_SMOOTH,9858,0.031387708356359574
price_accel_1b,15s,1h,FLAT_CHOPPY,18315,-0.0008311337561132555
price_accel_1b,15s,4h,ALL,46773,-0.005307564897287923
price_accel_1b,15s,4h,UP_SMOOTH,7146,-0.0525587118234735
price_accel_1b,15s,4h,UP_CHOPPY,3924,0.012992927090825536
price_accel_1b,15s,4h,DOWN_SMOOTH,4662,-0.0020806280538996323
price_accel_1b,15s,4h,DOWN_CHOPPY,2988,-0.022604335044878698
price_accel_1b,15s,4h,FLAT_SMOOTH,9738,0.0066285037420972005
price_accel_1b,15s,4h,FLAT_CHOPPY,18315,0.013959778026786293
price_accel_1b,15s,1D,ALL,46377,0.010919806394542124
price_accel_1b,15s,1D,UP_SMOOTH,6978,0.07878979139395474
price_accel_1b,15s,1D,UP_CHOPPY,3924,0.016449075421403846
price_accel_1b,15s,1D,DOWN_SMOOTH,4662,0.013354267788679812
price_accel_1b,15s,1D,DOWN_CHOPPY,2988,-0.008826645467978457
price_accel_1b,15s,1D,FLAT_SMOOTH,9510,-0.0030525431146214846
price_accel_1b,15s,1D,FLAT_CHOPPY,18315,-0.008835210947643824
price_accel_1b,1m,5m,ALL,46925,-0.013168292172981705
price_accel_1b,1m,5m,UP_SMOOTH,7146,0.03677998108716454
price_accel_1b,1m,5m,UP_CHOPPY,3924,-0.22657071262693362
price_accel_1b,1m,5m,DOWN_SMOOTH,4662,0.15245759198744419
price_accel_1b,1m,5m,DOWN_CHOPPY,2988,0.02269480845953014
price_accel_1b,1m,5m,FLAT_SMOOTH,9890,-0.027266309759923488
price_accel_1b,1m,5m,FLAT_CHOPPY,18315,-0.014083961810916984
price_accel_1b,1m,15m,ALL,46920,0.012085463371912174
price_accel_1b,1m,15m,UP_SMOOTH,7146,0.09639206435589265
price_accel_1b,1m,15m,UP_CHOPPY,3924,0.04623195302098572
price_accel_1b,1m,15m,DOWN_SMOOTH,4662,0.00036083864450821464
price_accel_1b,1m,15m,DOWN_CHOPPY,2988,-0.01044388832205648
price_accel_1b,1m,15m,FLAT_SMOOTH,9885,-0.025518737352026352
price_accel_1b,1m,15m,FLAT_CHOPPY,18315,-0.018649243896775986
price_accel_1b,1m,1h,ALL,46893,-0.011376891536439011
price_accel_1b,1m,1h,UP_SMOOTH,7146,-0.04825650269431844
price_accel_1b,1m,1h,UP_CHOPPY,3924,-0.03480779059248107
price_accel_1b,1m,1h,DOWN_SMOOTH,4662,-0.0020101309914626457
price_accel_1b,1m,1h,DOWN_CHOPPY,2988,0.03422869063553699
price_accel_1b,1m,1h,FLAT_SMOOTH,9858,-0.005297244572631151
price_accel_1b,1m,1h,FLAT_CHOPPY,18315,0.0035317881117098294
price_accel_1b,1m,4h,ALL,46773,0.01631631636643441
price_accel_1b,1m,4h,UP_SMOOTH,7146,0.04070390437786695
price_accel_1b,1m,4h,UP_CHOPPY,3924,-0.011305799937364143
price_accel_1b,1m,4h,DOWN_SMOOTH,4662,0.05101470807225904
price_accel_1b,1m,4h,DOWN_CHOPPY,2988,0.020588542541540383
price_accel_1b,1m,4h,FLAT_SMOOTH,9738,0.007416413489568801
price_accel_1b,1m,4h,FLAT_CHOPPY,18315,-0.0001326487266999147
price_accel_1b,1m,1D,ALL,46377,-0.018412274770894774
price_accel_1b,1m,1D,UP_SMOOTH,6978,-0.03606933760604422
price_accel_1b,1m,1D,UP_CHOPPY,3924,-0.0040256614377239324
price_accel_1b,1m,1D,DOWN_SMOOTH,4662,-0.01700321404098088
price_accel_1b,1m,1D,DOWN_CHOPPY,2988,-0.0018932089767889537
price_accel_1b,1m,1D,FLAT_SMOOTH,9510,0.018006176276847814
price_accel_1b,1m,1D,FLAT_CHOPPY,18315,-0.023728491995898143
price_accel_1b,5m,15m,ALL,46920,-0.0884744805084672
price_accel_1b,5m,15m,UP_SMOOTH,7146,-0.12544305523191
price_accel_1b,5m,15m,UP_CHOPPY,3924,-0.10206233886848631
price_accel_1b,5m,15m,DOWN_SMOOTH,4662,-0.06653392930311419
price_accel_1b,5m,15m,DOWN_CHOPPY,2988,-0.06490457168604663
price_accel_1b,5m,15m,FLAT_SMOOTH,9885,-0.0576817567587693
price_accel_1b,5m,15m,FLAT_CHOPPY,18315,-0.09506593909261009
price_accel_1b,5m,1h,ALL,46893,-0.013098843433388784
price_accel_1b,5m,1h,UP_SMOOTH,7146,-0.018057957998575253
price_accel_1b,5m,1h,UP_CHOPPY,3924,-0.024548225245607163
price_accel_1b,5m,1h,DOWN_SMOOTH,4662,0.0012891453763104986
price_accel_1b,5m,1h,DOWN_CHOPPY,2988,-0.025143945744081457
price_accel_1b,5m,1h,FLAT_SMOOTH,9858,0.0021185335903066787
price_accel_1b,5m,1h,FLAT_CHOPPY,18315,-0.018214612370954678
price_accel_1b,5m,4h,ALL,46773,-0.0034593289134400187
price_accel_1b,5m,4h,UP_SMOOTH,7146,0.00019428314421679357
price_accel_1b,5m,4h,UP_CHOPPY,3924,-0.0015377436945596438
price_accel_1b,5m,4h,DOWN_SMOOTH,4662,-0.0029716500821714295
price_accel_1b,5m,4h,DOWN_CHOPPY,2988,-0.000132634461037424
price_accel_1b,5m,4h,FLAT_SMOOTH,9738,-0.0030616013535194856
price_accel_1b,5m,4h,FLAT_CHOPPY,18315,-0.006816518717658558
price_accel_1b,5m,1D,ALL,46377,-0.0007633273164937376
price_accel_1b,5m,1D,UP_SMOOTH,6978,0.0021474122436399806
price_accel_1b,5m,1D,UP_CHOPPY,3924,-0.002684205224601456
price_accel_1b,5m,1D,DOWN_SMOOTH,4662,-0.0017562470179200592
price_accel_1b,5m,1D,DOWN_CHOPPY,2988,-0.003527751913257003
price_accel_1b,5m,1D,FLAT_SMOOTH,9510,0.0003772936802472014
price_accel_1b,5m,1D,FLAT_CHOPPY,18315,-0.0011543862828011886
price_accel_1b,15m,1h,ALL,46893,-0.06147828744460358
price_accel_1b,15m,1h,UP_SMOOTH,7146,-0.06776522137288589
price_accel_1b,15m,1h,UP_CHOPPY,3924,0.01952969884807903
price_accel_1b,15m,1h,DOWN_SMOOTH,4662,-0.05385944410358989
price_accel_1b,15m,1h,DOWN_CHOPPY,2988,-0.0982054031972535
price_accel_1b,15m,1h,FLAT_SMOOTH,9858,-0.04404574500791221
price_accel_1b,15m,1h,FLAT_CHOPPY,18315,-0.09180611737995462
price_accel_1b,15m,4h,ALL,46773,-0.0019801042898795022
price_accel_1b,15m,4h,UP_SMOOTH,7146,-0.0021213018944169757
price_accel_1b,15m,4h,UP_CHOPPY,3924,0.023687195065336484
price_accel_1b,15m,4h,DOWN_SMOOTH,4662,-0.0009674365814793603
price_accel_1b,15m,4h,DOWN_CHOPPY,2988,-0.010159458580389169
price_accel_1b,15m,4h,FLAT_SMOOTH,9738,-0.006168221029645465
price_accel_1b,15m,4h,FLAT_CHOPPY,18315,-0.006254857556467256
price_accel_1b,15m,1D,ALL,46377,-1.29890749145245e-05
price_accel_1b,15m,1D,UP_SMOOTH,6978,0.0014905111207817105
price_accel_1b,15m,1D,UP_CHOPPY,3924,0.003315717986086894
price_accel_1b,15m,1D,DOWN_SMOOTH,4662,-0.0008250079104356464
price_accel_1b,15m,1D,DOWN_CHOPPY,2988,-0.0005088451093331898
price_accel_1b,15m,1D,FLAT_SMOOTH,9510,-0.0008339839965232109
