tf,X,q_z,n,corr_x_fwd
1m,vol_mean_w,1,9380,-0.006156224257784252
1m,vol_mean_w,2,9383,-0.016744918318462355
1m,vol_mean_w,3,9382,0.02917688589635753
1m,vol_mean_w,4,9384,-0.0006642130268186761
1m,vol_sigma_w,0,9384,0.00568658340639196
1m,vol_sigma_w,1,9380,-0.011218409317497933
1m,vol_sigma_w,2,9383,-0.02201521234800992
1m,vol_sigma_w,3,9382,0.028333739012103565
1m,vol_sigma_w,4,9384,-0.0001926834285853244
1m,vwap_w,0,9384,-0.006979979949700234
1m,vwap_w,1,9380,-0.01457329632281293
1m,vwap_w,2,9383,0.00378772425553449
1m,vwap_w,3,9382,-0.03458532732132905
1m,vwap_w,4,9384,-0.011732026356116244
1m,z_high_w,0,9384,0.012563242882004744
1m,z_high_w,1,9380,-0.020246542404696585
1m,z_high_w,2,9383,-0.012498374993697813
1m,z_high_w,3,9382,-0.005592570714631224
1m,z_high_w,4,9384,0.006439947026239483
1m,z_low_w,0,9384,0.007019175054674878
1m,z_low_w,1,9380,-0.01892530690159537
1m,z_low_w,2,9383,-0.006367735753051656
1m,z_low_w,3,9382,0.013219241073983808
1m,z_low_w,4,9384,-0.020436497983480965
1m,SE_high_w,0,9384,0.022694659736340113
1m,SE_high_w,1,9380,-0.02121541426977687
1m,SE_high_w,2,9383,0.007289406486218218
1m,SE_high_w,3,9382,0.04734603743983234
1m,SE_high_w,4,9384,0.007636277402542704
1m,SE_low_w,0,9384,0.013543898453212164
1m,SE_low_w,1,9380,-0.022750336272626112
1m,SE_low_w,2,9383,0.004747086790775418
1m,SE_low_w,3,9382,0.04616416571548913
1m,SE_low_w,4,9384,-0.01245781052395899
1m,hurst_w,0,9384,-0.011332595863673566
1m,hurst_w,1,9380,0.009033567366302737
1m,hurst_w,2,9383,0.001810631741300379
1m,hurst_w,3,9382,0.0022909991421324843
1m,hurst_w,4,9384,0.0011543904478681383
1m,reversion_prob_w,0,9384,0.016403435423106717
1m,reversion_prob_w,1,9380,0.0017415194129847518
1m,reversion_prob_w,2,9383,-0.004097149487493408
1m,reversion_prob_w,3,9382,-0.009240509477206449
1m,reversion_prob_w,4,9384,-0.024526609902959077
1m,swing_noise_w,0,9384,0.030466119703540455
1m,swing_noise_w,1,9379,-0.012830700763054034
1m,swing_noise_w,2,9383,0.026576338614777234
1m,swing_noise_w,3,9381,0.03136084257867825
1m,swing_noise_w,4,9384,0.013806732515118918
5m,price_velocity_1b,0,9382,0.026526913845052208
5m,price_velocity_1b,1,9384,-0.03120669939640415
5m,price_velocity_1b,2,9380,0.00456080282129151
5m,price_velocity_1b,3,9383,0.012032379298569783
5m,price_velocity_1b,4,9379,0.020729007195677784
5m,price_accel_1b,0,9382,0.009889427489451492
5m,price_accel_1b,1,9384,-0.028525230149717393
5m,price_accel_1b,2,9380,0.009564204750459071
5m,price_accel_1b,3,9383,0.01549383806555948
5m,price_accel_1b,4,9379,0.007955268853106776
5m,vol_velocity_1b,0,9382,-0.0035266093128108367
5m,vol_velocity_1b,1,9384,-0.0021125905155958877
5m,vol_velocity_1b,2,9380,0.004043967631474622
5m,vol_velocity_1b,3,9383,0.017736683808957914
5m,vol_velocity_1b,4,9379,0.009065093007140885
5m,vol_accel_1b,0,9382,0.004213169843448552
5m,vol_accel_1b,1,9384,-0.02084904393079642
5m,vol_accel_1b,2,9380,0.00508713378474172
5m,vol_accel_1b,3,9383,0.001733858803387644
5m,vol_accel_1b,4,9379,0.0005911694401200219
5m,bar_range,0,9382,-0.0116072330837358
5m,bar_range,1,9384,0.05787653970261813
5m,bar_range,2,9380,0.028589809413486315
5m,bar_range,3,9383,0.005488076308351844
5m,bar_range,4,9379,0.02765882217212482
5m,body,0,9382,0.026846483851843947
5m,body,1,9384,-0.031614559396226434
5m,body,2,9380,0.0028991094331008815
5m,body,3,9383,0.011426269519819851
5m,body,4,9379,0.020456596955099878
5m,price_velocity_w,0,9381,0.015844681134168405
5m,price_velocity_w,1,9384,0.030086909757123557
5m,price_velocity_w,2,9380,-0.01878046137108334
5m,price_velocity_w,3,9383,0.03680065799162863
5m,price_velocity_w,4,9379,0.0056414902675081206
5m,price_accel_w,0,9381,0.03949413632032414
5m,price_accel_w,1,9383,-0.024513183271827967
5m,price_accel_w,2,9380,-0.02148357903241904
5m,price_accel_w,3,9383,0.02961469780654403
5m,price_accel_w,4,9379,0.00021959664850870267
5m,vol_velocity_w,0,9381,-0.0076364388927441015
5m,vol_velocity_w,1,9384,0.0156849191699858
5m,vol_velocity_w,2,9380,-0.0013560041802357526
5m,vol_velocity_w,3,9383,0.03375530300107501
5m,vol_velocity_w,4,9379,0.014099577803522313
5m,vol_accel_w,0,9381,-0.0005092232851550661
5m,vol_accel_w,1,9383,0.013332667120637008
5m,vol_accel_w,2,9380,-0.018860116221394482
5m,vol_accel_w,3,9383,0.018844652168127
5m,vol_accel_w,4,9379,0.004499016510043022
5m,price_mean_w,0,9382,-0.010160610200296806
5m,price_mean_w,1,9384,-0.029320150906835214
5m,price_mean_w,2,9380,-0.016736802785529376
5m,price_mean_w,3,9383,0.010368184634522838
5m,price_mean_w,4,9379,-0.016228376523380408
5m,price_sigma_w,0,9382,-0.000796190888414041
5m,price_sigma_w,1,9384,0.04061755460008204
5m,price_sigma_w,2,9380,0.02559106995766449
5m,price_sigma_w,3,9383,-0.018863751699035716
5m,price_sigma_w,4,9379,0.010513453681601831
5m,vol_mean_w,0,9382,-0.017396577732724593
5m,vol_mean_w,1,9384,0.008226686146208676
5m,vol_mean_w,2,9380,-0.0043542472650555325
5m,vol_mean_w,3,9383,-0.007449866860064447
5m,vol_mean_w,4,9379,-0.0015663831528238404
5m,vol_sigma_w,0,9382,-0.012942682289637767
5m,vol_sigma_w,1,9384,0.001949361730083758
5m,vol_sigma_w,2,9380,0.0015431006351468157
5m,vol_sigma_w,3,9383,-0.00712938648328732
5m,vol_sigma_w,4,9379,0.001738342220048284
5m,vwap_w,0,9382,-0.0099690662376172
5m,vwap_w,1,9384,-0.029180505698145162
5m,vwap_w,2,9380,-0.01674627673618119
5m,vwap_w,3,9383,0.01056927670793358
5m,vwap_w,4,9379,-0.01615178530677116
5m,z_high_w,0,9382,0.0038598075304316602
5m,z_high_w,1,9384,-0.003242726450807732
5m,z_high_w,2,9380,-0.00204715307455024
5m,z_high_w,3,9383,-0.00788944223278199
5m,z_high_w,4,9379,0.026002496899295634
5m,z_low_w,0,9382,0.004308468685922134
5m,z_low_w,1,9384,-0.01390396819981407
5m,z_low_w,2,9380,-0.015105301468333514
5m,z_low_w,3,9383,-0.008199652639963568
5m,z_low_w,4,9379,0.021765966608534075
5m,SE_high_w,0,9382,0.0015715116734381217
5m,SE_high_w,1,9384,0.03866400506013665
5m,SE_high_w,2,9380,0.005510128865044852
5m,SE_high_w,3,9383,-0.024409078024529254
5m,SE_high_w,4,9379,0.01550512832859539
5m,SE_low_w,0,9382,0.000453335815958107
5m,SE_low_w,1,9384,0.0436756218444081
5m,SE_low_w,2,9380,0.021919465649245375
5m,SE_low_w,3,9383,-0.02158304511119465
5m,SE_low_w,4,9379,0.007436471720204275
5m,hurst_w,0,9382,-0.002329851585264235
5m,hurst_w,1,9384,0.0015667330272161235
5m,hurst_w,2,9380,0.009317637110717012
5m,hurst_w,3,9383,-0.009413174336991414
5m,hurst_w,4,9379,0.0026223699880541847
5m,reversion_prob_w,0,9382,0.011620790641510996
5m,reversion_prob_w,1,9384,-0.007904506858391551
5m,reversion_prob_w,2,9380,-0.0021567572958242306
5m,reversion_prob_w,3,9383,0.004637774858625235
5m,reversion_prob_w,4,9379,-0.03213355359434841
5m,swing_noise_w,0,9377,0.03875642640454707
5m,swing_noise_w,1,9379,0.06230078148350097
5m,swing_noise_w,2,9377,0.057821204479708836
5m,swing_noise_w,3,9381,-0.016134940911232323
5m,swing_noise_w,4,9373,0.04412717927526613
15m,price_velocity_1b,0,9373,0.038316700991793455
15m,price_velocity_1b,1,9374,-0.03743424916328348
15m,price_velocity_1b,2,9377,-0.04011412930718362
15m,price_velocity_1b,3,9380,-0.0018355497786030834
15m,price_velocity_1b,4,9377,0.03686464010683692
15m,price_accel_1b,0,9373,0.04467165420002225
15m,price_accel_1b,1,9374,-0.02643322189412589
15m,price_accel_1b,2,9377,-0.06412519283824371
15m,price_accel_1b,3,9380,-0.015852885996316155
15m,price_accel_1b,4,9377,0.032810880635955046
15m,vol_velocity_1b,0,9373,-0.01888365966052353
15m,vol_velocity_1b,1,9374,0.0003696892557079686
15m,vol_velocity_1b,2,9377,-0.015542126747030769
15m,vol_velocity_1b,3,9380,0.0035151268002341926
15m,vol_velocity_1b,4,9377,0.045695084625818505
15m,vol_accel_1b,0,9373,0.004983151999520552
15m,vol_accel_1b,1,9374,0.002838474923071077
15m,vol_accel_1b,2,9377,-0.021220717422019128
15m,vol_accel_1b,3,9380,-0.0010611465109313409
15m,vol_accel_1b,4,9377,0.029988907092768864
15m,bar_range,0,9373,-0.020565386549768392
15m,bar_range,1,9374,0.046994499402991406
15m,bar_range,2,9377,-0.05902353426670842
15m,bar_range,3,9380,0.06210287525913815
15m,bar_range,4,9377,0.03776012016108754
15m,body,0,9373,0.03919646579693911
15m,body,1,9374,-0.035980640142148655
15m,body,2,9377,-0.03994637695371164
15m,body,3,9380,-0.0007631954172646046
15m,body,4,9377,0.03617542928188206
15m,price_velocity_w,0,9373,0.02951988156703819
15m,price_velocity_w,1,9374,0.007345161278000458
15m,price_velocity_w,2,9377,0.048935708392969936
15m,price_velocity_w,3,9377,-0.002438266109591579
15m,price_velocity_w,4,9377,-0.0003263004367183605
15m,price_accel_w,0,9373,0.032442810189459395
15m,price_accel_w,1,9374,-0.024071507713359225
15m,price_accel_w,2,9377,-0.0406126152550736
15m,price_accel_w,3,9374,-0.03321831468234257
