ts,price,bars_held,pnl_ticks,hwm_ticks,F_net,envelope_tol,t_half_eff,stop_level,trail_ticks,conviction,direction,wave_maturity,decay_score,z_score,velocity,exit_reason,exit_price
1772772757.1699808,25130.25,80,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772750.0,25130.25,81,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772758.2703326,25130.25,82,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772759.3104103,25130.25,83,6.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772755.0,25131.5,84,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772760.3794837,25131.5,85,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772761.4346335,25131.5,86,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772762.5276532,25131.5,87,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772763.5663495,25131.5,88,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772764.633874,25131.5,89,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772765.703136,25131.5,90,11.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772760.0,25130.75,91,8.0,11.0,-30.5061,4.0,5.0,25126.5,20,0.445,,0.385,0,0.032,-0.75,,
1772772750.0,25130.25,92,6.0,11.0,-0.2465,4.35,15.1,25126.5,20,0.445,,0.385,0,0.131,0.0,,
1772772766.7260275,25130.25,93,6.0,11.0,-0.2465,4.33,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772767.8093581,25130.25,94,6.0,11.0,-0.2465,4.32,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772768.9132328,25130.25,95,6.0,11.0,-0.2465,4.3,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772769.9345303,25130.25,96,6.0,11.0,-0.2465,4.29,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772770.9875038,25130.25,97,6.0,11.0,-0.2465,4.28,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772765.0,25131.25,98,10.0,11.0,-0.2465,4.26,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772772.0832489,25131.25,99,10.0,11.0,-0.2465,4.25,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772773.1496935,25131.25,100,10.0,11.0,-0.2465,4.24,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772774.2016804,25131.25,101,10.0,11.0,-0.2465,4.23,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772775.2525723,25131.25,102,10.0,11.0,-0.2465,4.22,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772770.0,25129.75,103,4.0,11.0,-0.2465,4.21,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
1772772776.285346,25129.75,104,4.0,11.0,-0.2465,4.2,15.1,25126.5,20,0.46,,0.385,0,0.131,0.0,,
