entry_ts,leg_dir,entry_price,extra_z_se,day
1708432478,LONG,17677.0,-1.929621354863813,2024_02_20
1708432480,LONG,17677.0,-1.929621354863813,2024_02_20
1708432483,LONG,17676.5,-2.1239600561509406,2024_02_20
1708432505,LONG,17675.25,-1.9494721081043613,2024_02_20
1708432519,LONG,17675.0,-2.0420469608834173,2024_02_20
1708432641,SHORT,17684.5,2.252922130118527,2024_02_20
1708432645,SHORT,17683.75,1.9022727713453742,2024_02_20
1708432663,SHORT,17684.25,2.136039010527476,2024_02_20
1708432713,SHORT,17684.0,2.040872298907601,2024_02_20
1708432731,SHORT,17683.75,1.9167442320707317,2024_02_20
1708432988,LONG,17676.0,-1.958283297769785,2024_02_20
1708432991,LONG,17675.75,-2.0676845993212054,2024_02_20
1708433002,LONG,17676.25,-1.848881996218365,2024_02_20
1708433006,LONG,17676.25,-1.848881996218365,2024_02_20
1708433015,LONG,17676.25,-1.848881996218365,2024_02_20
1708433062,LONG,17675.0,-1.9730156620941168,2024_02_20
1708433069,LONG,17675.25,-1.8628938576981064,2024_02_20
1708433072,LONG,17675.0,-1.9730156620941168,2024_02_20
1708433102,LONG,17673.0,-1.961487157874219,2024_02_20
1708433207,LONG,17668.75,-2.062775207474998,2024_02_20
1708433210,LONG,17669.25,-1.9184410821706004,2024_02_20
1708433214,LONG,17669.0,-1.9906081448227992,2024_02_20
1708433217,LONG,17669.0,-1.9906081448227992,2024_02_20
1708433222,LONG,17666.0,-1.9550643921285844,2024_02_20
1708433224,LONG,17666.0,-1.9550643921285844,2024_02_20
1708433230,LONG,17666.25,-1.8906471139695,2024_02_20
1708433237,LONG,17666.0,-1.9550643921285844,2024_02_20
1708433241,LONG,17666.0,-1.9550643921285844,2024_02_20
1708433244,LONG,17666.0,-1.9550643921285844,2024_02_20
1708433255,LONG,17666.25,-1.8906471139695,2024_02_20
1708433522,SHORT,17665.5,1.976038921813456,2024_02_20
1708433526,SHORT,17665.5,1.976038921813456,2024_02_20
1708433625,SHORT,17669.0,1.9040159020601548,2024_02_20
1708433722,SHORT,17672.5,1.9495366500961464,2024_02_20
1708433729,SHORT,17672.5,1.9495366500961464,2024_02_20
1708433740,SHORT,17672.25,1.8917583349537597,2024_02_20
1708433794,SHORT,17673.5,1.8621903990800666,2024_02_20
1708434267,LONG,17674.25,-1.8876418103292363,2024_02_20
1708434887,SHORT,17683.25,1.8704649070439001,2024_02_20
1708434890,SHORT,17683.25,1.8704649070439001,2024_02_20
1708434892,SHORT,17683.25,1.8704649070439001,2024_02_20
1708434897,SHORT,17683.5,1.9268891877993573,2024_02_20
1708435187,LONG,17672.5,-1.8701846534586266,2024_02_20
1708435214,LONG,17669.5,-2.099688752205255,2024_02_20
1708435224,LONG,17670.25,-1.9282078196294583,2024_02_20
1708435228,LONG,17670.25,-1.9282078196294583,2024_02_20
1708435234,LONG,17667.25,-2.6141315499326447,2024_02_20
1708435274,LONG,17666.75,-1.9139367046936289,2024_02_20
1708435295,LONG,17667.0,-1.859614943917089,2024_02_20
1708435299,LONG,17667.0,-1.859614943917089,2024_02_20
1708435315,LONG,17667.0,-1.859614943917089,2024_02_20
1708435339,LONG,17663.75,-1.8893943808612492,2024_02_20
1708435574,SHORT,17671.0,1.9001187921638774,2024_02_20
1708435594,SHORT,17671.0,1.9001187921638774,2024_02_20
1708435799,SHORT,17674.5,1.9971433362512818,2024_02_20
1708435801,SHORT,17677.75,2.069175382564556,2024_02_20
1708435804,SHORT,17678.75,2.264150683630723,2024_02_20
1708436047,LONG,17662.75,-1.8795687520260296,2024_02_20
1708436060,LONG,17662.25,-1.9996689917720907,2024_02_20
1708436076,LONG,17662.25,-1.9996689917720907,2024_02_20
1708436101,LONG,17658.5,-2.7321185546937645,2024_02_20
1708436133,LONG,17661.25,-2.075215732800182,2024_02_20
1708436192,LONG,17659.25,-1.937293350755918,2024_02_20
1708436359,SHORT,17673.0,1.9856509121683912,2024_02_20
1708436365,SHORT,17673.0,1.9856509121683912,2024_02_20
1708436891,LONG,17686.5,-1.8972830190110401,2024_02_20
1708436936,LONG,17686.75,-1.863889947394527,2024_02_20
1708436938,LONG,17686.75,-1.863889947394527,2024_02_20
1708436967,LONG,17684.25,-1.8956153239971045,2024_02_20
1708437062,LONG,17668.25,-1.8939997814952556,2024_02_20
1708438338,SHORT,17673.0,2.1816912286319434,2024_02_20
1708438368,SHORT,17672.75,2.061708209642205,2024_02_20
1708438378,SHORT,17672.5,1.9417251906524662,2024_02_20
1708438383,SHORT,17674.25,2.1805968264813065,2024_02_20
1708438393,SHORT,17673.5,1.851035593260047,2024_02_20
1708438411,SHORT,17673.75,1.9608893376671335,2024_02_20
1708438427,SHORT,17674.0,2.07074308207422,2024_02_20
1708438441,SHORT,17676.0,2.1631938817638865,2024_02_20
1708438474,SHORT,17676.0,2.1631938817638865,2024_02_20
1708438532,SHORT,17678.0,2.0176021969153326,2024_02_20
1708438555,SHORT,17677.75,1.9298485674735713,2024_02_20
1708438565,SHORT,17679.0,1.9405432597039343,2024_02_20
1708438575,SHORT,17679.0,1.9405432597039343,2024_02_20
1708438590,SHORT,17678.75,1.8564156617398344,2024_02_20
1708438656,SHORT,17679.75,1.8515776277016107,2024_02_20
1708438667,SHORT,17679.75,1.8515776277016107,2024_02_20
1708438891,LONG,17672.5,-1.9186889909926852,2024_02_20
1708438902,LONG,17672.5,-1.9186889909926852,2024_02_20
1708438916,LONG,17672.0,-2.123349150032064,2024_02_20
1708438922,LONG,17671.25,-1.903552895810784,2024_02_20
1708438993,LONG,17667.0,-1.9015529130138877,2024_02_20
1708439025,LONG,17666.0,-2.165352161061968,2024_02_20
1708439038,LONG,17666.5,-2.033452537037928,2024_02_20
1708439046,LONG,17663.75,-1.9327461162416941,2024_02_20
1708439057,LONG,17664.0,-1.8744137384879171,2024_02_20
1708439081,LONG,17663.5,-1.9910784939954709,2024_02_20
1708439098,LONG,17663.75,-1.9327461162416941,2024_02_20
1708439102,LONG,17661.0,-1.9353977362856345,2024_02_20
1708439119,LONG,17661.0,-1.9353977362856345,2024_02_20
1708439121,LONG,17661.25,-1.876600843031396,2024_02_20
1708439124,LONG,17661.0,-1.9353977362856345,2024_02_20
1708439130,LONG,17660.5,-2.0529915227941116,2024_02_20
1708439166,LONG,17656.75,-1.9472312534461689,2024_02_20
1708439224,LONG,17655.5,-1.930594200827861,2024_02_20
1708439226,LONG,17655.5,-1.930594200827861,2024_02_20
1708439230,LONG,17655.75,-1.8627151196384468,2024_02_20
1708439244,LONG,17655.5,-1.930594200827861,2024_02_20
1708439249,LONG,17655.25,-1.9984732820172748,2024_02_20
1708439261,LONG,17654.75,-2.134231444396103,2024_02_20
1708439294,LONG,17652.25,-1.8793260831049647,2024_02_20
1708439342,SHORT,17661.5,1.9154968962928676,2024_02_20
1708439363,SHORT,17662.75,2.367265032211059,2024_02_20
1708439395,SHORT,17661.75,2.005850523476506,2024_02_20
1708439416,SHORT,17665.75,3.1569244859453,2024_02_20
1708439422,SHORT,17663.5,2.4467644266199327,2024_02_20
1708439426,SHORT,17663.5,2.4467644266199327,2024_02_20
1708439789,LONG,17662.5,-1.8540014957723085,2024_02_20
1708439792,LONG,17661.5,-1.9178317007623251,2024_02_20
1708439804,LONG,17661.5,-1.9178317007623251,2024_02_20
1708439836,LONG,17649.25,-1.8964685700421098,2024_02_20
1708439840,LONG,17649.75,-1.8699784957311942,2024_02_20
1708439847,LONG,17649.5,-1.883223532886652,2024_02_20
1708439859,LONG,17649.75,-1.8699784957311942,2024_02_20
1708439865,LONG,17649.5,-1.883223532886652,2024_02_20
1708439915,LONG,17635.5,-1.861871083815177,2024_02_20
1708440028,LONG,17604.0,-1.9086885001619835,2024_02_20
1708440070,LONG,17575.0,-1.9714101287157955,2024_02_20
1708440076,LONG,17577.25,-1.8960909360239508,2024_02_20
1708440360,SHORT,17590.0,2.1172555053712125,2024_02_20
1708440365,SHORT,17586.5,1.881318303923634,2024_02_20
1708440409,SHORT,17588.25,1.9992869046474233,2024_02_20
1708440452,SHORT,17587.75,1.953242862306624,2024_02_20
1708440482,SHORT,17596.75,1.894362309441862,2024_02_20
1708441308,LONG,17538.25,-1.8782947356228095,2024_02_20
1708441311,LONG,17538.0,-1.89992576904649,2024_02_20
1708441313,LONG,17537.75,-1.9215568024701704,2024_02_20
1708442193,SHORT,17537.5,1.854400101937528,2024_02_20
1708442202,SHORT,17537.5,1.854400101937528,2024_02_20
1708442218,SHORT,17538.5,1.9735583414194575,2024_02_20
1708442232,SHORT,17540.0,1.8565105789106453,2024_02_20
1708442243,SHORT,17541.25,1.9943532156321226,2024_02_20
1708442245,SHORT,17540.25,1.8840791062549407,2024_02_20
1708442252,SHORT,17540.25,1.8840791062549407,2024_02_20
1708442259,SHORT,17540.0,1.8565105789106453,2024_02_20
1708442261,SHORT,17540.0,1.8565105789106453,2024_02_20
1708442268,SHORT,17540.0,1.8565105789106453,2024_02_20
1708442279,SHORT,17540.0,1.8565105789106453,2024_02_20
1708442284,SHORT,17543.25,1.87535314662508,2024_02_20
1708442768,LONG,17505.0,-2.092224507312754,2024_02_20
1708443020,LONG,17496.25,-2.2091073137794237,2024_02_20
1708443023,LONG,17496.75,-2.1398382054299168,2024_02_20
1708443109,LONG,17488.0,-1.8539426461304693,2024_02_20
1708443115,LONG,17487.75,-1.8873620719282211,2024_02_20
1708443238,SHORT,17510.0,2.1969037893287666,2024_02_20
1708443242,SHORT,17510.25,1.8753734180323707,2024_02_20
1708443302,SHORT,17513.0,2.0115639466267803,2024_02_20
1708443321,SHORT,17511.75,1.8775192589350664,2024_02_20
1708443327,SHORT,17511.75,1.8775192589350664,2024_02_20
1708443351,SHORT,17512.75,1.9847550090884376,2024_02_20
1708443687,SHORT,17528.75,1.896503895767917,2024_02_20
1708443940,SHORT,17535.0,1.850429803500768,2024_02_20
1708443959,SHORT,17535.25,1.896758110702958,2024_02_20
1708443963,SHORT,17539.0,2.129944298972994,2024_02_20
1708443967,SHORT,17537.75,1.8867999726062301,2024_02_20
