day,entry_ts,leg_dir,entry_price,exit_ts,exit_price,pnl_pts,gross_usd,net_usd,exit_reason
2024_02_07,1707273660,SHORT,17682.5,1707273900,17678.0,4.5,90.0,75.9,r2_collapse
2024_02_07,1707279060,SHORT,17661.0,1707279360,17657.75,3.25,65.0,50.9,r2_collapse
2024_02_07,1707279960,SHORT,17663.0,1707280260,17663.0,0.0,0.0,-14.1,r2_collapse
2024_02_07,1707287820,SHORT,17640.75,1707288120,17644.5,-3.75,-75.0,-89.1,r2_collapse
2024_02_07,1707288720,SHORT,17649.0,1707288960,17645.5,3.5,70.0,55.9,r2_collapse
2024_02_07,1707298620,LONG,17666.0,1707298860,17668.5,2.5,50.0,35.9,r2_collapse
2024_02_07,1707301020,LONG,17675.5,1707301500,17678.5,3.0,60.0,45.9,r2_collapse
2024_02_07,1707305820,LONG,17681.25,1707306120,17684.75,3.5,70.0,55.9,r2_collapse
2024_02_07,1707306420,LONG,17677.5,1707306720,17678.75,1.25,25.0,10.9,r2_collapse
2024_02_07,1707307320,LONG,17669.75,1707307560,17669.25,-0.5,-10.0,-24.1,r2_collapse
2024_02_07,1707308880,SHORT,17665.25,1707309120,17675.5,-10.25,-205.0,-219.1,r2_collapse
2024_02_07,1707312180,LONG,17727.0,1707312420,17729.25,2.25,45.0,30.9,r2_collapse
2024_02_07,1707312840,LONG,17735.0,1707313080,17730.25,-4.75,-95.0,-109.1,r2_collapse
2024_02_07,1707313680,LONG,17736.25,1707313920,17739.0,2.75,55.0,40.9,r2_collapse
2024_02_07,1707316260,LONG,17762.0,1707316560,17753.75,-8.25,-165.0,-179.1,r2_collapse
2024_02_07,1707317820,SHORT,17728.25,1707318180,17738.0,-9.75,-195.0,-209.1,r2_collapse
2024_02_07,1707318420,SHORT,17734.0,1707320460,17841.0,-107.0,-2140.0,-2154.1,r2_collapse
2024_02_07,1707320880,LONG,17855.25,1707321120,17861.75,6.5,130.0,115.9,r2_collapse
2024_02_07,1707321300,LONG,17849.0,1707321540,17839.75,-9.25,-185.0,-199.1,r2_collapse
2024_02_07,1707321720,LONG,17817.25,1707321960,17832.0,14.75,295.0,280.9,r2_collapse
2024_02_07,1707322980,SHORT,17825.25,1707323220,17825.25,0.0,0.0,-14.1,r2_collapse
2024_02_07,1707323760,SHORT,17813.0,1707324000,17818.0,-5.0,-100.0,-114.1,r2_collapse
2024_02_07,1707324180,SHORT,17824.25,1707324420,17827.5,-3.25,-65.0,-79.1,r2_collapse
2024_02_07,1707325920,LONG,17833.25,1707326160,17836.75,3.5,70.0,55.9,r2_collapse
2024_02_07,1707326520,LONG,17832.25,1707326760,17823.0,-9.25,-185.0,-199.1,r2_collapse
2024_02_07,1707327840,SHORT,17799.5,1707328140,17799.5,0.0,0.0,-14.1,r2_collapse
2024_02_07,1707328440,SHORT,17812.0,1707328680,17813.25,-1.25,-25.0,-39.1,r2_collapse
2024_02_07,1707329220,SHORT,17809.5,1707329460,17822.0,-12.5,-250.0,-264.1,r2_collapse
2024_02_07,1707330300,LONG,17830.0,1707330540,17846.75,16.75,335.0,320.9,r2_collapse
2024_02_07,1707330780,LONG,17846.75,1707331020,17850.25,3.5,70.0,55.9,r2_collapse
2024_02_07,1707331260,LONG,17839.75,1707331500,17843.25,3.5,70.0,55.9,r2_collapse
2024_02_07,1707332220,LONG,17851.75,1707332460,17855.0,3.25,65.0,50.9,r2_collapse
2024_02_07,1707332700,LONG,17850.0,1707332940,17848.5,-1.5,-30.0,-44.1,r2_collapse
2024_02_07,1707336420,LONG,17858.25,1707336660,17855.0,-3.25,-65.0,-79.1,r2_collapse
2024_02_07,1707337320,LONG,17857.25,1707337560,17857.75,0.5,10.0,-4.1,r2_collapse
2024_02_07,1707339600,SHORT,17841.25,1707339840,17839.5,1.75,35.0,20.9,r2_collapse
2024_02_07,1707340260,SHORT,17843.75,1707340620,17848.5,-4.75,-95.0,-109.1,r2_collapse
2024_02_08,1707350220,SHORT,17841.75,1707350460,17838.75,3.0,60.0,45.9,r2_collapse
2024_02_08,1707380880,SHORT,17830.5,1707381120,17834.0,-3.5,-70.0,-84.1,r2_collapse
2024_02_08,1707384180,LONG,17847.25,1707384420,17845.75,-1.5,-30.0,-44.1,r2_collapse
2024_02_08,1707392040,SHORT,17809.5,1707392280,17814.25,-4.75,-95.0,-109.1,r2_collapse
2024_02_08,1707393540,SHORT,17812.0,1707393780,17811.5,0.5,10.0,-4.1,r2_collapse
2024_02_08,1707403320,LONG,17815.25,1707403560,17822.25,7.0,140.0,125.9,r2_collapse
2024_02_08,1707404280,LONG,17837.75,1707404520,17853.25,15.5,310.0,295.9,r2_collapse
2024_02_08,1707404880,LONG,17846.25,1707405120,17843.0,-3.25,-65.0,-79.1,r2_collapse
2024_02_08,1707405780,LONG,17851.25,1707406020,17842.5,-8.75,-175.0,-189.1,r2_collapse
2024_02_08,1707406320,LONG,17827.5,1707406620,17856.25,28.75,575.0,560.9,r2_collapse
2024_02_08,1707407760,LONG,17883.25,1707408000,17889.0,5.75,115.0,100.9,r2_collapse
2024_02_08,1707408180,LONG,17881.5,1707408420,17875.5,-6.0,-120.0,-134.1,r2_collapse
2024_02_08,1707408600,LONG,17874.5,1707408840,17881.25,6.75,135.0,120.9,r2_collapse
2024_02_08,1707409200,LONG,17876.5,1707409440,17886.0,9.5,190.0,175.9,r2_collapse
2024_02_08,1707409620,LONG,17867.5,1707409860,17869.0,1.5,30.0,15.9,r2_collapse
2024_02_08,1707410820,SHORT,17869.75,1707411060,17875.75,-6.0,-120.0,-134.1,r2_collapse
2024_02_08,1707412680,LONG,17882.0,1707412920,17878.25,-3.75,-75.0,-89.1,r2_collapse
2024_02_08,1707413520,LONG,17887.0,1707413760,17883.75,-3.25,-65.0,-79.1,r2_collapse
2024_02_08,1707414540,SHORT,17862.0,1707414780,17864.25,-2.25,-45.0,-59.1,r2_collapse
2024_02_08,1707415320,SHORT,17883.25,1707415560,17879.5,3.75,75.0,60.9,r2_collapse
