
STRATEGY PERFORMANCE REPORT
ID         | Playbook                     | Tier | Trades | Win%  | Sharpe | PnL        | MaxDD      | Risk 
322        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
323        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
324        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
652        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
301        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
303        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
422        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
760        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
761        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
463        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
742        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
743        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
803        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
631        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
790        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $0.00      | $0.00      | 0.52
791        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
792        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
794        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
770        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
532        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
534        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
911        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
913        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
541        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
542        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
543        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
100        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
102        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
920        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
921        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
904        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
31         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
842        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
181        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
182        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
971        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
972        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
973        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
890        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
892        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
893        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
894        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
933        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
260        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
942        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
943        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
944        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
952        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
810        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
812        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
813        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
814        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1010       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1011       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1012       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
291        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $0.00      | $0.00      | 0.52
830        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
832        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
833        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
981        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
80         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
60         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
61         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
170        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
171        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
172        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
270        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
271        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1000       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1001       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
1002       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
821        | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
70         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
71         | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
3211       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
4111       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
9010       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8110       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8111       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8310       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8311       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8200       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
8201       | Unknown                      | 3    | 0      |   0.0 |   0.00 | $0.00      | $0.00      | 1.00
613        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-0.50     | $0.00      | 1.12
611        | Unknown                      | 3    | 9      |  33.3 |  -0.00 | $-0.50     | $42.00     | 0.57
473        | Unknown                      | 3    | 2      |  50.0 |  -0.01 | $-0.50     | $0.00      | 0.48
932        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-1.00     | $0.00      | 1.12
974        | Unknown                      | 3    | 9      |  33.3 |  -0.01 | $-1.00     | $66.00     | 0.67
462        | Unknown                      | 3    | 8      |  50.0 |  -0.01 | $-1.50     | $22.50     | 0.61
701        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-2.50     | $0.00      | 1.12
1201       | Unknown                      | 4    | 19     |  42.1 |  -0.01 | $-2.50     | $83.50     | 0.61
244        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-3.00     | $0.00      | 1.12
934        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-3.50     | $0.00      | 1.12
501        | Unknown                      | 4    | 29     |  44.8 |  -0.00 | $-3.50     | $264.50    | 0.70
663        | Unknown                      | 3    | 2      |   0.0 |  -1.40 | $-3.50     | $3.00      | 1.14
451        | Unknown                      | 4    | 41     |  34.1 |  -0.01 | $-4.00     | $61.50     | 0.56
333        | Unknown                      | 3    | 4      |  50.0 |  -0.11 | $-4.50     | $15.00     | 0.75
740        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-5.00     | $0.00      | 1.12
340        | Unknown                      | 4    | 10     |  30.0 |  -0.04 | $-5.50     | $39.50     | 0.59
540        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-6.00     | $0.00      | 1.12
930        | Unknown                      | 3    | 2      |   0.0 |  -1.00 | $-6.00     | $0.00      | 1.14
290        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-6.50     | $0.00      | 1.12
964        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-7.00     | $0.00      | 1.12
902        | Unknown                      | 3    | 3      |  33.3 |  -0.32 | $-8.00     | $17.00     | 0.72
950        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-8.50     | $0.00      | 1.12
421        | Unknown                      | 4    | 11     |  54.5 |  -0.06 | $-8.50     | $48.50     | 0.81
733        | Unknown                      | 3    | 7      |  28.6 |  -0.25 | $-9.50     | $16.50     | 0.73
841        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-10.00    | $0.00      | 1.12
472        | Unknown                      | 3    | 3      |  66.7 |  -0.34 | $-10.00    | $17.00     | 0.92
650        | Unknown                      | 3    | 2      |  50.0 |  -0.75 | $-12.00    | $14.00     | 0.97
970        | Unknown                      | 3    | 2      |  50.0 |  -0.25 | $-12.50    | $31.00     | 0.87
731        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-13.00    | $0.00      | 1.12
22         | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-13.00    | $0.00      | 1.12
330        | Unknown                      | 3    | 3      |   0.0 |  -1.31 | $-13.00    | $5.00      | 1.16
243        | Unknown                      | 3    | 2      |   0.0 |  -1.62 | $-13.00    | $2.50      | 1.14
4611       | Unknown                      | 3    | 7      |  28.6 |  -0.06 | $-13.50    | $80.50     | 0.60
263        | Unknown                      | 3    | 2      |   0.0 |  -3.50 | $-14.00    | $5.00      | 1.14
903        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-14.50    | $0.00      | 1.12
522        | Unknown                      | 3    | 2      |   0.0 |  -3.00 | $-16.50    | $5.50      | 1.14
524        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-18.50    | $0.00      | 1.12
494        | Unknown                      | 3    | 8      |  50.0 |  -0.27 | $-18.50    | $39.50     | 0.99
602        | Unknown                      | 3    | 3      |  33.3 |  -0.63 | $-19.00    | $0.50      | 0.89
910        | Unknown                      | 3    | 3      |  33.3 |  -0.56 | $-20.50    | $19.50     | 0.89
633        | Unknown                      | 3    | 5      |  40.0 |  -0.76 | $-20.50    | $19.00     | 1.02
124        | Unknown                      | 4    | 29     |  31.0 |  -0.02 | $-21.00    | $128.00    | 0.55
394        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-22.50    | $0.00      | 1.12
592        | Unknown                      | 4    | 64     |  32.8 |  -0.02 | $-22.50    | $170.00    | 0.62
520        | Unknown                      | 3    | 3      |  33.3 |  -0.72 | $-23.50    | $6.00      | 1.04
420        | Unknown                      | 3    | 4      |  50.0 |  -0.11 | $-24.00    | $4.00      | 0.57
3210       | Unknown                      | 3    | 2      |   0.0 |  -1.65 | $-25.50    | $5.00      | 1.14
531        | Unknown                      | 3    | 5      |   0.0 |  -0.97 | $-26.00    | $10.50     | 1.20
8401       | Unknown                      | 3    | 4      |  25.0 |  -0.14 | $-26.50    | $46.50     | 0.54
410        | Unknown                      | 4    | 30     |  30.0 |  -0.03 | $-28.00    | $160.00    | 0.62
141        | Unknown                      | 4    | 51     |  49.0 |  -0.02 | $-30.00    | $254.50    | 0.64
192        | Unknown                      | 3    | 6      |  33.3 |  -0.31 | $-30.00    | $48.50     | 0.77
521        | Unknown                      | 3    | 2      |   0.0 | -30.00 | $-30.00    | $15.50     | 1.14
670        | Unknown                      | 3    | 2      |   0.0 |  -3.00 | $-31.50    | $10.50     | 1.14
553        | Unknown                      | 4    | 38     |  42.1 |  -0.07 | $-32.00    | $89.00     | 0.61
642        | Unknown                      | 3    | 4      |  25.0 |  -1.35 | $-32.00    | $22.00     | 1.06
941        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-33.50    | $0.00      | 1.12
492        | Unknown                      | 3    | 1      |   0.0 |   0.00 | $-35.50    | $0.00      | 1.12
