x,y,z,chord_purity,chord_signal,chord_entropy,n_cells
L1_4h_body,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.4201613780055837,14.506346967559944,2.0440193383533876,27
L1_4h_price_velocity_1b,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.4201272110362942,14.506346967559944,2.0415177696343467,27
L2_4h_price_velocity_w,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.41945331265114244,13.356087470449173,2.0809916269589714,27
L1_4h_body,L2_1D_price_velocity_w,L3_4h_z_high_w,0.4189791837528708,23.404903417533433,2.062680129258266,27
L2_1D_price_velocity_w,L3_4h_z_high_w,L2_1D_vol_sigma_w,0.41856022448162933,17.384469696969695,1.9574700907916782,27
L2_1h_price_velocity_w,L1_4h_price_velocity_1b,L2_15m_price_velocity_w,0.4182914516965387,8.29325513196481,2.100647912309673,27
L2_1h_price_velocity_w,L2_1D_price_velocity_w,L2_15m_price_velocity_w,0.4174252510050692,15.055447470817121,2.07612806772883,27
L2_1h_price_velocity_w,L1_4h_body,L2_15m_price_velocity_w,0.4169161175042357,7.417446524064171,2.1026576119569835,27
L3_4h_z_se_w,L1_4h_body,L2_1D_price_velocity_w,0.41684227602539703,28.09331797235023,2.0611757289765698,27
L3_4h_z_se_w,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.41645171167655126,16.28065693430657,2.1039563967217116,27
L2_1h_price_velocity_w,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.4154699424299918,8.333142201834862,2.072718623728165,27
L1_4h_price_velocity_1b,L2_15m_price_velocity_w,L3_4h_z_low_w,0.4139994998775504,9.590570719602978,2.1326260501192884,27
L3_4h_z_se_w,L2_1D_price_velocity_w,L2_15m_price_velocity_w,0.4134137151047258,14.247320692497938,2.0974204581331244,27
L2_1D_price_velocity_w,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.41290025869479574,23.66826923076923,2.0654959292462545,27
L2_1D_price_velocity_w,L3_4h_z_high_w,L2_15m_price_velocity_w,0.41205520863892525,14.861805121798875,2.093107237953195,27
L1_4h_price_velocity_1b,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.4116891442877262,10.607950116913484,2.147225858268934,27
L1_4h_body,L2_4h_price_velocity_w,L2_15m_price_velocity_w,0.4116153975234939,10.594251075479077,2.146671260253821,27
L3_4h_z_se_w,L1_4h_price_velocity_1b,L2_4h_price_velocity_w,0.41159769938323726,19.045127795527158,2.094841098805789,27
L1_4h_body,L2_15m_price_velocity_w,L3_4h_z_low_w,0.4114313503176285,9.553850025163563,2.131987133607269,27
L1_4h_price_velocity_1b,L3_4h_z_high_w,L2_15m_price_velocity_w,0.4100081225935987,10.403508771929825,2.1404257313911716,27
L3_4h_z_se_w,L1_4h_body,L2_4h_price_velocity_w,0.4095415751273354,19.36911231884058,2.0948889269861777,27
L2_1D_price_velocity_w,L2_15m_price_velocity_w,L3_4h_z_low_w,0.40953933378216156,14.46023235031278,2.1032520152814276,27
L1_4h_price_velocity_1b,L2_4h_price_velocity_w,L3_4h_z_low_w,0.4092449466384366,25.935886761032474,2.1023690864297206,27
L1_4h_body,L3_4h_z_high_w,L2_15m_price_velocity_w,0.4092147428099751,10.373662306777646,2.136950409251429,27
L1_4h_body,L2_4h_price_velocity_w,L3_4h_z_low_w,0.40651987421003827,25.935886761032474,2.1019257889235643,27
L1_4h_price_velocity_1b,L2_1D_price_velocity_w,L2_15m_price_velocity_w,0.4062520492550654,9.871784232365146,2.132129013857941,27
L1_4h_body,L2_1D_price_velocity_w,L2_15m_price_velocity_w,0.40576136579458727,9.899076517150396,2.1318904813036204,27
L2_4h_price_velocity_w,L2_15m_price_velocity_w,L3_4h_z_low_w,0.40560841543384435,14.73115015974441,2.115106388899874,27
L3_4h_z_se_w,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.40501314629800517,9.692099258414148,2.0998736861864873,27
L2_15m_price_velocity_w,L2_1D_vol_sigma_w,L3_4h_z_low_w,0.4038554632216601,11.20561974789916,2.0986199283598355,27
L3_4h_z_se_w,L1_4h_body,L2_15m_price_velocity_w,0.4035009102606328,11.182389937106919,2.1627639526253737,27
L3_4h_z_se_w,L1_4h_price_velocity_1b,L2_15m_price_velocity_w,0.4008947052888463,11.182389937106919,2.1655147115398576,27
L3_4h_z_high_w,L2_15m_price_velocity_w,L2_1D_vol_sigma_w,0.40072286426242193,19.296381390005745,2.0988195745116545,27
