**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

prior_day_range,prior_day_return,prior_day_close_pct,mean_range_5d,mean_range_20d,range_expansion,range_trajectory,variance_ratio_5_20,prior_dir_sign,dow,day_label,pnl_usd,n_trades
377.0,-127.5,-0.00636391022744387,396.15,711.075,0.5301831733642723,0.5571142284569137,0.26947072300722835,-1.0,4,2025_05_02,-350.5,41
412.25,186.75,0.009372376549010797,322.2,457.5,0.9010928961748634,0.7042622950819671,0.7861574154588054,1.0,4,2025_05_09,-342.0,31
554.5,456.25,0.022270571554295238,351.35,423.9125,1.3080529590422552,0.828826703623979,2.3862931093532485,1.0,1,2025_05_13,-206.0,21
528.75,383.75,0.018353779563335504,371.4,442.1125,1.195962566088948,0.8400576776273007,1.4005586196134643,1.0,2,2025_05_14,-273.0,26
486.75,-284.5,-0.013274697586524664,304.75,357.3125,1.3622529298583173,0.8528948749344062,2.1616162737573883,-1.0,3,2025_05_22,-255.0,40
557.75,-449.25,-0.020628503170081802,354.45,345.2125,1.6156715066806677,1.0267588803997538,6.789386083791083,-1.0,4,2025_05_30,-478.5,48
71.75,-1.0,-0.003065187888998122,358.7,324.85,0.2208711713098353,1.104201939356626,6.548767257387225,-1.0,0,2025_06_02,304.0,26
413.75,191.0,0.008977398080127763,372.2,333.9125,1.2390970688428855,1.11466327256392,6.128829780223304,1.0,1,2025_06_03,64.5,17
161.75,35.75,0.0016585849045738232,274.1,325.9,0.49631788892298256,0.8410555385087451,1.2894784774712005,1.0,3,2025_06_05,68.0,35
465.25,-196.0,-0.00898062438912206,294.8,322.725,1.4416298706328916,0.9134712216283213,3.1753993141199297,-1.0,4,2025_06_06,-141.0,19
94.25,-37.5,-0.002200850537030452,283.75,318.225,0.2961740906591248,0.8916647026474978,3.4709772163881696,-1.0,0,2025_06_09,-209.5,13
270.0,121.75,0.005622480762183857,268.3,324.325,0.8324982656286133,0.8272566098820628,2.9242765285948167,1.0,2,2025_06_11,-114.5,26
303.75,-115.75,-0.00529498172377274,236.0,317.075,0.9579752424505243,0.7443033982496255,2.1308608843010934,-1.0,3,2025_06_12,-212.5,22
292.75,-54.25,-0.0024857586742620397,261.55,299.175,0.9785242750898303,0.8742374864209911,0.9621833102203431,-1.0,4,2025_06_20,10.5,6
84.25,15.25,0.003460018773603357,225.3,257.825,0.32677203529525845,0.8738485406768157,10.978961272628183,1.0,0,2025_07_07,-126.0,29
249.0,2.25,0.0001195054646589977,200.6,235.65,1.0566518141311267,0.8512624655208996,0.7475510272337037,1.0,2,2025_07_16,-281.5,33
201.5,86.25,0.0037188306104900537,189.15,212.925,0.9463426088998473,0.8883409651285664,0.9658223969934356,1.0,1,2025_07_22,-28.5,17
262.75,-84.75,-0.0036300944467050344,188.85,211.425,1.2427574790114697,0.8932245477119545,1.3332792819427006,-1.0,2,2025_07_23,-283.5,23
274.0,139.0,0.0059862220168303,189.35,211.675,1.2944372268808313,0.8945317113499468,0.7002359087355965,1.0,3,2025_07_24,-3.5,16
217.5,-70.25,-0.002994801278063064,264.75,264.3,0.8229284903518729,1.0017026106696936,3.225307600237837,-1.0,1,2025_08_12,-194.5,15
68.25,56.0,0.0022902527682642226,212.4,271.2625,0.25160130869545183,0.783005391456615,1.995574642035115,1.0,0,2025_08_18,51.5,22
250.0,-71.25,-0.003066103475631965,258.15,303.5,0.8237232289950577,0.8505766062602965,1.6547647923183595,-1.0,4,2025_08_22,-24.5,26
253.75,117.75,0.005000744791777478,263.25,274.0,0.926094890510949,0.9607664233576643,2.6455674590943388,1.0,2,2025_08_27,393.5,10
256.0,-106.25,-0.00447827559922076,264.45,264.475,0.9679553833065506,0.9999054731070989,3.394886311913104,-1.0,3,2025_08_28,-82.5,20
81.75,59.5,0.0035600844187682057,252.55,245.5625,0.33290913718503434,1.0284550776278951,5.205172888634836,1.0,0,2025_09_01,-1.5,8
183.75,-93.0,-0.003929815617299659,238.55,241.4875,0.7609089497385992,0.9878358093069,5.294715766999053,-1.0,1,2025_09_02,59.5,33
459.5,-111.0,-0.004734383996929048,279.25,261.025,1.760367780863902,1.0698208983813813,5.259537564104023,-1.0,2,2025_09_03,44.5,27
341.5,36.75,0.0015017795058527295,189.75,236.875,1.441688654353562,0.8010554089709763,1.5388096319667055,1.0,3,2025_09_18,244.0,22
214.5,68.0,0.0028576094056171897,238.95,234.725,0.9138353392267548,1.0179997869847695,1.5660822855430054,1.0,2,2025_10_01,-113.5,15
186.25,102.5,0.0040663402937355375,279.55,230.6375,0.8075443065416509,1.2120752262749988,7.019003007282735,1.0,4,2025_10_03,-293.0,22
621.25,-139.25,-0.005579640333975622,524.55,303.15,2.049315520369454,1.7303315190499753,14.494880601018624,-1.0,2,2025_10_15,-525.0,34
536.5,-183.25,-0.007346676956691667,432.95,332.9875,1.6111715905251698,1.300198956417283,3.5412127320972333,-1.0,4,2025_10_17,-496.0,77
318.5,277.75,0.010790422770708297,319.55,374.4625,0.8505524585238843,0.8533564776179191,1.6268612516369192,1.0,1,2025_10_28,-341.0,15
626.5,-456.0,-0.01770263454002252,424.6,379.225,1.652053530226119,1.1196519216823786,7.866490553953334,-1.0,4,2025_11_07,-49.5,63
341.75,-110.0,-0.004278710733813473,373.05,365.175,0.9358526733757787,1.0215650030807146,3.1334261861555732,-1.0,3,2025_11_13,115.5,49
630.0,-249.5,-0.009932459276916994,505.25,406.6625,1.5491962007807456,1.2424307626102726,2.439369277477807,-1.0,1,2025_11_18,-952.5,107
664.75,519.0,0.021074783457362356,541.85,448.4875,1.48220407480699,1.2081719111457956,5.96552683423641,1.0,3,2025_11_20,-1082.0,87
302.25,-68.5,-0.0026505409066813757,188.05,441.4875,0.6846173447719358,0.4259463744726635,0.5706996283616004,-1.0,1,2025_12_02,630.5,31
245.5,-26.75,-0.001023491568378998,251.65,440.425,0.5574161321450871,0.5713799171255037,0.47491809021663867,-1.0,4,2025_12_05,-57.0,19
341.5,57.25,0.0022300560922405843,231.55,372.0,0.918010752688172,0.6224462365591398,0.17651280823807028,1.0,3,2025_12_11,454.0,35
114.0,-20.5,-0.0003571003451969812,340.25,304.2375,0.37470725995316156,1.1183696947286248,4.897670294863291,-1.0,0,2025_12_15,-5.0,36
503.75,316.5,0.012892127099777273,395.35,299.925,1.6795865633074936,1.3181628740518463,7.7169296902502635,1.0,4,2025_12_19,148.0,12
85.5,-52.5,-0.0014461176561324507,263.85,314.2,0.27211966900063655,0.839751750477403,3.0250351951404926,-1.0,0,2026_01_12,-17.0,21
504.75,-285.75,-0.011026997798462834,318.25,330.125,1.5289663006436955,0.9640287769784173,3.02537525736362,-1.0,3,2026_01_15,107.0,32
155.5,-89.0,-0.008361969102572808,319.2,313.475,0.49605231677167233,1.0182630193795357,2.8084711606004,-1.0,0,2026_01_19,230.5,24
389.5,330.5,0.012920831784659415,353.95,299.0125,1.3026211278792692,1.183729777183228,5.506514435976629,1.0,1,2026_01_27,-106.0,13
809.75,-520.5,-0.02004971481424389,595.15,396.575,2.0418584126583874,1.5007249574481498,7.726486417774534,-1.0,2,2026_02_04,-96.0,66
730.5,-359.5,-0.0141577607141804,592.3,413.7125,1.7657189473366166,1.4316705441580808,7.654328270083811,-1.0,3,2026_02_05,-21.5,94
875.5,-733.5,-0.029230784573805013,682.35,445.3375,1.9659247200157186,1.5322087181070538,8.470250625611005,-1.0,4,2026_02_06,449.0,58
473.5,69.75,0.002739780224127797,641.5,465.5375,1.0171038852938807,1.377977069516419,10.578293500265715,1.0,1,2026_02_10,-284.0,35
249.5,-71.25,-0.0028309331229039447,545.3,470.2375,0.5305829501050001,1.1596267843377015,9.683017679233679,-1.0,2,2026_02_11,-10.0,44
306.25,-86.25,-0.0034449262445296336,300.85,490.625,0.6242038216560509,0.6131974522292994,0.7929527617195619,-1.0,4,2026_02_20,523.0,48
123.5,-63.0,-0.004206790677273364,350.7,465.0625,0.26555570487837654,0.7540921919096896,1.1742736620936312,-1.0,0,2026_02_23,-521.0,27
372.25,-183.5,-0.0073979898290152946,337.1,462.4125,0.805017165409672,0.7290027843105452,1.448929233831927,-1.0,1,2026_02_24,485.0,30
500.0,272.25,0.010870758757000054,369.05,456.95,1.09421162052741,0.8076375971112814,1.7384330046640837,1.0,3,2026_02_26,-342.5,31
185.25,54.25,-0.008556256888087366,388.85,389.0375,0.4761751759149182,0.9995180413199242,4.232785110381102,1.0,0,2026_03_02,-21.5,52
718.5,469.0,0.01899605303106977,495.55,407.65,1.7625413958052252,1.2156261498834786,7.563707856198006,1.0,3,2026_03_05,-570.5,71
333.0,-285.5,-0.01809555670447982,537.85,406.8,0.8185840707964601,1.3221484759095379,9.031978126578858,-1.0,0,2026_03_09,-1058.0,89
1056.0,666.5,0.027555803340973295,622.6,438.7625,2.4067690379191475,1.418990911939831,12.177094619834635,1.0,1,2026_03_10,-872.5,62
447.5,-228.5,-0.009104264313482546,551.65,463.55,0.9653759033545464,1.1900550102470067,9.816340001838427,-1.0,3,2026_03_12,177.0,62
379.25,117.25,0.004763545699633109,373.9,469.35,0.8080323852135932,0.7966336422712261,1.9896179305978225,1.0,2,2026_03_18,-592.5,38
