**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,seg_idx,shape_class,cluster_id,ride_pnl_pts,resolved_as_cascade,length_min,peak_abs_z
2025_01_24,4,EXPONENTIAL_DOWN,1,-7.0,False,165.08,2.26
2025_01_24,5,EXPONENTIAL_UP,0,-10.25,False,44.92,1.662
2025_01_24,6,STEP_DOWN,1,13.75,False,30.0,2.131
2025_01_24,7,EXPONENTIAL_DOWN,1,6.0,False,30.0,3.126
2025_01_24,8,EXPONENTIAL_DOWN,-1,-22.0,False,75.0,2.437
2025_01_24,9,EXPONENTIAL_UP,0,-11.0,False,75.0,2.625
2025_01_24,10,NOISE,0,14.25,False,30.0,1.32
2025_01_24,11,EXPONENTIAL_UP,0,51.25,True,240.0,4.172
2025_01_24,12,LINEAR_DOWN,1,46.5,False,90.0,2.735
2025_01_24,13,LINEAR_DOWN,1,106.25,False,329.92,3.572
2025_01_27,0,NOISE,1,0.0,True,780.0,5.302
2025_01_27,1,LINEAR_UP,0,144.75,False,270.0,3.635
2025_01_27,2,LINEAR_DOWN,1,54.0,False,105.0,1.99
2025_01_27,3,EXPONENTIAL_DOWN,1,-17.0,False,75.0,2.568
2025_01_27,4,LINEAR_UP,0,137.75,False,209.92,3.423
2025_01_28,1,LINEAR_UP,1,27.0,False,45.0,2.147
2025_01_28,2,LOGARITHMIC_DOWN,1,7.5,True,90.0,5.485
2025_01_28,3,LINEAR_UP,0,-19.0,False,45.0,1.658
2025_01_28,4,EXPONENTIAL_DOWN,-1,-8.5,False,45.0,0.7
2025_01_28,5,NOISE,0,0.0,True,120.0,4.494
2025_01_28,6,NOISE,0,-15.75,False,30.0,2.605
2025_01_28,7,LINEAR_UP,0,65.0,True,270.0,5.037
2025_01_28,8,LINEAR_DOWN,1,65.25,True,195.0,4.856
2025_01_28,9,LOGARITHMIC_UP,0,273.75,True,360.0,4.026
2025_01_28,10,BACK_SKEWED_UP,0,-19.5,False,179.92,1.638
2025_01_29,0,NOISE,0,0.0,True,570.0,6.351
2025_01_29,1,SYMMETRIC_V_UP,0,-18.0,False,45.0,2.692
2025_01_29,2,BACK_SKEWED_DOWN,0,-4.5,False,30.0,2.227
2025_01_29,3,EXPONENTIAL_DOWN,0,-6.25,False,60.0,1.665
2025_01_29,4,STEP_UP,-1,-2.5,False,30.0,3.687
2025_01_29,5,STEP_UP,0,-11.5,False,30.0,1.601
2025_01_29,6,LINEAR_DOWN,1,127.25,True,285.0,6.498
2025_01_29,7,EXPONENTIAL_DOWN,1,132.0,True,120.0,6.928
2025_01_29,8,STEP_UP,0,141.75,False,30.0,2.247
2025_01_29,9,EXPONENTIAL_UP,0,1.75,False,239.92,2.322
2025_01_30,0,NOISE,0,0.0,False,300.0,3.439
2025_01_30,1,EXPONENTIAL_DOWN,0,-0.5,False,45.0,2.635
2025_01_30,2,EXPONENTIAL_DOWN,1,-2.5,False,120.0,2.873
2025_01_30,3,LINEAR_UP,0,-9.25,True,120.0,4.275
2025_01_30,4,STEP_DOWN,0,18.5,False,30.0,1.611
2025_01_30,5,LINEAR_DOWN,1,3.75,True,165.0,4.056
2025_01_30,6,EXPONENTIAL_UP,0,18.75,False,30.0,0.912
2025_01_30,7,NOISE,1,22.5,False,30.0,1.847
2025_01_30,8,EXPONENTIAL_DOWN,1,23.0,False,45.0,1.911
2025_01_30,9,LINEAR_DOWN,1,94.5,True,210.0,5.335
2025_01_30,10,LOGARITHMIC_UP,0,143.75,False,344.92,2.564
2025_01_31,1,LINEAR_UP,0,31.25,True,210.0,4.364
2025_01_31,2,LOGARITHMIC_DOWN,0,-8.75,False,105.0,1.8
2025_01_31,3,LOGARITHMIC_UP,0,39.0,True,225.0,4.784
2025_01_31,4,STEP_DOWN,0,-6.25,False,30.0,1.178
2025_01_31,5,BACK_SKEWED_UP,0,5.25,False,30.0,1.188
2025_01_31,6,EXPONENTIAL_UP,0,13.25,False,75.0,2.652
2025_01_31,7,LINEAR_UP,0,-10.75,False,75.0,1.923
2025_01_31,8,BACK_SKEWED_DOWN,0,-8.5,False,30.0,4.627
2025_01_31,9,STEP_DOWN,1,7.0,False,30.0,4.803
2025_01_31,10,LINEAR_UP,0,136.0,True,225.0,5.344
2025_01_31,11,EXPONENTIAL_DOWN,1,335.5,True,224.92,6.023
2025_02_03,1,LINEAR_DOWN,1,85.5,False,255.0,3.35
2025_02_03,2,LINEAR_UP,0,193.0,True,390.0,4.091
2025_02_03,3,NOISE,-1,-9.25,False,30.0,1.524
2025_02_03,4,STEP_DOWN,1,24.5,False,30.0,2.321
2025_02_03,5,STEP_UP,0,34.75,False,30.0,1.926
2025_02_03,6,LINEAR_DOWN,0,29.25,False,60.0,1.608
2025_02_03,7,NOISE,-1,58.5,False,45.0,5.68
2025_02_03,8,LINEAR_UP,0,281.5,True,195.0,4.54
2025_02_03,9,LINEAR_UP,0,156.5,False,329.58,3.459
2025_02_04,1,LINEAR_DOWN,1,142.75,True,435.0,10.625
2025_02_04,2,STEP_UP,0,-52.75,False,30.0,1.48
2025_02_04,3,EXPONENTIAL_UP,0,-0.5,False,75.0,2.548
2025_02_04,4,LOGARITHMIC_DOWN,0,-25.0,False,75.0,0.989
2025_02_04,5,EXPONENTIAL_UP,0,233.25,True,420.0,5.018
2025_02_04,6,LINEAR_DOWN,0,-10.25,False,120.0,2.021
2025_02_04,7,LINEAR_UP,0,-14.75,False,75.0,2.506
2025_02_04,8,EXPONENTIAL_DOWN,1,51.25,False,164.92,3.435
2025_02_05,1,LINEAR_DOWN,1,121.5,True,600.0,4.222
2025_02_05,2,STEP_UP,0,3.5,False,30.0,1.543
2025_02_05,3,EXPONENTIAL_UP,-1,221.25,False,465.0,3.668
2025_02_05,4,NOISE,0,-8.75,False,30.0,1.337
2025_02_05,5,STEP_UP,0,-26.75,False,30.0,4.459
2025_02_05,6,LOGARITHMIC_UP,0,78.5,False,194.92,3.813
2025_02_06,1,EXPONENTIAL_DOWN,1,3.0,False,75.0,2.737
2025_02_06,2,LINEAR_UP,-1,8.75,False,45.25,1.022
2025_02_06,3,EXPONENTIAL_DOWN,0,9.0,False,44.75,1.547
2025_02_06,4,LINEAR_UP,0,30.0,False,240.0,3.591
2025_02_06,5,LINEAR_DOWN,1,2.75,False,75.0,3.626
2025_02_06,6,EXPONENTIAL_DOWN,1,19.75,False,300.0,3.499
2025_02_06,7,LINEAR_UP,0,-14.25,False,165.0,3.691
2025_02_06,8,STEP_DOWN,0,-0.0,False,30.0,1.881
2025_02_06,9,EXPONENTIAL_UP,0,50.75,False,45.0,2.06
2025_02_06,10,EXPONENTIAL_UP,0,2.75,False,75.0,2.46
2025_02_06,11,EXPONENTIAL_DOWN,1,56.0,False,60.0,3.739
2025_02_06,12,EXPONENTIAL_UP,0,90.75,False,224.92,2.655
2025_02_07,1,LINEAR_UP,0,21.0,True,194.92,23.859
2025_02_07,2,LINEAR_DOWN,1,8.5,False,195.0,3.081
2025_02_07,3,EXPONENTIAL_UP,0,4.0,False,60.0,2.535
2025_02_07,4,STEP_DOWN,1,9.5,False,30.0,1.776
2025_02_07,5,EXPONENTIAL_UP,0,2.0,False,60.0,1.709
2025_02_07,6,EXPONENTIAL_DOWN,0,6.75,False,30.0,0.815
2025_02_07,7,EXPONENTIAL_DOWN,0,2.0,False,60.08,1.153
2025_02_07,8,LINEAR_UP,0,5.75,False,119.92,2.813
2025_02_07,9,EXPONENTIAL_UP,0,17.5,True,105.0,7.959
2025_02_07,10,LOGARITHMIC_DOWN,1,299.75,True,419.92,7.93
2025_02_10,0,NOISE,-1,0.0,True,120.0,78.489
2025_02_10,1,STEP_DOWN,0,1.0,False,30.0,0.879
2025_02_10,2,EXPONENTIAL_UP,0,8.75,False,75.0,0.997
2025_02_10,3,LINEAR_UP,0,21.5,False,210.0,3.224
2025_02_10,4,NOISE,0,-7.0,False,45.0,1.603
2025_02_10,5,EXPONENTIAL_DOWN,0,-0.0,False,60.0,1.295
2025_02_10,6,EXPONENTIAL_UP,0,173.25,True,570.0,4.624
2025_02_10,7,EXPONENTIAL_UP,0,-3.25,False,75.0,1.801
2025_02_10,8,EXPONENTIAL_UP,0,-5.25,False,60.0,2.401
2025_02_10,9,EXPONENTIAL_DOWN,1,59.75,True,194.92,5.227
2025_02_11,1,STEP_DOWN,0,2.0,False,30.0,1.173
2025_02_11,2,LINEAR_DOWN,1,20.5,False,195.0,3.96
2025_02_11,3,LINEAR_UP,0,-6.5,False,105.0,2.416
2025_02_11,4,LINEAR_DOWN,1,33.75,True,240.0,4.474
2025_02_11,5,EXPONENTIAL_UP,0,8.75,False,30.08,2.001
2025_02_11,6,EXPONENTIAL_DOWN,0,-17.25,False,44.92,1.469
2025_02_11,7,LINEAR_DOWN,0,20.75,False,45.0,1.99
2025_02_11,8,EXPONENTIAL_DOWN,1,41.0,True,105.0,4.737
2025_02_11,9,LINEAR_UP,0,81.25,False,180.0,2.807
2025_02_11,10,LINEAR_DOWN,-1,-41.0,False,135.0,1.854
2025_02_11,11,LOGARITHMIC_UP,0,-37.75,False,105.0,1.812
2025_02_11,12,LOGARITHMIC_DOWN,0,1.5,False,105.0,1.194
2025_02_11,13,EXPONENTIAL_DOWN,0,-19.5,False,44.92,1.364
2025_02_12,2,LOGARITHMIC_UP,0,17.5,False,75.08,2.477
2025_02_12,3,LINEAR_DOWN,1,39.25,False,284.92,3.336
2025_02_12,4,EXPONENTIAL_UP,0,13.5,False,90.0,3.529
2025_02_12,5,LOGARITHMIC_DOWN,1,4.5,True,180.0,5.076
2025_02_12,6,LINEAR_UP,0,-17.5,False,90.0,3.02
2025_02_12,7,LOGARITHMIC_DOWN,1,107.5,True,180.0,15.1
2025_02_12,8,LOGARITHMIC_UP,0,123.25,False,255.0,2.695
2025_02_12,9,EXPONENTIAL_UP,0,100.5,False,194.92,2.602
2025_02_13,1,BACK_SKEWED_DOWN,0,3.25,False,30.08,2.524
2025_02_13,2,LINEAR_DOWN,0,15.0,False,74.92,2.309
2025_02_13,3,LINEAR_UP,0,22.25,False,210.0,3.229
2025_02_13,4,LINEAR_DOWN,1,72.0,True,270.0,4.224
2025_02_13,5,EXPONENTIAL_UP,0,-11.0,False,60.0,1.773
2025_02_13,6,EXPONENTIAL_DOWN,1,26.0,False,75.0,2.706
2025_02_13,7,LINEAR_UP,0,157.0,False,300.0,3.882
2025_02_13,8,LINEAR_DOWN,-1,-62.25,False,60.0,2.966
2025_02_13,9,LINEAR_UP,0,63.5,False,284.92,2.902
2025_02_14,0,NOISE,0,0.0,False,285.0,3.047
2025_02_14,1,NOISE,0,-6.0,False,45.0,2.183
2025_02_14,2,LOGARITHMIC_DOWN,1,4.0,True,90.0,5.114
2025_02_14,3,LOGARITHMIC_UP,0,13.0,False,60.0,3.077
2025_02_14,4,LINEAR_DOWN,1,33.5,False,60.0,2.531
2025_02_14,5,EXPONENTIAL_UP,-1,23.5,False,45.0,1.968
2025_02_14,6,LINEAR_DOWN,1,31.25,False,255.0,3.895
2025_02_14,7,LINEAR_UP,0,9.5,False,195.0,3.974
2025_02_14,8,EXPONENTIAL_UP,0,88.25,False,284.92,2.89
2025_02_17,1,LINEAR_UP,0,55.5,False,315.0,3.744
2025_02_17,2,EXPONENTIAL_UP,-1,-7.5,False,90.0,1.704
2025_02_17,3,LINEAR_DOWN,1,17.5,True,180.0,5.289
2025_02_17,4,LINEAR_UP,-1,7.5,False,180.08,2.534
2025_02_17,5,LINEAR_DOWN,1,19.25,True,239.92,12.765
2025_02_17,6,LOGARITHMIC_UP,0,-11.25,False,345.0,2.016
2025_02_17,7,LINEAR_DOWN,1,0.5,False,44.92,3.379
2025_02_18,0,NOISE,0,0.0,False,345.0,3.702
2025_02_18,1,LINEAR_UP,0,32.25,True,225.0,8.233
2025_02_18,2,LOGARITHMIC_DOWN,1,2.75,False,165.0,2.393
2025_02_18,3,EXPONENTIAL_UP,0,26.5,False,120.0,3.962
2025_02_18,4,LINEAR_DOWN,1,133.5,True,240.0,4.71
2025_02_18,5,LINEAR_DOWN,1,5.0,True,150.0,4.301
2025_02_18,6,EXPONENTIAL_UP,0,77.75,True,194.92,4.132
2025_02_19,0,NOISE,0,0.0,False,120.0,2.816
2025_02_19,1,EXPONENTIAL_UP,-1,4.0,False,135.08,2.332
2025_02_19,2,LINEAR_DOWN,1,18.25,False,254.92,3.153
2025_02_19,3,LINEAR_DOWN,1,42.5,True,465.0,5.68
2025_02_19,4,LINEAR_UP,0,50.25,False,240.0,2.885
2025_02_19,5,NOISE,1,43.75,False,30.0,1.67
2025_02_19,6,NOISE,1,-5.75,False,30.0,1.379
2025_02_19,7,EXPONENTIAL_DOWN,1,-0.75,False,164.92,1.379
2025_02_20,1,LINEAR_DOWN,1,48.75,True,225.0,4.109
2025_02_20,2,BACK_SKEWED_UP,0,-0.0,False,30.0,2.355
2025_02_20,3,LINEAR_DOWN,1,12.5,True,180.0,5.352
2025_02_20,4,EXPONENTIAL_UP,0,24.25,False,225.0,2.626
2025_02_20,5,STEP_DOWN,0,0.75,False,30.0,2.213
2025_02_20,6,STEP_UP,0,19.75,False,30.0,1.116
2025_02_20,7,LINEAR_DOWN,0,3.0,False,60.0,1.31
2025_02_20,8,STEP_UP,0,1.5,False,30.0,3.07
2025_02_20,9,LINEAR_DOWN,1,114.5,True,195.0,14.088
2025_02_20,10,STEP_UP,0,-26.75,False,30.0,1.256
2025_02_20,11,EXPONENTIAL_UP,0,96.25,False,344.92,2.602
2025_02_21,0,NOISE,1,0.0,False,120.0,2.686
2025_02_21,1,EXPONENTIAL_DOWN,0,-4.0,False,45.08,1.132
2025_02_21,2,EXPONENTIAL_DOWN,1,4.0,False,224.92,3.252
2025_02_21,3,EXPONENTIAL_UP,0,34.75,True,480.0,7.885
2025_02_21,4,LINEAR_DOWN,1,515.5,False,449.92,3.894
