level,parent_motif_idx,seg_idx,start_ts,end_ts,start_iso,end_iso,length_min,slope_pts_per_min,mean_sigma,sigma_rank_mid,r2adj,shape_class,shape_pearson_r,peak_abs_z,tod_start_hour_utc,net_move_pts,day,split,sequence_position,prev_seg_shape,next_seg_idx,next_seg_continued,ride_pnl_pts,fade_pnl_pts,max_mfe_ride_pts,max_mae_ride_pts,max_mfe_fade_pts,max_mae_fade_pts,time_to_max_z_min,time_to_revert_min,resolved_as_cascade,extended_60m,extended_120m
motif,-1,2,1739511000,1739516400,2025-02-14T05:30:00+00:00,2025-02-14T07:00:00+00:00,90.0,-0.0431,6.958,0.926,0.079,FLATLINE,0.0,5.114,5,-4.0,2025_02_14,IS,2,FLATLINE,5,False,4.0,-4.0,24.25,-0.5,0.5,-24.25,17.75,17.92,True,True,False
motif,-1,3,1739516400,1739520000,2025-02-14T07:00:00+00:00,2025-02-14T08:00:00+00:00,60.0,0.0552,10.43,0.901,0.011,FLATLINE,0.0,3.077,7,13.0,2025_02_14,IS,3,FLATLINE,4,False,13.0,-13.0,27.0,0.0,-0.0,-27.0,23.58,24.83,False,True,False
motif,-1,4,1739520000,1739523600,2025-02-14T08:00:00+00:00,2025-02-14T09:00:00+00:00,60.0,-0.0302,12.58,0.794,0.705,FLATLINE,0.0,2.531,8,-33.5,2025_02_14,IS,4,FLATLINE,3,False,33.5,-33.5,44.0,-0.0,0.0,-44.0,50.17,,False,True,False
motif,-1,5,1739523600,1739526300,2025-02-14T09:00:00+00:00,2025-02-14T09:45:00+00:00,45.0,0.0449,13.658,0.947,0.165,FLATLINE,0.0,1.968,9,23.5,2025_02_14,IS,5,FLATLINE,2,False,23.5,-23.5,31.5,-5.5,5.5,-31.5,31.0,37.33,False,False,False
motif,-1,6,1739526300,1739541600,2025-02-14T09:45:00+00:00,2025-02-14T14:00:00+00:00,255.0,-0.2282,19.471,0.922,0.146,LINEAR_DOWN,0.99,3.895,9,-31.25,2025_02_14,IS,6,FLATLINE,1,False,31.25,-31.25,94.0,-0.0,0.0,-94.0,129.33,133.92,False,True,True
motif,-1,7,1739541600,1739553300,2025-02-14T14:00:00+00:00,2025-02-14T17:15:00+00:00,195.0,0.2726,20.127,0.938,0.23,LINEAR_UP,0.994,3.974,14,9.5,2025_02_14,IS,7,LINEAR_DOWN,0,True,9.5,-9.5,64.75,-13.5,13.5,-64.75,117.67,118.5,False,True,True
motif,-1,8,1739553300,1739570395,2025-02-14T17:15:00+00:00,2025-02-14T21:59:55+00:00,284.92,0.2079,23.033,0.957,0.665,EXPONENTIAL_UP,0.99,2.89,17,88.25,2025_02_14,IS,8,LINEAR_UP,-1,False,88.25,-88.25,105.75,-20.5,20.5,-105.75,219.58,,False,True,True
motif,-1,0,1739746800,1739750385,2025-02-16T23:00:00+00:00,2025-02-16T23:59:45+00:00,59.75,,12.9,,0.036,FLATLINE,0.0,0.941,23,-8.25,2025_02_16,IS,0,NONE,-1,False,0.0,-0.0,7.0,-22.75,22.75,-7.0,29.5,30.33,False,False,False
motif,-1,0,1739750400,1739753100,2025-02-17T00:00:00+00:00,2025-02-17T00:45:00+00:00,45.0,,3.883,,0.313,FLATLINE,0.0,3.214,0,2.5,2025_02_17,IS,0,NONE,6,False,0.0,-0.0,15.75,-10.25,10.25,-15.75,11.75,11.92,False,False,False
motif,-1,1,1739753100,1739772000,2025-02-17T00:45:00+00:00,2025-02-17T06:00:00+00:00,315.0,0.1737,12.009,0.987,0.753,LINEAR_UP,0.991,3.744,0,55.5,2025_02_17,IS,1,FLATLINE,5,True,55.5,-55.5,67.0,-1.0,1.0,-67.0,270.83,,False,True,True
motif,-1,2,1739772000,1739777400,2025-02-17T06:00:00+00:00,2025-02-17T07:30:00+00:00,90.0,0.0333,7.565,0.939,0.074,FLATLINE,0.0,1.704,6,-7.5,2025_02_17,IS,2,LINEAR_UP,4,False,-7.5,7.5,7.25,-8.75,8.75,-7.25,83.17,84.08,False,True,False
motif,-1,3,1739777400,1739788200,2025-02-17T07:30:00+00:00,2025-02-17T10:30:00+00:00,180.0,-0.1605,12.064,0.94,0.059,LINEAR_DOWN,0.995,5.289,7,-17.5,2025_02_17,IS,3,FLATLINE,3,False,17.5,-17.5,33.75,-2.25,2.25,-33.75,132.83,139.25,True,True,True
motif,-1,4,1739788200,1739799005,2025-02-17T10:30:00+00:00,2025-02-17T13:30:05+00:00,180.08,0.0602,7.869,0.314,0.046,LINEAR_UP,0.995,2.534,10,7.5,2025_02_17,IS,4,LINEAR_DOWN,2,False,7.5,-7.5,25.5,-5.75,5.75,-25.5,49.08,51.5,False,True,True
motif,-1,5,1739799005,1739813400,2025-02-17T13:30:05+00:00,2025-02-17T17:30:00+00:00,239.92,-0.0954,13.342,0.733,0.002,LINEAR_DOWN,0.981,12.765,13,-19.25,2025_02_17,IS,5,LINEAR_UP,1,False,19.25,-19.25,58.5,-7.5,7.5,-58.5,72.75,73.58,True,True,True
motif,-1,6,1739813400,1739834100,2025-02-17T17:30:00+00:00,2025-02-17T23:15:00+00:00,345.0,0.015,10.712,0.056,0.519,FLATLINE,0.0,2.016,17,-11.25,2025_02_17,IS,6,LINEAR_DOWN,0,False,-11.25,11.25,9.75,-15.25,15.25,-9.75,335.67,337.42,False,True,True
motif,-1,7,1739834100,1739836795,2025-02-17T23:15:00+00:00,2025-02-17T23:59:55+00:00,44.92,-0.0682,9.852,0.467,0.001,FLATLINE,0.0,3.379,23,-0.5,2025_02_17,IS,7,FLATLINE,-1,False,0.5,-0.5,22.0,-2.0,2.0,-22.0,22.33,,False,False,False
motif,-1,0,1739836800,1739857500,2025-02-18T00:00:00+00:00,2025-02-18T05:45:00+00:00,345.0,,8.777,0.579,0.87,NOISE,-999.0,3.702,0,36.25,2025_02_18,IS,0,NONE,5,False,0.0,-0.0,51.0,-5.25,5.25,-51.0,304.0,,False,True,True
motif,-1,1,1739857500,1739871000,2025-02-18T05:45:00+00:00,2025-02-18T09:30:00+00:00,225.0,0.1664,16.074,0.987,0.176,LINEAR_UP,0.99,8.233,5,32.25,2025_02_18,IS,1,NOISE,4,False,32.25,-32.25,64.25,-5.75,5.75,-64.25,135.0,136.5,True,True,True
motif,-1,2,1739871000,1739880900,2025-02-18T09:30:00+00:00,2025-02-18T12:15:00+00:00,165.0,-0.1131,10.397,0.106,0.025,LOGARITHMIC_DOWN,0.991,2.393,9,-2.75,2025_02_18,IS,2,LINEAR_UP,3,False,2.75,-2.75,23.0,-3.5,3.5,-23.0,34.67,34.83,False,True,True
motif,-1,3,1739880900,1739888100,2025-02-18T12:15:00+00:00,2025-02-18T14:15:00+00:00,120.0,0.0955,7.051,0.475,0.531,EXPONENTIAL_UP,0.981,3.962,12,26.5,2025_02_18,IS,3,LOGARITHMIC_DOWN,2,False,26.5,-26.5,33.5,-14.0,14.0,-33.5,117.92,,False,True,True
motif,-1,4,1739888100,1739902500,2025-02-18T14:15:00+00:00,2025-02-18T18:15:00+00:00,240.0,-0.457,38.256,0.75,0.171,LINEAR_DOWN,0.995,4.71,14,-133.5,2025_02_18,IS,4,EXPONENTIAL_UP,1,True,133.5,-133.5,182.25,-3.25,3.25,-182.25,76.25,108.0,True,True,True
motif,-1,5,1739902500,1739911500,2025-02-18T18:15:00+00:00,2025-02-18T20:45:00+00:00,150.0,-0.1157,18.467,0.75,0.163,LINEAR_DOWN,0.95,4.301,18,-5.0,2025_02_18,IS,5,LINEAR_DOWN,0,False,5.0,-5.0,71.0,-8.75,8.75,-71.0,65.5,65.92,True,True,True
motif,-1,6,1739911500,1739923195,2025-02-18T20:45:00+00:00,2025-02-18T23:59:55+00:00,194.92,0.2518,31.095,0.89,0.481,EXPONENTIAL_UP,0.991,4.132,20,77.75,2025_02_18,IS,6,LINEAR_DOWN,-1,False,77.75,-77.75,79.5,-10.0,10.0,-79.5,187.42,,True,True,True
motif,-1,0,1739923200,1739930400,2025-02-19T00:00:00+00:00,2025-02-19T02:00:00+00:00,120.0,,7.242,0.993,0.65,NOISE,-999.0,2.816,0,22.0,2025_02_19,IS,0,NONE,6,False,0.0,-0.0,34.25,-5.5,5.5,-34.25,89.92,94.92,False,True,True
