day,seg_idx,original_shape,absorbed_to
2025_01_08,8,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_08,9,LINEAR_DOWN,LINEAR_DOWN
2025_01_08,10,FLATLINE,FLATLINE
2025_01_08,11,FLATLINE,FLATLINE
2025_01_08,12,FLATLINE,FLATLINE
2025_01_08,13,FLATLINE,FLATLINE
2025_01_08,14,FLATLINE,FLATLINE
2025_01_08,15,FLATLINE,FLATLINE
2025_01_08,16,FLATLINE,FLATLINE
2025_01_08,17,FLATLINE,FLATLINE
2025_01_08,18,FLATLINE,FLATLINE
2025_01_08,19,FLATLINE,FLATLINE
2025_01_08,20,FLATLINE,FLATLINE
2025_01_09,0,FLATLINE,FLATLINE
2025_01_09,1,LINEAR_UP,LINEAR_UP
2025_01_09,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_09,3,LINEAR_DOWN,LINEAR_DOWN
2025_01_09,4,FLATLINE,FLATLINE
2025_01_09,5,FLATLINE,FLATLINE
2025_01_09,6,FLATLINE,FLATLINE
2025_01_09,7,FLATLINE,FLATLINE
2025_01_09,8,FLATLINE,FLATLINE
2025_01_10,0,FLATLINE,FLATLINE
2025_01_10,1,LINEAR_UP,LINEAR_UP
2025_01_10,2,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_01_10,3,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_10,4,FLATLINE,FLATLINE
2025_01_10,5,LINEAR_DOWN,LINEAR_DOWN
2025_01_10,6,LINEAR_UP,LINEAR_UP
2025_01_10,7,FLATLINE,FLATLINE
2025_01_12,0,FLATLINE,FLATLINE
2025_01_13,0,NOISE,NOISE
2025_01_13,1,FLATLINE,FLATLINE
2025_01_13,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_13,3,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_13,4,FLATLINE,FLATLINE
2025_01_13,5,FLATLINE,FLATLINE
2025_01_13,6,LINEAR_UP,LINEAR_UP
2025_01_14,0,NOISE,NOISE
2025_01_14,1,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_14,2,FLATLINE,FLATLINE
2025_01_14,3,FLATLINE,FLATLINE
2025_01_14,4,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_14,5,LINEAR_DOWN,LINEAR_DOWN
2025_01_14,6,FLATLINE,FLATLINE
2025_01_14,7,FLATLINE,FLATLINE
2025_01_14,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_14,9,FLATLINE,FLATLINE
2025_01_14,10,FLATLINE,FLATLINE
2025_01_14,11,FLATLINE,FLATLINE
2025_01_14,12,FLATLINE,FLATLINE
2025_01_15,0,NOISE,NOISE
2025_01_15,1,FLATLINE,FLATLINE
2025_01_15,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_15,3,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_15,4,FLATLINE,FLATLINE
2025_01_15,5,FLATLINE,FLATLINE
2025_01_15,6,FLATLINE,FLATLINE
2025_01_15,7,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_15,8,FLATLINE,FLATLINE
2025_01_15,9,FLATLINE,FLATLINE
2025_01_15,10,FLATLINE,FLATLINE
2025_01_15,11,LINEAR_UP,LINEAR_UP
2025_01_15,12,FLATLINE,FLATLINE
2025_01_16,0,FLATLINE,FLATLINE
2025_01_16,1,FLATLINE,FLATLINE
2025_01_16,2,LINEAR_DOWN,LINEAR_DOWN
2025_01_16,3,LINEAR_UP,LINEAR_UP
2025_01_16,4,LINEAR_DOWN,LINEAR_DOWN
2025_01_16,5,LINEAR_DOWN,LINEAR_DOWN
2025_01_16,6,FLATLINE,FLATLINE
2025_01_16,7,FLATLINE,FLATLINE
2025_01_16,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_17,0,NOISE,NOISE
2025_01_17,1,FLATLINE,FLATLINE
2025_01_17,2,LINEAR_UP,LINEAR_UP
2025_01_17,3,FLATLINE,FLATLINE
2025_01_17,4,LINEAR_UP,LINEAR_UP
2025_01_17,5,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_17,6,FLATLINE,FLATLINE
2025_01_17,7,FLATLINE,FLATLINE
2025_01_19,0,FLATLINE,FLATLINE
2025_01_20,0,FLATLINE,FLATLINE
2025_01_20,1,FLATLINE,FLATLINE
2025_01_20,2,FLATLINE,FLATLINE
2025_01_20,3,FLATLINE,FLATLINE
2025_01_20,4,LINEAR_UP,LINEAR_UP
2025_01_20,5,FLATLINE,FLATLINE
2025_01_20,6,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_20,7,LINEAR_UP,LINEAR_UP
2025_01_20,8,FLATLINE,FLATLINE
2025_01_20,9,FLATLINE,FLATLINE
2025_01_21,0,NOISE,NOISE
2025_01_21,1,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_21,2,FLATLINE,FLATLINE
2025_01_21,3,LINEAR_UP,LINEAR_UP
2025_01_21,4,FLATLINE,FLATLINE
2025_01_21,5,FLATLINE,FLATLINE
2025_01_21,6,FLATLINE,FLATLINE
2025_01_21,7,LINEAR_DOWN,LINEAR_DOWN
2025_01_21,8,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_21,9,FLATLINE,FLATLINE
2025_01_22,0,NOISE,NOISE
2025_01_22,1,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_22,2,FLATLINE,FLATLINE
2025_01_22,3,FLATLINE,FLATLINE
2025_01_22,4,LINEAR_UP,LINEAR_UP
2025_01_22,5,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_22,6,LINEAR_DOWN,LINEAR_DOWN
2025_01_23,0,FLATLINE,FLATLINE
2025_01_23,1,FLATLINE,FLATLINE
2025_01_23,2,FLATLINE,FLATLINE
2025_01_23,3,FLATLINE,FLATLINE
2025_01_23,4,FLATLINE,FLATLINE
2025_01_23,5,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_23,6,LINEAR_DOWN,LINEAR_DOWN
2025_01_23,7,FLATLINE,FLATLINE
2025_01_23,8,FLATLINE,FLATLINE
2025_01_23,9,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_23,10,FLATLINE,FLATLINE
2025_01_23,11,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_24,0,FLATLINE,FLATLINE
2025_01_24,1,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_24,2,FLATLINE,FLATLINE
2025_01_24,3,FLATLINE,FLATLINE
2025_01_24,4,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_24,5,FLATLINE,FLATLINE
2025_01_24,6,FLATLINE,FLATLINE
2025_01_24,7,FLATLINE,FLATLINE
2025_01_24,8,FLATLINE,FLATLINE
2025_01_24,9,FLATLINE,FLATLINE
2025_01_24,10,FLATLINE,FLATLINE
2025_01_24,11,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_24,12,FLATLINE,FLATLINE
2025_01_24,13,LINEAR_DOWN,LINEAR_DOWN
2025_01_26,0,FLATLINE,FLATLINE
2025_01_27,0,NOISE,NOISE
2025_01_27,1,LINEAR_UP,LINEAR_UP
2025_01_27,2,LINEAR_DOWN,LINEAR_DOWN
2025_01_27,3,FLATLINE,FLATLINE
2025_01_27,4,LINEAR_UP,LINEAR_UP
2025_01_28,0,FLATLINE,FLATLINE
2025_01_28,1,FLATLINE,FLATLINE
2025_01_28,2,FLATLINE,FLATLINE
2025_01_28,3,FLATLINE,FLATLINE
2025_01_28,4,FLATLINE,FLATLINE
2025_01_28,5,FLATLINE,FLATLINE
2025_01_28,6,FLATLINE,FLATLINE
2025_01_28,7,LINEAR_UP,LINEAR_UP
2025_01_28,8,LINEAR_DOWN,LINEAR_DOWN
2025_01_28,9,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_28,10,FLATLINE,FLATLINE
2025_01_29,0,NOISE,NOISE
2025_01_29,1,FLATLINE,FLATLINE
2025_01_29,2,FLATLINE,FLATLINE
2025_01_29,3,FLATLINE,FLATLINE
2025_01_29,4,FLATLINE,FLATLINE
2025_01_29,5,FLATLINE,FLATLINE
2025_01_29,6,LINEAR_DOWN,LINEAR_DOWN
2025_01_29,7,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_29,8,FLATLINE,FLATLINE
2025_01_29,9,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_30,0,NOISE,NOISE
2025_01_30,1,FLATLINE,FLATLINE
2025_01_30,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_01_30,3,FLATLINE,FLATLINE
2025_01_30,4,FLATLINE,FLATLINE
2025_01_30,5,LINEAR_DOWN,LINEAR_DOWN
2025_01_30,6,FLATLINE,FLATLINE
2025_01_30,7,FLATLINE,FLATLINE
2025_01_30,8,FLATLINE,FLATLINE
2025_01_30,9,LINEAR_DOWN,LINEAR_DOWN
2025_01_30,10,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_31,0,FLATLINE,FLATLINE
2025_01_31,1,LINEAR_UP,LINEAR_UP
2025_01_31,2,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_01_31,3,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_01_31,4,FLATLINE,FLATLINE
2025_01_31,5,FLATLINE,FLATLINE
2025_01_31,6,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_01_31,7,FLATLINE,FLATLINE
2025_01_31,8,FLATLINE,FLATLINE
2025_01_31,9,FLATLINE,FLATLINE
2025_01_31,10,LINEAR_UP,LINEAR_UP
2025_01_31,11,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_02,0,FLATLINE,FLATLINE
2025_02_03,0,FLATLINE,FLATLINE
2025_02_03,1,LINEAR_DOWN,LINEAR_DOWN
2025_02_03,2,LINEAR_UP,LINEAR_UP
2025_02_03,3,FLATLINE,FLATLINE
2025_02_03,4,FLATLINE,FLATLINE
2025_02_03,5,FLATLINE,FLATLINE
2025_02_03,6,FLATLINE,FLATLINE
2025_02_03,7,FLATLINE,FLATLINE
2025_02_03,8,LINEAR_UP,LINEAR_UP
2025_02_03,9,LINEAR_UP,LINEAR_UP
2025_02_04,0,NOISE,NOISE
2025_02_04,1,LINEAR_DOWN,LINEAR_DOWN
2025_02_04,2,FLATLINE,FLATLINE
2025_02_04,3,FLATLINE,FLATLINE
2025_02_04,4,FLATLINE,FLATLINE
2025_02_04,5,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_04,6,FLATLINE,FLATLINE
2025_02_04,7,FLATLINE,FLATLINE
2025_02_04,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_05,0,NOISE,NOISE
2025_02_05,1,LINEAR_DOWN,LINEAR_DOWN
2025_02_05,2,FLATLINE,FLATLINE
2025_02_05,3,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_05,4,FLATLINE,FLATLINE
2025_02_05,5,FLATLINE,FLATLINE
2025_02_05,6,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_02_06,0,NOISE,NOISE
2025_02_06,1,FLATLINE,FLATLINE
2025_02_06,2,FLATLINE,FLATLINE
2025_02_06,3,FLATLINE,FLATLINE
2025_02_06,4,LINEAR_UP,LINEAR_UP
2025_02_06,5,FLATLINE,FLATLINE
2025_02_06,6,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_06,7,LINEAR_UP,LINEAR_UP
2025_02_06,8,FLATLINE,FLATLINE
2025_02_06,9,FLATLINE,FLATLINE
2025_02_06,10,FLATLINE,FLATLINE
2025_02_06,11,FLATLINE,FLATLINE
2025_02_06,12,FLATLINE,FLATLINE
2025_02_07,0,NOISE,NOISE
2025_02_07,1,LINEAR_UP,LINEAR_UP
2025_02_07,2,LINEAR_DOWN,LINEAR_DOWN
2025_02_07,3,FLATLINE,FLATLINE
2025_02_07,4,FLATLINE,FLATLINE
2025_02_07,5,FLATLINE,FLATLINE
2025_02_07,6,FLATLINE,FLATLINE
2025_02_07,7,FLATLINE,FLATLINE
2025_02_07,8,LINEAR_UP,LINEAR_UP
2025_02_07,9,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_07,10,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_02_09,0,FLATLINE,FLATLINE
2025_02_10,0,NOISE,NOISE
2025_02_10,1,FLATLINE,FLATLINE
2025_02_10,2,FLATLINE,FLATLINE
2025_02_10,3,LINEAR_UP,LINEAR_UP
2025_02_10,4,FLATLINE,FLATLINE
2025_02_10,5,FLATLINE,FLATLINE
2025_02_10,6,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_10,7,FLATLINE,FLATLINE
2025_02_10,8,FLATLINE,FLATLINE
2025_02_10,9,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_11,0,FLATLINE,FLATLINE
2025_02_11,1,FLATLINE,FLATLINE
2025_02_11,2,LINEAR_DOWN,LINEAR_DOWN
2025_02_11,3,LINEAR_UP,LINEAR_UP
2025_02_11,4,LINEAR_DOWN,LINEAR_DOWN
2025_02_11,5,FLATLINE,FLATLINE
2025_02_11,6,FLATLINE,FLATLINE
2025_02_11,7,FLATLINE,FLATLINE
2025_02_11,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_11,9,LINEAR_UP,LINEAR_UP
2025_02_11,10,FLATLINE,FLATLINE
2025_02_11,11,FLATLINE,FLATLINE
2025_02_11,12,FLATLINE,FLATLINE
2025_02_11,13,FLATLINE,FLATLINE
2025_02_12,0,FLATLINE,FLATLINE
2025_02_12,1,FLATLINE,FLATLINE
2025_02_12,2,FLATLINE,FLATLINE
2025_02_12,3,LINEAR_DOWN,LINEAR_DOWN
2025_02_12,4,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_12,5,FLATLINE,FLATLINE
2025_02_12,6,LINEAR_UP,LINEAR_UP
2025_02_12,7,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_02_12,8,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_02_12,9,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_13,0,NOISE,NOISE
2025_02_13,1,FLATLINE,FLATLINE
2025_02_13,2,FLATLINE,FLATLINE
2025_02_13,3,LINEAR_UP,LINEAR_UP
2025_02_13,4,LINEAR_DOWN,LINEAR_DOWN
2025_02_13,5,FLATLINE,FLATLINE
2025_02_13,6,FLATLINE,FLATLINE
2025_02_13,7,LINEAR_UP,LINEAR_UP
2025_02_13,8,FLATLINE,FLATLINE
2025_02_13,9,LINEAR_UP,LINEAR_UP
2025_02_14,0,NOISE,NOISE
2025_02_14,1,FLATLINE,FLATLINE
2025_02_14,2,FLATLINE,FLATLINE
2025_02_14,3,FLATLINE,FLATLINE
2025_02_14,4,FLATLINE,FLATLINE
2025_02_14,5,FLATLINE,FLATLINE
2025_02_14,6,LINEAR_DOWN,LINEAR_DOWN
2025_02_14,7,LINEAR_UP,LINEAR_UP
2025_02_14,8,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_16,0,FLATLINE,FLATLINE
2025_02_17,0,FLATLINE,FLATLINE
2025_02_17,1,LINEAR_UP,LINEAR_UP
2025_02_17,2,FLATLINE,FLATLINE
2025_02_17,3,LINEAR_DOWN,LINEAR_DOWN
2025_02_17,4,LINEAR_UP,LINEAR_UP
2025_02_17,5,LINEAR_DOWN,LINEAR_DOWN
2025_02_17,6,FLATLINE,FLATLINE
2025_02_17,7,FLATLINE,FLATLINE
2025_02_18,0,NOISE,NOISE
2025_02_18,1,LINEAR_UP,LINEAR_UP
2025_02_18,2,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_02_18,3,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_18,4,LINEAR_DOWN,LINEAR_DOWN
2025_02_18,5,LINEAR_DOWN,LINEAR_DOWN
2025_02_18,6,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_19,0,NOISE,NOISE
2025_02_19,1,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_19,2,LINEAR_DOWN,LINEAR_DOWN
2025_02_19,3,LINEAR_DOWN,LINEAR_DOWN
2025_02_19,4,LINEAR_UP,LINEAR_UP
2025_02_19,5,FLATLINE,FLATLINE
2025_02_19,6,FLATLINE,FLATLINE
2025_02_19,7,FLATLINE,FLATLINE
2025_02_20,0,FLATLINE,FLATLINE
2025_02_20,1,LINEAR_DOWN,LINEAR_DOWN
2025_02_20,2,FLATLINE,FLATLINE
2025_02_20,3,LINEAR_DOWN,LINEAR_DOWN
2025_02_20,4,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_20,5,FLATLINE,FLATLINE
2025_02_20,6,FLATLINE,FLATLINE
2025_02_20,7,FLATLINE,FLATLINE
2025_02_20,8,FLATLINE,FLATLINE
2025_02_20,9,LINEAR_DOWN,LINEAR_DOWN
2025_02_20,10,FLATLINE,FLATLINE
2025_02_20,11,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_21,0,NOISE,NOISE
2025_02_21,1,FLATLINE,FLATLINE
2025_02_21,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_21,3,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_21,4,LINEAR_DOWN,LINEAR_DOWN
2025_02_23,0,FLATLINE,FLATLINE
2025_02_24,0,NOISE,NOISE
2025_02_24,1,FLATLINE,FLATLINE
2025_02_24,2,LINEAR_UP,LINEAR_UP
2025_02_24,3,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_24,4,FLATLINE,FLATLINE
2025_02_24,5,FLATLINE,FLATLINE
2025_02_24,6,LOGARITHMIC_DOWN,LOGARITHMIC_DOWN
2025_02_24,7,FLATLINE,FLATLINE
2025_02_24,8,LINEAR_DOWN,LINEAR_DOWN
2025_02_24,9,FLATLINE,FLATLINE
2025_02_24,10,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_25,0,FLATLINE,FLATLINE
2025_02_25,1,FLATLINE,FLATLINE
2025_02_25,2,FLATLINE,FLATLINE
2025_02_25,3,FLATLINE,FLATLINE
2025_02_25,4,FLATLINE,FLATLINE
2025_02_25,5,FLATLINE,FLATLINE
2025_02_25,6,FLATLINE,FLATLINE
2025_02_25,7,LINEAR_DOWN,LINEAR_DOWN
2025_02_25,8,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_25,9,LINEAR_DOWN,LINEAR_DOWN
2025_02_25,10,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_02_25,11,FLATLINE,FLATLINE
2025_02_25,12,FLATLINE,FLATLINE
2025_02_25,13,FLATLINE,FLATLINE
2025_02_26,0,FLATLINE,FLATLINE
2025_02_26,1,FLATLINE,FLATLINE
2025_02_26,2,FLATLINE,FLATLINE
2025_02_26,3,LINEAR_UP,LINEAR_UP
2025_02_26,4,FLATLINE,FLATLINE
2025_02_26,5,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_26,6,FLATLINE,FLATLINE
2025_02_26,7,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_02_26,8,LINEAR_DOWN,LINEAR_DOWN
2025_02_26,9,FLATLINE,FLATLINE
2025_02_27,0,FLATLINE,FLATLINE
2025_02_27,1,FLATLINE,FLATLINE
2025_02_27,2,FLATLINE,FLATLINE
2025_02_27,3,FLATLINE,FLATLINE
2025_02_27,4,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_02_27,5,FLATLINE,FLATLINE
2025_02_27,6,LINEAR_DOWN,LINEAR_DOWN
2025_02_27,7,FLATLINE,FLATLINE
2025_02_27,8,FLATLINE,FLATLINE
2025_02_27,9,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_28,0,NOISE,NOISE
2025_02_28,1,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_02_28,2,FLATLINE,FLATLINE
2025_02_28,3,FLATLINE,FLATLINE
2025_02_28,4,FLATLINE,FLATLINE
2025_02_28,5,FLATLINE,FLATLINE
2025_02_28,6,LINEAR_UP,LINEAR_UP
2025_02_28,7,LINEAR_DOWN,LINEAR_DOWN
2025_02_28,8,LINEAR_UP,LINEAR_UP
2025_02_28,9,LINEAR_DOWN,LINEAR_DOWN
2025_02_28,10,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_02,0,FLATLINE,FLATLINE
2025_03_03,0,FLATLINE,FLATLINE
2025_03_03,1,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_03,2,FLATLINE,FLATLINE
2025_03_03,3,FLATLINE,FLATLINE
2025_03_03,4,FLATLINE,FLATLINE
2025_03_03,5,LINEAR_UP,LINEAR_UP
2025_03_03,6,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_04,0,FLATLINE,FLATLINE
2025_03_04,1,FLATLINE,FLATLINE
2025_03_04,2,FLATLINE,FLATLINE
2025_03_04,3,LINEAR_UP,LINEAR_UP
2025_03_04,4,FLATLINE,FLATLINE
2025_03_04,5,FLATLINE,FLATLINE
2025_03_04,6,LINEAR_DOWN,LINEAR_DOWN
2025_03_04,7,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_03_05,0,NOISE,NOISE
2025_03_05,1,FLATLINE,FLATLINE
2025_03_05,2,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_05,3,FLATLINE,FLATLINE
2025_03_05,4,FLATLINE,FLATLINE
2025_03_05,5,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_05,6,FLATLINE,FLATLINE
2025_03_05,7,LINEAR_DOWN,LINEAR_DOWN
2025_03_05,8,LINEAR_UP,LINEAR_UP
2025_03_05,9,FLATLINE,FLATLINE
2025_03_06,0,NOISE,NOISE
2025_03_06,1,FLATLINE,FLATLINE
2025_03_06,2,FLATLINE,FLATLINE
2025_03_06,3,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_03_06,4,LINEAR_DOWN,LINEAR_DOWN
2025_03_06,5,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_06,6,FLATLINE,FLATLINE
2025_03_06,7,LINEAR_DOWN,LINEAR_DOWN
2025_03_06,8,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_07,0,FLATLINE,FLATLINE
2025_03_07,1,FLATLINE,FLATLINE
2025_03_07,2,FLATLINE,FLATLINE
2025_03_07,3,FLATLINE,FLATLINE
2025_03_07,4,LINEAR_DOWN,LINEAR_DOWN
2025_03_07,5,FLATLINE,FLATLINE
2025_03_07,6,LINEAR_UP,LINEAR_UP
2025_03_07,7,FLATLINE,FLATLINE
2025_03_07,8,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_07,9,LOGARITHMIC_UP,LOGARITHMIC_UP
2025_03_09,0,FLATLINE,FLATLINE
2025_03_09,1,FLATLINE,FLATLINE
2025_03_09,2,FLATLINE,FLATLINE
2025_03_10,0,NOISE,NOISE
2025_03_10,1,FLATLINE,FLATLINE
2025_03_10,2,FLATLINE,FLATLINE
2025_03_10,3,FLATLINE,FLATLINE
2025_03_10,4,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_10,5,FLATLINE,FLATLINE
2025_03_10,6,FLATLINE,FLATLINE
2025_03_10,7,FLATLINE,FLATLINE
2025_03_10,8,FLATLINE,FLATLINE
2025_03_11,0,NOISE,NOISE
2025_03_11,1,LINEAR_UP,LINEAR_UP
2025_03_11,2,FLATLINE,FLATLINE
2025_03_11,3,LINEAR_UP,LINEAR_UP
2025_03_11,4,FLATLINE,FLATLINE
2025_03_11,5,FLATLINE,FLATLINE
2025_03_11,6,LINEAR_DOWN,LINEAR_DOWN
2025_03_11,7,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_11,8,FLATLINE,FLATLINE
2025_03_11,9,LINEAR_UP,LINEAR_UP
2025_03_11,10,FLATLINE,FLATLINE
2025_03_12,0,NOISE,NOISE
2025_03_12,1,FLATLINE,FLATLINE
2025_03_12,2,FLATLINE,FLATLINE
2025_03_12,3,FLATLINE,FLATLINE
2025_03_12,4,FLATLINE,FLATLINE
2025_03_12,5,FLATLINE,FLATLINE
2025_03_12,6,FLATLINE,FLATLINE
2025_03_12,7,FLATLINE,FLATLINE
2025_03_12,8,LINEAR_UP,LINEAR_UP
2025_03_12,9,FLATLINE,FLATLINE
2025_03_12,10,FLATLINE,FLATLINE
2025_03_12,11,FLATLINE,FLATLINE
2025_03_12,12,FLATLINE,FLATLINE
2025_03_12,13,FLATLINE,FLATLINE
2025_03_12,14,FLATLINE,FLATLINE
2025_03_12,15,FLATLINE,FLATLINE
2025_03_13,0,NOISE,NOISE
2025_03_13,1,LINEAR_UP,LINEAR_UP
2025_03_13,2,EXPONENTIAL_DOWN,EXPONENTIAL_DOWN
2025_03_13,3,FLATLINE,FLATLINE
2025_03_13,4,FLATLINE,FLATLINE
2025_03_13,5,FLATLINE,FLATLINE
2025_03_13,6,FLATLINE,FLATLINE
2025_03_13,7,FLATLINE,FLATLINE
2025_03_14,0,NOISE,NOISE
2025_03_14,1,LINEAR_DOWN,LINEAR_DOWN
2025_03_14,2,EXPONENTIAL_UP,EXPONENTIAL_UP
2025_03_14,3,FLATLINE,FLATLINE
2025_03_14,4,FLATLINE,FLATLINE
2025_03_14,5,FLATLINE,FLATLINE
2025_03_14,6,FLATLINE,FLATLINE
2025_03_16,0,NOISE,NOISE
