leaf_id,n_trades,actual_total,actual_avg,same_best_total,counter_best_total,optimal_total,avg_regret,total_regret,dominant_action,dominant_pct,avg_same_best_bar,avg_counter_best_bar
78,63,0.0,0.0,20966.0,20741.0,32881.0,521.9206349206349,32881.0,counter_extended,52.38095238095239,207.15873015873015,216.57142857142858
144,80,367.5,4.59375,22089.0,19045.0,33241.5,410.925,32874.0,same_extended,60.0,237.6,180.5625
94,163,179.5,1.1012269938650308,21339.0,19265.0,31921.0,194.73312883435582,31741.5,same_extended,54.601226993865026,237.60122699386503,222.60122699386503
238,88,-316.5,-3.596590909090909,20736.5,21214.0,31116.5,357.1931818181818,31433.0,counter_extended,50.0,211.72727272727272,211.8409090909091
161,45,406.0,9.022222222222222,19033.5,17751.0,27155.5,594.4333333333333,26749.5,same_extended,51.11111111111111,226.37777777777777,186.77777777777777
202,60,-178.5,-2.975,18754.5,18793.5,26348.0,442.10833333333335,26526.5,counter_extended,51.66666666666667,200.41666666666666,189.8
11,50,157.5,3.15,12959.0,16134.0,25515.5,507.16,25358.0,counter_extended,60.0,115.34,125.1
199,44,591.0,13.431818181818182,17581.5,16214.5,24633.5,546.4204545454545,24042.5,same_extended,52.27272727272727,142.0909090909091,143.52272727272728
241,115,-142.5,-1.2391304347826086,15470.5,14476.5,22838.0,199.8304347826087,22980.5,counter_extended,48.69565217391305,174.61739130434782,173.77391304347827
18,50,-177.0,-3.54,14522.0,14256.5,21781.5,439.17,21958.5,counter_extended,56.00000000000001,178.0,172.02
109,71,1077.5,15.17605633802817,14985.0,11599.5,22915.0,307.57042253521126,21837.5,counter_extended,43.66197183098591,149.29577464788733,143.08450704225353
189,35,-333.5,-9.528571428571428,12260.5,13255.5,19504.0,566.7857142857143,19837.5,same_extended,54.285714285714285,199.65714285714284,103.22857142857143
104,61,-36.0,-0.5901639344262295,12081.0,9541.5,17892.0,293.9016393442623,17928.0,same_extended,55.73770491803278,176.72131147540983,159.0327868852459
247,48,-378.0,-7.875,10033.0,10820.5,16682.0,355.4166666666667,17060.0,counter_extended,47.91666666666667,150.125,147.77083333333334
16,38,144.5,3.8026315789473686,10626.0,10305.0,16910.5,441.2105263157895,16766.0,counter_extended,50.0,153.5,167.6578947368421
113,49,335.5,6.846938775510204,11286.0,9695.0,16808.0,336.1734693877551,16472.5,same_extended,40.816326530612244,95.36734693877551,76.71428571428571
227,56,-125.5,-2.2410714285714284,8976.5,11029.5,16176.0,291.0982142857143,16301.5,counter_extended,58.92857142857143,240.35714285714286,266.57142857142856
86,24,-91.0,-3.7916666666666665,10877.0,8100.5,16086.5,674.0625,16177.5,counter_extended,54.166666666666664,234.16666666666666,207.91666666666666
143,20,-500.0,-25.0,15268.0,4195.5,15629.0,806.45,16129.0,same_extended,85.0,292.35,80.15
52,74,194.5,2.6283783783783785,10858.5,11497.5,16318.5,217.8918918918919,16124.0,same_extended,48.64864864864865,168.21621621621622,175.6081081081081
193,48,120.0,2.5,9289.0,9288.5,15693.5,324.4479166666667,15573.5,counter_extended,60.416666666666664,173.02083333333334,181.39583333333334
201,28,-269.0,-9.607142857142858,9390.0,10455.0,14799.0,538.1428571428571,15068.0,counter_extended,60.71428571428571,187.25,111.78571428571429
168,35,-170.5,-4.871428571428571,8469.0,9259.0,14779.5,427.14285714285717,14950.0,counter_extended,54.285714285714285,227.05714285714285,202.0857142857143
117,58,887.5,15.301724137931034,8945.0,10930.5,15690.5,255.22413793103448,14803.0,counter_extended,62.06896551724138,151.29310344827587,163.36206896551724
45,37,-490.5,-13.256756756756756,9451.5,6188.0,14043.0,392.7972972972973,14533.5,same_extended,59.45945945945946,201.13513513513513,160.51351351351352
23,76,65.5,0.8618421052631579,9791.5,8811.5,14548.5,190.56578947368422,14483.0,same_extended,48.68421052631579,210.23684210526315,220.17105263157896
140,38,-59.0,-1.5526315789473684,9651.5,7988.0,14070.5,371.82894736842104,14129.5,same_extended,47.368421052631575,189.94736842105263,172.8421052631579
40,41,280.5,6.841463414634147,7126.0,10437.0,13947.5,333.3414634146341,13667.0,counter_extended,51.21951219512195,160.4390243902439,183.8780487804878
146,30,220.5,7.35,4312.0,12847.0,13858.5,454.6,13638.0,counter_extended,86.66666666666667,99.23333333333333,287.6
116,55,63.5,1.1545454545454545,6535.0,9252.5,13425.5,242.94545454545454,13362.0,counter_extended,49.09090909090909,121.49090909090908,173.3090909090909
8,28,-130.0,-4.642857142857143,8263.0,6896.5,12814.0,462.2857142857143,12944.0,same_extended,42.857142857142854,122.75,96.82142857142857
244,34,708.5,20.83823529411765,8982.0,6039.5,13016.0,361.9852941176471,12307.5,same_extended,52.94117647058824,154.64705882352942,135.64705882352942
245,38,400.5,10.539473684210526,7317.5,7825.5,11596.0,294.61842105263156,11195.5,same_extended,50.0,147.1315789473684,151.8421052631579
33,33,-88.5,-2.6818181818181817,2449.0,9661.0,10848.0,331.40909090909093,10936.5,counter_extended,63.63636363636363,138.75757575757575,177.84848484848484
205,40,178.5,4.4625,7205.0,6963.5,10562.5,259.6,10384.0,counter_extended,50.0,248.4,260.5
47,37,139.0,3.7567567567567566,6039.5,6050.0,10475.0,279.35135135135135,10336.0,counter_extended,51.35135135135135,120.02702702702703,129.7027027027027
212,43,28.5,0.6627906976744186,6452.0,5076.0,10211.5,236.8139534883721,10183.0,counter_extended,51.162790697674424,195.1860465116279,182.48837209302326
219,30,375.0,12.5,4605.5,6219.0,10142.5,325.5833333333333,9767.5,counter_extended,50.0,134.73333333333332,130.03333333333333
192,28,-8.5,-0.30357142857142855,5886.5,7110.0,9716.0,347.30357142857144,9724.5,counter_extended,46.42857142857143,125.57142857142857,114.17857142857143
216,42,398.0,9.476190476190476,6928.0,5802.0,10076.0,230.42857142857142,9678.0,counter_extended,50.0,182.83333333333334,194.23809523809524
89,22,-114.0,-5.181818181818182,4613.0,6295.5,9556.0,439.54545454545456,9670.0,counter_extended,54.54545454545454,193.45454545454547,279.6818181818182
226,22,101.0,4.590909090909091,5629.0,6924.5,9729.0,437.6363636363636,9628.0,counter_extended,54.54545454545454,254.5909090909091,260.72727272727275
147,22,25.0,1.1363636363636365,6354.5,7804.5,9575.5,434.1136363636364,9550.5,same_extended,45.45454545454545,197.45454545454547,291.54545454545456
119,38,-73.0,-1.9210526315789473,5830.5,5340.0,9266.0,245.76315789473685,9339.0,counter_extended,60.526315789473685,198.0,209.1315789473684
188,22,160.0,7.2727272727272725,6194.5,5749.0,9255.5,413.4318181818182,9095.5,counter_extended,59.09090909090909,159.77272727272728,168.04545454545453
169,18,-49.0,-2.7222222222222223,2594.0,7968.0,8664.0,484.05555555555554,8713.0,counter_extended,77.77777777777779,153.55555555555554,279.1111111111111
68,69,-360.5,-5.22463768115942,3705.5,4732.0,7978.5,120.85507246376811,8339.0,counter_extended,47.82608695652174,24.28985507246377,30.91304347826087
