split,tf,anchor,side,k_sigma,total_entries,days_active,split_days,frac_days_active,mean_per_day,median_per_day,max_per_day,q90_per_day
OOS,5m,high,below,3.0,6684,64,68,0.941,98.29,112.0,174,151.8
OOS,5m,low,above,1.0,10676,68,68,1.0,157.0,179.0,275,220.50000000000003
OOS,5m,low,above,2.0,9540,67,68,0.985,140.29,163.0,241,204.9
OOS,5m,low,above,3.0,5505,67,68,0.985,80.96,92.5,159,121.30000000000001
OOS,5m,low,below,1.0,7238,62,68,0.912,106.44,121.5,210,164.9
OOS,5m,low,below,2.0,3165,60,68,0.882,46.54,52.5,88,70.30000000000001
OOS,5m,low,below,3.0,942,59,68,0.868,13.85,14.0,34,25.0
OOS,15m,close,above,1.0,5793,67,68,0.985,85.19,94.5,190,136.8
OOS,15m,close,above,2.0,3065,64,68,0.941,45.07,45.0,105,78.80000000000003
OOS,15m,close,above,3.0,885,59,68,0.868,13.01,11.0,42,26.0
OOS,15m,close,below,1.0,5375,66,68,0.971,79.04,85.0,168,132.8
OOS,15m,close,below,2.0,3357,62,68,0.912,49.37,53.5,140,84.0
OOS,15m,close,below,3.0,1148,60,68,0.882,16.88,15.5,53,32.50000000000002
OOS,15m,high,above,1.0,3988,60,68,0.882,58.65,64.0,129,97.10000000000002
OOS,15m,high,above,2.0,1499,58,68,0.853,22.04,21.0,66,41.300000000000004
OOS,15m,high,above,3.0,548,51,68,0.75,8.06,5.0,29,22.300000000000004
OOS,15m,high,below,1.0,4779,68,68,1.0,70.28,71.5,136,115.0
OOS,15m,high,below,2.0,4804,64,68,0.941,70.65,71.0,156,115.0
OOS,15m,high,below,3.0,2990,62,68,0.912,43.97,44.0,105,81.60000000000001
OOS,15m,low,above,1.0,5256,67,68,0.985,77.29,88.0,170,125.60000000000001
OOS,15m,low,above,2.0,4599,65,68,0.956,67.63,72.0,138,110.9
OOS,15m,low,above,3.0,2352,62,68,0.912,34.59,32.0,90,64.0
OOS,15m,low,below,1.0,3792,58,68,0.853,55.76,55.5,149,105.60000000000001
OOS,15m,low,below,2.0,1525,56,68,0.824,22.43,25.0,65,40.300000000000004
OOS,15m,low,below,3.0,539,52,68,0.765,7.93,7.5,26,18.0
OOS,1h,close,above,1.0,3025,56,68,0.824,44.49,42.0,112,88.10000000000002
OOS,1h,close,above,2.0,1739,52,68,0.765,25.57,23.5,103,51.300000000000004
OOS,1h,close,above,3.0,789,42,68,0.618,11.6,4.0,78,30.300000000000004
OOS,1h,close,below,1.0,2777,55,68,0.809,40.84,40.5,111,81.30000000000001
OOS,1h,close,below,2.0,1699,50,68,0.735,24.99,19.0,89,57.90000000000001
OOS,1h,close,below,3.0,902,43,68,0.632,13.26,8.5,53,36.90000000000001
OOS,1h,high,above,1.0,2347,52,68,0.765,34.51,27.5,146,71.60000000000001
OOS,1h,high,above,2.0,1027,47,68,0.691,15.1,12.0,90,33.300000000000004
OOS,1h,high,above,3.0,428,37,68,0.544,6.29,1.0,48,19.300000000000004
OOS,1h,high,below,1.0,2635,56,68,0.824,38.75,37.5,123,88.20000000000002
OOS,1h,high,below,2.0,2413,55,68,0.809,35.49,36.0,108,84.0
OOS,1h,high,below,3.0,1455,51,68,0.75,21.4,20.5,97,46.300000000000004
OOS,1h,low,above,1.0,2383,56,68,0.824,35.04,31.5,109,72.30000000000001
OOS,1h,low,above,2.0,2499,56,68,0.824,36.75,33.0,109,83.30000000000001
OOS,1h,low,above,3.0,1572,53,68,0.779,23.12,16.5,139,53.20000000000002
OOS,1h,low,below,1.0,1731,50,68,0.735,25.46,21.5,85,63.90000000000001
OOS,1h,low,below,2.0,998,47,68,0.691,14.68,13.0,75,35.60000000000001
OOS,1h,low,below,3.0,373,35,68,0.515,5.49,1.0,40,17.300000000000004
