tier,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
NMP_FADE_RAW,STEEP_CONVEX_DOWN,9074,1799,0.52,1.15,4747.0,2067.0,1
NMP_FADE_RAW,STEEP_CONVEX_UP,1127,193,-0.62,-1.11,-694.0,-214.0,1
NMP_FADE_RAW,STEEP_LINEAR_DOWN,10373,2281,-1.36,-1.47,-14152.0,-3362.0,1
NMP_FADE_RAW,STEEP_LINEAR_UP,10152,1977,-1.35,-1.6,-13672.0,-3160.0,1
NMP_RIDE_RAW,NOISE,16,10,15.69,5.6,251.0,56.0,1
NMP_RIDE_RAW,STEEP_CONCAVE_UP,42,7,-22.31,31.5,-937.0,220.0,0
NMP_RIDE_RAW,STEEP_CONVEX_DOWN,43,6,-17.53,15.75,-754.0,94.0,0
NMP_RIDE_RAW,STEEP_CONVEX_UP,11,1,12.09,-48.5,133.0,-48.0,0
NMP_RIDE_RAW,STEEP_LINEAR_DOWN,36,11,17.4,-47.55,626.0,-523.0,0
NMP_RIDE_RAW,STEEP_LINEAR_UP,49,16,16.27,6.78,797.0,108.0,1
RIDE_AGAINST,FLATLINE,25,5,-5.96,-12.1,-149.0,-60.0,1
RIDE_AGAINST,GENTLE_LINEAR_UP,11,1,-1.36,41.0,-15.0,41.0,0
RIDE_AGAINST,NOISE,73,19,1.2,-18.16,88.0,-345.0,0
RIDE_AGAINST,STEEP_CONCAVE_UP,113,30,-20.03,9.98,-2264.0,300.0,0
RIDE_AGAINST,STEEP_CONVEX_DOWN,123,29,-8.44,-7.86,-1038.0,-228.0,1
RIDE_AGAINST,STEEP_CONVEX_UP,15,3,13.43,38.5,202.0,116.0,1
RIDE_AGAINST,STEEP_LINEAR_DOWN,131,33,18.24,-35.03,2389.0,-1156.0,0
RIDE_AGAINST,STEEP_LINEAR_UP,135,41,4.89,6.82,660.0,280.0,1
RIDE_CALM,STEEP_CONCAVE_UP,12,2,-33.79,-66.0,-406.0,-132.0,1
RIDE_CALM,STEEP_CONVEX_DOWN,16,1,-13.97,-57.5,-224.0,-58.0,1
RIDE_MOMENTUM,STEEP_CONCAVE_UP,12,0,-77.54,,-930.0,0.0,-1
RIDE_MOMENTUM,STEEP_CONVEX_DOWN,17,2,-13.15,191.25,-224.0,382.0,0
RIDE_MOMENTUM,STEEP_LINEAR_DOWN,14,6,-26.29,19.0,-368.0,114.0,0
