tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,141,16,1.98,1.09,279.0,18.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,63,3,0.93,-3.17,58.0,-10.0,0
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,75,10,0.37,-1.85,28.0,-18.0,0
FADE_AT_BAND,GENTLE_CONVEX_UP,STEEP_CONVEX_UP,16,5,-1.28,2.0,-20.0,10.0,0
FADE_AT_BAND,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,28,11,-0.79,-1.36,-22.0,-15.0,1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,FLATLINE,24,0,0.98,,24.0,0.0,-1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,NOISE,59,1,0.49,0.0,29.0,0.0,0
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,73,3,1.58,-9.67,116.0,-29.0,0
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,77,27,1.08,1.63,83.0,44.0,1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,16,11,-2.69,1.82,-43.0,20.0,0
FADE_AT_BAND,GENTLE_LINEAR_UP,FLATLINE,22,11,1.52,1.32,34.0,14.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,15,0,0.93,,14.0,0.0,-1
FADE_AT_BAND,GENTLE_LINEAR_UP,NOISE,66,17,0.75,2.09,50.0,36.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,107,32,2.04,-0.27,218.0,-8.0,0
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,22,22,0.36,0.16,8.0,4.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,138,20,0.17,2.73,24.0,54.0,1
FADE_AT_BAND,NOISE,FLATLINE,38,9,9.03,15.61,343.0,140.0,1
FADE_AT_BAND,NOISE,NOISE,114,75,-1.95,-4.63,-222.0,-348.0,1
FADE_AT_BAND,NOISE,STEEP_CONCAVE_DOWN,14,4,-8.57,-0.25,-120.0,-1.0,1
FADE_AT_BAND,NOISE,STEEP_CONCAVE_UP,149,38,2.26,1.95,337.0,74.0,1
FADE_AT_BAND,NOISE,STEEP_CONVEX_DOWN,48,67,6.09,5.57,292.0,374.0,1
FADE_AT_BAND,NOISE,STEEP_CONVEX_UP,26,8,1.04,8.5,27.0,68.0,1
FADE_AT_BAND,NOISE,STEEP_LINEAR_DOWN,98,27,-0.34,2.7,-33.0,73.0,0
FADE_AT_BAND,NOISE,STEEP_LINEAR_UP,84,29,2.26,2.57,190.0,74.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,29,22,-1.26,-4.25,-36.0,-94.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,42,7,-9.26,2.57,-389.0,18.0,0
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,164,20,-6.65,-6.67,-1090.0,-134.0,1
